證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 庫藏股票,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票,　　　　 預付投資款,　　　　 待分配股票股利
1802,2015年09月30日,,,,              3266619,,                 15478,,              1987088,,              5748056,,                928419,,                 19703,,,             10118037,             10118037,,              3484379,,                248180,                  6237,                254417,             25822196,,,                238890,,              3282943,,             65825010,,                 18630,,                143169,                624987,,                150752,                  9367,                284208,              3255817,,                555893,              4256037,             74389666,            100211862,,,,,              9573843,,              3493685,,                 16460,,                993411,,              5163868,,              4136764,                 23605,,,              1048353,,              3155779,              8990196,             12145975,                253966,             13448294,             36849930,,,                              0,,                              0,,             12336230,,                825380,,              1508608,                 87720,                  4132,                              0,              1600460,             14762070,             51612000,,,,             23780608,             23780608,,                382968,,              5616758,             10252793,,              2081705,             17951256,,,              2997009,,               -162886,              2834123,             44948955,              3650907,             48599862,            100211862,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,2015年03月31日,,,,              4137346,,,,              1762468,,              5223643,,              1442756,,                 18827,,,             10292595,             10292595,,              3997169,,                285234,                  7527,                292761,             27167565,,,                282953,,              3422575,,             66425047,,                 18681,,                 71954,                656547,,                195195,                  9456,                275008,              3241693,,                 33246,              3754598,             74632355,            101799920,,,,,             10001648,,              2396885,,                              0,,                753207,,              4795792,,              3017149,                 22294,,,              1259700,,                              0,             10185759,             10185759,                117867,             11563326,             32550301,,,                 10032,,              2986891,,             13224191,,                813813,,              1506017,                 91196,                  3824,                              0,              1601037,             18635964,             51186265,,,,             23780608,             23780608,,                347738,,              5601432,             10252793,,              4256591,             20110816,,,              2613676,,               -118823,              2494853,             46734015,              3879640,             50613655,            101799920,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,2014年12月31日,,,,              6510559,,                              0,,              2321386,,              5266745,,              1850902,,                 20894,,,              9574497,              9574497,,              3563154,,                256436,                 46354,                302790,             29410927,,,                265511,,              3647110,,             67748488,,                 18703,,                 74617,                634568,,                502932,                 66951,                270552,              3300644,,                 29538,              4170617,             76559614,            105970541,,,,,             10947416,,              1797898,,                              0,,                335431,,              4530263,,              3489970,                 60774,,,              1221194,,                              0,              9960018,              9960018,                 77454,             11258666,             32420418,,,                 53890,,              3010986,,             15312286,,                820375,,              1539555,                110769,                185455,                              0,              1835779,             21033316,             53453734,,,,             23780608,             23780608,,                370850,,              5601432,             10252793,,              5460779,             21315004,,,              3169867,,               -136265,              3033602,             48500064,              4016743,             52516807,            105970541,              0,              0,              0,                              0,              6510559,                 20894,                270552,            105970541,,,,             10947416,,              1797898,,                              0,,                335431,,              4530263,,              3489970,                 60774,,,              1221194,,                              0,              9960018,              9960018,                 77454,             11258666,             32420418,,,                 53890,,              3010986,,             15312286,,                820375,,              1539555,                110769,                185455,                              0,              1835779,             21033316,             53453734,,,,             23780608,             23780608,,                370850,,              5601432,             10252793,,              5460779,             21315004,,,              3169867,,               -136265,              3033602,             48500064,              4016743,             52516807,,,
1802,2014年09月30日,,,,              5373528,,                              0,,              1949348,,              5462808,,              1403361,,                 16160,,,             10000956,             10000956,,              3850091,,                228981,                 35212,                264193,             28320445,,,                253509,,              3621227,,             64709549,,                 46217,,                 75403,                743133,,                541349,                 16748,                649419,              3157598,,                521277,              4886391,             74335429,            102655874,,,,,             10451666,,              1797830,,                              0,,                747635,,              3663171,,              3453247,                 62856,,,              1248133,,                              0,              9784008,              9784008,                 73342,             11105483,             31281888,,,                 18587,,              2885290,,             15820436,,                929605,,              1395738,                111415,                 10186,                  7466,              1524805,             21178723,             52460611,,,,             23780608,             23780608,,                364316,,              5601432,             10264631,,              5084282,             20950345,,,              1299503,,               -148267,              1151236,             46246505,              3948758,             50195263,            102655874,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,2014年06月30日,,,,,,,,              1593570,,              4867852,,              1323196,,,,,             10566128,             10566128,,              3758133,,                140644,                  5220,                145864,             29222798,,,                260676,,              3789245,,             63473246,,                133501,,                 76212,                698426,,                620797,                 15912,,              3118444,,                513673,              4912211,             73343517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              6954704,                 13351,                643385,            102566315,,,,              8616962,,              1198209,,                              0,,              1033171,,              3269293,,              3593676,                 53528,,,              1057526,,              8006752,              7834768,             15841520,                 85447,             16984493,             34749332,,,                 13462,,              2824058,,             14455124,,                928385,,              1275515,                113136,                 23896,                  7329,              1419876,             19640905,             54390237,,,,             23780608,             23780608,,                365337,,              5601432,             10264631,,              3842592,             19708655,,,                550210,,               -141100,                409110,             44263710,              3912368,             48176078,,,
1802,2014年03月31日,,,,              7761955,,,,              1920305,,              4121060,,              1363037,,                 18890,,,             11733456,             11733456,,              4032267,,                128361,                  8395,                136756,             31087726,,,                308777,,              4229573,,             63591556,,                134239,,                 78902,                800346,,                481283,                 14900,                637286,              3037992,,              1066218,              5237679,             74381072,            105468798,,,,,              8696431,,              1197965,,                    818,,                635609,,              3347810,,              3874530,                 64775,,,              1370027,,              8093299,              5859139,             13952438,                 88635,             15411100,             33229038,,,                158399,,              2872345,,             16939136,,                951003,,              1301878,                117420,                 23696,                    304,              1443298,             22364181,             55593219,,,,             23780608,             23780608,,                365337,,              5601432,             10264631,,              4546948,             20413011,,,              1369230,,               -153646,              1215584,             45774540,              4101039,             49875579,            105468798,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,2013年12月31日,,,,,,,,              2435350,,              3844666,,              1313931,,,,,             10749179,             10749179,,              3708570,,                123451,                 16945,                140396,             27154602,,,                332301,,              4580670,,             62721601,,                134977,,                 80724,                827820,,                351334,                 57463,,              3015291,,              1049972,              5105276,             73783369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              4938635,                 23875,                631216,            100937971,,,,              9332093,,              1197965,,                    800,,                279027,,              2860903,,              3871842,                 88480,,,              1169505,,              7843896,              5952394,             13796290,                 91489,             15057284,             32688394,,,                              0,,                              0,,             14936608,,              1006517,,              1295036,                116644,                146323,                    297,              1558300,             17501425,             50189819,,,,             23780608,             23780608,,                365337,,              5601432,             10264631,,              5853667,             21719730,,,                837399,,               -142843,                694556,             46560231,              4187921,             50748152,                              0,,
1802,2013年09月30日,,,,,,,,              1951018,,              3580402,,                322983,,,,,             11638553,             11638553,,              3747863,,                233647,                  7512,                241159,             27265240,,,                451859,,              4580951,,             60241778,,                135767,,                131949,                758291,,                372376,                 32027,,              2924314,,                 16352,              3814420,             70115015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              5736134,                 47128,                469351,             97380255,,,,              7404186,,              1197883,,                    889,,                519887,,              4082877,,              3165278,                 48279,,,              1321082,,              8630977,              5125211,             13756188,                248227,             15325497,             31744776,,,                              0,,                              0,,             15406667,,                392772,,              1128955,                118009,                 23239,                              0,              1270203,             17069642,             48814418,,,,             23780608,             23780608,,                342598,,              5601432,             10264631,,              4483143,             20349206,,,                169366,,               -123960,                 45406,             44517818,              4048019,             48565837,,,
1802,2013年06月30日,,,,,,,,              1361319,,              3431124,,                304897,,,,,             10689604,             10689604,,              3392450,,                237642,                  8256,                245898,             25661228,,,                437035,,              4641615,,             58859305,,                136556,,                134211,                749731,,              1155298,                 29599,,              2916302,,                 16197,              4581617,             69540070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              6172104,                 63832,                464221,             95201298,,,,              7533957,,              1197680,,                              0,,                277030,,              2496130,,              3332865,                 29915,,,              1027581,,                              0,              3975574,              3975574,                242233,              5245388,             20112965,,,                              0,,              8675472,,             15376200,,                398634,,              1142906,                117308,                 23240,                              0,              1283454,             25733760,             45846725,,,,             23780608,             23780608,,                331574,,              5601432,             10264631,,              4867508,             20733571,,,                507969,,               -138784,                369185,             45214938,              4139635,             49354573,,,
1802,2013年03月31日,,,,,,,,              1051599,,              3617841,,                318447,,,,,             10280202,             10280202,,              3321125,,                191762,                  7906,                199668,             25156638,,,                447322,,              4638368,,             56358308,,                137346,,                125908,                719411,,                908598,                 27319,,              2826281,,                 15348,              4236400,             66663063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              6291661,                 76095,                458854,             91819701,,,,              8985326,,              1197811,,                              0,,                201779,,              3236576,,              1731898,                 38253,,,                951411,,                              0,              2029664,              2029664,                188500,              3169575,             18561218,,,                  6274,,              8545357,,             13592253,,                403996,,              1061280,                116604,                 23490,                              0,              1201374,             23749254,             42310472,,,,             23780608,             23780608,,                332525,,              5601432,             10264631,,              5902118,             21768181,,,               -333691,,               -128497,               -462188,             45419126,              4090103,             49509229,                              0,,
