證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 無活絡市場之債券投資－流動淨額,　　　　 預付所得稅,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　　 預收股本,　　　　 其他應付款－其他,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 其他應付費用,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 存入保證金
2484,2015年09月30日,,,,                663719,,                              0,,                  9395,,                977596,,                 24955,,                  5025,,                445344,,                 13349,,                  3750,              2143133,,,                 18374,,                265649,,              1440797,,                 99492,,                  2671,                 75840,,                 67449,              1970272,              4113405,,,,,                  6253,,                  2463,,                 34485,,                271414,,                140133,                 42377,,,                101292,                101292,                 17357,                118649,                615774,,,                471951,,                 19885,,                134788,                     69,                134857,                626693,              1242467,,,,              1594210,                              0,              1594210,,                882183,,                 42736,                 59855,,                336107,                438698,,,                -47049,                -47049,              2868042,                  2896,              2870938,              4113405,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,2015年06月30日,,,,                630160,,                              0,,                  9141,,                848332,,                 26400,,                  5178,,                498847,,                 14821,,                  3917,              2036840,,,                 21614,,                244012,,              1458912,,                 92113,,                  2998,                 76734,,                 77901,              1974284,              4011124,,,,,                  6013,,                              0,,                 33061,,                215938,,                281451,                 23677,,,                 93593,                 93593,                  7365,                100958,                661098,,,                460404,,                  7668,,                134731,                     64,                134795,                602867,              1263965,,,,              1594210,                              0,              1594210,,                882183,,                 42736,                 59855,,                231688,                334279,,,                -71774,                -71774,              2738898,                  8261,              2747159,              4011124,              0,              0,,                     44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,2015年03月31日,,,,                576006,,,,                 11500,,                866552,,                 25858,,                  7011,,                509393,,                 15912,,                  3605,              2016003,,,                 21635,,                240541,,              1456517,,                 95143,,                  3228,                 78445,,                107127,              2002636,              4018639,,,,,                  6241,,                              0,,                 91777,,                216784,,                122032,                 17064,,,                 97346,                 97346,                  8482,                105828,                559726,,,                458863,,                  8704,,                135020,                     66,                135086,                602653,              1162379,,,,              1594210,                              0,              1594210,,                882183,,                 13841,                 47665,,                374390,                435896,,,                -64189,                -64189,              2848100,                  8160,              2856260,              4018639,              0,              0,,                    166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,2014年12月31日,,,,                662850,,                              0,,                 12303,,                835370,,                 25376,,                  4278,,                484960,,                  4116,,                  5639,              2034892,,,                 21647,,                231105,,              1484244,,                 97135,,                  2948,                 80583,,                101418,              2019080,              4053972,,,,,                  6135,,                    462,,                 98362,,                272312,,                143304,                              0,,,                 96923,                 96923,                  8351,                105274,                625849,,,                470648,,                 15014,,                131652,                     66,                131718,                617380,              1243229,,,,              1594210,                              0,              1594210,,                882183,,                 13841,                 47665,,                323340,                384846,,,                -59855,                -59855,              2801384,                  9359,              2810743,              4053972,              0,              0,,                              0,                662850,                  4278,              4053972,,,,                  6135,,                    462,,                 98362,,                272312,,                143304,                              0,,,                 96923,                 96923,                  8351,                105274,                625849,,,                470648,,                 15014,,                131652,                     66,                131718,                617380,              1243229,,,,              1594210,              1594210,,                882183,,                 13841,                 47665,,                323340,                384846,,,                -59855,                -59855,                              0,              2801384,                  9359,              2810743,              0,,,,,,,,,,,,,,
2484,2014年09月30日,,,,                434444,,                 30000,,                 11297,,                823367,,                 61437,,                  8120,,                498852,,                 12011,,                  6650,              1886178,,,                 21686,,                147432,,              1526577,,                102540,,                    632,                 98948,,                 87239,              1985054,              3871232,,,,,                              0,,                    725,,                 90234,,                243354,,                126781,                              0,,,                 92718,                 92718,                 13246,                105964,                567058,,,                472098,,                 12400,,                126490,                     70,                126560,                611058,              1178116,,,,              1575460,                 10467,              1585927,,                865571,,                 13841,                 47665,,                237507,                299013,,,                -53915,                -53915,              2696596,                 -3480,              2693116,              3871232,        555000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,2014年06月30日,,,,                437520,,                 30000,,                 13805,,                659451,,                 58792,,                              0,,                528311,,                 11425,,                  9902,              1749533,,,                 28694,,                142223,,              1554943,,                109451,,                    511,                114840,,                100227,              2050889,              3800422,,,,,                              0,,                              0,,                 24971,,                230984,,                222215,                  1660,,,                 90337,                 90337,                 12523,                102860,                582690,,,                453803,,                 12777,,                126684,                     74,                126758,                593338,              1176028,,,,              1575060,                    755,              1575815,,                865216,,                 13841,                 47665,,                161352,                222858,,,                -38648,                -38648,              2625241,                   -847,              2624394,              3800422,         40000,              0,,                    327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,2014年03月31日,,,,                494206,,,,                  9514,,                598785,,                 57521,,                              0,,                525289,,                 13352,,                  4109,              1702776,,,                 28698,,                138446,,              1592045,,                110583,,                    717,                 95623,,                104898,              2071010,              3773786,,,,,                              0,,                    294,,                 66496,,                214388,,                130344,                 28350,,,                 95379,                 95379,                 19174,                114553,                554425,,,                438436,,                 15564,,                126668,                     74,                126742,                580742,              1135167,,,,              1574760,                    566,              1575326,,                864950,,                              0,                              0,,                235067,                235067,,,                -38592,                -38592,              2636751,                  1868,              2638619,              3773786,         30000,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,2013年12月31日,,,,,,,,                 11333,,                656928,,                 57982,,,,                506101,,                 10589,,                  4090,              1868917,,,                 48522,,                 59803,,              1638135,,                107140,,                    923,                100378,,                101242,              2056143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                621894,                              0,              3925060,,,,                 14265,,                    249,,                 91327,,                263750,,                148376,                 20209,,,                360893,                360893,                  9185,                370078,                908254,,,                284907,,                 13320,,                126522,                     71,                126593,                424820,              1333074,,,,              1574760,              1574760,,                864950,,                              0,                              0,,                194942,                194942,,,                -47665,                -47665,                              0,              2586987,                  4999,              2591986,              0,,,,,,,,,,,,,,
2484,2013年09月30日,,,,,,,,                 11393,,                639793,,                 26601,,,,                557249,,                 11789,,                  3225,              1767399,,,                 48575,,                 59592,,              1646519,,                114584,,                  9077,                 96286,,                209629,              2184262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                    359,                495672,                              0,              3951661,,,,                 20002,,                              0,,                 83714,,                193516,,                141331,,,,                357915,                357915,                 16788,                374703,                830232,,,                415350,,                 13962,,                107430,                     76,                107506,                536818,              1367050,,,,              1574760,              1574760,,                864950,,                              0,                              0,,                183714,                183714,,,                -33180,                -33180,,              2590244,                 -5633,              2584611,              0,                              0,                              0,,                 21318,                 15958,                  1008,                              0,,,,,,,
2484,2013年06月30日,,,,,,,,                 11694,,                620085,,                 27841,,,,                555674,,                 24160,,                  8813,              1717288,,,                 48580,,                 59041,,              1637383,,                116030,,                  9111,                101410,,                179937,              2151492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,                388515,,              3868780,,,,                 24384,,                    125,,                 30866,,                203388,,                129017,,,,,                363275,                 14722,                377997,                778138,,,                420638,,                 15723,,                107681,                              0,                107681,                544042,              1322180,,,,              1574760,              1574760,,                864950,,                              0,                              0,,                152288,                152288,,,                -37807,                -37807,,              2554191,                 -7591,              2546600,              0,                              0,,,                 80506,                  6361,                  6000,                              0,,,,,,,
