證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　　 應付股利,　　　　 其他應付款－其他,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 庫藏股票
1733,2015年09月30日,,,,                216601,,                160668,,                              0,,                310081,,                173078,,                 82362,,                414218,,                 23881,              1380889,,,                197025,,                  6000,,                917553,,                 28109,                    591,,                    904,                    904,              1150182,              2531071,,,,,                              0,,                 41627,,                103379,,                  1284,,                118504,                118504,                 17367,,                  8818,,,                              0,                 14201,                 14201,                305180,,,                377053,,                 23083,                     27,                 23110,                400163,                705343,,,,                985314,                985314,,                204800,,                430372,                  1589,,                204917,                636878,,                 -1792,              1825200,                    528,              1825728,              2531071,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,2015年06月30日,,,,                536177,,                  1566,,                              0,,                271480,,                181202,,                 56339,,                476672,,                 23089,              1546525,,,                197025,,                  6000,,                937413,,                 28756,                  2764,,                    907,                    907,              1172865,              2719390,,,,,                              0,,                 57644,,                127664,,                  2491,,                116648,                362977,                 22788,,                 10419,,,                399396,                 14583,                413979,                997962,,,                              0,,                 24391,                     27,                 24418,                 24418,              1022380,,,,                985314,                985314,,                185160,,                430372,                  1589,,                 96028,                527989,,                 -2012,              1696451,                    559,              1697010,              2719390,              0,              0,                246329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,2015年03月31日,,,,                490521,,                  1500,,,,                264815,,                203155,,                 46033,,                486823,,                 20441,              1513288,,,                197025,,                  6000,,                957185,,                 30804,                  2236,,                    944,                    944,              1194194,              2707482,,,,,,,                 58993,,                160656,,                  2288,,,                107877,                 27566,,                 12300,,,                397841,                 11971,                409812,                779492,,,                              0,,                 25313,                      9,                 25322,                 25322,                804814,,,,                985314,                985314,,                185160,,                403034,                  3494,,                326909,                733437,,                 -1868,              1902043,                    625,              1902668,              2707482,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,2014年12月31日,,,,                217772,,                163506,,                              0,,                319543,,                151537,,                 59884,,                498313,,                 21457,              1432012,,,                197025,,                  6000,,                978198,,                 30521,                    243,,                    895,                    895,              1212882,              2644894,,,,,                              0,,                 45685,,                133759,,                  1477,,                136858,                136858,                 19096,,                  7550,,,                396291,                 11578,                407869,                752294,,,                              0,,                 26219,                      9,                 26228,                 26228,                778522,,,,                985314,                985314,,                185160,,                403034,                  3494,,                292291,                698819,,                 -1589,              1867704,                 -1332,              1866372,              2644894,              0,              0,                              0,                217772,                              0,                  6000,              2644894,,,,                 45685,,                133759,,                  1477,,                136858,                 19096,,                  7550,,,                396291,                 11578,                407869,                752294,,,                              0,,                 26219,                      9,                 26228,                 26228,                778522,,,,                985314,                985314,,                185160,,                403034,                  3494,,                292291,                698819,,                 -1589,              1867704,                 -1332,              1866372,              0,,,,,,,,,,,,,
1733,2014年09月30日,,,,                140896,,                 54996,,                152100,,                358644,,                137389,,                 41281,,                536238,,                 22233,              1443777,,,                197025,,                  6000,,              1000500,,                 30974,                  3791,,                  1053,                  1053,              1239343,              2683120,,,,,                152100,,                 46008,,                127941,,                  2019,,                113915,                113915,                  7645,,                 18550,,,                394748,                 10858,                405606,                873784,,,                              0,,                 27356,                      9,                 27365,                 27365,                901149,,,,                985314,                985314,,                185160,,                403034,                  3494,,                210181,                616709,,                 -2384,              1784799,                 -2828,              1781971,              2683120,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,2014年06月30日,,,,                486906,,                 12376,,                149325,,                361241,,                154576,,                  7864,,                524790,,                 19034,              1716112,,,                197025,,                  6000,,              1021539,,                 26283,                  3098,,                  1047,                  1047,              1254992,              2971104,,,,,                149325,,                 47308,,                136046,,                  2341,,                124043,                449197,                 24004,,                 10331,,,                              0,                 10489,                 10489,                829041,,,                393210,,                 28229,                      9,                 28238,                421448,              1250489,,,,                985314,                985314,,                185160,,                403034,                  3494,,                147692,                554220,,                 -2886,              1721808,                 -1193,              1720615,              2971104,              0,              0,                325154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,2014年03月31日,,,,                403690,,                112780,,,,                272406,,                173058,,                 16404,,                490407,,                 15658,              1484403,,,                197025,,                  6000,,              1035773,,                 25088,                  2443,,                    992,                    992,              1267321,              2751724,,,,,,,                 38894,,                122538,,                  2217,,,                107299,                 54087,,                 10674,,,                              0,                 12061,                 12061,                347770,,,                391679,,                 29104,                      9,                 29113,                420792,                768562,,,,                985314,                985314,,                185160,,                365912,                  4852,,                444224,                814988,,                 -2975,              1982487,                    675,              1983162,              2751724,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,2013年12月31日,,,,,,                190232,,,,                253584,,                155999,,                  7432,,                504162,,                 16041,              1447851,,,                197025,,,,              1044578,,                 26174,                  1367,,                    993,                    993,              1276137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                319501,                    900,                  6000,              2723988,,,,                 57789,,                 95868,,                  2304,,                159905,                 52409,,                  5194,,,                              0,                  9885,                  9885,                383354,,,                390153,,                 29956,                      9,                 29965,                420118,                803472,,,,                985314,                985314,,                185160,,                365912,                  4852,,                381959,                752723,,                 -3494,              1919703,                    813,              1920516,              0,,                              0,,                              0,,                              0,                              0,                159905,,                              0,,                              0,
1733,2013年09月30日,,,,,,                 95524,,,,                365636,,                126576,,                 16050,,                470330,,                 29895,              1347766,,,                 10261,,,,              1015200,,                 17236,                  1203,,                  1747,                  1747,              1341620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                243755,                              0,                  6000,              2689386,,,,                 61816,,                104484,,                  4873,,                156012,                 37673,,                  7128,,,                              0,                 10851,                 10851,                382837,,,                388634,,                 32691,                      9,                 32700,                421334,                804171,,,,                985314,                985314,,                185160,,                365912,                  4852,,                349644,                720408,,                 -6574,              1884308,                    907,              1885215,              0,,                289973,,                              0,,,,,,,,,
1733,2013年06月30日,,,,,,                202259,,,,                684522,,                              0,,                 11293,,                457209,,                 49787,              1644885,,,                 10261,,,,                992408,,                 17816,                              0,,                  1326,                  1326,              1027811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                239815,                              0,                  6000,              2672696,,,,                 58695,,                127866,,                  3030,,                153490,                 56790,,                  8512,,,,,                  8062,                416522,,,                387120,,                 33536,                     11,                 33547,                421188,                837710,,,,                985314,                985314,,                185160,,                365912,                  4852,,                298003,                668767,,                 -5219,              1834022,                    964,              1834986,              0,,,,                              0,,                     77,                              0,                153490,,                    521,,,
