證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 待分配股票股利,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　　 營建用地
9938,2015年09月30日,,,,              3805846,,                295936,,                122039,,              1672610,,                 87038,,,              1855373,,                 73662,              1929035,,                 12869,                 12869,,                189889,              8115262,,,                 31518,,              4846575,,              1437835,,                320425,,                    236,                320661,                 79930,,                928000,                502089,,                 20582,                 20582,              1450671,              8167190,             16282452,,,,,              2449113,,                 86944,,                353283,,                721128,                721128,                363593,,                 15294,,,                436080,                436080,                 35821,                471901,              4461256,,,              1446706,              1446706,,                763054,,                120453,                251081,                  3772,                375306,              2585066,              7046322,,,,              2979639,              2979639,,                728388,,                774352,                209623,,              1955081,              2939056,,                459989,              7107072,              2129058,              9236130,             16282452,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9938,2015年06月30日,,,,              3455692,,                    106,,                120317,,              1618057,,                131961,,,              1835531,,                 73662,              1909193,,                 12305,                 12305,,                160314,              7407945,,,                 29482,,              4692292,,              1378430,,                301266,,                    263,                301529,                 78040,,                484103,                479501,,                 19792,                 19792,                983396,              7463169,             14871114,,,,,              1487600,,                 67364,,                336479,,              1384701,              1384701,                342407,,                 13131,,,                426240,                426240,                 38728,                464968,              4096650,,,              1164457,              1164457,,                700610,,                116489,                245653,                  3685,                365827,              2230894,              6327544,,,,              2979639,              2979639,,                728388,,                774352,                209623,,              1657981,              2641956,,                194116,              6544099,              1999471,              8543570,             14871114,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9938,2015年03月31日,,,,              3579362,,                    106,,                105325,,              1506843,,                107851,,,              1718247,,                 74935,              1793182,,                 12500,                 12500,,                142897,              7248066,,,                 28394,,              4680778,,              1321739,,                305447,,                    342,                305789,                 76302,,                249982,                395863,,                 19355,                 19355,                665200,              7078202,             14326268,,,,,              1249496,,                 60120,,                405128,,,                530801,                395234,,                 12672,,,                416400,                416400,                 68615,                485015,              3138466,,,              1129794,              1129794,,                678012,,                118922,                243108,                  3721,                365751,              2173557,              5312023,,,,              2979639,              2979639,,                728388,,                676380,                204742,,              2071640,              2952762,,                265481,              6926270,              2087975,              9014245,             14326268,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9938,2014年12月31日,,,,              3561072,,                    106,,                132460,,              1610154,,                117497,,,              1656093,,                 74935,              1731028,,                 11664,                 11664,,                108366,              7272347,,,                 29144,,              4399050,,              1322328,,                308783,,                    434,                309217,                 73227,,                522967,                403637,,                 27149,                 27149,                953753,              7086719,             14359066,,,,,              1292548,,                 72598,,                387260,,                691866,                691866,                351736,,                 14569,,,                406560,                406560,                 61580,                468140,              3278717,,,              1241504,              1241504,,                683858,,                120818,                241038,                  1552,                363408,              2288770,              5567487,,,,              2979639,              2979639,,                728388,,                676380,                204742,,              1823946,              2705068,,                332613,              6745708,              2045871,              8791579,             14359066,              0,              0,              0,              3561072,                    106,             14359066,,,,              1292548,,                 72598,,                387260,,                691866,                691866,                351736,,                 14569,,,                406560,                406560,                 61580,                468140,              3278717,,,              1241504,              1241504,,                683858,,                120818,                241038,                  1552,                363408,              2288770,              5567487,,,,              2979639,              2979639,,                728388,,                676380,                204742,,              1823946,              2705068,,                332613,              6745708,              2045871,              8791579,,,,,,,
9938,2014年09月30日,,,,              2916575,,                    106,,                114186,,              1510694,,                 68456,,,              1719997,,                 91518,              1811515,,                 11235,                 11235,,                116843,              6549610,,,                 28484,,              4299071,,              1277323,,                306789,,                    545,                307334,                 71013,,                500120,                376780,,                 28385,                 28385,                905285,              6888510,             13438120,,,,,              1116705,,                 74641,,                416929,,                578342,                578342,                298606,,                 12279,,,                400000,                400000,                 66135,                466135,              2963637,,,              1340455,              1340455,,                599169,,                117836,                214611,                              0,                332447,              2272071,              5235708,,,,              2979639,              2979639,,                728388,,                676380,                204742,,              1550130,              2431252,,                120914,              6260193,              1942219,              8202412,             13438120,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9938,2014年06月30日,,,,              2525575,,                    106,,                166158,,              1460685,,                 71988,,,              1732589,,                 91113,              1823702,,                 11007,                 11007,,                109044,              6168265,,,                 27022,,              4234411,,              1243156,,                301405,,                    704,                302109,                 71483,,                408363,                370201,,                 34058,                 34058,                812622,              6690803,             12859068,,,,,              1058269,,                 73353,,                298401,,              1048998,              1048998,                295770,,                 12303,,,                400000,                400000,                 39156,                439156,              3226250,,,                947705,                947705,,                566548,,                115616,                211713,                  3112,                330441,              1844694,              5070944,,,,              2979639,              2979639,,                728388,,                676380,                204742,,              1333729,              2214851,,                  9190,              5932068,              1856056,              7788124,             12859068,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9938,2014年03月31日,,,,              3075964,,                    106,,                134844,,              1547824,,                 67704,,,              1718554,,                 84876,              1803430,,                 11670,                 11670,,                116472,              6758014,,,                 27464,,              4551034,,              1050031,,                307330,,                    868,                308198,                 73105,,                334627,                400541,,                 24768,                 24768,                759936,              6769768,             13527782,,,,,              1119009,,                 52641,,                485522,,,                431668,                272693,,                 10036,,,                400000,                400000,                 49047,                449047,              2820616,,,              1497476,              1497476,,                587095,,                117477,                210264,                  3176,                330917,              2415488,              5236104,,,,              2979639,              2979639,,                732249,,                605831,                204742,,              1597265,              2407838,,                101511,              6221237,              2070441,              8291678,             13527782,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9938,2013年12月31日,,,,,,,,                153266,,              1469555,,                 62433,,,              1711653,,                 77523,              1789176,,                 11611,                 11611,,                106072,              5676697,,,                 26916,,              4588010,,              1053330,,                312435,,                  1032,                313467,                 72705,,                263222,                401204,,                 21817,                 21817,                686243,              6740671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2064386,                 20198,             12417368,,,,              1002420,,                 52562,,                389220,,                574001,                574001,                169500,,                 11389,,,                500000,                500000,                 85294,                585294,              2784386,,,              1497246,              1497246,,                592750,,                119696,                205869,                  3135,                328700,              2418696,              5203082,,,,              2979639,              2979639,,                616474,,                605831,                246690,,              1337000,              2189521,,                 59968,              5845602,              1368684,              7214286,,,,,,,
9938,2013年09月30日,,,,,,,,                144114,,              1407809,,                 39810,,,              1779033,,                 73590,              1852623,,                 11434,                 11434,,                127302,              5809490,,,                 25971,,              4569561,,                528091,,                309621,,                    967,                310588,                 77497,,                201605,                385836,,                 31252,                 31252,                618693,              6130401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2158657,                 67741,             11939891,,,,              1293812,,                 57443,,                400142,,                492141,                492141,                117935,,                  9928,,,                400000,                400000,                100530,                500530,              2871931,,,              1297017,              1297017,,                546993,,                118330,                206335,                  3084,                327749,              2171759,              5043690,,,,              2979639,              2979639,,                616474,,                605831,                246690,,              1140814,              1993335,,                -16820,              5572628,              1323573,              6896201,,,,,,,
9938,2013年06月30日,,,,,,,,                184372,,              1404448,,                114908,,,              1708309,,                 68511,              1776820,,                 11571,                 11571,,                132041,              5735836,,,                 26250,,              4570440,,                534904,,                313771,,                  1093,                314864,                 83020,,                139592,                390174,,                 15986,                 15986,                545752,              6075230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2103570,                  8106,             11811066,,,,              1024198,,                 98805,,                297964,,                748022,                748022,                150646,,                 10826,,,                300000,                300000,                101264,                401264,              2731725,,,              1396787,              1396787,,                559817,,                120466,                204829,                  3113,                328408,              2285012,              5016737,,,,              2979639,              2979639,,                616474,,                605831,                246690,,                981071,              1833592,,                 45120,              5474825,              1319504,              6794329,,,,,,,
