證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 資本公積－員工認股權,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－其他,　　　　 應付股利,　　　　 待分配股票股利,　　　　 資本公積－員工認股權
1338,2015年09月30日,,,,              1995956,,                 46479,,              2398819,,                762134,,                 55576,,                132046,                 67241,                199287,              5458251,,,                123588,,                326517,,              2596087,,                119588,,                 93710,                 66494,,                165235,                445027,              3491219,              8949470,,,,,                425722,,                              0,,              1165930,,                356513,                 57058,                 25812,                439383,                 52515,,,                 55940,,                119209,                 30597,                205746,              2289296,,,                122016,,                  7774,                129790,              2419086,,,,                838400,                838400,,,              2787090,                              0,              2787090,,                249261,,              2004879,              2254140,,,                 -9901,,                527289,                517388,                              0,              6397018,                133366,              6530384,              8949470,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,2015年06月30日,,,,              2086179,,                  1692,,              2525269,,                684475,,                 87918,,                147624,                 72887,                220511,              5606044,,,                126345,,                311448,,              2474044,,                 83974,,                 93109,                 64215,,                109409,                350707,              3262544,              8868588,,,,,                529757,,                              0,,              1211003,,                334130,                 55373,                 18124,                717474,                 50242,,,                 67929,,                 99471,                 51177,                218577,              2727053,,,                 22821,,                  5973,                 28794,              2755847,,,,                838400,                838400,,,              2786955,                    135,              2787090,,                249261,,              1825638,              2074899,,,                 -3010,,                283815,                280805,                              0,              5981194,                131547,              6112741,              8868588,              0,              0,              0,                309847,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,2015年03月31日,,,,              2110205,,                 18154,,              2160824,,                698359,,                100844,,                131068,                 65579,                196647,              5285033,,,                132958,,                293742,,              2524414,,                 56451,,                 98492,                 65516,,                 40503,                260962,              3212076,              8497109,,,,,                336639,,                              0,,              1192164,,                318343,                 63085,                 17627,                399055,                 57241,,,                 80261,,                 77721,                 34989,                192971,              2178070,,,                 66045,,                  4545,                 70590,              2248660,,,,                838400,                838400,,,              2787090,,              2787090,,                185988,,              2008024,              2194012,,,,,                372327,                372327,                              0,              6191829,                 56620,              6248449,              8497109,              0,              0,              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,2014年12月31日,,,,              1607070,,                 22375,,              2721563,,                742119,,                 84658,,                109481,                 67049,                176530,              5354315,,,                134309,,                276483,,              2558773,,                 48238,,                118851,                 66545,,                 42427,                276061,              3245626,              8599941,,,,,                227984,,                 40434,,              1529462,,                363558,                 55368,                 19121,                438047,                 91019,,,                 18679,,                 47177,                 57211,                123067,              2450013,,,                 47177,,                  3061,                 50238,              2500251,,,,                850000,                850000,,,              2825650,                              0,              2825650,,                185988,,              1887048,              2073036,,,                              0,,                433683,                433683,                111557,              6070812,                 28878,              6099690,              8599941,              0,              0,      1160000,                              0,                              0,                              0,              1607070,              8599941,,,,                227984,,                 40434,,              1529462,,                363558,                 55368,                 19121,                438047,                 91019,,,                 18679,,                 47177,                 57211,                123067,              2450013,,,                 47177,,                  3061,,                              0,                 50238,              2500251,,,,                850000,                850000,,,              2825650,              2825650,,                185988,                              0,,              1887048,              2073036,,,                433683,                433683,                111557,              6070812,                 28878,              6099690,,,,
1338,2014年09月30日,,,,              1520692,,                 20572,,              2429134,,                711832,,                 48059,,                 73220,                 61934,                135154,              4865443,,,                139935,,                271490,,              2457356,,                 42646,,                117859,                 65051,,                 37484,                263040,              3131821,              7997264,,,,,                              0,,                 50615,,              1368556,,                360638,                 77176,                 60281,                498095,                 54624,,,                 10584,,                 45867,                 60117,                116568,              2088458,,,                 57334,,                              0,                 57334,              2145792,,,,                850000,                850000,,,              2825515,                    135,              2825650,,                185988,,              1696121,              1882109,,,                              0,,                265625,                265625,                              0,              5823384,                 28088,              5851472,              7997264,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,2014年06月30日,,,,                962847,,                 44268,,              2801363,,                698584,,                 53636,,                150619,                 59253,                209872,              4770570,,,                132865,,                164207,,              2473823,,                 33138,,                154815,                 63485,,                 38530,                289968,              3060863,              7831433,,,,,                514644,,                 21938,,              1514568,,                328516,                121494,                 52492,                502502,                 62437,,,                 28038,,                214420,                 57800,                300258,              2916347,,,                 92971,,                              0,                 92971,              3009318,,,,                781000,                781000,,,              2181246,                              0,              2183950,,                185988,,              1548109,              1734097,,,                              0,,                 95799,                 95799,                              0,              4794846,                 27269,              4822115,              7831433,              0,              0,              0,                              0,                  2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,2014年03月31日,,,,              1041888,,                 34430,,              2534695,,                766481,,                 49250,,                284493,                 70274,                354767,              4781511,,,                135255,,                125455,,              2517930,,                 31902,,                165082,                 64976,,                 36313,                298273,              3076913,              7858424,,,,,                566645,,                 36413,,              1313919,,                320606,                 93519,                 60366,                474491,                 54563,,,                 61377,,                126124,                 51625,                239126,              2685157,,,                238506,,                              0,                238506,              2923663,,,,                781000,                781000,,,              2181246,,              2181246,,                140149,,              1583574,              1762117,,,,,                183245,                183245,                              0,              4907608,                 27153,              4934761,              7858424,              0,              0,              0,,,                 38394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,2013年12月31日,,,,,,                 34257,,              2685788,,                809106,,                 61959,,                166493,                101279,                267772,              5246290,,,                135948,,                102153,,              2562741,,                 33127,,                165398,                110091,,                 38535,                347151,              3147993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1387408,              8394283,,,,                568119,,                 27871,,              1773579,,                394364,                 95986,                 54715,                545065,                 82885,,,                 88649,,                200033,                 28130,                316812,              3314331,,,                215932,,                              0,,                 29555,                245487,              3559818,,,,                781000,                781000,,,              2181246,              2181246,,                140149,                 38394,,              1457009,              1635552,,,                209393,                209393,                              0,              4807191,                 27274,              4834465,                              0,                              0,                              0,                              0
1338,2013年09月30日,,,,,,                 14951,,              2415126,,                864432,,                 51216,,                122499,                147191,                269690,              4669673,,,                133302,,                 73826,,              2557254,,                 58322,,                155121,                108522,,                 36007,                357972,              3122354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1054258,              7792027,,,,                571653,,                              0,,              1538786,,                335053,                141594,                 53193,                529840,                 31043,,,                 87737,,                197379,                 26129,                311245,              2982567,,,                233218,,,,                 28980,                262198,              3244765,,,,                781000,                781000,,,              2181246,              2181246,,                140149,                 38394,,              1263453,              1441996,,,                116256,                116256,,              4520498,                 26764,              4547262,                              0,,,
1338,2013年06月30日,,,,,,                  9917,,              2208711,,                794921,,                 38726,,                180354,                161778,                342132,              4571925,,,                134767,,                 74478,,              2535536,,                 39588,,                161504,                110295,,                 38988,                350375,              3095156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1177518,              7667081,,,,                331883,,                              0,,              1588451,,                355017,                233275,                 44897,                739722,                 11380,,,                108124,,                161718,                 24978,                294820,              2966256,,,                199733,,,,                 29299,                229032,              3195288,,,,                710000,                781000,,,              2181246,              2181246,,                140149,                 38394,,              1138773,              1317316,,,                165162,                165162,,              4444724,                 27069,              4471793,,                106533,                 71000,                              0
1338,2013年03月31日,,,,,,                 15640,,              1802018,,                697595,,                 43673,,                138817,                146668,                285485,              4112626,,,                132587,,                 45788,,              2563523,,                 35382,,                158368,                109081,,                 45720,                348551,              3090449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1268215,              7203075,,,,                316222,,                              0,,              1363320,,                340452,                224179,                 20850,                585481,                 17321,,,                 82216,,                168953,                  8723,                259892,              2542236,,,                239727,,,,                  4804,                244531,              2786767,,,,                710000,                710000,,,              2181246,              2181246,,                108725,                              0,,              1296951,              1405676,,,                 92013,                 92013,,              4388935,                 27373,              4416308,,,,
1338,2012年12月31日,,,,              1298202,,                  4299,,              1328363,,                577706,,                 62799,,                144100,                105590,                249690,              3521059,,,                128624,,                 43017,,              2399228,,                 58165,,                152004,                106374,,                 42104,                358647,              2929516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              6450575,,,,                248995,,                              0,,                862440,,                286978,                245715,                 29067,                561760,                              0,,,                 82001,,                171660,                 12499,                266160,              1939355,,,                272430,,,,                  4661,                277091,              2216446,,,,                710000,                710000,,,              2181246,              2181246,,                108725,                              0,,              1245936,              1354661,,,                -38340,                -38340,,              4207567,                 26562,              4234129,,,,
1338,2012年09月30日,,,,                984233,,                 12875,,              1429012,,                642582,,                 44401,,                130213,                 98630,                228843,              3341946,,,                128723,,                 42784,,              2073453,,,,                151561,                107010,,                220202,                478773,              2723733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -33721,,,,,,,,,              0,              0,,,,,              6065679,,,,                207025,,,,              1177556,,                331361,                109830,                 27076,                468267,                 30477,,,                 74556,,                180714,                 16192,                271462,              2154787,,,                314668,,,,                              0,                314668,              2469455,,,,                630000,                630000,,,              1628569,              1628569,,                108725,                              0,,              1235959,              1344684,,,                -33721,                -33721,,              3569532,                 26692,              3596224,,,,
