證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 其他應收票據,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 催收款項,　　　　　 備抵呆帳－長期應收款項,　　　　　 長期應收票據及款項淨額,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人,　　　　　 其他應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 無形資產,　　　　 無形資產合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 其他應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 重估增值,　　　　　 重估增值－採用權益法之關聯企業及合資,　　　　　 重估增值合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 存入保證金,　　　　 暫付款,　　　　 代付款
1443,2015年09月30日,,,,                 50708,,                 51249,,                  4560,,                 20985,                              0,                 20985,,                 12167,                 12167,,                155007,                155007,,                  9183,                  9183,,                 32319,,                 25678,,                    190,,,                574348,,                151098,                151098,                725446,,                296340,,                              0,,                395214,                  1123,                396337,              1780169,,,                 15282,,                 39456,,                 75008,,              2795809,                 14138,,                  1887,                 36480,,                421776,                421776,                              0,                 34113,,                 26284,                 26284,                 98764,              3038457,              4818626,,,,,              1686666,,                 29966,                 29966,,                259207,,                    109,                  9600,                  9709,,                137721,                137721,,                  2296,                  2296,,                362675,                178588,                              0,,                  3899,,,                 75750,,                 94400,                 29639,                199789,              2870516,,,                464600,,                386698,,                 57045,                 11229,                 68274,                919572,              3790088,,,,              1353430,              1353430,,                    701,,                580567,,               -579715,                    852,,,                -49775,,                -55290,               -105065,                  9056,              1240862,               -212324,              1028538,              4818626,              0,              0,        460610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,2015年06月30日,,,,                 90794,,                 44259,,                  4640,,                 21685,                              0,                 21685,,                 11451,                 11451,,                194071,                194071,,                  8846,                  8846,,                 45070,,                  4422,,                    190,,,                630851,,                151098,                151098,                781949,,                242342,,                              0,,                337768,                  1041,                338809,              1788528,,,                 18863,,                 39456,,                 77622,,              2790564,                 10516,,                  3998,                 49745,,                404210,                404210,                              0,                 33042,,                 29390,                 29390,                116175,              3053196,              4841724,,,,,              1853697,,,,,                240050,,                              0,                 11400,                 11400,,                245323,                245323,,                  2243,                  2243,,                292395,                175123,                              0,,                  3936,,,                130460,,                 64400,                 28830,                223690,              3049808,,,                265700,,                383076,,                 57548,                 11184,                 68732,                717508,              3767316,,,,              1353430,              1353430,,                    701,,                580567,,               -615749,                -35182,,,                -22914,,                -49104,                -72018,                  9056,              1237875,               -163467,              1074408,              4841724,              0,              0,        460610,,                              0,,                  1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,2015年03月31日,,,,                117929,,                 43023,,                  4780,,                 10420,                              0,                 10420,,                 13296,                 13296,,                194288,                194288,,                 11562,                 11562,,                 51253,,                  4336,,                    297,,,                577768,,                151098,                151098,                728866,,                224193,,,,                343127,                  1152,                344279,              1748522,,,                 20055,,                 39456,,                 85435,,              2809418,                 17617,,                  1887,                 50082,,                407788,                407788,                              0,                 33613,,                 31321,                 31321,                116903,              3088884,              4837406,,,,,              1808655,,,,,                252689,,                              0,                 13200,                 13200,,                191145,                191145,,                              0,                              0,,                277732,                140997,                              0,,                  4022,,,                206580,,                 64400,                 28088,                299068,              2987508,,,                281800,,                390177,,                 58600,                 10823,                 69423,                741400,              3728908,,,,              1353430,              1353430,,                    701,,                580567,,               -589288,                 -8721,,,                -29588,,                -39771,                -69359,                  9056,              1266995,               -158497,              1108498,              4837406,              0,              0,        460610,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,2014年12月31日,,,,                 64622,,                 45828,,                  4900,,                  8240,                  3827,                 12067,,                 10632,                 10632,,                221439,                221439,,                  7344,                  7344,,                249475,,                  4159,,                    377,,,                519749,,                151031,                151031,                670780,,                191039,,                              0,,                346622,                    924,                347546,              1830208,,,                 17292,,                 39456,,                 83246,,              2848654,                 23409,,                  3998,                 50486,,                411901,                411901,                              0,                 33418,,                 33340,                 33340,                121242,              3133299,              4963507,,,,,              1808987,,                              0,                              0,,                267580,,                              0,                 15000,                 15000,,                145722,                145722,,                  4578,                  4578,,                357548,                140997,                    385,,                  3543,,,                177510,,                 64400,                 26735,                268645,              3012985,,,                297900,,                395969,,                 59652,                 10830,                 70482,                764351,              3777336,,,,              1353430,              1353430,,                    701,,                580567,,               -524189,                 56378,,,                -36124,,                -43840,                -79964,                  9056,              1321489,               -135318,              1186171,              4963507,              0,              0,        460610,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,2014年09月30日,,,,                 65386,,                 40963,,                  5140,,                 16359,                              0,                 16359,,                  9957,                  9957,,                211141,                211141,,                  9521,                  9521,,                185013,,                  3054,,                    328,,,                429705,,                151031,                151031,                580736,,                330150,,                444375,,                334166,                  2575,                336741,              2238864,,,                 18199,,                 38175,,                 84380,,              2835266,                 20329,,                 14781,                 50565,,                399729,                387729,                 12000,                 32830,,                 32851,                 32851,                143027,              3139376,              5378240,,,,,              2107121,,                              0,                              0,,                282878,,                    121,                              0,                    121,,                193423,                193423,,                  8544,                  8544,,                424719,                206649,                              0,,                  4712,,,                143809,,                 65929,                 48530,                258268,              3486435,,,                314000,,                393272,,                 48052,                 10179,                 58231,                765503,              4251938,,,,              1353430,              1353430,,                    701,,                580567,,               -592608,                -12041,,,                -17923,,                -34684,                -52607,                  9056,              1280427,               -154125,              1126302,              5378240,              0,              0,        460610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,2014年06月30日,,,,                 58856,,                 40907,,                  5040,,                 19268,                              0,                 19268,,                  9957,                  9957,,                221293,                221293,,                  8000,                  8000,,                 41919,,                  3704,,                    328,,,                814084,,                150909,                150909,                964993,,                316373,,                431832,,                318882,                    959,                319841,              2442311,,,                 17758,,                 38175,,                 90682,,              2847630,                 17975,,                 14593,                 49422,,                389274,                378102,                 11172,                 32314,,                 35811,                 35811,                143312,              3157932,              5600243,,,,,              2160645,,,,,                242511,,                    223,                              0,                    223,,                184348,                184348,,                  8885,                  8885,,                444165,                208106,                     20,,                  4188,,,                129287,,                 65883,                 27299,                222469,              3475560,,,                330100,,                390919,,                 49840,                  9306,                 59146,                780165,              4255725,,,,              1353430,              1353430,,                    701,,                580567,,               -401776,                178791,,,                   -463,,                -35225,                -35688,                  9056,              1488178,               -143660,              1344518,              5600243,              0,              0,        460610,,                  2400,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,2014年03月31日,,,,                 76955,,                 41732,,                  5260,,                  4622,                              0,                  4622,,                  8249,                  8249,,                247377,                247377,,                 14783,                 14783,,                 39258,,                 22809,,                    357,,,                793895,,                150909,                150909,                944804,,                269655,,,,                320103,                  1514,                321617,              1997478,,,                 16371,,                 38175,,                 88192,,              3296473,                 21240,,                 12371,                 50137,,                394648,                383476,                 11172,                 59678,,                 38918,                 38918,                172276,              3635127,              5632605,,,,,              2202689,,,,,                251012,,                    197,                              0,                    197,,                220552,                220552,,                  2144,                  2144,,                360143,                195901,                  1989,,                  3937,,,                 79453,,                 66561,                 26662,                172676,              3411240,,,                346200,,                394183,,                 52627,                  9795,                 62422,                802805,              4214045,,,,              1353430,              1353430,,                    701,,                580567,,               -335960,                244607,,,                -10648,,                -36392,                -47040,                  9056,              1542642,               -124082,              1418560,              5632605,              0,              0,        460610,,                  2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,2013年12月31日,,,,,,                 40963,,                  5460,,                 24251,                              0,                 24251,,                  4873,                  4873,,                261402,                261402,,                  9401,                  9401,,                 30937,,                 23503,,,,,                679499,,                150909,                150909,                830408,,                272205,,,,                320529,                    612,                321141,              1904238,,,                 14514,,                 38175,,                 77350,,              3338830,                 17666,,                 12479,                 61983,,                395766,                383766,                 12000,                 60708,,                 40321,                 40321,                187491,              3676426,,,,,,,,,,                248574,,                    338,,,,                218123,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        460610,,                  2400,,,                 79321,                    373,              5580664,,,,              2010916,,                248574,,                              0,                    338,,                218123,,                              0,,                387852,                185336,                  1989,,                  3550,,,                122349,,                 77409,                 25676,                225434,              3282112,,,                362300,,                390609,,                 55814,                  9812,                 65626,                818535,              4100647,,,,              1353430,              1353430,,                    701,,                580567,,               -316604,                263963,,,                -16770,,                -38049,,                 10058,                 10058,                -44761,                  9056,              1564277,                -84260,              1480017,,,,,
1443,2013年09月30日,,,,,,                 40752,,                  5288,,                 23481,,                 23481,,                  6656,                  6656,,                456490,                456490,,                 12274,                 12274,,                 25308,,                 19076,,,,,                845976,,                150909,                150909,                996885,,                317489,,                              0,,                314445,                    983,                315428,              2297991,,,                 12565,,                 38175,,                 63038,,              3340326,                 19649,,                 12265,                 82346,,                418751,                406751,                 12000,                 59896,,                 40716,                 40716,                207223,              3683376,,,,,,,,,,,,                              0,,,,                405553,,,                 17934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        460610,,                  2400,,,                 78352,                    512,              5981367,,,,              1902690,,                257944,,,                              0,,                405553,,                 17934,,                576004,                137884,                              0,,                  5106,,,                200205,,                 78857,                  6180,                285242,              3588357,,,                378400,,                393125,,                 57943,                  7816,                 65759,                837284,              4425641,,,,              1353430,              1353430,,                    701,,                580567,,               -272661,                307906,,,                 -6146,,                -40252,,,                              0,                -46398,                  9056,              1606583,                -50857,              1555726,,,,,
1443,2013年06月30日,,,,,,                 42692,,                  5208,,                 27181,,                 27181,,                  5529,                  5529,,                491761,                491761,,                  9022,                  9022,,                 44789,,                  8317,,,,,                842703,,                162397,                162397,              1005100,,                287889,,                              0,,                319617,                  3014,                322631,              2307114,,,                 10985,,                 38963,,                 61027,,              3382070,                 17913,,                 12777,                 83226,,                419732,                408596,                 11136,                 61055,,                 40034,                 40034,                208228,              3721586,,,,,,,,,,,,                              0,,,,                392144,,,                 24627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        460610,,                  2400,,,                 56710,                    285,              6028700,,,,              2074929,,                270880,,,                              0,,                392144,,                 24627,,                449664,                148884,                              0,,                  4588,,,                189087,,                 72316,                  5500,                266903,              3632619,,,                321500,,                391388,,                 61428,                  7801,                 69664,                782552,              4415171,,,,              1353430,              1353430,,                    701,,                580567,,               -226922,                353645,,,                -11486,,                -41911,,,                              0,                -53397,                  9056,              1645323,                -31794,              1613529,,                    435,                              0,,
