證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 重估增值,　　　　　　 重估增值合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 重估增值,　　　　　 重估增值合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計
3705,2015年09月30日,,,,              1202410,,                              0,,                366230,,              1157519,,                 80499,,                 22019,,                  7750,,              1635301,,                141988,,                  3970,              4617686,,,                  9013,,                 44599,,                948960,,              2774502,,                 50988,,                 34638,,                 33668,                 95542,,                314192,              4306102,              8923788,,,,,                853861,,                  5509,,                390214,,                628577,                 71640,,                 56037,              2005838,,,                493035,,                177925,,                350882,                  7516,                358398,              1029358,              3035196,,,,              2664230,              2664230,,,              2165650,                  8768,,                    530,                              0,              2174948,,                296961,                 30608,,                642451,                970020,,,               -144563,,                  3765,,                              0,               -140798,                  1439,              5666961,                221631,              5888592,              8923788,              0,              0,         58060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705,2015年06月30日,,,,              1783633,,                              0,,                329667,,              1163762,,                 51605,,                 51835,,                  8639,,              1474228,,                114492,,                  9835,              4987696,,,                  8475,,                 44277,,                974396,,              2698162,,                 50064,,                 35368,,                 28462,                105842,,                300270,              4245316,              9233012,,,,,              1155535,,                  5281,,                401630,,              1150473,                123099,,                 59360,              2895378,,,                180634,,                170300,,                343174,                  7413,                350587,                701521,              3596899,,,,              2537362,              2664230,,,              2165650,                  5719,,                    530,                              0,              2171899,,                296961,                 30608,,                421891,                749460,,,               -154559,,                  3960,,                              0,               -150599,                  1439,              5433551,                202562,              5636113,              9233012,              0,              0,         55295,                126868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705,2015年03月31日,,,,              1505377,,                              0,,                333844,,              1145017,,                 40214,,                 24243,,                 10145,,              1421121,,                115667,,                 30489,              4626117,,,                  8741,,                 44277,,              1034073,,              2711369,,                 51321,,                 37258,,                 27667,                115164,,                281982,              4311852,              8937969,,,,,              1082640,,                  2939,,                355094,,                564888,                143697,,                 54933,              2204191,,,                186318,,                157594,,                346652,                  7612,                354264,                698176,              2902367,,,,              2537362,              2537362,,,              2165650,,,                    530,                              0,              2166180,,                224955,                 51783,,                938951,              1215689,,,                -88937,,                  3922,,                              0,                -85015,                  1439,              5832777,                202825,              6035602,              8937969,              0,              0,         55295,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705,2014年12月31日,,,,              1376793,,                              0,,                361023,,              1100911,,                 33912,,                 25946,,                 12850,,              1400613,,                 64661,,                 18521,              4395230,,,                  8472,,                 44277,,              1047564,,              2681930,,                 52434,,                 38970,,                 24117,                109413,,                288961,              4296138,              8691368,,,,,                979424,,                  1302,,                303427,,                666100,                120265,,                 59994,              2130512,,,                138639,,                164375,,                346373,                 15860,                362233,                665247,              2795759,,,,              2537362,              2537362,,,              2165650,                              0,,                    530,                              0,              2166180,,                224955,                 51783,,                742043,              1018781,,,                -34284,,                  3676,,                              0,                -30608,                  1439,              5690276,                205333,              5895609,              8691368,              0,              0,         55295,                              0,,                              0,              1376793,                 12850,              8691368,,,,                979424,,                  1302,,                303427,,                666100,                120265,,                 59994,              2130512,,,                138639,,                164375,,                346373,                 15860,                362233,                665247,              2795759,,,,              2537362,              2537362,,,              2165650,,                    530,                              0,              2166180,,                224955,                 51783,,                742043,              1018781,,,                -34284,,                  3676,,                              0,,                              0,                -30608,                  1439,              5690276,                205333,              5895609,,,,
3705,2014年09月30日,,,,              1037107,,                              0,,                359803,,              1082338,,                 38143,,                  8668,,                 49350,,              1347785,,                 91466,,                 35919,              4050579,,,                  8180,,                 44277,,              1116515,,              2610164,,                 51831,,                 40776,,                 24004,                 98381,,                248804,              4242932,              8293511,,,,,                889859,,                  2472,,                335214,,                523932,                 77926,,                 62858,              1892261,,,                141697,,                155742,,                351016,                 22267,                373283,                670722,              2562983,,,,              2537362,              2537362,,,              2165650,                              0,,                    530,                              0,              2166180,,                224955,                 51783,,                580100,                856838,,,                -25740,,                  2933,,                              0,                -22807,                  1439,              5536134,                194394,              5730528,              8293511,              0,              0,         55295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705,2014年06月30日,,,,              1548857,,                              0,,                412814,,              1069015,,                 54857,,                 14916,,                 37456,,              1262241,,                 87923,,                  7612,              4495691,,,                  7932,,                 44277,,              1121599,,              2468048,,                 51522,,                 43277,,                 21552,                109565,,                249530,              4117302,              8612993,,,,,                901571,,                  5605,,                282944,,              1030399,                115445,,                 62915,              2398879,,,                145026,,                145244,,                386745,                 21916,                408661,                698931,              3097810,,,,              2537362,              2537362,,,              2165650,                              0,,                    530,                              0,              2166180,,                224955,                 51783,,                385915,                662653,,,                -40777,,                  2455,,                              0,                -38322,                  1439,              5326434,                188749,              5515183,              8612993,              0,              0,         55295,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705,2014年03月31日,,,,              1383342,,                 30268,,                348450,,              1014148,,                 46771,,                 22632,,                 38208,,              1301408,,                145575,,                 34664,              4365466,,,                  8581,,                 44277,,              1131530,,              2479105,,                 52963,,                 43505,,                 17488,                109391,,                209080,              4095920,              8461386,,,,,                919379,,                 19309,,                277057,,                440509,                157021,,                 60399,              1873674,,,                155810,,                147816,,                389480,                 25207,                414687,                718313,              2591987,,,,              2537362,              2537362,,,              2254457,,,                    530,                              0,              2254987,,                163058,                 47547,,                685004,                895609,,,                -11933,,                  2826,,                              0,                 -9107,                  1439,              5677412,                191987,              5869399,              8461386,              0,              0,         55295,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705,2013年12月31日,,,,,,                 29622,,                375762,,              1023315,,                 37468,,                 32804,,,,              1325499,,                149637,,                 23597,              4187768,,,                  8496,,                 44277,,              1088822,,              2492568,,                 53825,,                 43063,,                 10574,                112855,,                186361,              4040841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         55295,,,,              1189592,                    472,              8228609,,,,                907398,,                  1816,,                286889,,                504244,                119257,,                 76160,              1895764,,,                150260,,                136371,,                388674,                 14834,                403508,                690139,              2585903,,,,              2537362,              2537362,,,              2254457,,                    530,                              0,              2254987,,                163058,                 47547,,                504460,                715065,,,                -55156,,                  3373,,                              0,,                              0,                -51783,                  1439,              5454192,                188514,              5642706,,,,
3705,2013年09月30日,,,,,,                 29298,,                379123,,                994086,,                 38403,,                 21501,,,,              1329463,,                157283,,                 19532,              3859535,,,                  9214,,                 44277,,              1076637,,              2450358,,                 53758,,                 46093,,                 21853,                 97630,,                234840,              4034660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         55295,,,,                889375,                  1471,              7894195,,,,                922412,,                  2957,,                238917,,                512142,                 71179,,                 59785,              1807392,,,                168205,,                125792,,,,                257561,                551558,              2358950,,,,              2537362,              2537362,,,              2254457,,                    530,                              0,              2254987,,                163058,                 47547,,                391192,                601797,,,                -44489,,                  1274,,                              0,,                              0,                -43215,                  1439,              5349492,                185753,              5535245,,,,
3705,2013年06月30日,,,,,,                 28743,,                349357,,                917773,,                 45851,,                 36825,,,,              1329286,,                135433,,                 19418,              3980002,,,                              0,,                 44277,,              1136887,,              2408337,,                 54926,,                 48853,,                 21373,                 84712,,                153649,              3953014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         55295,,,,              1104790,                 12526,              7933016,,,,                683890,,                 17171,,                203593,,                958849,                 92118,,                 57573,              2013194,,,                 92382,,                124797,,,,                258619,                475798,              2488992,,,,              2537362,              2537362,,,              2254457,,                    530,                              0,              2254987,,                163058,                 47547,,                252818,                463423,,,                   -734,,                              0,,                              0,,                              0,                   -734,                  1439,              5253599,                190425,              5444024,,,,
