證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 股東往來,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 庫藏股票,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 現金及約當現金合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 股東往來,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 當期所得稅負債,　　　　 銀行長期借款,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 庫藏股票,　　　　 預付投資款
9935,2015年09月30日,,,,                 68627,,                              0,,                  2261,,                368086,,                145700,,                 25308,,                714377,,                              0,,                128816,              1453175,,,                  6459,,                859324,,                385865,                 28194,,                171472,                  9815,                496638,,                 52937,                730862,              2010704,              3463879,,,,,              1044329,,                108146,,                578141,,                 36893,,                228477,,,                    524,,                              0,                152150,                152150,                 10273,                162947,              2158933,,,                310963,                310963,,                 44074,                              0,                    420,                    114,                 44608,                355571,              2514504,,,,              1403049,                              0,              1403049,,                285271,,               -742482,,                    775,                946613,                  2762,                949375,              3463879,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9935,2015年06月30日,,,,                110549,,                              0,,                  2072,,                291852,,                123371,,                 16746,,                632033,,                              0,,                126546,              1303169,,,                  6345,,                859138,,                384039,                 36642,,                 95074,                  8498,                469925,,                 51194,                624691,              1910855,              3214024,,,,,                966410,,                130227,,                466897,,                 79090,,                115514,,,                    799,,                              0,                160247,                160247,                 18710,                179756,              1937894,,,                326935,                326935,,                 44145,                              0,                    295,                    184,                 44624,                371559,              2309453,,,,              1403049,                              0,              1403049,,                285271,,               -744034,,                -42407,                901879,                  2692,                904571,              3214024,              0,              0,              0,,                              0,,                              0,,                174079,                 44148,                              0,                 67044,,               -744034,,                -42407,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9935,2015年03月31日,,,,                169410,,                  1655,,                  2553,,                385551,,                 94504,,                 24997,,                682714,,                  2088,,                130780,              1494252,,,                  8411,,                868061,,                399310,                 36135,,                 79204,                  5498,                480407,,                 56634,                621743,              1933660,              3427912,,,,,              1035733,,                127379,,                476288,,                126097,,                 88863,,,                    524,,                 32337,                137000,                169337,                 22925,                192786,              2047146,,,                383542,                383542,,                 44074,                    200,                 55287,                    975,                100536,                484078,              2531224,,,,              1403049,                              0,              1403049,,                285271,,               -774862,,                -19559,                893899,                  2789,                896688,              3427912,              0,              0,              0,,                              0,,                              0,,,,,,,               -774862,,                -19559,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9935,2014年12月31日,,,,                177131,,                  2423,,                  2193,,                339581,,                127636,,                 41132,,                652358,,                  8319,,                141344,              1492117,,,                  8436,,                889677,,                414047,                 44392,,                 78669,                  2361,                489121,,                 57605,                627756,              1984308,              3476425,,,,,              1018577,,                108374,,                516171,,                106896,,                179127,,,                  7754,,                 32027,                137701,                169728,                 21937,                199419,              2128564,,,                403488,                403488,,                 44145,                    200,                 17817,                    998,                 63160,                466648,              2595212,,,,              1301008,                 80000,              1381008,,                307312,,               -798755,,                -11191,                878374,                  2839,                881213,              3476425,              0,     10204082,              0,,                              0,,                              0,,                196120,                 44148,                  8819,                 58225,,               -798755,,                -11191,                              0,,                              0,                              0,                              0,                177131,,                652358,              3476425,,,,              1018577,,                              0,,                108374,,                              0,,                517951,,                105116,,                179127,                              0,,,                  7754,,                 32027,                137701,                169728,                 21937,                199419,              2128564,,,                403488,,                 44145,                    200,                 17817,                    998,                 63160,                466648,              2595212,,,,              1301008,                 80000,              1381008,,                307312,,,               -798755,               -798755,,                -11191,                878374,                  2839,                881213,,,,,,,,,,,,,,,
9935,2014年09月30日,,,,                 68071,,                  1090,,                  1943,,                481096,,                130124,,                 43782,,                577351,,                  8319,,                140490,              1452266,,,                  8345,,                881593,,                415671,                 56768,,                 75468,                  7362,                473699,,                 30782,                587311,              1949688,              3401954,,,,,              1003522,,                129467,,                467469,,                104692,,                105335,,,                  2465,,                 31725,                145007,                176732,                 28138,                207335,              2017820,,,                441715,                441715,,                 47898,                    200,                 20801,                              0,                 68899,                510614,              2528434,,,,              1301008,                              0,              1301008,,                307312,,               -694205,,                -43343,                870772,                  2748,                873520,              3401954,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9935,2014年06月30日,,,,                 84480,,                              0,,                  6481,,                610126,,                163548,,                 49284,,                551214,,                  8319,,                170064,              1643516,,,                  8279,,                879533,,                423732,                 58696,,                 76043,                  7362,                468507,,                 35142,                587054,              1957294,              3600810,,,,,              1079850,,                128240,,                582854,,                 80883,,                113988,,,                    522,,                 31423,                124189,                155612,                 24582,                180716,              2169999,,,                450498,                450498,,                 47969,                    200,                 28069,                              0,                 76238,                526736,              2696735,,,,              1301008,                              0,              1301008,,                307312,,               -650166,,                -56765,                901389,                  2686,                904075,              3600810,              0,              0,              0,,                    930,,                  2538,,                196120,                 44148,                  8819,                 58225,,               -650166,,                -56765,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9935,2014年03月31日,,,,                135180,,                              0,,                  2896,,                594306,,                129685,,                 82716,,                567602,,                  8319,,                138347,              1710663,,,                  8328,,                885102,,                440746,                 64724,,                 72991,                  5362,                481319,,                 28822,                588494,              1987394,              3698057,,,,,              1048690,,                 94773,,                694308,,                 77056,,                122708,,,                 10496,,                 31120,                149989,                181109,                 26073,                217678,              2260560,,,                441865,                441865,,                 48040,                    380,                              0,                    845,                 49265,                491130,              2751690,,,,              1301008,                              0,              1301008,,                307312,,               -621486,,                -43203,                943631,                  2736,                946367,              3698057,              0,              0,              0,,                  3618,,                  1729,,,,,,,               -621486,,                -43203,                              0,,                 51612,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9935,2013年12月31日,,,,,,                              0,,                  5044,,                796683,,                 40996,,                 24170,,                675467,,                252514,,                141434,              2070181,,,                  8343,,                878667,,                448713,                 50867,,                 73279,                  5362,                475157,,                 33015,                586813,              1973403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     11090909,              0,,,,,,,,,,,,,,,,,,,                133873,,                675467,              4043584,,,,              1041147,,                  3547,,                 96690,,                 20086,,                303576,,                148001,,                124574,                601787,,,                258306,,                 30821,                128283,                159104,                 35645,                453055,              2792463,,,                471389,,                 47969,                    380,                              0,                              0,                 48349,                519738,              3312201,,,,              1190098,                 61000,              1251098,,                357222,,,               -868143,               -868143,,                -11573,                728604,                  2779,                731383,,,,,,,,,,,,,,,
9935,2013年09月30日,,,,,,                              0,,                  2669,,                802411,,                119805,,                131554,,                855594,,                              0,,                185682,              2187350,,,                  6841,,              1163099,,                458839,                 40001,,                 70545,                  5362,                487444,,                  9862,                573213,              2246979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,,,,,,,,,,                 89635,,,              4434329,,,,              1295934,,                  4144,,                231206,,,,                834962,,                106777,,                 77091,                              0,,,                  3669,,                 30529,                120334,                150863,                 35894,                190426,              2740589,,,                635482,,                 46796,                    380,                              0,,                 47176,                685017,              3425606,,,,              1190098,                              0,              1190098,,                357222,,,,               -529293,,                -11717,              1006310,                  2413,              1008723,,                  4986,                     49,                635482,,                  2359,,                246030,                 44148,                  8819,                 58225,,,,
9935,2013年06月30日,,,,,,,,                 15350,,                751945,,                103909,,                138364,,                871931,,                              0,,                 83896,              2068043,,,                  6854,,              1198117,,                487149,                 45338,,                 63244,                  5332,                497519,,                105253,                671348,              2415047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,,,,,,,,,,                102648,,,              4483090,,,,              1299062,,                  3662,,                177598,,                  1627,,                889748,,                 76421,,                 60194,                              0,,,                  3700,,                 28523,                115733,                144256,                 33456,                181412,              2690904,,,                663720,,                 46796,                    380,                  2900,,                 50076,                716193,              3407097,,,,              1190098,                              0,              1190098,,                357222,,,               -476673,               -476673,,                  2688,              1073335,                  2658,              1075993,,                  6241,                  1180,                663720,,                  2397,,                246030,                 44148,                  8819,                 58225,,                  2688,                              0,
