證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 留抵稅額,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 特別盈餘公積,　　　 非控制權益,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 應付股利,　　 非控制權益,　　　　 其他金融資產－流動,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 其他非流動負債－其他,　　　　 應計退休金負債（應付退休金費用）,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　　 待分配股票股利
6213,2015年09月30日,,,,              2099611,,                362910,,                444173,,              6701048,,              1116992,,              1094783,,                538117,                538117,,                427079,,                155742,                155742,             12940455,,,                 16306,,                 11868,,                 17228,,              3693355,,                 39114,                 89872,,                147696,,                412551,                560247,              4427990,             17368445,,,,,              2040000,,              1039045,,                118428,,              4430028,,                520273,                520273,                396123,,                 26429,                 51000,,,                431871,                111499,                543370,              9164696,,,                758000,,                563928,,                  5150,                  5150,              1327078,             10491774,,,,              3129572,              3129572,,                674794,,                915173,,              1519773,              2434946,,                730177,                 92818,              6876671,              6876671,             17368445,              0,              0,      4734000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6213,2015年06月30日,,,,              2138783,,                335059,,                566840,,              5858192,,                505160,,                913069,,                560406,                560406,,,,                151156,                151156,             11028665,,,                 19557,,                 11703,,                 19000,,              4213204,,                 41464,                101365,,                112003,,                408328,                520331,              4926624,             15955289,,,,,              1665000,,                639418,,                 79384,,              3502132,,                539106,                920655,                295355,,                 25291,,,,                463236,                 81099,                544335,              7671570,,,              1228158,,                511206,,                  4858,                  4858,              1744222,              9415792,,,,              3179572,              3179572,,                685557,,                915173,,              1403835,              2319008,,                479781,                124421,              6539497,              6539497,             15955289,,              0,      5000000,                381549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6213,2015年03月31日,,,,              1619429,,                373082,,                903443,,              6932855,,                392896,,                942520,,                553310,                553310,,,,                139023,                139023,             11856558,,,                 23409,,                 11736,,                 20975,,              4382862,,                 44536,                 96130,,                126320,,                399981,                526301,              5105949,             16962507,,,,,              1606500,,                519671,,                114717,,              4318911,,,                517028,                358568,,                 26316,,,,                463236,                115982,                579218,              8040929,,,              1329682,,                503465,,                  4598,                  4598,              1837745,              9878674,,,,              3179572,              3179572,,                685557,,                862206,,              1767135,              2629341,,                598338,                  8975,              7083833,              7083833,             16962507,              0,              0,        361000,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6213,2014年12月31日,,,,              1903343,,                386454,,                686798,,              6917095,,                553684,,              1013254,,                579925,                579925,,                              0,,                128947,                128947,             12169500,,,                 23609,,                 11768,,                 23826,,              4575525,,                 47582,                 98805,,                126868,,                404494,                531362,              5312477,             17481977,,,,,              1438250,,                519775,,                170668,,              4779175,,                608483,                608483,                342756,,                 53109,                              0,,,                394995,                 89574,                484569,              8396785,,,              1488338,,                496433,,                 14456,                 14456,              1999227,             10396012,,,,              3273652,              3273652,,                705814,,                862206,,              1754423,              2616629,,                710995,                221125,              7085965,              7085965,             17481977,              0,              0,      9408000,                              0,                              0,                              0,              1903343,             17481977,,,,              1438250,,                519775,,                170668,,              4779175,,                608483,                608483,                342756,,                 53109,,,                394995,                 89574,                484569,              8396785,,,              1488338,,                496433,,                 14456,                 14456,              1999227,             10396012,,,,              3273652,              3273652,,                705814,,                862206,                              0,,              1754423,              2616629,,                710995,                221125,              7085965,                              0,              7085965,,,,,,,,,,,,,,
6213,2014年09月30日,,,,              1665000,,                382844,,                724483,,              6593097,,                458541,,              1167484,,                580196,                580196,,                              0,,                141199,                141199,             11712844,,,                 20408,,                 11667,,                 27315,,              4554987,,                 50162,                160727,,                145159,,                440321,                585480,              5410746,             17123590,,,,,              1432100,,                619460,,                148279,,              4922798,,                712560,                712560,                402626,,                 38096,                              0,,,                              0,                 92033,                 92033,              8367952,,,              1583333,,                326728,,                 12011,                 12011,              1922072,             10290024,,,,              3273652,              3273652,,                705814,,                862206,,              1602336,              2464542,,                389558,                              0,              6833566,              6833566,             17123590,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6213,2014年06月30日,,,,              1394171,,                458178,,                527872,,              6350916,,                466163,,                964538,,                519112,                519112,,,,                214735,                214735,             10895685,,,                 27009,,                 11621,,                 27315,,              4482489,,                 52941,                168417,,                222576,,                467386,                689962,              5459754,             16355439,,,,,              1355000,,                619684,,                229694,,              4308902,,                605168,              1325371,                297607,,                 32167,,,,                              0,                 87975,                 87975,              8256400,,,                983333,,                414935,,                 10675,                 10675,              1408943,              9665343,,,,              3323652,              3323652,,                716563,,                862206,,              1636747,              2498953,,                345623,                194695,              6690096,              6690096,             16355439,,              0,      5000000,                720203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6213,2014年03月31日,,,,              1787496,,                436698,,                517508,,              6821519,,                439925,,              1213975,,                523302,                523302,,,,                166890,                166890,             11907313,,,                 21858,,                 11671,,                 29008,,              3707439,,                 56061,                160971,,                718190,,                482144,              1200334,              5187342,             17094655,,,,,              1275350,,                619346,,                237973,,              4940677,,,                741890,                414575,,                 42194,,,,                              0,                129918,                129918,              8401923,,,                883333,,                392753,,                 13120,                 13120,              1289206,              9691129,,,,              3323652,              3323652,,                716563,,                780507,,              2289660,              3082513,,                475493,                194695,              7403526,              7403526,             17094655,              0,              0,      5000000,,                 12346,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6213,2013年12月31日,,,,,,                473245,,                588129,,              6466968,,                336389,,                925615,,                457415,                457415,,,,                145839,                145839,             11151076,,,                 15556,,                 11616,,                 29802,,              3497898,,                 58808,                161051,,                691916,,                458768,              1150684,              4925415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8000000,,,,              1757476,             16076491,,,,              1152025,,                619676,,                126115,,              4729258,,                775517,                775517,                394422,,                 57095,,,                              0,                 94443,                 94443,              7948551,,,                683333,,                333200,,                 17782,                 17782,              1034315,              8982866,,,,              3323652,              3323652,,                716563,,                780507,                 12346,,              2193600,              2986453,,                405900,                338943,              7093625,                              0,              7093625,,                              0,,                              0,                              0,                              0,                              0,,                              0,                 17782,,,,
6213,2013年09月30日,,,,,,                364189,,                467796,,              6508850,,                484564,,              1178283,,                525058,                525058,,,,                196790,                196790,             11315558,,,                 15806,,                 11597,,                 32500,,              3546283,,                 61681,                161583,,                632326,,                392896,              1025222,              4854672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8000000,,,,              1590028,             16170230,,,,              1578700,,                569490,,                130617,,              4891764,,                958493,                958493,                370165,,                 60925,,,,                130840,                130840,              8691673,,,                500000,,                256971,,                 19640,                 19640,                776611,              9468284,,,,              3323652,              3323652,,                716563,,                780507,                 12346,,              2006320,              2799173,,                201501,                338943,              6701946,,              6701946,,                    679,,,,,,,,,,,,
6213,2013年06月30日,,,,,,                362417,,                340092,,              5923914,,                747688,,                917557,,                503775,                503775,,,,                231105,                231105,             11088482,,,                 11254,,                 11632,,                 32500,,              3575852,,                 64750,                162356,,                431907,,                333506,                765413,              4623757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8000000,,,,              2058838,             15712239,,,,              1559897,,                569545,,                114805,,              4582280,,                759437,              1570350,                336352,,                 61074,,,,                146465,                146465,              8940768,,,                              0,,                221100,,                 17133,                 17133,                238233,              9179001,,,,              3323652,              3323652,,                716563,,                780507,                 12346,,              1755273,              2548126,,                283840,                338943,              6533238,,              6533238,,,,                  3096,                810913,                              0,,,,,,,,
