證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 應收退稅款,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付費用,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良成本,　　　　　 累計折舊－租賃改良,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　 其他非流動負債,　　　　 其他非流動負債合計
3312,2015年09月30日,,,,                756293,,                 37906,,              3231889,,                 79321,                 79321,,                 69927,                 30361,                100288,,,                716959,                716959,,                              0,                              0,,                193958,                193958,              5116614,,,                 25016,,                 25855,,,                  2499,                  1387,                  1112,,                  1357,                    113,                  1244,,                 19526,                 11298,                  8228,,                  5420,                  3930,                  1490,,                  3694,                  1689,                  2005,                 14079,                 10030,,,                 11236,                 11236,                 11236,                 86216,              5202830,,,,,              1832993,,                636777,,                795666,,                 73640,                 73640,                  9396,,,                 50000,                 50000,                 16035,                 66035,              3414507,,,                              0,                              0,,                  2418,                  2418,                  2418,              3416925,,,,              1085008,                              0,              1085008,,                186517,,                104181,                              0,,                 10204,                114385,,,                 60024,                 60024,              1445934,                339971,              1785905,              5202830,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,2015年06月30日,,,,                632455,,                 34134,,              3382750,,                 94033,                 94033,,                 68854,                 28827,                 97681,,,              1682652,              1682652,,                 14204,                 14204,,                172510,                172510,              6110419,,,                 26480,,                 25249,,,                  2682,                  1245,                  1437,,                  1274,                     26,                  1248,,                 18151,                 10102,                  8049,,                  5145,                  3510,                  1635,,                  3534,                  1346,                  2188,                 14557,                 26184,,,                 10221,                 10221,                 10221,                102691,              6213110,,,,,              2363254,,              1218638,,                795875,,                 63721,                 63721,                 19878,,,                 50000,                 50000,                 10649,                 60649,              4522015,,,                              0,                              0,,                  1420,                  1420,                  1420,              4523435,,,,                951761,                133247,              1085008,,                186481,,                104181,                              0,,                 50198,                154379,,,                 -2669,                 -2669,              1423199,                266476,              1689675,              6213110,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,2015年03月31日,,,,                677470,,                101904,,              3726022,,                 93558,                 93558,,                 66468,                 31480,                 97948,,,              1510464,              1510464,,                              0,                              0,,                197899,                197899,              6405265,,,                 26480,,                 24665,,,                  2701,                  1198,                  1503,,                    557,                    406,                    151,,                 18372,                  9623,                  8749,,                  5217,                  3107,                  2110,,                  3583,                  1156,                  2427,                 14940,                 13360,,,                 11418,                 11418,                 11418,                 90863,              6496128,,,,,              2282448,,              1526025,,                727428,,                 56470,                 56470,                 25779,,,                 50000,                 50000,                 18231,                 68231,              4686381,,,                 25000,                 25000,,                  1420,                  1420,                 26420,              4712801,,,,                951761,,                951761,,                186481,,                 95360,                 45096,,                192779,                333235,,,                  9442,                  9442,              1480919,                302408,              1783327,              6496128,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,2014年12月31日,,,,                600154,,                 41429,,              4057560,,                 73222,                 73222,,                 59036,                 37871,                 96907,,,              1350324,              1350324,,                              0,                              0,,                194997,                194997,              6414593,,,                 26480,,                 25478,,,                  2738,                  1090,                  1648,,                    563,                    375,                    188,,                 18742,                  9075,                  9667,,                  5271,                  2828,                  2443,,                  3619,                    957,                  2662,                 16608,                  4433,,,                 11912,                 11912,                 11912,                 84911,              6499504,,,,,              2380540,,              1126465,,                961957,,                 87361,                 87361,                 16988,,,                 50000,                 50000,                 14682,                 64682,              4637993,,,                 25000,                 25000,,                  2420,                  2420,                 27420,              4665413,,,,                951761,                              0,                951761,,                186481,,                 95360,                 45096,,                203228,                343684,,,                 21902,                 21902,              1503828,                330263,              1834091,              6499504,              0,              0,              0,                600154,              6499504,,,,              2380540,,              1126465,,                961957,,                 87361,                 87361,                 16988,,,                 50000,                 50000,                 14682,                 64682,              4637993,,,                 25000,                 25000,,                  2420,                 27420,              4665413,,,,                951761,                951761,,                186481,,                 95360,                 45096,,                203228,                343684,,,                 21902,                 21902,              1503828,                330263,              1834091,,,,,
3312,2014年09月30日,,,,                568118,,                 45880,,              3601958,,                 98718,                 98718,,                 56474,                 47265,                103739,,,              1919263,              1919263,,                 20554,                 20554,,                172521,                172521,              6530751,,,                 26480,,                              0,,,                  2693,                    951,                  1742,,                    541,                    327,                    214,,                 18106,                  8534,                  9572,,                  5038,                  2401,                  2637,,                  3432,                    722,                  2710,                 16875,                  4186,,,                 11001,                 11001,                 11001,                 58542,              6589293,,,,,              1826858,,              1711984,,              1045458,,                 85599,                 85599,                 61141,,,                 50000,                 50000,                 24843,                 74843,              4805883,,,                 50000,                 50000,,                  4536,                  4536,                 54536,              4860419,,,,                906439,                 45322,                951761,,                186481,,                 95360,                 45096,,                155774,                296230,,,                -26241,                -26241,              1408231,                320643,              1728874,              6589293,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,2014年06月30日,,,,                673562,,                 32228,,              2870321,,                 72051,                 72051,,                 62179,                 30306,                 92485,,,              2071768,              2071768,,                  8253,                  8253,,                145506,                145506,              5966174,,,                 27563,,                              0,,,                  2658,                    819,                  1839,,                    532,                    288,                    244,,                 17203,                  7583,                  9620,,                  3972,                  1777,                  2195,,                  4313,                    812,                  3501,                 17399,                  8815,,,                 10472,                 10472,                 10472,                 64249,              6030423,,,,,              1785522,,              1225953,,              1102179,,                 71947,                 71947,                 48531,,,                 70000,                 70000,                 20062,                 90062,              4324194,,,                 70000,                 70000,,                  4535,                  4535,                 74535,              4398729,,,,                906439,                 45322,                951761,,                186481,,                 95360,                 45096,,                106053,                246509,,,                -45057,                -45057,              1339694,                292000,              1631694,              6030423,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,2014年03月31日,,,,                935573,,                 15165,,              2717486,,                 89496,                 89496,,                 55629,                 51966,                107595,,,              1468456,              1468456,,                  4036,                  4036,,                134906,                134906,              5472713,,,                 27563,,                              0,,,                  2684,                    693,                  1991,,                    542,                    260,                    282,,                 17427,                  7250,                 10177,,                  4755,                  1909,                  2846,,                  1878,                    386,                  1492,                 16788,                  2440,,,                 13718,                 13718,                 13718,                 60509,              5533222,,,,,              1666544,,              1154115,,                911627,,                 63609,                 63609,                 40319,,,                 20000,                 20000,                 15136,                 35136,              3871350,,,                 60000,                 60000,,                  4536,                  4536,                 64536,              3935886,,,,                906439,,                906439,,                186481,,                 84714,                 65781,,                156626,                307121,,,                -26277,                -26277,              1373764,                223572,              1597336,              5533222,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,2013年12月31日,,,,,,                 80198,,              2675352,,                 87440,                 87440,,                 40056,                 27887,                 67943,,,              1189102,              1189102,,                  1879,                  1879,,                111157,                111157,              5004941,,,                 27563,,                              0,,,                  1358,                    589,                    769,,                    530,                    221,                    309,,                 17287,                  6393,                 10894,,                  6666,                  3504,                  3162,,                  1869,                    300,                  1569,                 16703,                  2440,,,                 14104,                 14104,                 14104,                 60810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                791870,              5065751,,,,              1203403,,              1176720,,                928394,,                 90487,                 90487,                 32455,,,                 25000,                 25000,                 11638,                 36638,              3468097,,,                 25000,                 25000,,                  5208,                 30208,              3498305,,,,                906439,                906439,,                186481,,                 84714,                 65781,,                150510,                301005,,,                -45096,                -45096,              1348829,                218617,              1567446,                              0,,,,
3312,2013年09月30日,,,,,,                 18348,,              2235977,,                 30364,                 30364,,                 25694,                 23297,                 48991,,,                965451,                965451,,                  3124,                  3124,,                 99494,                 99494,              4330643,,,                 27563,,,,,,,                    854,,,,                    340,,,,                 11442,,,,                  3490,,,,                  1658,                 17784,                  4034,,,                 12072,                 12072,                 12072,                 61453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                928894,              4392096,,,,                654073,,              1319223,,                737311,,                 86801,                 86801,                 18503,,,                 25000,                 25000,                 15762,                 40762,              2856673,,,                 25000,                 25000,,                  2613,                 27613,              2884286,,,,                906439,                906439,,                186481,,                 84714,                 65781,,                105795,                256290,,,                -51815,                -51815,              1297395,                210415,              1507810,                              0,,,,
3312,2013年06月30日,,,,,,                 28327,,              1998237,,                              0,                              0,,                 16651,                 21854,                 38505,,,                793116,                793116,,                  6671,                  6671,,                106446,                106446,              3551962,,,                 29476,,,,,,,                    950,,,,                    378,,,,                 12392,,,,                  2227,,,,                  2514,                 18461,                  4034,,,                 10303,                 10303,                 10303,                 62274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                580660,              3614236,,,,                315859,,                925205,,                740255,,                 65228,                 65228,                 15638,,,                 25000,                 25000,                 10806,                 35806,              2097991,,,                 25000,                 25000,,                  2613,                 27613,              2125604,,,,                871576,                906439,,                186481,,                 84714,                 65781,,                 85235,                235730,,,                -40050,                -40050,              1288600,                200032,              1488632,                 34863,,,,
