證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據淨額,　　　　 應收票據淨額,　　　　　 法定盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 其他應付款項－關係人,　　　　 其他流動負債－其他,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 長期借款,　　　　 長期借款合計
2025,2015年09月30日,,,,                245475,,                 93506,,                              0,,                  2799,,                728380,,                135006,,                 20697,                 20697,              1225863,,,                101032,,              1214020,,                137015,,                    220,                  2762,,                              0,,                     38,                     38,              1455087,              2680950,,,,,              1352796,,                              0,,                 22681,,                  8402,,                 31902,                              0,                              0,,                  9257,,                  1710,                  1710,              1426748,,,                    195,,                 19448,                              0,                 19448,                 19643,              1446391,,,,              3228341,              3228341,,                449535,                449535,,                 75907,,             -2459776,             -2383869,,,                              0,,                -23661,                -23661,                 35833,              1234513,                     46,              1234559,              2680950,              0,     41666788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2015年06月30日,,,,                357843,,                101940,,                  7454,,                  5866,,                276994,,                109808,,                 19632,                 19632,                879537,,,                128970,,              1234606,,                137451,,                    250,                  3062,,                 10790,,                     76,                 10866,              1515205,              2394742,,,,,                788626,,                              0,,                 20936,,                111563,,                 24075,                              0,                              0,,                  9684,,,                  1138,                956022,,,                    495,,                 19448,                              0,                 19448,                 19943,                975965,,,,              3228341,              3228341,,,                449535,,                 75907,,             -2303499,             -2227592,,,                              0,,                  4274,                  4274,                 35833,              1418725,                     52,              1418777,              2394742,              0,     41666788,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2015年03月31日,,,,                467856,,                113103,,                 10900,,                  6738,,                247962,,                110761,,                 19632,                 19632,                976952,,,                148665,,              1212235,,                137886,,                    280,                  4084,,                  4150,,                    114,                  4264,              1507414,              2484366,,,,,                867505,,                              0,,                 24845,,                  8318,,                 28479,,                    138,,                  7964,,,                  1167,                938416,,,                  1517,,                 19448,                              0,                 19448,                 20965,                959381,,,,              3228341,              3228341,,                449535,                449535,,                 75907,,             -2216987,             -2141080,,,                              0,,                 23967,                 23967,                 35833,              1524930,                     55,              1524985,              2484366,              0,     41666788,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2014年12月31日,,,,                222156,,                109849,,                  6984,,                 10930,,                334574,,                126376,,                 19632,                 19632,                830501,,,                180123,,              1237955,,                138322,,                    374,                  2835,,                              0,,                    152,                    152,              1559761,              2390262,,,,,                683562,,                              0,,                 26967,,                 10536,,                 31280,                              0,                    138,,                  7464,,                    417,                    417,                760364,,,                    268,,                 19448,                      5,                 19453,                 19721,                780085,,,,              3228341,              3228341,,                449535,                449535,,                 75907,,             -2163253,             -2087346,,,                              0,,                 55422,                 55422,                 35833,              1610119,                     58,              1610177,              2390262,              0,     41666788,,                              0,                              0,                222156,              2390262,,,,                683562,,                 26967,,                 10536,,                 31280,                    138,,                  7464,,,                    417,                    417,                760364,,,                    268,,                 19448,                      5,                 19453,                 19721,                780085,,,,              3228341,              3228341,,                449535,                449535,,                              0,                 75907,,             -2163253,             -2087346,,,                              0,,                 55422,                 55422,                 35833,              1610119,                     58,              1610177,              0,,,,,,,,
2025,2014年09月30日,,,,                153321,,                313573,,                  8958,,                 20199,,                596719,,                164065,,                116816,                116816,              1373651,,,                183666,,              1249139,,                138757,,                    523,                  2584,,                 14001,,                    190,                 14191,              1588860,              2962511,,,,,              1133550,,                              0,,                 29915,,                 10142,,                 26901,                  5300,                              0,,                              0,,                    625,                    625,              1206433,,,                              0,,                 20372,                     13,                 20385,                 20385,              1226818,,,,              3228341,              3228341,,                449535,                449535,,                 75907,,             -2041602,             -1965695,,,                    323,,                 58964,                 59287,                 35833,              1735635,                     58,              1735693,              2962511,              0,     41666788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2014年06月30日,,,,                155806,,                268754,,                 23074,,                 18930,,                585324,,                153403,,                 19632,                 19632,              1224927,,,                186444,,              1275529,,                139193,,                    811,                  2584,,                 14001,,                    228,                 14229,              1618790,              2843717,,,,,                987030,,                    137,,                 36371,,                 11006,,                 28818,                  5300,                              0,,                              0,,,                  2027,              1070689,,,                              0,,                 20372,                      5,                 20377,                 20377,              1091066,,,,              3228341,              3228341,,,                449535,,                 75907,,             -2025802,             -1949895,,,                 -1296,,                 61743,                 60447,                 35833,              1752595,                     56,              1752651,              2843717,              0,     41666788,,                      4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2014年03月31日,,,,                 68842,,                286341,,                  9104,,                 14384,,                476193,,                164438,,                 90583,                 90583,              1109885,,,                152225,,              1302731,,                133631,,                  1230,                  2584,,                  9240,,                    266,                  9506,              1601907,              2711792,,,,,              1000450,,                    228,,                 24996,,                  9219,,                 27666,,                              0,,                              0,,,                    704,              1063263,,,                              0,,                 20374,                              0,                 20374,                 20374,              1083637,,,,              3228341,              3228341,,                449535,                449535,,                 75907,,             -2227689,             -2041582,,,                    873,,                 26768,                 27641,                 35833,              1628102,                     53,              1628155,              2711792,              0,     41666788,,,                110200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2013年12月31日,,,,,,                252479,,                 13155,,                 12777,,                558052,,                171906,,                 80132,                 80132,              1205312,,,                162851,,              1329550,,                134067,,                  1658,                  2584,,                    245,,                    304,                    549,              1631259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     41666788,,,,                116811,              2836571,,,,              1068860,,                 28556,,                  8734,,                 30289,                              0,,                              0,,,                  5343,                  5343,              1141782,,,                              0,,                 20374,                              0,                 20374,                 20374,              1162156,,,,              3228341,              3228341,,                449535,                449535,,                110200,                 75907,,             -2189748,             -2003641,,,                 -1433,,                 37393,                 35960,                 35833,              1674362,                     53,              1674415,              0,,                              0,                              0,                  5343,,,,
2025,2013年09月30日,,,,,,                225567,,                 58366,,                    117,,                471399,,                244163,,                 19649,                 19649,              1140631,,,                181366,,              1385212,,                134502,,                  2108,                  2919,,                    245,,                    343,                    588,              1706695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     41666788,,,,                121370,              2847326,,,,              1017315,,                 22734,,                 10109,,                 27654,,,,,,,                  2083,              1080100,,,,,                 21635,                              0,                 21635,                 21635,              1101735,,,,              3228341,              3228341,,                449535,                449535,,                110200,                 75907,,             -2137640,             -1951533,,,                 -2273,,                 57317,                 55044,                 35833,              1745554,                     37,              1745591,              0,,                    205,                              0,                  2083,,,,
2025,2013年06月30日,,,,,,                265863,,                 76164,,                    199,,                579285,,                231083,,                 19649,                 19649,              1235694,,,                144417,,              1440371,,                134939,,                  2557,                  2919,,                    245,,                    380,                    625,              1725828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     41666788,,                              0,,                 63451,              2961522,,,,              1099849,,                 23897,,                  7473,,                 26021,,,,,,                  3891,                  3891,              1161131,,,,,                 21635,                              0,                 21635,                 21635,              1182766,,,,              3228341,              3228341,,                449535,                449535,,                110200,                 75907,,             -2069021,             -1882914,,,                   -776,,                 20368,                 19592,                 35833,              1778721,                     35,              1778756,              0,,                              0,                              0,,,                              0,,
