證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 預付租金,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他預付費用,　　　　 預付貨款
5538,2015年09月30日,,,,                597530,,                423804,,                 98778,,                102690,,                836096,,                 17728,,                              0,,              1695990,,                 99930,                 99930,,                 21558,                    236,                 21794,              3894340,,,                 19007,,              1085967,,,                  2970,                  2970,                 31040,,                    103,                    103,                 42827,,                  2765,                 45798,              1184782,              5079122,,,,,                979910,,                    310,,                 17307,,                112509,,                184705,                184705,                  2910,,,                 36080,                 36080,                  1162,                 37242,              1334893,,,                116715,                116715,              1451608,,,,              1680000,              1680000,,,                917152,                917152,,                145723,,                494826,                640549,,,                351255,                351255,              3588956,                 38558,              3627514,              5079122,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,2015年06月30日,,,,                940892,,                184001,,                 91209,,                 90218,,                837796,,                 19409,,                              0,,              1646627,,                196808,                196808,,                 20712,                    195,                 20907,              4027867,,,                 17954,,              1068385,,,                    724,                    724,                 24672,,                    897,                    100,                 41490,,                  2786,                 45273,              1157008,              5184875,,,,,                938619,,                     53,,                 24436,,                116062,,                158892,                528492,                  6158,,,                 30022,                 30022,                  1095,                 31117,              1644937,,,                107317,                107317,              1752254,,,,              1680000,              1680000,,,                917151,                917151,,                145723,,                443431,                589154,,,                208632,                208632,              3394937,                 37684,              3432621,              5184875,              0,              0,                369600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,2015年03月31日,,,,                786707,,                      8,,                286768,,                 68109,,                872925,,                 21235,,                 14147,,              1655165,,                145391,                146809,,                 18309,                    201,                 18510,              3870383,,,                 18179,,              1105185,,,                  1092,                  1092,                 24598,,                  6002,                    101,                 42430,,                  2930,                 51463,              1200517,              5070900,,,,,                807398,,                              0,,                 16128,,                161761,,,                171378,                  6475,,,                 27238,                 27238,                  1198,                 28436,              1191576,,,                101439,                101439,              1293015,,,,              1680000,              1680000,,,                916943,                916943,,                 94415,,                786253,                880668,,,                261208,                261208,              3738819,                 39066,              3777885,              5070900,              0,              0,,                  1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,2014年12月31日,,,,              1038610,,                     12,,                              0,,                103701,,                853581,,                 19277,,                              0,,              1860218,,                 75522,                 75522,,                 27106,                    164,                 27270,              3978191,,,                 18621,,              1142013,,,                  1465,                  1465,                 28370,,                  4537,                    102,                 43185,,                  2872,                 50696,              1241165,              5219356,,,,,              1007595,,                              0,,                 19761,,                124533,,                207923,                207923,                  7071,,,                 31249,                 31249,                  1098,                 32347,              1399230,,,                 91285,                 91285,              1490515,,,,              1680000,              1680000,,,                916943,                916943,,                 94415,,                702819,                797234,,,                295498,                295498,              3689675,                 39166,              3728841,              5219356,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,2014年09月30日,,,,                793707,,                 20109,,                              0,,                 94538,,                914384,,                 23473,,                      1,,              2006232,,                143575,                143575,,                 49626,                    188,                 49814,              4045833,,,                 17746,,              1124558,,,                  1774,                  1774,                 36317,,                  9932,                     99,                 42185,,                  2861,                 55077,              1235472,              5281305,,,,,              1291686,,                    109,,                 23543,,                106859,,                159206,                159206,                 50064,,,                 43137,                 43137,                  1031,                 44168,              1675635,,,                 87954,                 87954,              1763589,,,,              1680000,              1680000,,,                916943,                916943,,                 94415,,                604590,                699005,,,                183800,                183800,              3479748,                 37968,              3517716,              5281305,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,2014年06月30日,,,,                828433,,                 19851,,                202122,,                 93529,,                827030,,                 14935,,                      1,,              1937367,,                168004,                168004,,                 57732,                    238,                 57970,              4149242,,,                 17101,,              1114117,,,                  2075,                  2075,                 31916,,                 12434,                  4811,                 41465,,                  2912,                 61622,              1226831,              5376073,,,,,              1484837,,                              0,,                 20206,,                114781,,                132201,                342201,                 58397,,,                 56317,                 56317,                    979,                 57296,              2077718,,,                 64708,                 64708,              2142426,,,,              1680000,              1680000,,,                916943,                916943,,                 94415,,                407322,                501737,,,                 99774,                 99774,              3198454,                 35193,              3233647,              5376073,              0,              0,                210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,2014年03月31日,,,,                713376,,                 22809,,                200161,,                103007,,                804390,,                 18029,,                              0,,              1713344,,                178151,                179529,,                 94959,                    156,                 95115,              3849760,,,                 16922,,              1163609,,,                  2462,                  2462,                 35785,,                  8146,                  4926,                 42570,,                  3361,                 59003,              1277781,              5127541,,,,,              1405410,,                     27,,                 17105,,                 87740,,,                142762,                 27372,,,                 40681,                 40681,                  1019,                 41700,              1722116,,,                 50424,                 50424,              1772540,,,,              1680000,              1680000,,,                916943,                916943,,                 70738,,                491981,                562719,,,                160194,                160194,              3319856,                 35145,              3355001,              5127541,              0,              0,,                  1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,2013年12月31日,,,,,,                 19463,,,,                110615,,                834770,,                 18866,,,,              1573285,,                186843,                188226,,                101910,                    148,                102058,              4032275,,,                 16673,,              1195738,,,                  2825,                  2825,                  9530,,                  6246,                  5190,                 43074,,                  2964,                 57474,              1282240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  1383,                983314,                200937,                    741,              5314515,,,,              1574886,,                     25,,                 12966,,                 90779,,                192334,                  9769,,,                 48292,                 48292,                  1000,                 49292,              1930051,,,                 85438,                 85438,              2015489,,,,              1680000,              1680000,,,                916943,                916943,,                 70738,,                423414,                494152,,,                173149,                173149,              3264244,                 34782,              3299026,              0,                              0,                192334,,
5538,2013年09月30日,,,,,,                 68748,,,,                 67546,,                840946,,                 13115,,,,              1517291,,                223236,                224595,,                 72290,                    164,                 72454,              3645181,,,                 13815,,              1196684,,,                  3133,                  3133,                 24072,,                    471,                  5122,                 42654,,                  2959,                 51206,              1288910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  1359,                832650,                              0,                  7836,              4934091,,,,              1252818,,                              0,,                 17720,,                148584,,                615883,                  1991,,,                 40949,                 40949,                    985,                 41934,              2078930,,,                 83944,                 83944,              2162874,,,,              1500000,              1500000,,,                704028,                704028,,                 70738,,                343218,                413956,,,                118699,                118699,              2736683,                 34534,              2771217,              0,                451805,                164078,,
5538,2013年06月30日,,,,,,                 17236,,,,                 22658,,                864957,,                 11718,,,,              1723751,,                 81381,                 82755,,                 71605,                    226,                 71831,              3670952,,,                 11646,,              1223360,,,                  3519,                  3519,                 25466,,                  4356,                  4888,                 43476,,                  3042,                 55762,              1319753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  1374,                875306,                              0,                    740,              4990705,,,,              1356061,,                              0,,                 19475,,                 64074,,                631501,                  4533,,,                 37886,                 37886,                    986,                 38872,              2114516,,,                 99217,                 99217,              2213733,,,,              1500000,              1500000,,,                704028,                704028,,                 70738,,                319089,                389827,,,                149855,                149855,              2743710,                 33262,              2776972,              0,                451826,                179675,,
