證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 避險之衍生金融資產－非流動,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 避險之衍生金融負債－流動,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 避險之衍生金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 避險之衍生金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數
2610,2015年09月30日,,,,             24481251,,                409818,,                              0,                 76719,,              7568642,,                  4862,,                716844,,                 60349,,              7799758,,                670455,,              3030433,             44819131,,,                 15403,                              0,,                367357,,              2787227,,            132189152,,              2076251,,,                896575,                896575,              7095593,,,             34206086,             34206086,            179633644,            224452775,,,,,                225145,,                  9963,                245335,,              1786768,,                497233,,             11849661,             11849661,                107524,,                 19874,,,             11284169,             11284169,,              2400000,             27256465,             29656465,              2208966,              4345637,             47495237,             62236740,,                 12065,,             13432442,,             64360017,,              5661411,,                399614,,,              5562775,              5562775,              1825118,              9984500,                438313,             17810706,            101676255,            163912995,,,,             54708901,             54708901,,                798351,,,              2741764,              2741764,,                  7201,                 43372,             58212845,              2326935,             60539780,            224452775,              0,      2888780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2015年03月31日,,,,             20752727,,                350547,,                              0,                 62973,,              9343879,,                 10472,,                644702,,                  7631,,              7191651,,,,              2255687,             40620269,,,                 26163,                              0,,                468710,,              2914431,,            139220801,,              2076391,,,,                832935,              8009602,,,             35026146,             35026146,            188576356,            229196625,,,,,              2960938,,              1198973,              1784247,,                956802,,                465577,,             10587049,             10587049,                113949,,                 10794,,,             10419396,             10419396,,              1800000,             18616394,             20416394,              2633433,              4161519,             37630742,             55727452,,                  7791,,             16963744,,             76550370,,              4703541,,                395002,,,              6690034,              6690034,              1850447,             10144581,              1374075,             20059137,            118679652,            174407104,,,,             53700079,             53700079,,              2162993,,,             -2020357,             -2020357,,             -1360616,                 43372,             52438727,              2350794,             54789521,            229196625,              0,      2888780,,                  1177,,                 18381,,                     67,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2014年12月31日,,,,             20468151,,                235814,,                              0,                 42850,,              9460468,,                  6615,,                817841,,                  8714,,              7226063,,                              0,,              2643974,             40910490,,,                 28881,                    727,,                469317,,              2806823,,            142655066,,              2076461,,,                670997,                670997,              8524043,,,             30931222,             30931222,            188163537,            229074027,,,,,              4361628,,              2088113,              2460000,,                411804,,                435384,,             11096311,             11096311,                 75940,,                  6744,,,             11163756,             11163756,,              8585000,             14218482,             22803482,              2758433,              3696400,             40422071,             61357995,,                  5150,,             18323836,,             73192954,,              4297036,,                423589,,,              7100289,              7100289,              1805315,             10192908,              1388943,             20487455,            116730020,            178088015,,,,             52491666,             52491666,,              1992415,,,             -3870736,             -3870736,,             -1905698,                 43372,             48664275,              2321737,             50986012,            229074027,              0,      2888780,,                              0,,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2014年09月30日,,,,             16909618,,                160132,,                 93744,                 83959,,              8040736,,                  7537,,                452570,,                 24363,,              7281492,,                              0,,              2591714,             35645865,,,                 24804,                  4493,,                467022,,              2769805,,            142697863,,              2076531,,,                651796,                651796,              8008553,,,             28907319,             28907319,            185608186,            221254051,,,,,              2164451,,              2023631,                371242,,                982018,,                463079,,             11752888,             11752888,                101601,,                              0,,,              8734668,              8734668,,              8585000,             15004136,             23589136,              3751905,              4010859,             40086568,             57945478,,                  1038,,             18858301,,             68975920,,              3870174,,                377930,,,              7295847,              7295847,              1793256,             10314782,              1554278,             20958163,            113041526,            170987004,,,,             52000000,             52000000,,              1924015,,,             -5750880,             -5750880,,               -196013,                 43372,             47933750,              2333297,             50267047,            221254051,              0,      2888780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2014年06月30日,,,,,,                103901,,                 95939,                 87325,,              7934950,,                  7693,,                564888,,,,              6745445,,,,              3190065,             37782428,,,                 26276,                  1986,,                464215,,              2778096,,            144530626,,              2076600,,,,                615954,              8207940,,,             26023470,             26023470,            184725163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2888780,,,,,,,,,             19039082,                 13140,            222507591,,,,              3969209,,              1823184,,                 22109,                 22993,,                772083,,                451437,,             14295705,             14295705,                 73536,,,,,              9527086,              9527086,,              8585000,             18327239,             26912239,              3882755,              4300369,             44622449,             66052705,,                  2685,,             18832818,,             63133470,,              3376623,,                417577,,,              7745791,              7745791,              1793301,             10334997,              1531020,             21405109,            107168282,            173220987,,,,             52000000,             52000000,,              1924015,,                              0,                              0,,             -6921599,             -6921599,,                 53053,                 43372,             47012097,              2274507,             49286604,              0
2610,2014年03月31日,,,,             19212676,,                304269,,                 91439,                 36449,,              7847468,,                  7656,,                560310,,                 11011,,              6964902,,,,              2460874,             37497054,,,                 27635,                  4874,,                467916,,              2813691,,            146837584,,              2076670,,,,                542370,              8739596,,,             21068576,             21068576,            182578912,            220075966,,,,,                190451,,                 59956,                 16107,,                170453,,                422869,,             11860967,             11860967,                 87785,,                              0,,,              8348309,              8348309,,             10925000,             23695491,             34620491,              4013605,              4188384,             51170789,             63979377,,                  1676,,             20167727,,             58850491,,              3615861,,                437308,,,              8193813,              8193813,              1818883,             10369492,              2505090,             22887278,            105960341,            169939718,,,,             52000000,             52000000,,              1924015,,,            -10144025,             -5895841,,                 51752,                 43372,             48036554,              2099694,             50136248,            220075966,              0,      2888780,,                              0,,                              0,,                              0,                321891,              3926293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2013年12月31日,,,,,,                215673,,                 75504,                135003,,              7774730,,                 14517,,                587665,,,,              6791453,,,,              2465919,             37085072,,,                 28768,                  5617,,                468476,,              2687755,,            149662068,,              2076740,,,,                489412,              9127014,,,             19344977,             19344977,            183890827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2888780,,,,,,,,,             19007649,                 16959,            220975899,,,,                204036,,                              0,,                  2799,                 22853,,                779176,,                432535,,             14339082,             14339082,                 88927,,                              0,,,              8850384,              8850384,,              4780000,             25265961,             30045961,              4399039,              2741236,             46036620,             61906028,,                  2026,,             27368023,,             53239582,,              3302484,,                628820,,,              8641834,              8641834,              1909749,             10410907,                676086,             21638576,            106179511,            168085539,,,,             52000000,             52000000,,              1924015,,                321891,              3926293,,             -7409299,             -3161115,,                 86936,                 43372,             50806464,              2083896,             52890360,              0
2610,2013年09月30日,,,,,,                216722,,                 75290,                104574,,              7213138,,                  9778,,                592484,,,,              6825355,,,,              2045532,             32801475,,,                 28428,                 11036,,                466729,,              2597983,,            152373066,,              2076810,,,,                463303,              9722242,,,             17740488,             17740488,            185480085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2888780,,,,,,,,,             15707840,                 10762,            218281560,,,,              3022692,,              1099158,,                 10921,                 68571,,                452230,,                447523,,             12083854,             12083854,                 76522,,,,,              7908470,              7908470,,              4780000,             19879191,             24659191,              2561333,              3026454,             38155448,             55416919,,                    532,,             21885000,,             58472527,,              3822590,,              1039669,,,             11033553,             11033553,              1941347,             10433523,                683772,             24092195,            109312513,            164729432,,,,             52000000,             52000000,,              1405394,,                321891,              3926293,,             -5883599,             -1635415,,                  1872,                 43372,             51728479,              1823649,             53552128,              0
2610,2013年06月30日,,,,,,                417820,,                 58105,                112104,,              7721285,,                 12768,,                690995,,,,              6472789,,,,              2726089,             34065145,,,                 30240,                  4346,,                467548,,              2636253,,            155704856,,              1497864,,,,                434330,             10004582,,,             15049100,             15049100,            185829119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2888780,,,,,,,,,             15840849,                 12341,            219894264,,,,              5625000,,                849720,,                     22,                 90332,,                412684,,                432543,,             12827957,             12827957,                 64615,,,,,              8357756,              8357756,,              4780000,             16732471,             21512471,              4835532,              2769486,             37475245,             57778118,,                  5200,,             21885000,,             58281727,,              3668616,,              1106728,,,             11608019,             11608019,              2008073,             10504126,                973141,             25093359,            110040630,            167818748,,,,             52000000,             52000000,,              1405394,,                321891,              3926293,,             -7312747,             -3064563,,                -13285,                 43372,             50284174,              1791342,             52075516,              0
2610,2013年03月31日,,,,,,              2224911,,                 61627,                 70345,,              7509078,,                  9336,,                557049,,,,              6861905,,,,              4535510,             34445234,,,                 33185,                  1801,,                466280,,              2668618,,            158026011,,              1497934,,,,                417158,             10049170,,,             12083442,             12083442,            185243599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2889000,,,,,,,,,             12603125,                 12348,            219688833,,,,                310000,,                199956,,                              0,                  8649,,                340896,,                434870,,             11132368,             11132368,                 59808,,,,,              7955356,              7955356,,              5460000,             16983123,             22443123,              4974246,              2534726,             37907451,             50393998,,                  6124,,             25585000,,             61064240,,              3593649,,              1166154,,,             12185957,             12185957,              1972101,             10508791,                956300,             25623149,            117038316,            167432314,,,,             52000000,             52000000,,              1405394,,                316010,              3873369,,             -7137710,             -2948331,,                  9133,                 43372,             50422824,              1833695,             52256519,              0
