證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 其他非流動負債－其他,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 預付投資款,　　　　 長期預付租金
2423,2015年09月30日,,,,                206912,,                    956,,                 52749,,                121290,,                478732,,                  7998,,                  7810,,                762110,,                 22315,,                  5838,              1666710,,,                 83870,,                  4189,,                  3000,,                880848,,                140197,,                 14586,                 80685,,,                 52015,                 52015,              1259390,              2926100,,,,,                202165,,                  8794,,                187341,,                170592,                  2665,,                  2065,                 14325,                 16390,                587947,,,                  3801,,,                  4785,                  4785,                296540,                 14791,                316116,                319917,                907864,,,,              1381402,              1381402,,,                  4047,                  4047,                  4047,,                273156,,                281405,                554561,,                 69594,                              0,              2009604,                  8632,              2018236,              2926100,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,2015年06月30日,,,,                193866,,                  4116,,                 51979,,                125554,,                449808,,                  4183,,                  1739,,                725459,,                 37005,,                  4650,              1598359,,,                145870,,                  4189,,                  3000,,                875433,,                137292,,                 14968,                 81084,,,                 52636,                 52636,              1314472,              2912831,,,,,                184640,,                  6334,,                145119,,                256758,                 10585,,                  1900,                 19323,                 21223,                624659,,,                    424,,,                  5147,                  5147,                296498,                 13220,                314865,                315289,                939948,,,,              1315621,              1381402,,,                  4047,                  4047,                  4047,,                273156,,                212741,                485897,,                 93249,                              0,              1964595,                  8288,              1972883,              2912831,              0,              0,              0,                 65781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,2015年03月31日,,,,                280618,,                  3952,,                 30114,,                123882,,                429341,,                  8087,,                  3581,,                734165,,                 35968,,                  3910,              1653618,,,                145870,,                  4189,,                  3000,,                882424,,                141109,,                 15412,                 80661,,,                 52580,                 52580,              1325245,              2978863,,,,,                223280,,                  8648,,                191484,,                168628,                 47865,,                  1886,                 14814,                 16700,                656605,,,                    231,,,                  5719,                  5719,                295727,                  8372,                309818,                310049,                966654,,,,              1315621,              1315621,,,                  4047,                  4047,                  4047,,                255439,,                321555,                576994,,                106787,                              0,              2003449,                  8760,              2012209,              2978863,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,2014年12月31日,,,,                249704,,                  3196,,                 30402,,                146898,,                511347,,                  7175,,                  6619,,                676156,,                 22494,,                  7765,              1661756,,,                145870,,                  4322,,                  3000,,                893630,,                144435,,                 16184,                 79533,,,                 53108,                 53108,              1340082,              3001838,,,,,                205170,,                 15900,,                202296,,                214434,                 43438,,                  1867,                 34606,                 36473,                717711,,,                    915,,,                  6269,                  6269,                294892,                  8222,                309383,                310298,              1028009,,,,              1315621,              1315621,,,                  4047,                  4047,                  4047,,                255439,,                274770,                530209,,                114624,                              0,              1964501,                  9328,              1973829,              3001838,              0,              0,              0,                              0,                              0,                249704,                 30402,                  6619,                  3000,              3001838,,,,                205170,,                 15900,,                202296,,                214434,                 43438,,                  1867,                 34606,                 36473,                717711,,,                    915,,,                  6269,                  6269,                294892,                  8222,                309383,                310298,              1028009,,,,              1315621,              1315621,,,                  4047,                  4047,                  4047,,                255439,                              0,,                274770,                530209,,                114624,                              0,              1964501,                  9328,              1973829,,,,,,,,
2423,2014年09月30日,,,,                224974,,                  3682,,                 29460,,                130596,,                451854,,                  2579,,                  6469,,                694522,,                 37998,,                  7636,              1589770,,,                165871,,                  4322,,                  3000,,                886372,,                142391,,                 14819,                 71610,,,                 51941,                 51941,              1340326,              2930096,,,,,                231200,,                 45138,,                148729,,                195401,                 31401,,                  1772,                 29765,                 31537,                683406,,,                  1380,,,                  6543,                  6543,                283549,                  8353,                298445,                299825,                983231,,,,              1315621,              1315621,,,                  4047,                  4047,                  4047,,                255439,,                251939,                507378,,                109875,                              0,              1936921,                  9944,              1946865,              2930096,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,2014年06月30日,,,,                246033,,                              0,,                 28716,,                117810,,                417718,,                  4228,,                     75,,                671102,,                 38054,,                  4463,              1528199,,,                185871,,                  4322,,                  3000,,                874574,,                141083,,                  4678,                 70826,,,                 50179,                 50179,              1334533,              2862732,,,,,                212670,,                 94499,,                113783,,                203601,                 29717,,                  1692,                 18185,                 19877,                674147,,,                  1426,,,                  6824,                  6824,                282710,                  8808,                298342,                299768,                973915,,,,              1223834,              1315621,,,                  4047,                  4047,                  4047,,                255439,,                192525,                447964,,                111435,                              0,              1879067,                  9750,              1888817,              2862732,              0,              0,              0,                 91787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,2014年03月31日,,,,                287162,,                              0,,                 34125,,                 66478,,                411291,,                  6707,,                     75,,                665898,,                 36457,,                  4135,              1512328,,,                202461,,                  4322,,                  3000,,                842103,,                145489,,                  1234,                 70240,,,                 58327,                 58327,              1327176,              2839504,,,,,                222120,,                 91022,,                126774,,                147022,                 28091,,                  1688,                 24563,                 26251,                641280,,,                  1733,,,                  7400,                  7400,                281825,                  8640,                297865,                299598,                940878,,,,              1225184,              1225184,,,                  4051,                  4051,                  4051,,                243235,,                244897,                525440,,                141686,                  3548,              1892813,                  5813,              1898626,              2839504,         13500,              0,         13500,,                 37308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,2013年12月31日,,,,,,                              0,,,,                 77409,,                415032,,                  4058,,,,                616508,,                 19871,,                  2425,              1558351,,,                202461,,                  4322,,,,                844058,,                147924,,                    943,                 70502,,,                 58281,                 58281,              1331491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         13500,,,                285881,                130207,                  6960,                  3000,              2889842,,,,                287312,,                 83119,,                135838,,                181626,                 15513,,                  1659,                 18134,                 19793,                723201,,,                 11360,,,                  7863,                  7863,                280881,                  8442,                297186,                308546,              1031747,,,,              1225184,              1225184,,,                  4051,                  4051,                  4051,,                243235,                 37308,,                205746,                486289,,                139800,                  3548,              1851776,                  6319,              1858095,,,,,,,,
2423,2013年09月30日,,,,,,                              0,,,,                 53090,,                398150,,                 10077,,,,                659118,,                 31271,,                 11803,              1594671,,,                165593,,                  5706,,,,                842863,,                147340,,                  1058,                 65010,,,                 64258,                 64258,              1294828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        135000,,,                301591,                129571,                              0,                  3000,              2889499,,,,                367048,,                 81212,,                124509,,                171949,                 23248,,                              0,                 17939,                 17939,                785905,,,                 11066,,,                              0,                              0,                263908,                  8318,                272226,                283292,              1069197,,,,              1225184,              1225184,,,,,                  4051,,                243235,                 37308,,                217189,                497732,,                 88883,                  3548,              1812302,                  8000,              1820302,                              0,,,,,,,
2423,2013年06月30日,,,,,,,,,,                 68825,,                409556,,                  5577,,,,                690236,,                 29948,,                  9583,              1643275,,,                 97107,,                  5706,,,,                823899,,                149359,,                  1117,                 64924,,,                 66419,                 66419,              1211531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        135000,,,                388534,                 41016,                              0,                  3000,              2854806,,,,                316189,,                113888,,                135443,,                223172,                 14970,,                              0,                 14326,                 14326,                817988,,,                 18596,,,                              0,                              0,                262764,                  8243,                271007,                289603,              1107591,,,,              1166906,              1225183,,,,,                  4051,,                243235,                 37308,,                194626,                475169,,                 30181,                  3548,              1731036,                 16179,              1747215,                 58277,,,,,,,
