證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債,　　　　 法定盈餘公積,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計
2440,2015年09月30日,,,,                236305,,                              0,,                  1963,,                664261,,                 88366,                 88366,,                  6745,,                 17367,,                271945,,                132348,                 60186,                192534,              1479486,,,                 56216,,                 50784,,                322462,,                398291,,                      4,                  7033,,                 11962,                846752,              2326238,,,,,                697083,,                 99937,,                  6353,,                    419,,                187437,,                 19627,,                 76773,                  7651,,,                 29000,                  6424,                 35424,              1130704,,,                 29000,,                 17095,                 46095,              1176799,,,,              1391173,              1391173,,                  9128,,,               -331978,               -331978,,                 81116,              1149439,              1149439,              2326238,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2015年06月30日,,,,                271447,,,,                  1509,,                665660,,                 80947,                 80947,,                  4147,,                 37030,,                189667,,                159377,                 53381,                212758,              1463165,,,                 71194,,                 47644,,                318987,,                399800,,                     14,                 11881,,                 11322,                860842,              2324007,,,,,                688275,,                 99928,,                  4954,,                  1001,,                176818,,                 10723,,                 76844,                  7736,,,,,                 41415,              1107694,,,                 36250,,                 16963,                 53213,              1160907,,,,              1391173,              1391173,,                  9128,,,               -316790,               -316790,,                 79589,              1163100,              1163100,              2324007,              0,              0,              0,,                 11322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2015年03月31日,,,,                261894,,                              0,,                    877,,                616660,,                 94483,                 94483,,                 35981,,                 46078,,                201093,,                154884,                 67608,                222492,              1479558,,,                 58300,,                 48362,,                324493,,                401308,,                     25,                 10687,,                 11574,                854749,              2334307,,,,,                665532,,                 99916,,                 10143,,                    477,,                225613,,                  5015,,                 76825,                  6772,,,,,                 45797,              1136090,,,                 43500,,                 16902,                 60402,              1196492,,,,              1391173,              1391173,,                  9128,,,               -334497,               -334497,,                 72011,              1137815,              1137815,              2334307,              0,              0,              0,,                 11574,,                201093,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2014年12月31日,,,,                256235,,                              0,,                    991,,                663432,,                152892,                152892,,                 40544,,                  8637,,                174303,,                141900,                 62574,                204474,              1501508,,,                 91623,,                 49128,,                333607,,                402817,,                     35,                 14885,,                 12537,                904632,              2406140,,,,,                663497,,                              0,,                 13969,,                  3404,,                322338,,                  1572,,                 76293,                  6579,,,                 39500,                 15150,                 54650,              1142302,,,                 50750,,                 21956,                 72706,              1215008,,,,              1391173,              1391173,,                  9128,,,               -322611,               -322611,,                113442,              1191132,              1191132,              2406140,              0,              0,              0,,                 12537,,                174303,                              0,                256235,              2406140,,,,                663497,,                              0,,                 13969,,                  3404,,                322338,,                  1572,,                 76293,                  6579,,                 54650,              1142302,,,                 50750,,                 21956,                 72706,              1215008,,,,              1391173,              1391173,,                  9128,,                              0,,               -322611,               -322611,,                113442,                              0,              1191132,                              0,                              0,              1191132,,,,,,,,
2440,2014年09月30日,,,,                198398,,                     49,,                  3501,,                637535,,                134539,                134539,,                 36354,,                  9026,,                158770,,                128147,                 60083,                188230,              1366402,,,                 61543,,                 42584,,                333785,,                404466,,                    801,                 14902,,                 11989,                870070,              2236472,,,,,                609987,,                              0,,                 12633,,                    463,,                267244,,                    929,,                 85969,                              0,,,                 43000,                 15877,                 58877,              1036102,,,                 58000,,                 15068,                 73068,              1109170,,,,              1391173,              1391173,,                  9128,,,               -335847,               -335847,,                 62848,              1127302,              1127302,              2236472,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2014年06月30日,,,,                303158,,,,                 19697,,                596168,,                128537,                128537,,                 34019,,                 13314,,                149814,,                 82462,                 56267,                138729,              1383436,,,                 60813,,                 40999,,                336054,,                406284,,                  1567,                 15952,,                 11697,                873366,              2256802,,,,,                517313,,                119577,,                 16936,,                  1000,,                219742,,                 33915,,                 79753,                  4570,,,,,                 57417,              1050223,,,                 68750,,                 14999,                 83749,              1133972,,,,              1391173,              1391173,,                  9128,,,               -332636,               -332636,,                 55165,              1122830,              1122830,              2256802,              0,              0,              0,,                 11697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2014年03月31日,,,,                299296,,                     49,,                 21500,,                583616,,                133603,                133603,,                 39386,,                 13567,,                160509,,                 45018,                 94963,                139981,              1391507,,,                 68786,,                 42695,,                354525,,                408102,,                  2332,                 15800,,                  6081,                898321,              2289828,,,,,                322966,,                117577,,                 16895,,                  2547,,                321072,,                111776,,                 81431,                  4626,,,,,                 66705,              1045595,,,                 79500,,                 14954,                 94454,              1140049,,,,              1391173,              1391173,,                  9128,,,               -355189,               -325248,,                 74726,              1149779,              1149779,              2289828,              0,              0,              0,,                  6081,,                160509,                 29941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2013年12月31日,,,,,,                     39,,                 46989,,                491364,,                106253,                106253,,                 47478,,                 12815,,                192756,,                 57028,                 40715,                 97743,              1298371,,,                 81915,,                 40456,,                356386,,                409920,,                  3098,                 15875,,                  5352,                913002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  5352,,                192756,,                302934,              2211373,,,,                315672,,                117653,,                              0,,                  3059,,                231661,,                128656,,                 71275,                  4250,,                 64945,                937171,,,                 90250,,                 14381,                104631,              1041802,,,,              1391173,              1391173,,                  9128,,                 29941,,               -339594,               -309653,,                 78923,                              0,              1169571,                              0,                              0,              1169571,,,,,,,,
2440,2013年09月30日,,,,,,                    123,,                 37738,,                660722,,                              0,                              0,,                 12016,,                              0,,                227860,,,,                 50354,              1365088,,,                 43106,,                              0,,                384925,,                411738,,                  3864,                 14546,,                  5831,                864010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  5831,,                227860,,                204716,              2229098,,,,                261326,,                 99689,,                    295,,                  2907,,                324903,,                 89563,,                 83866,                    946,,                 52444,                928004,,,                101000,,                 14321,                115321,              1043325,,,,              1391173,              1391173,,                  9128,,                 38659,,               -374651,               -320636,,                 32488,,              1112153,,                 73620,              1185773,,                 52417,,                119142,                 12065,                 15356,,
2440,2013年06月30日,,,,,,                     19,,                 60050,,                669691,,                              0,                              0,,                 11293,,                              0,,                200495,,,,                 35503,              1336792,,,                 39121,,                              0,,                405374,,                413559,,                  4630,                 16428,,                 12345,                891457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 12345,,                200495,,                189263,              2228249,,,,                213565,,                 99806,,                    517,,                  7390,,                290220,,                 94136,,                105419,                    390,,                 67055,                890680,,,                111750,,                 15567,                127722,              1018402,,,,              1391173,              1391173,,                  9128,,                 29941,,               -329958,               -300017,,                 34729,,              1135013,,                 74834,              1209847,,                 55232,,                115246,                 12182,,,                    405
