證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 共同控制下前手權益,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 預付設備款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 商譽,　　　　 其他短期借款,　　　 應付公司債,　　　　 應付公司債合計,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 法定盈餘公積,　　　　 其他金融資產－流動
1729,2015年09月30日,,,,                785220,,                198191,,                380510,,                              0,,                218973,,                 33944,,                              0,,,              1107026,              1107026,,                              0,,                  3213,,                 27713,                 27713,              2754790,,,                              0,,                 34437,,                  8374,,              1447011,,                171750,,                145055,                102421,,                 42371,              1951419,              4706209,,,,,                              0,,                              0,,                              0,,                              0,,                118784,,                221309,                 62642,                283951,                  3190,                              0,,,                              0,                182000,                182000,                 16842,                198842,                604767,,,                136500,,                  2714,,                 18128,                  5717,                 23845,                163059,                767826,,,,              1854142,              1854142,,                883930,,                 72761,,,                 54304,,                              0,                              0,                 54304,                 28532,              2836605,              1101778,              3938383,              4706209,              0,              0,        990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2015年06月30日,,,,                855464,,                              0,,                362920,,                              0,,                200253,,                 45618,,                              0,,,              1248365,              1248365,,                              0,,                  3213,,                 23983,                 23983,              2739816,,,                              0,,                 34437,,                  7498,,              1446280,,                168977,,                142708,                107928,,                 38504,              1946332,              4686148,,,,,                              0,,,,                              0,,                              0,,                135720,,                221309,                 54297,                275606,                  3190,                              0,,,                              0,                182000,                182000,                 13312,                195312,                609828,,,                182000,,                  1714,,                 18158,                  5475,                 23633,                207347,                817175,,,,              1854142,              1854142,,                883930,,                 67014,,,                  6316,,                              0,                              0,                  6316,                 28532,              2782870,              1086103,              3868973,              4686148,              0,              0,        990000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2015年03月31日,,,,                787751,,                              0,,                349912,,                              0,,                213678,,                 27217,,                              0,,,              1326357,              1326357,,                              0,,,,,                 37036,              2741951,,,                              0,,                  3007,,                  9793,,              1471538,,                172308,,                143222,                112599,,                113885,              2026352,              4768303,,,,,                              0,,,,                              0,,                              0,,                128616,,,,                 53938,                  3190,                              0,,,                              0,                200333,                200333,                 11237,                211570,                397314,,,                227500,,                  1635,,                 18205,                  5729,                 23934,                253069,                650383,,,,              1854142,              1854142,,              1069645,,                123048,,,,,,,                 21940,                 28532,              3040243,              1077677,              4117920,              4768303,              0,              0,        990000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2014年12月31日,,,,                770239,,                  1823,,                463229,,                              0,,                251067,,                 33607,,                              0,,,              1319442,              1319442,,                              0,,                              0,,                 30672,                 30672,              2870079,,,                              0,,                  3007,,                 10035,,              1483521,,                175073,,                143630,                116292,,                 45864,              1977422,              4847501,,,,,                              0,,                              0,,                              0,,                              0,,                107494,,                              0,                 72334,                 72334,                  3190,                              0,,,                              0,                218667,                218667,                 18333,                237000,                420018,,,                273000,,                  2795,,                 18251,                  5777,                 24028,                299823,                719841,,,,              1854142,              1854142,,              1069645,,                121431,,,                 32465,,                              0,                              0,                 32465,                 28532,              3049151,              1078509,              4127660,              4847501,              0,              0,        990000,                              0,                770239,                463229,                  7759,,                 38105,              4847501,,,,                              0,,                107494,,                 72334,                  3190,                              0,,,                              0,                218667,                218667,                 18333,                237000,                420018,,,                273000,,                  2795,,                 18251,                  5777,                 24028,                299823,                719841,,,,              1854142,              1854142,,              1069645,,                121431,,                 32465,                 28532,              3049151,              1078509,              4127660,,,,,,,,,,,
1729,2014年09月30日,,,,                216202,,                 50256,,                328450,,                              0,,                181851,,                 35219,,                              0,,,              1364318,              1364318,,                              0,,                              0,,                 37149,                 37149,              2213445,,,                              0,,                  3007,,                 10780,,              1510596,,                201140,,                194752,                122846,,                 42123,              2085244,              4298689,,,,,                 30000,,                              0,,                              0,,                              0,,                131492,,                              0,                 60115,                 60115,                  3190,                              0,,,                301346,                205000,                506346,                  8242,                514588,                739385,,,                262500,,                  1424,,                 17224,                  5825,                 23049,                286973,              1026358,,,,              1854142,              1854142,,                454071,,                117520,,,                    835,,                              0,                              0,                    835,                 28532,              2398036,                874295,              3272331,              4298689,              0,              0,        990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2014年06月30日,,,,                221558,,                 57632,,                320309,,                              0,,                163943,,                 39745,,                              0,,,              1369144,              1369144,,                              0,,                              0,,                 34772,                 34772,              2207103,,,                              0,,                 29054,,                 11127,,              1522907,,                198968,,                194104,                128885,,                 41263,              2126308,              4333411,,,,,                 10483,,,,                              0,,                              0,,                162279,,                              0,                 47908,                 47908,                  3190,                              0,,,                297272,                223333,                520605,                  6232,                526837,                750697,,,                300000,,                  1576,,                 17286,                  5731,                 23017,                324593,              1075290,,,,              1854142,              1854142,,                454061,,                117463,,,                -15919,,                              0,                              0,                -15919,                 28532,              2381215,                876906,              3258121,              4333411,              0,              0,        990000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2014年03月31日,,,,                527047,,                 43356,,                 68398,,                              0,,                162123,,                 29589,,                              0,,,              1362248,              1362248,,                              0,,,,,                 35033,              2227794,,,                              0,,                 29054,,                 11500,,              1573343,,                168963,,                194811,                 70089,,                 46339,              2094099,              4321893,,,,,                 10483,,,,                              0,,                              0,,                125017,,,,                 45756,                  3190,                  1460,,,                297007,                198334,                495341,                 12382,                507723,                693629,,,                343333,,                  2040,,                 17351,                  5844,                 23195,                368568,              1062197,,,,              1854142,              1854142,,                934034,,               -398891,,,,,,,                  3442,                 28532,              2364195,                895501,              3259696,              4321893,              0,              0,        990000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2013年12月31日,,,,,,                 22878,,,,,,                139163,,                 19250,,,,,,              1347571,,,,,,                 27459,                 27459,              2244626,,,,,                 29054,,                  9723,,              1585476,,                170117,,                194034,                 60854,,                 44809,              2094067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2990000,,                438991,                249314,                              0,,                 44809,              4338693,,,,                 10483,,                112282,,                 68918,                  3190,                  1460,,,                294167,                160833,                455000,                 17731,                472731,                669064,,,                399167,,                  2188,,                 17416,                    667,                 18083,                419438,              1088502,,,,              1874142,              1874142,,              1006894,,               -398093,,                -11577,                123289,              2348077,                902114,              3250191,,,,,,,,,,,
1729,2013年09月30日,,,,,,                 29797,,,,,,                160761,,,,,,,,              1478259,,,,,,                 31043,                 31043,              2417645,,,,,                 34603,,                  2715,,              1599075,,                168163,,                193760,                 59369,,                 56397,              2114082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2990000,,                434013,                283772,,,                 56397,              4531727,,,,                 13764,,                116745,,                 68809,,                  5448,,,                              0,                111111,                111111,                  7048,                118159,                322925,,,                448889,,                  1520,,                 18498,                  5930,                 24428,                765643,              1088568,,,,              1874142,              1874142,,              1006894,,               -280856,,                -23515,                123289,              2453376,                989783,              3443159,                193760,                 13764,,                290806,                 81876,,               -362732,,                -23515,,
1729,2013年06月30日,,,,,,                 36938,,,,,,                162428,,,,,,,,              1514245,,,,,,                 33275,                 33275,              2507342,,,,,                 34603,,                  2601,,              1617432,,                170008,,                194262,                 60527,,                 46873,              2126306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2470000,,                475444,                285012,,,                 46873,              4633648,,,,                 18495,,                128907,,                 61801,,                  1891,,,                              0,                 55278,                 55278,                  9482,                 64760,                275854,,,                504722,,                  2143,,                 18581,                  5929,                 24510,                819569,              1095423,,,,              1874142,              1874142,,              1006897,,               -235909,,                -13925,                108383,              2522822,              1015403,              3538225,                194262,                 18495,,                288194,                 81876,,               -317785,,                -13925,,
