證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他應付款－其他,　　　　　　 預收房地款,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　 預付設備款,　　　　 待分配股票股利,　　　 應收建造合約款
5533,2015年09月30日,,,,                610416,,                 24238,,                              0,,                 31803,,                  1975,,              8360563,,                 93293,,                 28371,                  4473,                 32844,              9155132,,,                 10032,,              4093758,,                402626,,,                  2555,                    252,                  2807,                  8883,,                  4683,                  4683,              4522789,             13677921,,,,,              3514146,,                 74981,,                207548,                              0,,                 87484,                 81136,,                  2977,,,                114679,,                419631,                 36611,                570921,              4539193,,,              2027401,,                 23489,                  1600,                 25089,              2052490,              6591683,,,,              2713356,              2713356,,,                 18359,                    236,                 18595,,                796201,                    983,,              3559125,              4356309,,,                 -2022,                 -2022,              7086238,              7086238,             13677921,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,2015年06月30日,,,,                827797,,                 25355,,                              0,,                  5811,,,,              8190961,,                 65820,,                 31617,                  5085,                 36702,              9152446,,,                 10032,,              4001940,,                470457,,,                    913,                    252,                  1165,                  8484,,                  4278,                  4278,              4496356,             13648802,,,,,              3349160,,                 57238,,                195520,                              0,,                234053,                 87065,,                  2977,,,                179736,,                160747,                 40483,                380966,              4306979,,,              2320515,,                 23385,                  1776,                 25161,              2345676,              6652655,,,,              2556647,              2713356,,,                 18359,                    236,                 18595,,                796201,                    983,,              3467917,              4265101,,,                   -905,                   -905,              6996147,              6996147,             13648802,              0,              0,                234053,                179736,                156709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,2015年03月31日,,,,                750978,,                 16593,,                  7140,,                  7529,,,,              8048618,,                 60252,,                 49902,                  4202,                 54104,              8945214,,,                 10032,,              3904912,,                471282,,,                    982,                    252,                  1234,                  7622,,                  3928,                  3928,              4399010,             13344224,,,,,              3214226,,                 37518,,                196338,                              0,,                 79530,                134516,,                  2977,,,                111794,,                159430,                 37016,                308240,              3973345,,,              2282388,,                 23337,                  1966,                 25303,              2307691,              6281036,,,,              2556647,              2556647,,,                 15708,                    236,                 15944,,                698443,                  1304,,              3791517,              4491264,,,                   -667,                   -667,              7063188,              7063188,             13344224,              0,              0,                 79530,                111794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,2014年12月31日,,,,                550227,,                 11277,,                  7376,,                  7996,,                              0,,              8299279,,                126900,,                 30937,                 11000,                 41937,              9044992,,,                 10032,,              3859557,,                472107,,,                  1023,                    252,                  1275,                  7285,,                  3729,                  3729,              4353985,             13398977,,,,,              3486786,,                 52954,,                185647,                              0,,                 98642,                 51594,,                  2977,,,                368066,,                172762,                 42321,                583149,              4461749,,,              2233318,,                 23289,                  3536,                 26825,              2260143,              6721892,,,,              2556647,              2556647,,,                 15708,                    236,                 15944,,                698443,                  1304,,              3405730,              4105477,,,                   -983,                   -983,              6677085,              6677085,             13398977,              0,              0,                 98642,                368066,                              0,                550227,             13398977,,,,              3486786,,                 52954,,                185647,                              0,,                 98642,                 98642,                 51594,,                  2977,,,                368066,                368066,,                172762,                 42321,                583149,              4461749,,,              2233318,,                 23289,                  3536,                 26825,              2260143,              6721892,,,,              2556647,              2556647,,,                 15708,                    236,                 15944,,                698443,                  1304,,              3405730,              4105477,,,                   -983,                   -983,              6677085,              6677085,              0,,,
5533,2014年09月30日,,,,                509231,,                  8309,,                    912,,                 15340,,                              0,,              5185716,,              1430127,,                 18422,                  3197,                 21619,              7171254,,,                 10032,,              3789707,,                409150,,,                  1080,                    252,                  1332,                  5381,,                  3552,                  3552,              4219154,             11390408,,,,,              1836939,,                 59760,,                153673,                  2348,,                 85450,                 42826,,                  2977,,,                218654,,                470263,                 23345,                712262,              2896235,,,              1912586,,                 22002,                  1966,                 23968,              1936554,              4832789,,,,              2556647,              2556647,,,                 15708,                    236,                 15944,,                698443,                  1304,,              3286313,              3986060,,,                 -1032,                 -1032,              6557619,              6557619,             11390408,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,2014年06月30日,,,,              1034254,,                  8362,,                              0,,                 14423,,,,              5644960,,                 53530,,                 18617,                  4078,                 22695,              6778224,,,                 10032,,              3524083,,                390874,,,                  1173,                    252,                  1425,                  4115,,                  3940,                  3940,              3934469,             10712693,,,,,              1616455,,                 49494,,                171663,                  5152,,                196530,                 54258,,                  2977,,,                 85661,,                302220,                 23660,                411541,              2508070,,,              1852110,,                 22063,                  1906,                 23969,              1876079,              4384149,,,,              2431696,              2556647,,,                 15708,                    236,                 15944,,                698443,                  1304,,              3057185,              3756932,,,                   -979,                   -979,              6328544,              6328544,             10712693,              0,              0,                196530,                 85661,                124951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,2014年03月31日,,,,                881441,,                  8279,,                              0,,                  5927,,,,              5731558,,                110397,,                 10488,                  3751,                 14239,              6751841,,,                 10032,,              3433540,,                407260,,,                  1065,                    252,                  1317,                  9491,,                  3055,                  3055,              3864695,             10616536,,,,,              2044142,,                 44630,,                192378,                  1222,,                 65047,                115618,,                  2977,,,                 93576,,                214544,                 16489,                324609,              2790623,,,              1850010,,                 22120,                  1887,                 24007,              1874017,              4664640,,,,              2431696,              2431696,,,                 13113,                    236,                 13349,,                623268,                  3361,,              2881278,              3507907,,,                 -1056,                 -1056,              5951896,              5951896,             10616536,              0,              0,                 65047,                 93576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,2013年12月31日,,,,,,                  8031,,                              0,,                 10220,,,,              5882123,,                279258,,                 14661,                  2528,                 17189,              6822585,,,                 10032,,              3038950,,                392425,,,                  1175,                    252,                  1427,                  5206,,                  4044,                  4044,              3452084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                625764,             10274669,,,,              1835121,,                 44269,,                211847,                 15408,,                 73092,                 73092,                 71939,,                  2977,,,                124778,                124778,,                114091,                 16863,                255732,              2510385,,,              1924548,,                 22186,                  1986,                 24172,              1948720,              4459105,,,,              2431696,              2431696,,,                 13113,                    236,                 13349,,                623268,                  3361,,              2745194,              3371823,,,                 -1304,                 -1304,              5815564,              5815564,              0,                              0,                              0,                              0
5533,2013年09月30日,,,,,,                  3076,,                              0,,                  6981,,,,              5695495,,                 54653,,                 11310,                  5800,                 17110,              6413974,,,                 10032,,              2877392,,                697148,,,                  1038,                    252,                  1290,                  5134,,                  3923,                  7142,              3598138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                636659,             10012112,,,,              1814647,,                 48934,,                141300,                 10755,,                 78125,                 78125,                 61850,,                  2034,,,                136810,                136810,,                 88496,                 12297,                237603,              2395248,,,              1869646,,                 22849,                  3186,                 26035,              1895681,              4290929,,,,              2431696,              2431696,,,                 13113,                    236,                 13349,,                623268,                  3361,,              2651007,              3277636,,,                 -1498,                 -1498,              5721183,              5721183,              0,                  3219,,
5533,2013年06月30日,,,,,,                  2802,,,,                 12028,,,,              6169954,,                 67314,,                 17571,                 10758,                 28329,              6904976,,,                 10032,,              2722969,,                697967,,,                  1117,                    252,                  1369,                  5120,,                  2779,                  4534,              3441991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                624549,             10346967,,,,              2727845,,                 49891,,                252695,                  7178,,                178087,                178087,                 67968,,                  2034,,,                106113,                106113,,                 69911,                  5316,                181340,              3467038,,,              1656894,,                 22905,                  8237,                 31142,              1688036,              5155074,,,,              2269828,              2431696,,,                 13113,                    236,                 13349,,                623268,                  3361,,              2121991,              2748620,,,                 -1772,                 -1772,              5191893,              5191893,              0,                  1755,                161868,
