證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 農產品,　　　　 存貨合計,　　　 生物資產－流動,　　　　 生物資產－流動淨額,　　　 預付款項,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 共同控制下前手權益,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計
1613,2015年09月30日,,,,              2350984,,                     88,,                 51757,                              0,,              1656892,,              3453949,,                 90164,,,              1264877,                  3557,              1268434,,                102860,,              2149472,              2149472,,              1964607,                 65447,              2030054,             13154654,,,                141224,,                111475,,              3901741,                 39785,,,                  5935,                137322,,                 42972,                186229,              4380454,             17535108,,,,,              6528328,,                 14100,,                  6029,                 88304,,                487801,,              4008862,,                 81684,,                564717,,                186231,,                373496,                559727,             12339552,,,              2945215,,,                 10354,                245541,                 12343,                 14048,                282286,              3227501,             15567053,,,,              2275280,              2275280,,                 75603,,,               -593036,               -593036,               -593036,,                 -6161,              1751686,                216369,              1968055,             17535108,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,2015年06月30日,,,,              2123369,,                    103,,                 50456,                              0,,              1410652,,              3853430,,                 92110,,,              1431021,                  3782,              1434803,,                 87982,,              2145622,              2145622,,              1946330,                 80838,              2027168,             13226542,,,                139877,,                113335,,              3886010,                 66246,,,                  9514,                134926,,                 41288,                185728,              4391196,             17617738,,,,,              5595506,,                 14800,,                  1767,                 69537,,                915525,,              4227362,,                 81817,,                500086,,                245351,,                373496,                618847,             12025247,,,              3023960,,,                  1450,                254109,                 72585,                 14048,                342192,              3366152,             15391399,,,,              2275280,              2275280,,                 76466,,,               -426659,               -426659,               -426659,,                 87565,              2012652,                213687,              2226339,             17617738,              0,              0,              0,,                    847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,2015年03月31日,,,,              2266880,,                    144,,                 50940,                 43194,,              1531648,,              3746350,,                103245,,,              1457672,                  3851,              1461523,,                 74424,,              2376870,              2376870,,              2080207,                 97212,              2177419,             13832637,,,                143837,,                110990,,              3968210,                 75921,,,                  2828,                137287,,                 38693,                178808,              4477766,             18310403,,,,,              6803970,,                 15500,,                  1792,                 32700,,                292849,,              3894862,,                 73309,,                592167,,                216399,,                406615,                623014,             12330163,,,              3083028,,,                 11044,                255418,                318510,                 14048,                599020,              3682048,             16012211,,,,              2275280,              2275280,,                121947,,,               -437925,               -437925,               -437925,,                121147,              2080449,                217743,              2298192,             18310403,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,2014年12月31日,,,,              2569476,,                    128,,                              0,                    352,,              1837719,,              4605108,,                109769,,,              1581561,                  2020,              1583581,,                 64749,,              1849269,              1849269,,              2526472,                160213,              2686685,             15306836,,,                143837,,                112611,,              4024546,                 74973,,,                  2828,                140499,,                 36683,                180010,              4535977,             19842813,,,,,              7069394,,                 16200,,                  5777,                 82305,,                 29477,,              5348301,,                 45505,,                439614,,                157430,,                361497,                518927,             13555500,,,              3193296,,,                 29711,                256705,                293801,                 14048,                594265,              3787561,             17343061,,,,              2275280,              2275280,,                121947,,,               -228440,               -228440,               -228440,,                106815,              2275602,                224150,              2499752,             19842813,              0,              0,              0,,                              0,              2569476,             19842813,,,,              7069394,,                 16200,,                  5777,                 82305,,                 29477,,              5348301,,                 45505,,                439614,,                157430,,                361497,                518927,             13555500,,,              3193296,,,                 29711,                256705,                293801,                 14048,                594265,              3787561,             17343061,,,,              2275280,              2275280,,                121947,,,               -228440,               -228440,               -228440,,                106815,              2275602,                224150,              2499752,,,
1613,2014年09月30日,,,,              2482014,,                    154,,                              0,                              0,,              2589443,,              4136453,,                 98506,,,              1827944,                  1520,              1829464,,                 55716,,              2124530,              2124530,,              2919386,                158288,              3077674,             16393954,,,                148837,,                107527,,              3947628,                 70016,,,                  2428,                135223,,                 37807,                175458,              4449466,             20843420,,,,,              7935923,,                 16200,,                  1026,                 27322,,                 14317,,              5285087,,                 44946,,                439664,,                180928,,                350709,                531637,             14296122,,,              3183187,,,                 45354,                265766,                538750,                 14048,                863918,              4047105,             18343227,,,,              2275280,              2275280,,                121746,,,               -198465,               -198465,               -198465,,                 83292,              2281853,                218340,              2500193,             20843420,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,2014年06月30日,,,,              2575488,,                    157,,                              0,                 23695,,              3174276,,              4254937,,                 94725,,,              2004551,                              0,              2004551,,                 54160,,              2189315,              2189315,,              3143688,                 87846,              3231534,             17602838,,,                148837,,                 97508,,              3974695,                 66131,,,                  2964,                133862,,                 32339,                169165,              4456336,             22059174,,,,,              9549571,,                 16800,,                 14474,                  2883,,                174697,,              4460295,,                 44946,,                437554,,                279651,,                338875,                618526,             15319746,,,              3209322,,,                 33266,                271392,                672335,                 14048,                991041,              4200363,             19520109,,,,              2275280,              2275280,,                118611,,,               -135838,               -135838,               -135838,,                114048,              2372101,                166964,              2539065,             22059174,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,2014年03月31日,,,,              3037250,,                    171,,                              0,                  3454,,              2844199,,              3994891,,                108745,,,              1982150,                              0,              1982150,,                 36037,,              1623551,              1623551,,              3363157,                 83332,              3446489,             17076937,,,                148837,,                 96067,,              4029305,                 92745,,,                  1556,                137624,,                 33096,                172276,              4539230,             21616167,,,,,              9011583,,                 17400,,                 12626,                 15141,,                336942,,              4606554,,                              0,,                309667,,                124344,,                327669,                452013,             14761926,,,              3303128,,,                              0,                275150,                727248,                 14048,              1016446,              4319574,             19081500,,,,              2275280,              2275280,,              1384463,,,             -1367660,             -1367660,             -1367660,,                 72780,              2364863,                169804,              2534667,             21616167,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,2013年12月31日,,,,,,                    174,,,                 28185,,              2509468,,              3661982,,                103157,,,              1704936,                              0,              1704936,,                 30486,,              1930957,              1930957,,              4981212,                 77915,              5059127,             18689699,,,                148837,,                 96148,,              4043940,                 84161,,,                  2153,                136851,,                 31574,                170578,              4543664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 25443,              3635784,             23233363,,,,             12457936,,                 18000,,                  5393,                  1497,,                 40466,,              2859756,,                              0,,                468489,,                 38100,,                310237,                348337,             16199874,,,              3372735,,,                              0,                277054,                711297,                 14048,              1002399,              4375134,             20575008,,,,              2275280,              2275280,,              1384209,,,             -1269677,             -1269677,             -1269677,,                 98875,              2488687,                169668,              2658355,,,
1613,2013年09月30日,,,,,,                    155,,,                  4463,,              2385857,,              3598731,,                 95077,,,              1967222,                              0,              1967222,,                 15103,,,              1827432,,              4572071,,              4572071,             18245267,,,                148837,,                 83464,,              4019050,                118660,,,                192969,                135796,,                 71898,                400663,              4770674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 14495,              3764661,             23015941,,,,             10554019,,                 18000,,                    729,                              0,,                368387,,              4025123,,                              0,,                337185,,                 76526,,                296906,                373432,             15676875,,,              3443977,,,                              0,                281908,              1036007,                 14048,              1331963,              4775940,             20452815,,,,              2275280,              2275280,,              1383405,,,             -1282767,             -1282767,             -1282767,,                 24593,              2400511,                162615,              2563126,,,
1613,2013年06月30日,,,,,,                    197,,,                              0,,              2862147,,              3754923,,                127180,,,              2007907,,              2007907,,                  7716,,,              2322297,,              3666227,,              3666227,             20092930,,,                148297,,                 84304,,              4070775,                133109,,,                145635,                137906,,                 71094,                354635,              4791120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  7364,              5336972,             24884050,,,,             11055961,,                 18500,,                    778,                127377,,              1943342,,              3502691,,,,                383371,,                 35876,,                285818,                321694,             17353714,,,              3487975,,,                              0,                281674,                995204,                 14048,              1290926,              4778901,             22132615,,,,              2275280,              2275280,,              1383406,,,             -1257697,             -1257697,             -1257697,,                -50852,              2350137,                401298,              2751435,,,
