證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 資本公積－認列對子公司所有權權益變動數
6278,2015年09月30日,,,,              3594947,,                              0,,                              0,,                 46144,,             11732788,,                104886,,                100449,,              2080164,,                236233,,              2415670,                  1684,              2417354,             20312965,,,                429551,,                429323,,              7501818,                112740,,                391043,              8864475,             29177440,,,,,              3013700,,                  3541,,              9100152,,                275428,,              1018206,                917175,,                108701,             14436903,,,              1311111,,              1432091,,                 54358,              2797560,             17234463,,,,              2953984,              2953984,,,              2377664,                 43157,                              0,                              0,                              0,                132888,                 15063,              2568772,,              1114293,                300000,,              4082649,              5496942,,,                928774,,                 16227,                945001,                 71129,             11893570,                 49407,             11942977,             29177440,              0,              0,      2585000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,2015年06月30日,,,,              4369210,,                    702,,                              0,,                 45115,,              9813829,,                 20980,,                271369,,              1835338,,                260509,,              2262872,                  1648,              2264520,             18881572,,,                403742,,                421346,,              7295085,                101141,,                385228,              8606542,             27488114,,,,,              2335000,,                  3098,,              7963274,,                300194,,              1387259,                883170,,                103801,             12975796,,,              2178311,,              1373343,,                 54395,              3606049,             16581845,,,,              2813318,              2953984,,,              2377664,                 43157,                              0,                              0,                              0,                132888,                 15063,              2568772,,              1114293,                300000,,              3852800,              5267093,,,                 45355,,                 16227,                 61582,,             10851431,                 54838,             10906269,             27488114,              0,              0,              0,                140666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,2015年03月31日,,,,              4114199,,                  6848,,                  7153,,                 70449,,             10877101,,                  6186,,                105806,,              1816576,,                223880,,              2180529,                  1527,              2182056,             19410254,,,                409392,,                435503,,              7505282,                108506,,                368385,              8827068,             28237322,,,,,              2999185,,                  5371,,              8381778,,                276736,,                938771,              1003392,,                 43794,             13649027,,,              1803778,,              1392996,,                 54352,              3251126,             16900153,,,,              2813318,              2813318,,,              2377664,                 43157,                              0,,                              0,                133325,                 15063,              2569209,,              1008118,                556785,,              4069178,              5634081,,,                244076,,                 16227,                260303,,             11276911,                 60258,             11337169,             28237322,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,2014年12月31日,,,,              6401364,,                    664,,                 15499,,                 27233,,             12356362,,                    285,,                 88518,,              1808673,,                266260,,                  1000,                  1389,                  2389,             20967247,,,                413886,,                419216,,              7740204,                106826,,                369112,              9049244,             30016491,,,,,              3082098,,                  4942,,              9749967,,                331313,,              1107792,              1120145,,                 48678,             15444935,,,              1810778,,              1465951,,                 54287,              3331016,             18775951,,,,              2813318,              2813318,,,              2377664,                 43157,                              0,                              0,                              0,                132347,                 15063,              2568231,,              1008118,                556785,,              3809439,              5374342,,,                405720,,                 16227,                421947,                              0,             11177838,                 62702,             11240540,             30016491,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,2014年09月30日,,,,              6477871,,                  3460,,                 14891,,                 26079,,             12246935,,                    216,,                234390,,              1912562,,                245564,,                  1000,                  2065,                  3065,             21165033,,,                510921,,                412210,,              7568919,                104741,,                366781,              8963572,             30128605,,,,,              3662673,,                  5914,,             10391168,,                345755,,              1060425,              1082310,,                474094,             17022339,,,              1220328,,              1413517,,                 53257,              2687102,             19709441,,,,              2813078,              2813078,,,              2376913,                 43157,                              0,                              0,                              0,                131025,                 15063,              2566158,,              1008118,                556786,,              3441253,              5006157,,,               -158430,,                133617,                -24813,                              0,             10360580,                 58584,             10419164,             30128605,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,2014年06月30日,,,,              7453390,,                     32,,                 14892,,                 23635,,             11484587,,                              0,,                351385,,              1841070,,                337647,,                  1000,                  2412,                  3412,             21510050,,,                494319,,                367774,,              7385653,                 99955,,                428191,              8775892,             30285942,,,,,              1447962,,                  4977,,              9761431,,                308580,,              1380408,              1071923,,                778007,             14753288,,,                385694,,              1389875,,                 53268,              1828837,             16582125,,,,              2700315,              2808328,,,              2362045,                 43157,                              0,                    770,                              0,                129704,                              0,              2535676,,              1008118,                556786,,              3690090,              5254994,,,               -409751,,                133617,               -276134,,             10322864,              3380953,             13703817,             30285942,              0,              0,              0,                108013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,2014年03月31日,,,,              7571733,,                              0,,                 14290,,                 13450,,             10771587,,                              0,,                403343,,              1614069,,                283546,,                  1000,                  2397,                  3397,             20675415,,,                504248,,                352059,,              7521502,                102676,,                409919,              8890404,             29565819,,,,,              1083308,,                  8104,,              9355382,,                245938,,                807359,                984523,,                775728,             13260342,,,                648953,,              1404104,,                 52975,              2106032,             15366374,,,,              2700315,              2700315,,,              2362045,                 43157,                              0,,                              0,                126426,                              0,              2531628,,                887519,                993250,,              3722935,              5603704,,,               -187296,,                133617,                -53679,,             10781968,              3417477,             14199445,             29565819,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,2013年12月31日,,,,,,                              0,,                 14290,,                 15226,,             11609922,,                              0,,                489115,,              1733533,,                313254,,,,                  1993,             20974705,,,                493326,,                336251,,              7529588,                100879,,                413556,              8873600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              6797372,             29848305,,,,                336101,,                  6900,,             10595500,,                203598,,                995936,                972055,,                763679,             13873769,,,                740504,,              1378815,,                 50331,              2169650,             16043419,,,,              2700315,              2700315,,,              2362045,                 43157,                              0,                              0,                123148,                              0,              2528350,,                887519,                993250,,              3618863,              5499632,,,               -390402,,                133617,               -256785,             10471512,              3333374,             13804886,                              0,                              0
6278,2013年09月30日,,,,,,                              0,,                 14290,,                 12593,,             13399959,,                              0,,                412398,,              1915262,,                283550,,,,                  2962,             21591207,,,                484208,,                310802,,              7365758,                 76400,,                393985,              8631153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              5550193,             30222360,,,,                304193,,                  4864,,             11632302,,                201447,,                821743,                898683,,                657264,             14520496,,,                984427,,              1358197,,                 39605,              2382229,             16902725,,,,              2700315,              2700315,,,              2362045,                 43157,                              0,                              0,                120273,                              0,              2525475,,                887519,                993250,,              3294409,              5175178,,,               -507849,,                128430,               -379419,             10021549,              3298086,             13319635,,
6278,2013年06月30日,,,,,,                              0,,                 13698,,                  9538,,             14666590,,,,                492203,,              1859889,,                312169,,,,                  3870,             23133152,,,                491250,,                256695,,              7393955,                 83661,,                381828,              8607389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              5775195,             31740541,,,,                235035,,                  6741,,             13170528,,                162820,,              1167377,                854506,,                659820,             16256827,,,              1004643,,              1341827,,                 37353,              2383823,             18640650,,,,              2571728,              2700315,,,              2362045,                 43157,                              0,                              0,                116995,,              2522197,,                887519,                993250,,              2992890,              4873659,,,               -340471,,                128430,               -212041,              9884130,              3215761,             13099891,                128587,                              0
6278,2013年03月31日,,,,,,,,                 13698,,                  9091,,             14471150,,,,                545783,,              2259862,,                323663,,,,                  2901,             22888318,,,                488466,,                237926,,              7263210,                 48502,,                440863,              8478967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              5262170,             31367285,,,,                343167,,                  9674,,             13059897,,                124977,,                771362,                846720,,                301250,             15457047,,,              1355146,,              1379735,,                 37344,              2772225,             18229272,,,,              2571728,              2571728,,,              2362045,                 43157,,                              0,                111784,,              2516986,,                784726,                615008,,              3727199,              5126933,,,               -422240,,                128430,               -293810,              9921837,              3216176,             13138013,,
6278,2012年12月31日,,,,              5155235,,,,                  8345,,                  3948,,             15252406,,,,                641664,,              2310728,,                300539,,,,                  2431,             23675296,,,                475530,,                226748,,              7090949,                 49457,,                443794,              8286478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,             31961774,,,,                559716,,                  3413,,             14340745,,                125956,,                908924,                742886,,                222575,             16904215,,,              1330693,,              1359793,,                 37369,              2727855,             19632070,,,,              2571728,              2571728,,,              2362045,                 43157,,                              0,                102424,,              2507626,,                784726,                615008,,              3409768,              4809502,,,               -698748,,                128430,               -570318,              9318538,              3011166,             12329704,,
6278,2012年09月30日,,,,              4611065,,,,                  8345,,                  3447,,             17599118,,,,                385495,,              3352707,,                342005,,,,                  8981,             26311163,,,                474308,,                211892,,              6774013,                 25598,,                552706,              8038517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,             34349680,,,,              1112829,,                  3593,,             16775161,,                140519,,                877182,                723001,,                117665,             19749950,,,              1083015,,              1343504,,                 27307,              2453826,             22203776,,,,              2571728,              2571728,,,              2360540,                 43157,,,                 95035,,              2498732,,                784726,                615008,,              2823424,              4223158,,,               -306809,,                123000,               -183809,              9109809,              3036095,             12145904,,
6278,2012年06月30日,,,,              5186182,,,,                  7836,,                  2306,,             17438002,,,,                425447,,              3227548,,                395654,,,,                 10068,             26693043,,,                483697,,                200052,,              6581221,                 17899,,                493599,              7776468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,             34469511,,,,              1119781,,                  4752,,             16933321,,,,              1238918,                697809,,                 85984,             20080565,,,              1038526,,              1326908,,                 27895,              2393329,             22473894,,,,              2402886,              2571088,,,              2358070,                 43157,,,                 86194,,              2487421,,                784726,                615008,,              2549842,              3949576,,,               -117374,,                123000,                  5626,              9013711,              2981906,             11995617,                168202,
6278,2012年03月31日,,,,              4498364,,,,                  7836,,                  6359,,             15352351,,,,                692201,,              3122180,,                546026,,,,                  9028,             24234345,,,                477708,,                182192,,              6505194,                 18188,,                452461,              7635743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,             31870088,,,,                699297,,                  5621,,             15240218,,,,                787911,                582204,,                 85149,             17400400,,,              1026908,,              1303821,,                 28211,              2358940,             19759340,,,,              2402886,              2402886,,,              2358070,                 43157,,,                 77253,,              2478480,,                653063,                967401,,              2740086,              4360550,,,               -231230,,                123000,               -108230,              9133686,              2977062,             12110748,,
6278,2012年01月01日,,,,              5242969,,,,                  7836,,                  4108,,             13772686,,,,                732484,,              2862879,,                444219,,,,                  9729,             23076910,,,                490173,,                199458,,              6684778,                 15284,,                445960,              7835653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,             30912563,,,,                990258,,                 10030,,             14226848,,                 61375,,                844925,                445893,,                 80866,             16660195,,,                838736,,              1341056,,                 28510,              2208302,             18868497,,,,              2402886,              2402886,,,              2358070,                 43157,,                              0,                 65860,,              2467087,,                653063,                967401,,              2824926,              4445390,,,               -315008,,                123000,               -192008,              9123355,              2920711,             12044066,,
