證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行透支,　　　　　 銀行借款,　　　　　 其他短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債,　　　　　 應付公司債溢（折）價,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 其他長期借款,　　　　　 分期償付之借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 採用權益法之投資,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計
2417,2015年09月30日,,,,              1809068,,                221969,,                              0,                              0,,                  2934,                  2934,,                301174,,                 13667,,                 22711,,                302821,,                 28980,              2703324,,,              1760807,,                354290,,                 10601,                 98509,,                121457,,                  1645,                  1645,                123102,              2347309,              5050633,,,,,                              0,                              0,                              0,                              0,,                  3487,,                              0,,                268377,,                340853,                    141,,                  3186,,                  7249,                  7249,                623293,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 13832,,                  1514,,                  4119,                  4927,                  9046,                 24392,                647685,,,,              1991653,              1991653,,                562818,,                693187,                              0,,               -112172,                581015,,                 20518,                 81636,              3074368,                              0,              1328580,              4402948,              5050633,              0,              0,      6273000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2015年06月30日,,,,              1899916,,                238901,,                              0,                              0,,                  3454,                  3454,,                222159,,                 10159,,                 19462,,                328442,,                 27520,              2750013,,,              1783128,,                355377,,                 11870,                 97054,,                121748,,                  3310,                  3310,                125058,              2372487,              5122500,,,,,                              0,                              0,                              0,                              0,,                    901,,                              0,,                234639,,                370918,                    248,,                  3018,,                  8296,                  8296,                618020,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 13402,,                     74,,                  4091,                  4812,                  8903,                 22379,                640399,,,,              1991653,              1991653,,                560901,,                693187,                              0,,                -59989,                633198,,                 13461,                 42368,              3156845,                              0,              1325256,              4482101,              5122500,              0,              0,      2451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2015年03月31日,,,,              2008442,,                248009,,                              0,                              0,,                  1903,                  1903,,                217386,,                 13455,,                 17760,,                341306,,                 28730,              2876991,,,              1802252,,                356523,,                 14971,                 96371,,                121246,,                  5040,                  5040,                126286,              2396403,              5273394,,,,,                              0,                              0,                              0,                              0,,                     49,,                              0,,                254551,,                309083,                  7377,,                  2877,,                 10641,                 10641,                584578,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 12464,,                     76,,                  1802,                  4998,                  6800,                 19340,                603918,,,,              1991653,              1991653,,                567668,,                693187,                    508,,                  9159,                702854,,                 16531,                 42368,              3236338,                              0,              1433138,              4669476,              5273394,              0,              0,      2451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2014年12月31日,,,,              2091599,,                336012,,                              0,                              0,,                  5869,                  5869,,                240318,,                 12314,,                 17135,,                313463,,                 23537,              3040247,,,              1825664,,                357669,,                 18192,                 94037,,                121986,,                  6771,                  6771,                128757,              2424319,              5464566,,,,,                              0,                              0,                              0,                              0,,                    181,,                              0,,                283685,,                361642,                  9818,,                  3108,,                 11638,                 11638,                670072,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 11835,,                  1060,,                  4106,                  5207,                  9313,                 22208,                692280,,,,              1991653,              1991653,,                567668,,                693187,                    508,,                 91647,                785342,,                 14636,                 42368,              3316931,                              0,              1455355,              4772286,              5464566,              0,              0,      2451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2014年09月30日,,,,              1973469,,                410507,,                              0,                              0,,                  4444,                  4444,,                366503,,                 15427,,                 13670,,                289327,,                 43135,              3116482,,,              1842270,,                358815,,                 18698,                 92069,,                121392,,                  7646,                  7646,                129038,              2440890,              5557372,,,,,                              0,                              0,                              0,                              0,,                    313,,                              0,,                310129,,                368299,                 13402,,                  3351,,                 22435,                 22435,                717929,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 10841,,                    442,,                  3921,                  4965,                  8886,                 20169,                738098,,,,              1991653,              1991653,,                568772,,                693187,                    508,,                144653,                838348,,                  8544,                 42368,              3364949,                              0,              1454325,              4819274,              5557372,              0,              0,      2451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2014年06月30日,,,,              2247880,,                106544,,                              0,                              0,,                  4145,                  4145,,                379498,,                 18403,,                  4706,,                323994,,                 50271,              3135441,,,              1866820,,                359962,,                 19088,                 89087,,                121967,,                  8518,                  8518,                130485,              2465442,              5600883,,,,,                              0,                              0,                              0,                              0,,                    111,,                              0,,                347187,,                366731,                  9162,,                  3718,,                 10788,                 10788,                737697,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 10010,,                    503,,                  4735,                  4840,                  9575,                 20088,                757785,,,,              1991653,              1991653,,                567388,,                693187,                    508,,                185751,                879446,,                  5088,                 42368,              3401207,                              0,              1441891,              4843098,              5600883,              0,              0,      2451000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2014年03月31日,,,,              2085021,,                246879,,                              0,                              0,,                  1811,                  1811,,                318679,,                 20935,,                  2308,,                282136,,                 36789,              2994558,,,              1892454,,                361107,,                 23075,                 88367,,                125252,,                  9390,                  9390,                134642,              2499645,              5494203,,,,,                              0,                              0,                              0,                              0,,                    781,,                              0,,                257188,,                306373,                  6772,,                  3514,,                  8574,                  8574,                583202,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  9229,,                  1805,,                  3943,                  4888,                  8831,                 19865,                603067,,,,              2069453,              2069453,,                609750,,                693187,                 13390,,                206364,                912941,,                  8491,                145688,              3454947,                              0,              1436189,              4891136,              5494203,              0,              0,     10231000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2014年01月01日,,,,              2135764,,                289731,,                 20000,                 20000,,                  4900,                  4900,,                353671,,                 20620,,                  1937,,                308930,,                 35492,              3171045,,,              1919721,,                362254,,                 26874,                 88171,,                125936,,                 10262,                 10262,                136198,              2533218,              5704263,,,,,                              0,                              0,                              0,                              0,,                    324,,                              0,,                310151,,                380411,                  5875,,                  3237,,                 10053,                 10053,                710051,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  9417,,                  1196,,                  4229,                  4676,                  8905,                 19518,                729569,,,,              2069453,              2069453,,                609750,,                693187,                 13390,,                228188,                934765,,                  4046,                 73334,              3544680,                              0,              1430014,              4974694,              5704263,              0,              0,      4885000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2013年12月31日,,,,,,                238742,,,,,,                    307,,                203066,,                 11561,,,,                102810,,                 17032,              1915712,,,                437368,,                288241,,                 16649,                 54185,,                117467,,,,                117467,              1964605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4885000,              1320257,                 20000,                  1937,,              1050695,              3880317,,,,                              0,,                              0,,                              0,,                114715,,                209060,                    358,,                  1709,,                  4155,                  4155,                329997,,,                  1196,,                  3432,                  3432,                  4628,                334625,,,,              2069453,              2069453,,                612483,,                693187,                 13390,,                231020,                937597,,                   -507,                 73334,              3545692,                              0,                              0,              3545692,              1050695,,                 16649,,,,,
2417,2013年09月30日,,,,,,                100442,,,,,,                    378,,                227940,,                 13948,,,,                119319,,                 11600,              1928093,,,                454800,,                289291,,                 18139,                 52963,,                117485,,,,                117485,              1998774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2451000,              1432930,                 20000,                  1536,,              1066096,              3926867,,,,,,,,,,                104124,,                167280,                    796,,                  1709,,                  4157,                  4157,                278066,,,                    754,,                  3454,                  3454,                  4208,                282274,,,,              2069453,              2069453,,                612483,,                693187,                 13390,,                299339,              1005916,,                   -891,                 42368,              3644593,,                              0,              3644593,              1066096,,                 18139,,,,,
