證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 發展中無形資產淨額,　　　　　 發展中無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 避險之衍生金融負債－流動,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計
2204,2015年09月30日,,,,             12460385,,                312388,,                917301,,                184481,,              1127852,,              1612988,,                178065,,              3782256,,              1301605,             21877321,,,                838224,,                426838,,              2246626,,             27392288,,              6599549,,              1432860,,                 27672,,                189831,                217503,                472446,,,                226806,                226806,             39853140,             61730461,,,,,                722305,,                 89903,,              2137035,,                687063,,              2497471,              2497471,                234775,,,                  4545,                641964,                646509,              7015061,,,                 36364,,                142307,,              2048368,                 13764,              2062132,              2240803,              9255864,,,,             13840508,             13840508,,              6398665,,              7851773,              1056988,,             18530401,             27439162,,,                817438,,                876277,,                   -500,              1693215,             49371550,              3103047,             52474597,             61730461,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,2015年06月30日,,,,             13146056,,                438754,,                971468,,                182137,,              1470240,,              1843749,,                644821,,              4033889,,              1047031,             23778145,,,                885578,,                451061,,              1911727,,             26919705,,              6552071,,              1434189,,                 27672,,                199283,                226955,                481905,,,                210659,                210659,             39073850,             62851995,,,,,                677311,,                119929,,              2514754,,                882443,,              2425063,              4083324,                312010,,,                  9091,                571472,                580563,              9170334,,,                 36364,,                123473,,              2034418,                 11668,              2046086,              2205923,             11376257,,,,             13840508,             13840508,,              6396565,,              7851773,              1056988,,             17832180,             26740941,,,                549484,,                990808,,,              1540292,             48518306,              2957432,             51475738,             62851995,              0,              0,              1658261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,2015年03月31日,,,,             12196643,,                572459,,              1174505,,                268470,,              1321374,,              1972154,,                207970,,              4106680,,                971031,             22791286,,,                879195,,                468014,,              1297135,,             27154313,,              6554666,,              1438108,,                 27672,,                208736,                236408,                431517,,,                189504,                189504,             38648860,             61440146,,,,,                629472,,                119808,,              2195004,,                750895,,              2306690,              2306690,                377376,,,                 13636,                535929,                549565,              6928810,,,                 36364,,                129008,,              2031417,                 11587,              2043004,              2208376,              9137186,,,,             13840508,             13840508,,              6396623,,              7595944,              1056988,,             18752982,             27405914,,,                653212,,              1018292,,                              0,              1671504,             49314549,              2988411,             52302960,             61440146,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,2014年12月31日,,,,             11211609,,                631143,,              1556952,,                248494,,                934816,,              1560828,,                169118,,              5704551,,                921489,             22939000,,,                863278,,                468225,,              1316118,,             27095837,,              6490732,,              1441857,,                 27672,,                218187,                245859,                488930,,,                173582,                173582,             38584418,             61523418,,,,,                649737,,                119870,,              2545342,,                825486,,              2756797,              2756797,                293807,,,                 13636,                652266,                665902,              7856941,,,                 36364,,                132981,,              2085571,                 12391,              2097962,              2267307,             10124248,,,,             13840508,             13840508,,              6392369,,              7595944,              1057002,,             17769073,             26422019,,,                750561,,              1035801,,                              0,              1786362,             48441258,              2957912,             51399170,             61523418,              0,              0,                              0,             11211609,              1316118,             61523418,,,,                649737,,                119870,,              2545342,,                825486,,              2756797,              2756797,                293807,,,                              0,                652266,                652266,              7843305,,,                 50000,,                132981,,              2084161,                 12391,              2096552,              2279533,             10122838,,,,             13840508,             13840508,,              6392369,,              7595944,              1057002,,             17769775,             26422721,,,                750561,,              1035801,              1786362,             48441960,              2958620,             51400580,              0,,,,,,,,,,,,,,
2204,2014年09月30日,,,,             10650116,,                878851,,              1442225,,                217301,,              1205106,,              1978540,,                333952,,              4294271,,              1166922,             22167284,,,                833481,,                497295,,              1284315,,             26109420,,              6202797,,              1444917,,                 27672,,                189599,                217271,                516605,,,                248999,                248999,             37355100,             59522384,,,,,                705335,,                119970,,              2244627,,                509865,,              2440699,              2440699,                304150,,,                  1506,                603048,                604554,              6929200,,,                              0,,                137432,,              2066933,                 12209,              2079142,              2216574,              9145774,,,,             13840508,             13840508,,              6382432,,              7595944,              1057002,,             17517945,             26170891,,,                251446,,                916603,,                -10271,              1157778,             47551609,              2825001,             50376610,             59522384,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,2014年06月30日,,,,             12309083,,                982339,,              1422788,,                233432,,              1466238,,              2355802,,                947189,,              4406394,,              1129755,             25253020,,,                738152,,                505782,,                677889,,             25344666,,              6178466,,              1448662,,                 27672,,                197366,                225038,                577871,,,                226248,                226248,             35922774,             61175794,,,,,                705607,,                284844,,              2776572,,                827512,,              2492072,              4091373,                288487,,,                  3013,                580244,                583257,              9557652,,,                              0,,                137412,,              2053127,                 12022,              2065149,              2202561,             11760213,,,,             13840508,             13840508,,              6377002,,              7595944,              1057002,,             16860252,             25513198,,,                126622,,                817288,,,                943910,             46674618,              2740963,             49415581,             61175794,              0,              0,              1599301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,2014年03月31日,,,,             11306268,,              1082140,,              1374713,,                124735,,              1118560,,              2077536,,                327964,,              4410459,,              1197389,             23019764,,,                711993,,                640923,,                620944,,             26114743,,              6106672,,              1452578,,                 27672,,                202811,                230483,                604971,,,                215101,                215101,             36698408,             59718172,,,,,                769338,,                284791,,              2392990,,                591892,,              2123004,              2123004,                412776,,,                  4520,                595286,                599806,              7174597,,,                              0,,                137376,,              2040561,                 11883,              2052444,              2189820,              9364417,,,,             13840508,             13840508,,              6376870,,              7342756,              1373008,,             17627931,             26343695,,,                215757,,                811993,,                 -2048,              1025702,             47586775,              2766980,             50353755,             59718172,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,2013年12月31日,,,,,,              1063536,,              1243367,,                213675,,              1023343,,              1846555,,                398825,,              5752022,,              1390562,             23879163,,,                691526,,                669732,,,,             25739766,,              5952588,,              1456495,,                 27672,,                160800,                188472,                636617,,,                248258,                248258,             36181247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,             10947278,                597793,             60060410,,,,                968034,,                339488,,              2959688,,                809155,,              2398726,              2398726,                269733,,,                  6026,                642606,                648632,              8393456,,,                              0,,                165083,,              2051255,                 11715,              2062970,              2228053,             10621509,,,,             13840508,             13840508,,              6376868,,              7342756,              1373008,,             16800924,             25516688,,,                192209,,                798854,                991063,             46725127,              2713774,             49438901,              0,,,,,,,,,,,,,,
2204,2013年09月30日,,,,,,                878007,,              1139684,,                105947,,              1133493,,              1494374,,                392929,,              4713618,,              1170880,             22363049,,,                743833,,                862655,,,,             25304078,,              5641135,,              1471851,,                 27672,,                169399,                197071,                629787,,,                201834,                201834,             35492595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,             11334117,                440321,             57855644,,,,                707416,,                409702,,              2478536,,                507034,,              2548171,              2548171,                227258,,,                  7324,                662015,                669339,              7547456,,,                  1506,,                108874,,              2047135,                 11483,              2058618,              2168998,              9716454,,,,             13840508,             13840508,,              6373482,,              7342756,              1373016,,             15919873,             24635645,,,               -137731,,                806210,                668479,             45518114,              2621076,             48139190,              0,,                     30,,                              0,,,,,,,,,,
2204,2013年06月30日,,,,,,              1067485,,              1226617,,                 20532,,                900431,,              2107730,,              1014293,,              4324515,,              1104980,             23283377,,,                712750,,                966250,,,,             25165923,,              5572699,,              1475776,,                 27672,,                 48797,                 76469,                644119,,,                182764,                182764,             35193023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,             11516794,                396243,             58476400,,,,                692124,,                409321,,              2629872,,                671404,,              2143286,              3465161,                205600,,,                  8622,                738236,                746858,              8823247,,,                  3013,,                 80124,,              2032239,                 11378,              2043617,              2126754,             10950001,,,,             13840508,             13840508,,              6370834,,              7342756,              1373016,,             15427652,             24143424,,,                -90161,,                698982,                608821,             44963587,              2562812,             47526399,              0,,                     30,,,,                  2907,              1321875,,,,,,,
