證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 銷貨退回及折讓之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 其他應付款項－關係人,　　　　 員工福利負債準備－非流動,　　　　 有待法律程序決定之長期負債準備,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 暫付款,　　　　 員工福利負債準備－流動,　　　　 有待法律程序決定之短期負債準備,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 其他流動負債－其他,　　　　 特別盈餘公積,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動合計
3533,2015年09月30日,,,,              1529497,,                  8624,,                 11841,,              3226124,,                183987,,                    141,,,              1256149,              1256149,,                165138,,              1743925,                 32017,              1775942,              8157443,,,                 56204,,                              0,,              2261544,,                244352,,                  8253,                105796,,,                 37049,,                506020,                543069,              3219218,             11376661,,,,,                952944,,                  8000,,              1423483,,                730529,                157474,,                 46181,,                 18818,              3337429,,,                 79842,,                  4469,,                  1936,                 86247,              3423676,,,,                934779,                934779,,              2365431,,                686794,,              3433212,              4120006,,,                477896,,                  3226,                481122,                              0,              7901338,                 51647,              7952985,             11376661,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533,2015年06月30日,,,,              1903034,,                  8931,,                  8140,,              2547270,,                178736,,                 16562,,,              1147986,              1147986,,                 73910,,              1819704,                 31518,              1851222,              7743791,,,                 56204,,                              0,,              2392548,,,,                  8219,                104458,,,                 50476,,                464374,                514850,              3076279,             10820070,,,,,                883730,,                  9810,,              1091226,,              1128697,                136825,,                 34830,,                 11729,              3296847,,,                 79480,,                     63,,                  1199,                 80742,              3377589,,,,                934779,                934779,,              2362316,,                686794,,              3124383,              3811177,,,                278294,,                  3533,                281827,                              0,              7390099,                 52382,              7442481,             10820070,              0,              0,              0,,                  8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533,2015年03月31日,,,,              1671441,,                  8789,,                  7935,,              2819788,,                187720,,                    118,,,              1193112,              1193112,,                106259,,              1894194,                 29053,              1923247,              7918409,,,                 54442,,                  2606,,              2297284,,,,                  8694,                110635,,,,,,                460286,              2933947,             10852356,,,,,                872977,,                  8546,,              1170355,,                548571,                161376,,                 46872,,                 20829,              2829526,,,                 79125,,                  1369,,                  1201,                 81695,              2911221,,,,                934779,                934779,,              2362316,,                579036,,              3667060,              4246096,,,                337037,,                  3392,                340429,                              0,              7883620,                 57515,              7941135,             10852356,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533,2014年12月31日,,,,              1395851,,                  8984,,                  9645,,              3014937,,                198302,,                    829,,,              1192220,              1192220,,                 86471,,              1725851,                 37026,              1762877,              7670116,,,                 54442,,                  3065,,              2271665,,                              0,,                 11414,                110992,,,                              0,,                378412,                378412,              2829990,             10500106,,,,,                591364,,                 13578,,              1212585,,                574857,                132144,,                 36936,,                 17556,              2579020,,,                 78767,,                  4606,,                  1234,                 84607,              2663627,,,,                934779,                934779,,              2362316,,                579036,,              3481329,              4060365,,,                414656,,                  3586,                418242,                              0,              7775702,                 60777,              7836479,             10500106,              0,              0,              0,,                              0,,                              0,              1395851,                    829,             10500106,,,,                591364,,                 13578,,              1212585,,                574857,                132144,,                 36936,                 36936,,                 17556,              2579020,,,                 78767,,                  4606,,                  1234,                 84607,              2663627,,,,                934779,                934779,,              2362316,,                579036,,              3481329,              4060365,,,                414656,,                  3586,                418242,                              0,              7775702,                 60777,              7836479,,,,,,,,,,,,,,,,,,,,,,,,,
3533,2014年09月30日,,,,              1359404,,                 15811,,                  3496,,              3075100,,                117480,,                  3265,,,              1276596,              1276596,,                118520,,              1698554,                 38605,              1737159,              7706831,,,                 54442,,                  3082,,              1969124,,                              0,,                 11722,                 76476,,,                              0,,                334033,                334033,              2448879,             10155710,,,,,                766896,,                 13855,,              1271598,,                606374,                 92737,,                 36175,,                  3808,              2791443,,,                 79724,,                  1977,,                  1313,                 83014,              2874457,,,,                934779,                934779,,              2355366,,                579036,,              3180419,              3759455,,,                175496,,                  8013,                183509,                              0,              7233109,                 48144,              7281253,             10155710,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533,2014年06月30日,,,,              1941900,,                 17990,,                  4556,,              2853967,,                 93220,,                  1759,,,              1332935,              1332935,,                152340,,              1278929,                 79989,              1358918,              7757585,,,                 25534,,                 32035,,              1893107,,,,                 12184,                 83526,,,                              0,,                300245,                300245,              2346631,             10104216,,,,,                800327,,                 13041,,              1228665,,                901660,                162300,,                 28549,,                 11425,              3145967,,,                 79858,,                              0,,                  1362,                 81220,              3227187,,,,                934779,                934779,,              2355379,,                579036,,              2873727,              3452763,,,                 76288,,                 10193,                 86481,                              0,              6829402,                 47627,              6877029,             10104216,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533,2014年03月31日,,,,              1950532,,                 16966,,                  4830,,              2993924,,                 65099,,                  1753,,,              1332315,              1332315,,                137004,,              1094997,                 80871,              1175868,              7678291,,,                 25534,,                 33825,,              1915985,,,,                 14682,                 75964,,,,,,                317351,              2383341,             10061632,,,,,                754873,,                 10418,,              1319409,,                534700,                161318,,                 33155,,                 34511,              2848988,,,                 79403,,                  6826,,                  1414,                 87643,              2936631,,,,                934779,                934779,,              2355271,,                506501,,              3092770,              3599271,,,                176449,,                  9169,                185618,                              0,              7074939,                 50062,              7125001,             10061632,              0,              0,              0,,,,                    604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533,2013年12月31日,,,,,,                 13606,,                  6155,,              3272369,,                 63446,,,,,              1156186,              1156186,,                 90469,,              1937043,                 58859,              1995902,              7617603,,,                 25534,,                 36912,,              1929689,,,,                 15901,                 81459,,,,,,                327666,              2417161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 11363,,,              1006366,                  1741,             10034764,,,,              1058457,,                 12073,,              1373062,,                578705,                128649,,                 30363,                 30363,,                  8190,              3189499,,,                 78797,,                  2997,,                  1300,                 83094,              3272593,,,,                934779,                934779,,              2352485,,                506501,,              2804320,              3310821,,,                109568,,                  5682,                115250,                              0,              6713335,                 48836,              6762171,,,,,,,,,,,,,,,,,,,,,,,,,
3533,2013年09月30日,,,,,,                 10070,,                  7041,,              2916122,,                100388,,,,,                981415,                981415,,                 92380,,              1529153,                 31884,              1561037,              7140958,,,                 25534,,                 39766,,              1895375,,,,                 17582,                 76070,,,,,                209569,                329145,              2383472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 12176,,,              1417939,                 42390,              9524430,,,,              1184362,,                  8308,,              1185203,,,                 87798,,                 24372,                 24372,,                 49599,              3096849,,,                 83238,,                              0,,                  1390,                 84628,              3181477,,,,                934779,                934779,,              2351391,,                506501,,              2475459,              2981960,,,                 42779,,                  1779,                 44558,                              0,              6312688,                 30265,              6342953,                 30212,                 17980,                 71384,,                              0,                              0,                557207,                 61738,                 21500,,              2277768,              2277768,                 68917,                  4706,,,,,,,,,,,
3533,2013年06月30日,,,,,,                  9384,,                  7743,,              2606016,,                 87734,,,,,                919893,                919893,,                147717,,              1608057,                 47372,              1655429,              7030311,,,                 25534,,                 42920,,              1973100,,,,                 20015,                 70476,,,,,                175086,                279704,              2411749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  5902,,,              1547708,                 42785,              9442060,,,,              1098536,,                  9134,,                868835,,,                137705,,                 24316,                 24316,,                 14799,              3054169,,,                 82910,,                  2176,,                  1430,                 86516,              3140685,,,,                934779,                934779,,              2350547,,                506501,,              2384462,              2890963,,,                 88833,,                  1093,                 89926,                              0,              6266215,                 35160,              6301375,                 18482,                 13689,                 72447,,                    793,                    793,                900051,                 61410,                 21500,,              2277768,              2277768,                 68073,                  4706,,,,,,,,,,,
