證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付票據,　　　　　 應付票據合計,　　　　　　 累積盈虧,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期應付票據及款項－關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　 當期所得稅資產,　　　　 當期所得稅資產合計
5264,2015年09月30日,,,,             15553081,,              8466526,,                 65545,,              2607677,,                139487,              1099031,              1238518,             27931347,,,                 50000,,             15427153,,              1168003,                841509,,              2367282,             19853947,             47785294,,,,,              3752113,,              3464808,,                 13939,,              1034753,              5782628,              6817381,                587390,,                 50528,,,                657400,                657400,                761870,              1419270,             16105429,,,                493050,,              1125244,,                442663,                177191,                619854,              2238148,             18343577,,,,              3397070,              3397070,,,             11328062,             11328062,,              1431771,,             10704160,             12135931,,              2580654,             29441717,             29441717,             47785294,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5264,2015年06月30日,,,,             15470931,,              6429214,,                 47436,,              2472533,,                275731,                847591,              1123322,             25543436,,,                 50000,,             14425021,,              1110121,                782687,,              1156303,             17524132,             43067568,,,,,              1543000,,              2573921,,                 14459,,                254367,              7515324,              7769691,                281376,,                 73496,,,              1049240,              1049240,                451151,              1500391,             13756334,,,                524620,,              1003583,,                541100,                162966,                704066,              2232269,             15988603,,,,              3397070,              3397070,,,             11328062,             11328062,,              1431771,,              9090210,             10521981,,              1831852,             27078965,             27078965,             43067568,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5264,2015年03月31日,,,,             16587368,,              4601771,,                 67380,,              2563450,,                479811,              1095596,              1575407,             25395376,,,                 50000,,             14948823,,              1149600,                788861,,              1055552,             17992836,             43388212,,,,,              1565000,,              2857198,,                  8745,,                562163,              5160263,              5722426,                319146,,                 64643,,,              1064200,              1064200,                284817,              1349017,             11886175,,,                907700,,              1047328,,                547621,                137417,                685038,              2640066,             14526241,,,,              3397070,              3397070,,,             11328062,             11328062,,                939406,,             11069913,             12009319,,              2127520,             28861971,             28861971,             43388212,              0,              0,              0,,                              0,             11069913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5264,2014年12月31日,,,,             14709693,,              7651995,,                522130,,              2587998,,                963314,              1399661,              2362975,             27834791,,,                 50000,,             15158960,,              1195729,                842473,,              1181377,             18428539,             46263330,,,,,              1582500,,              3737324,,                 13578,,              1233612,              6777203,              8010815,                560014,,                183794,,,              1076100,              1076100,                154585,              1230685,             15318710,,,              1076100,,              1043627,,                384187,                 91180,                475367,              2595094,             17913804,,,,              3397070,              3397070,,,             11328062,             11328062,,                939406,,             10166583,             11105989,,              2518405,             28349526,             28349526,             46263330,              0,              0,              0,,                              0,             10166583,             14709693,             46263330,,,,              1582500,,                              0,,              3737324,,                 13578,,              1233612,              6777203,              8010815,                560014,,                183794,,,              1076100,                              0,              1076100,                154585,              1230685,             15318710,,,              1076100,,              1043627,,                384187,                 91180,                475367,              2595094,             17913804,,,,              3397070,              3397070,,,             11328062,             11328062,,                939406,,             10166583,             11105989,,              2518405,             28349526,             28349526,,,,,,
5264,2014年09月30日,,,,             12957945,,              4699361,,              1749995,,              2690506,,                258874,              1108851,              1367725,             23465532,,,                 50000,,             13806258,,              1165118,                831556,,                920188,             16773120,             40238652,,,,,              1521000,,              2986496,,                 21810,,                176091,              5734303,              5910394,                274460,,                195785,,,                669240,                669240,                115173,                784413,             11694358,,,              1399320,,                968453,,                405281,                 98277,                503558,              2871331,             14565689,,,,              3397070,              3397070,,,             11328062,             11328062,,                939406,,              8664648,              9604054,,              1343777,             25672963,             25672963,             40238652,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5264,2014年06月30日,,,,             14693166,,              3910384,,              1294622,,              1471487,,                278863,                661446,                940309,             22309968,,,                 50000,,             13855296,,              1166093,                815479,,                822485,             16709353,             39019321,,,,,                895950,,              2108391,,                 74447,,                120130,              7424661,              7544791,                264409,,                114837,,,                686895,                686895,                564060,              1250955,             12255021,,,              1523115,,                886137,,                382171,                 14641,                396812,              2806064,             15061085,,,,              3397070,              3397070,,,             11328062,             11328062,,                939406,,              7385969,              8325375,,                907729,             23958236,             23958236,             39019321,              0,              0,              0,,                  1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5264,2014年03月31日,,,,             16012738,,              3476350,,                874143,,              1426443,,                238561,                478371,                716932,             22506606,,,                              0,,             14713866,,              1211383,                734633,,                854618,             17514500,             40021106,,,,,                914100,,              2046402,,                 94642,,                124529,              4283392,              4407921,              1048205,,                181903,,,                517990,                517990,              1135190,              1653180,             10346452,,,              1919610,,                869503,,                383036,                 12368,                395404,              3184517,             13530969,,,,              3397070,              3397070,,,             11328062,             11328062,,                327122,,             10034393,             10361515,,              1403490,             26490137,             26490137,             40021106,              0,              0,              0,,                     99,             10034393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5264,2013年12月31日,,,,,,              5798599,,              3099070,,              2309945,,              1260607,                959380,              2219987,             24220313,,,                              0,,             15061948,,              1206404,                743637,,                856046,             17868035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,             10792712,             42088348,,,,                894150,,                  1327,,              3591747,,                221002,,                124468,              6012596,              6137064,              1202405,,                129641,,,                357660,                              0,                357660,              1251965,              1609625,             13786961,,,              2026740,,                866372,,                390327,                 12198,                402525,              3295637,             17082598,,,,              3397070,              3397070,,,             11328062,             11328062,,                327122,,              8912581,              9239703,,              1040915,             25005750,             25005750,,              1040915,,,,
5264,2013年09月30日,,,,,,              4370339,,              1133662,,              2229692,,                698971,              1042701,              1741672,             18870762,,,                              0,,             15324509,,              1310909,                715198,,                909640,             18260256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              9395397,             37131018,,,,              1774200,,                              0,,              3034178,,                192828,,                148029,              4833406,              4981435,                549013,,                 41175,,,                354840,,                354840,                326594,                681434,             11254263,,,              2010760,,                728180,,                233604,                 11688,                245292,              2984232,             14238495,,,,              3397070,              3397070,,,,             11328062,,                327122,,              7146353,              7473475,,                693916,             22892523,             22892523,,,,,,
5264,2013年06月30日,,,,,,              3385055,,              1359702,,              1033632,,                352706,                764555,              1117261,             14851711,,,                              0,,             15796206,,              1439973,                600004,,                908276,             18744459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              7956061,             33596170,,,,              1800000,,                              0,,              2034787,,                125084,,                141310,              3849134,              3990444,                353581,,                 12442,,,                180000,,                180000,                328646,                508646,              8824984,,,              2220000,,                692796,,                 12791,                 39863,                 52654,              2965450,             11790434,,,,              3397070,              3397070,,,             11328062,             11328062,,                327122,,              5825512,              6152634,,                927970,             21805736,             21805736,,                927970,,,,
