證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 預付投資款,　　　 庫藏股票,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 模具設備淨額,　　　　　 模具設備成本,　　　　　 累計折舊－模具設備,　　　　　 模具設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額
1515,2015年09月30日,,,,                720405,,                603312,,                 64521,,                  2373,,                 12593,,              1019732,,                 28171,,                 26499,,,                597141,                597141,,                  1911,                 59530,                 61441,              3136188,,,                129533,,                  6767,,                 15769,,              2343811,,                 98142,                 79851,,                    183,                 86532,,                 55643,                142358,              2816231,              5952419,,,,,              1089305,,                              0,,                166355,,                636834,,                279460,                      9,                 26993,,                 68094,,,                252333,                137618,                389951,              2657001,,,                643553,,                 39403,,                163782,                163782,                846738,              3503739,,,,              1814735,              1814735,,                    433,,                488306,,                119529,              2423003,                 25677,              2448680,              5952419,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,2015年06月30日,,,,                522871,,                646730,,                 66714,,                  3939,,                 10275,,                598839,,                 12735,,                 20863,,,                567204,                567204,,                102749,                 69102,                171851,              2622021,,,                140776,,                  8212,,                 15450,,              2320765,,                 91161,                 87897,,                    183,                 84626,,                 44891,                129700,              2793961,              5415982,,,,,              1374346,,                              0,,                142286,,                337996,,                242962,                     30,                 15005,,                 52645,,,                213176,                 98646,                311822,              2477092,,,                422201,,                 28295,,                179909,                179909,                630405,              3107497,,,,              1814735,              1814735,,                    433,,                369195,,                100031,              2284394,                 24091,              2308485,              5415982,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,2015年03月31日,,,,                515366,,                629418,,                 76423,,                  3055,,                 11799,,                678795,,                 12570,,                 22532,,,                561790,                561790,,                103738,                 52755,                156493,              2668241,,,                187946,,                  9385,,                 16158,,              2300763,,                 92887,                 89047,,                    183,                 85528,,                 34082,                119793,              2815979,              5484220,,,,,              1569193,,                              0,,                171535,,                369345,,                238041,                     42,                  1238,,                 62980,,,                183228,                106499,                289727,              2702101,,,                168978,,                 30157,,                196107,                196107,                395242,              3097343,,,,              1814735,              1814735,,                    433,,                380082,,                168328,              2363578,                 23299,              2386877,              5484220,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,2014年12月31日,,,,                461575,,                661957,,                 67027,,                    373,,                 13636,,                966990,,                 28100,,                 31415,,,                582022,                582022,,                105288,                 78305,                183593,              2996688,,,                175725,,                  9385,,                 16032,,              2240386,,                 74385,                 89858,,                    183,                 87099,,                 24126,                111408,              2717179,              5713867,,,,,              1406849,,                 29912,,                227757,,                609329,,                270550,                     39,                  6831,,                 51487,,,                181509,                114771,                296280,              2899034,,,                211333,,                 37299,,                200244,                200244,                448876,              3347910,,,,              1814735,              1814735,,                    433,,                362838,,                163947,              2341953,                 24004,              2365957,              5713867,              0,              0,              0,                461575,              5713867,,,,              1406849,,                 29912,,                227757,,                609329,,                270550,                     39,                  6831,,                 51487,,,                181509,                114771,                296280,              2899034,,,                211333,,                 37299,,                200244,                200244,                448876,              3347910,,,,              1814735,              1814735,,                    433,,                362838,,                163947,              2341953,                 24004,              2365957,,,,,,,,,,,,,,,,,,,,
1515,2014年09月30日,,,,                456808,,                633169,,                 69219,,                     90,,                  5347,,                915959,,                 35176,,                 18785,,,                573686,                573686,,                100655,                 76570,                177225,              2885464,,,                152996,,                 15035,,                 15851,,              2031646,,                 74061,                 86083,,                    183,                 83350,,                 19853,                103386,              2479058,              5364522,,,,,              1305938,,                 29907,,                175135,,                571966,,                243143,                     11,                  9539,,                 38203,,,                181457,                111827,                293284,              2667126,,,                256729,,                 21625,,                191067,                191067,                469421,              3136547,,,,              1814735,              1814735,,                    433,,                294592,,                 93527,              2203287,                 24688,              2227975,              5364522,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,2014年06月30日,,,,                716383,,                598569,,                 72038,,                    285,,                  7797,,                634791,,                 41595,,                 93776,,,                564810,                564810,,                  1737,                123804,                125541,              2855585,,,                195033,,                 16093,,                 15737,,              1835910,,                 71989,                 97678,,                    183,                 81752,,                 24368,                106303,              2338743,              5194328,,,,,              1218127,,                 29904,,                142592,,                439326,,                326673,                    559,                  9539,,                 15656,,,                171805,                146584,                318389,              2500765,,,                280913,,                 18161,,                194975,                194975,                494049,              2994814,,,,              1814735,              1814735,,                    433,,                238441,,                121005,              2174614,                 24900,              2199514,              5194328,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,2014年03月31日,,,,                497334,,                819123,,                140278,,                    332,,                 13246,,                625926,,                 18162,,                 11747,,,                605313,                605313,,                 16772,                 91534,                108306,              2839767,,,                214341,,                 28841,,                 15257,,              1729360,,                 72125,                 99434,,                    183,                 82606,,                 20872,                103661,              2263019,              5102786,,,,,              1142019,,                 29904,,                136304,,                388538,,                229266,                     27,                  4977,,                 21926,,,                155088,                143127,                298215,              2251176,,,                289162,,                 20263,,                198986,                198986,                508411,              2759587,,,,              1814735,              1814735,,                    433,,                332449,,                170766,              2318383,                 24816,              2343199,              5102786,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,2013年12月31日,,,,,,                584425,,                129408,,                    444,,                 15705,,                782765,,                 15905,,                305941,,,                558385,                558385,,                 16733,                103025,                119758,              3266714,,,                294557,,                 28841,,                 15217,,              1490641,,                 72622,                101430,,                    183,                 10898,,                 11273,                 22354,              2025662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                753978,              5292376,,,,              1351115,,                 29901,,                177309,,                508759,,                269503,                    315,                  4977,,                 33803,,,                 62536,                128045,                190581,              2566263,,,                102953,,                 20068,,                203032,                203032,                326053,              2892316,,,,              1814735,              1814735,,                    433,,                322152,,                237339,              2374659,                 25401,              2400060,                              0,,,,,,,,,,,,,,,,,,,
1515,2013年09月30日,,,,,,                573338,,                431337,,                    539,,                  3087,,                828607,,                 13367,,                 25306,,,                560159,                560159,,                 15000,                 78222,                 93222,              2795223,,,                184487,,                 28841,,                 15208,,              1494164,,                 73326,                103029,,                    183,                 10797,,                 13628,                337166,              2236221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                266261,              5031444,,,,              1288195,,                 29899,,                147517,,                562090,,                252838,                    278,                              0,,                 23412,,,                 66944,                116867,                183811,              2488040,,,                109509,,                 15160,,                209409,                209409,                334078,              2822118,,,,              1814735,              1814735,,                    433,,                251718,,                116578,              2183464,                 25862,              2209326,                312558,,,,,,,,,,,,,,,,,,,
1515,2013年06月30日,,,,,,                572482,,                472196,,                    402,,                 11213,,                610156,,                 10092,,                 29289,,,                513316,                513316,,                 15000,                123092,                138092,              2578855,,,                148418,,                 28841,,                 15934,,              1497396,,                 73408,                106471,,                    183,                 11011,,                 12953,                112280,              1982748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                221617,              4561603,,,,              1011293,,                 29897,,                121677,,                394225,,                232150,                     70,                              0,,                 21580,,,                 80263,                183825,                264088,              2074980,,,                122441,,                 19893,,                213349,                213349,                355683,              2430663,,,,              1814735,              1814735,,                    433,,                234913,,                 54997,              2105078,                 25862,              2130940,                 88133,,,,,,,,,,,,,,,,,,,
