證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 預付設備款,　　　 當期所得稅負債,　　　　 待分配股票股利,　　　　 應計退休金負債（應付退休金費用）,　　　　 重估增值,　　　　　 重估增值合計,　　　 庫藏股票,　　 非控制權益
2702,2015年09月30日,,,,                290847,,                 54388,,                    746,,                 32457,,                 32870,,                     13,,                    430,,                  6261,,                 16680,                    105,                 16785,                434797,,,              3018778,,                423249,                 64527,,                  5124,                              0,,                              0,,                    443,                  5567,              3512121,              3946918,,,,,                942977,,                 37000,,                  1112,,                  5488,,                 90256,                  8018,,,                 12679,,                651190,                  1303,                665172,              1750023,,,                667873,,                190397,,,                127577,                    722,                128299,                986569,              2736592,,,,                945835,                945835,,,                  2169,                  2169,,                 49475,                 71161,,                 51384,                172020,,,                 91207,,                   -905,                 90302,              1210326,              1210326,              3946918,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,2015年06月30日,,,,                452118,,                254351,,                    454,,                 21911,,                 31015,,                  2172,,                    841,,                  5036,,                 16912,                     75,                 16987,                784885,,,              1569674,,                 63415,                 50389,,                  3173,                              0,,                              0,,                    416,                  3589,              1687067,              2471952,,,,,                 30000,,                 31000,,                  1258,,                  7752,,                 67919,                  1650,,,                 12666,,                607214,                  2252,                622132,                761711,,,                288077,,                168294,,,                127577,                    722,                128299,                584670,              1346381,,,,                900795,                945835,,,                  2169,                  2169,,                 49475,                 71161,,                 32370,                153006,,,                 26487,,                 -1926,                 24561,              1125571,              1125571,              2471952,              0,              0,              0,                 45040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,2015年03月31日,,,,                475648,,                260704,,                    267,,                 21494,,                              0,,                 14424,,                    413,,                  4560,,                 17134,                    112,                 17246,                794756,,,              1595615,,                 65631,                 40581,,                  3118,                              0,,,,                    422,                  3540,              1705367,              2500123,,,,,                 80000,,                 55000,,                  1304,,                  9769,,                 61034,                              0,,,                 13237,,                616108,                  1683,                631028,                838135,,,                230618,,                162817,,,                127577,                    722,                128299,                521734,              1359869,,,,                900795,                900795,,,                  2169,                  2169,,                 43191,                 71161,,                 82770,                197122,,,                 38357,,                  1811,                 40168,              1140254,              1140254,              2500123,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,2014年12月31日,,,,                540537,,                165354,,                    758,,                 16172,,                              0,,                 20995,,                    909,,                  3832,,                 52132,                    168,                 52300,                800857,,,              1617709,,                 67691,                 35278,,                  3135,                              0,,                              0,,                    419,                  3554,              1724232,              2525089,,,,,                115000,,                 33000,,                  1215,,                  9708,,                 69068,                              0,,,                 14507,,                616002,                  2216,                632725,                860716,,,                244196,,                161414,,,                127577,                    722,                128299,                533909,              1394625,,,,                900795,                900795,,,                  2169,                  2169,,                 43191,                 71161,,                 64857,                179209,,,                 47719,,                    572,                 48291,              1130464,              1130464,              2525089,              0,              0,              0,,                540537,                 20995,                              0,              2525089,,,,                115000,,                 33000,,                  1215,,                  9708,,                 69068,,,                 14507,,                616002,                  2216,                632725,                860716,,,                244196,,                161414,,,                127577,                    722,                128299,                533909,              1394625,,,,                900795,                900795,,,                  2169,                  2169,,                 43191,                 71161,,                 64857,                179209,,,                 47719,,                    572,                 48291,              1130464,              1130464,,,,,,,,
2702,2014年09月30日,,,,                480811,,                159169,,                    529,,                 16157,,                 21294,,                  4911,,                    392,,                  4203,,                              0,                    229,                    229,                687695,,,              1598894,,                 66335,                 55728,,                  3062,                  1349,,                 48802,,                    397,                 53610,              1774567,              2462262,,,,,                115000,,                 25000,,                  1528,,                  8455,,                134879,                              0,,,                 13507,,                 47330,                  1353,                 62190,                347052,,,                796718,,                173459,,,                 63789,                    772,                 64561,              1034738,              1381790,,,,                900795,                900795,,,                  2169,                  2169,,                 43191,                 71161,,                 46910,                161262,,,                 15440,,                    806,                 16246,              1080472,              1080472,              2462262,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,2014年06月30日,,,,                447914,,                157138,,                    678,,                 24569,,                 20909,,                  2167,,                    680,,                  4470,,                 32857,                  1034,                 33891,                692416,,,              1605303,,                 66387,                 50956,,                  3033,                  1349,,                 14994,,                    410,                 19786,              1742432,              2434848,,,,,                 52000,,                 90000,,                  1771,,                  9618,,                130781,,,,                 14911,,                 38525,                    909,                 54345,                343979,,,                801792,,                167698,,,                 63789,                    747,                 64536,              1034026,              1378005,,,,                874558,                900795,,,                  2169,                  2169,,                 43191,                 71161,,                 33283,                147635,,,                  1203,,                  5041,                  6244,              1056843,              1056843,              2434848,              0,              0,              0,                 26237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,2014年03月31日,,,,                470834,,                115309,,                    318,,                 22815,,                 43409,,                  2070,,                    423,,                  4801,,                 15295,                    140,                 15435,                675414,,,              1648425,,                 68997,                 27654,,                  2627,                  1349,,,,                    399,                  4375,              1749451,              2424865,,,,,                 55000,,                 85000,,                  2011,,                  9442,,                127167,                    929,,,                 10690,,                 47657,                    892,                 59239,                338788,,,                810870,,                150022,,,                 63789,                    747,                 64536,              1025428,              1364216,,,,                874558,                874558,,,                  2169,                  2169,,                 39384,                 71161,,                 53785,                164330,,,                 16229,,                  3363,                 19592,              1060649,              1060649,              2424865,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,2013年12月31日,,,,,,                174686,,                  1625,,                 18998,,                 16130,,,,                    726,,                  3828,,                              0,                     72,                     72,                630413,,,              1655813,,                 68752,                 24556,,                  2025,,,                 14905,,                    414,                 18693,              1767814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                406341,                  8007,                  1349,              2398227,,,,                 90000,,                 50000,,                  1771,,                  8621,,                137400,,,                 13360,,                 42494,                  1500,                 57354,                345146,,,                812782,,                145186,,,                 63789,                    747,                 64536,              1022504,              1367650,,,,                874558,                874558,,,                  2169,                  2169,,                 39384,                 71161,,                 40801,                151346,,,                     85,,                  2419,                  2504,              1030577,              1030577,                              0,                              0,                              0,,,,,
2702,2013年09月30日,,,,,,                170102,,                  1179,,                 19382,,                 14964,,,,                    349,,                  3961,,,                     60,                     60,                595588,,,              1453504,,                 69437,                 39658,,                  1752,,,                 14785,,                    480,                 18210,              1580809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                374667,                 10924,                  1193,              2176397,,,,                 44000,,                 45000,,                  2034,,                  6916,,                 76420,,,                 10047,,                 37704,                    808,                 48559,                222929,,,                772315,,                161301,,,                              0,                    699,                    699,                934315,              1157244,,,,                874558,                874558,,,                  2169,                  2169,,                 39384,                 71161,,                 37194,                147739,,,                 -5812,,                    499,                 -5313,              1019153,              1019153,,,,,,,,
2702,2013年06月30日,,,,,,                170982,,                    679,,                 21895,,                  2045,,,,                    667,,                  3687,,,                    386,                    386,                601274,,,              1480271,,                 71704,                 27933,,                  1775,,,                              0,,                    397,                  5917,              1585825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                397584,                  3349,                  1193,              2187099,,,,                 83000,,                 61000,,                  2374,,                  6988,,                 89243,,,                 10476,,                 26657,                    787,                 37920,                295721,,,                718512,,                157094,,,                              0,                    687,                    687,                876293,              1172014,,,,                825055,                874558,,,                  2169,                  2169,,                 39384,                 71161,,                 23787,                134332,,,                  4570,,                   -544,                  4026,              1015085,              1015085,                  2552,                 15196,                 49503,,,,,
