證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 債券換股權利證書,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 待分配股票股利,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額
6269,2015年09月30日,,,,              6988406,,              1351847,,                 21727,,              4143255,,                 72384,,              2081509,,                181334,,                923010,                923010,             15763472,,,              5502745,,                 43314,                 58609,,,                520774,,                167124,                687898,              6292566,             22056038,,,,,                457492,,                 14787,,                    550,,              3160541,,              2175829,                452644,,,                517105,                 10144,                527249,              6789092,,,                754857,,                382252,,                 27972,              1165081,              7954173,,,,              2779090,                    462,              2779552,,,              4431542,                116531,                              0,                 61329,                 17891,              4627293,,                741024,                153669,,              6225226,              7119919,,,                266437,,                              0,                266437,                691336,             14101865,             14101865,             22056038,              0,          3750,      9432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,2015年06月30日,,,,              5015582,,              3237853,,                  8012,,              3258549,,                112697,,              1372286,,                190841,,                986960,                986960,             14182780,,,              5188486,,                 39798,                155332,,,                508211,,                227124,                735335,              6118951,             20301731,,,,,                428765,,                330247,,                  4183,,              2214592,,              2037236,                500407,,,              1613748,                  5291,              1619039,              7134469,,,                952723,,                372341,,                 23080,              1348144,              8482613,,,,              2518191,                              0,              2626793,,,              2978603,                116531,                              0,                 61501,                 19736,              3176371,,                741024,                153669,,              5326102,              6220795,,,                140812,,                              0,                140812,                345653,             11819118,             11819118,             20301731,              0,              0,      5202000,                108602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,2015年03月31日,,,,              6724491,,              1512724,,                              0,,              2778786,,                112321,,              1454809,,                 79685,,                784450,                784450,             13447266,,,              5342654,,                 41620,                147632,,,                511234,,                 99878,                611112,              6143018,             19590284,,,,,                433324,,                 26363,,                  7211,,              2116270,,              1513079,                476609,,,              2989108,                 19308,              3008416,              7581272,,,              1776588,,                321936,,                 21777,              2120301,              9701573,,,,              2224051,                  1329,              2252134,,,              1205167,                116531,                              0,                 61602,                 28774,              1412074,,                592372,                153669,,              5658453,              6404494,,,                165662,,                              0,                165662,                345653,              9888711,              9888711,             19590284,              0,        131750,      5202000,,                 26754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,2014年12月31日,,,,              5799318,,              1087332,,                              0,,              4290510,,                171301,,              1793156,,                108207,,                679380,                679380,             13929204,,,              5555217,,                 49678,                 99369,,,                518353,,                 58318,                576671,              6280935,             20210139,,,,,                754865,,                 69210,,                    220,,              2796526,,              1800872,                431499,,,              2998041,                 37502,              3035543,              8888735,,,              1956409,,                335370,,                 22774,              2314553,             11203288,,,,              2223281,                  2410,              2225691,,,              1024781,                116531,                              0,                 11639,                 46849,              1199800,,                592372,                153669,,              4946707,              5692748,,,                216800,,                              0,                216800,                328188,              9006851,              9006851,             20210139,              0,         77000,      4953000,                              0,                              0,              5799318,             20210139,,,,                754865,,                 69210,,                    220,,              2796526,,              1800872,                431499,,,              2998041,                 37502,              3035543,              8888735,,,              1956409,,                335370,,                 12911,              2304690,             11193425,,,,              2223281,                  2410,              2225691,,,              1024781,                116531,                              0,                 11639,                 46849,              1199800,,                592372,                153669,,              4956570,              5702611,,,                216800,                216800,                328188,              9016714,              9016714,,,
6269,2014年09月30日,,,,              5707603,,              1143473,,                     51,,              2976759,,                110073,,              2476816,,                148043,,                454859,                454859,             13017677,,,              5198508,,                 23945,                151919,,,                              0,,                335471,                335471,              5709843,             18727520,,,,,                421441,,                 56314,,                  3815,,              2828361,,              1681862,                276202,,,              2856485,                180121,              3036606,              8304601,,,              1949688,,                197077,,                 20434,              2167199,             10471800,,,,              2221800,                  2436,              2224236,,,              1020509,                116531,                              0,                 13110,                 46849,              1196999,,                592372,                153669,,              4029723,              4775764,,,                 58721,,                              0,                 58721,                              0,              8255720,              8255720,             18727520,              0,         89142,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,2014年06月30日,,,,              5119669,,              1103372,,                              0,,              2309212,,                167758,,              1371214,,                154767,,                620168,                620168,             10846160,,,              5273915,,                 30824,                118051,,,                              0,,                179439,                179439,              5602229,             16448389,,,,,              1195241,,                 39618,,                    999,,              1358331,,              2115915,                260233,,,                487364,                174551,                661915,              5632252,,,              2787951,,                214624,,                 15539,              3018114,              8650366,,,,              2019018,                  2379,              2223299,,,              1016266,                116531,                              0,                 14095,                              0,              1146892,,                592372,                153669,,              3670144,              4416185,,,                 11647,,                              0,                 11647,                              0,              7798023,              7798023,             16448389,              0,         67000,              0,                201902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,2014年03月31日,,,,              4096497,,              1608761,,                    152,,              2893001,,                267653,,              1000022,,                311754,,                973758,                973758,             11151598,,,              5347211,,                 24224,                111884,,,                              0,,                108765,                108765,              5592084,             16743682,,,,,                421035,,                 46512,,                  5921,,              1099652,,              1792772,                365272,,,              1424764,                184578,              1609342,              5340506,,,              2823388,,                231979,,                 14731,              3070098,              8410604,,,,              2013388,                  7280,              2020668,,,              1206475,                116531,                              0,                 17575,                              0,              1340581,,                399592,                153669,,              4344124,              4897385,,,                 74444,,                              0,                 74444,                              0,              8333078,              8333078,             16743682,              0,        260000,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,2014年01月01日,,,,              2090770,,              2557112,,                     16,,              5378318,,                631396,,              1705612,,                488489,,                802986,                802986,             13654699,,,              5026625,,                 20397,                141350,,,                              0,,                200114,                200114,              5388486,             19043185,,,,,                473210,,                146630,,                 31618,,              2857506,,              2459657,                420217,,,              1392242,                128787,              1521029,              7909867,,,              2752057,,                255444,,                 16959,              3024460,             10934327,,,,              2012638,                    377,              2013015,,,              1202632,                116531,                              0,                 19170,                              0,              1338333,,                399592,                153669,,              4159399,              4712660,,,                 44850,,                              0,                 44850,                              0,              8108858,              8108858,             19043185,              0,         17500,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,2013年12月31日,,,,,,              2557112,,                     16,,              5378318,,                631396,,              1705612,,                488489,,                802986,                802986,             13654699,,,              5026625,,                 20397,                141350,,,                              0,,                200114,                200114,              5388486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         17500,              0,,,              2090770,             19043185,,,,                473210,,                146630,,                 31618,,              2857506,,              2459657,                420217,,,              1392242,                128787,              1521029,              7909867,,,              2752057,,                255444,,                  8779,              3016280,             10926147,,,,              2012638,                    377,              2013015,,,              1202632,                116531,                              0,                 19170,                              0,              1338333,,                399592,                153669,,              4167579,              4720840,,,                 44850,                 44850,                              0,              8117038,              8117038,,,
6269,2013年09月30日,,,,,,              1126576,,                     76,,              3918987,,                291266,,              2180090,,                511349,,                665396,                665396,             13399639,,,              4631450,,                 20978,                 89506,,,,,,                335641,              5077575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        407111,              0,,,              4705899,             18477214,,,,                534060,,                312910,,                  2715,,              2996529,,              2647636,                239672,,,              1372944,                197578,              1570522,              8304044,,,              2707138,,                173811,,                  7611,              2888560,             11192604,,,,              2008167,                  4186,              2012353,,,              1202426,                116531,                              0,                 18543,                              0,              1337500,,                399592,                153669,,              3385989,              3939250,,,                 -4493,                 -4493,                              0,              7284610,              7284610,,,
