證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票
5607,2015年09月30日,,,,                109136,,                114426,,                192014,,                  6153,,                 99784,,                 13818,,                 41789,                577120,,,                    100,,              1675647,,              4470380,,                  1451,,                381998,              6529576,              7106696,,,,,                 10000,,                149837,,                 47804,,                     10,,                 76908,                306896,                              0,,                522533,              1113988,,,              1527750,,                659333,              2187083,              3301071,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                221554,,                615549,                837103,,,                129170,                129170,              3158064,                647561,              3805625,              7106696,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,2015年06月30日,,,,                136058,,                101301,,                178457,,                  4870,,                 94462,,                 10022,,                 65899,                591069,,,                    100,,              1555148,,              4499888,,                  1320,,                328578,              6385034,              6976103,,,,,                 10000,,                149634,,                 41925,,                     15,,                 68606,                163455,                              0,,                529587,                963222,,,              1632375,,                659061,              2291436,              3254658,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                221554,,                554390,                775944,,,                115612,                115612,              3083347,                638098,              3721445,              6976103,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,2015年03月31日,,,,                 94284,,                 98283,,                199760,,                  2288,,                103325,,                  7112,,                 87860,                592912,,,                    100,,              1527647,,              4528380,,                  1167,,                337892,              6395186,              6988098,,,,,                 10000,,                 74852,,                 41157,,                     20,,                 64159,                172507,                  8385,,                535290,                906370,,,              1737000,,                655871,              2392871,              3299241,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                198911,,                533849,                732760,,,                136916,                136916,              3061467,                627390,              3688857,              6988098,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,2014年12月31日,,,,                119564,,                 92205,,                208891,,                 10673,,                 96898,,                  9877,,                 22422,                560530,,,                    100,,              1529056,,              4557137,,                  1278,,                331034,              6418605,              6979135,,,,,                 10000,,                 74820,,                 46721,,                      8,,                100329,                163455,                  8385,,                525817,                929535,,,              1741625,,                657432,              2399057,              3328592,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                198911,,                495990,                694901,,,                146047,                146047,              3032739,                617804,              3650543,              6979135,              0,              0,              0,                119564,              6979135,,,,                 10000,,                 74820,,                 46721,,                      8,,                100329,                163455,                  8385,,                525817,                929535,,,              1741625,,                657432,              2399057,              3328592,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                198911,,                495990,                694901,,,                146047,                146047,              3032739,                617804,              3650543,
5607,2014年09月30日,,,,                 90688,,                 75305,,                198378,,                  4066,,                107887,,                 16666,,                 40058,                533048,,,                    100,,              2317322,,              3653662,,                  1389,,                327339,              6299812,              6832860,,,,,                 10000,,                 74850,,                 46793,,                     13,,                 73391,                 86933,                     54,,                421823,                713857,,,              1874143,,                657299,              2531442,              3245299,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                198911,,                456566,                655477,,,                135533,                135533,              2982801,                604760,              3587561,              6832860,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,2014年06月30日,,,,                110653,,                 45190,,                224939,,                  3968,,                105831,,                  8082,,                 64256,                562919,,,                    100,,              2095230,,              3676255,,                  1499,,                337393,              6110477,              6673396,,,,,                 10000,,                 44845,,                 44893,,                              0,,                 63358,                 40567,                     35,,                402425,                606123,,,              1870072,,                658688,              2528760,              3134883,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                198911,,                394924,                593835,,,                162094,                162094,              2947720,                590793,              3538513,              6673396,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,2014年03月31日,,,,                102685,,                110216,,                287192,,                  5221,,                101075,,                 12966,,                 86759,                706114,,,                    100,,              1920930,,              3703238,,                  1610,,                328453,              5954331,              6660445,,,,,                 70000,,                 29893,,                 33997,,                              0,,                 58610,                 42829,                     31,,                397965,                633325,,,              1861000,,                659014,              2520014,              3153339,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                180552,,                335778,                516330,,,                224347,                224347,              2932468,                574638,              3507106,              6660445,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,2013年12月31日,,,,,,                235715,,                279445,,                  6519,,                 97706,,                 12870,,                 16389,                969200,,,                    100,,              1901543,,              3725966,,                  1410,,                103577,              5732596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                320556,              6701796,,,,                  5000,,                 29893,,                 72970,,                              0,,                 84703,                293795,                              0,,                370647,                857008,,,              1768000,,                641985,              2409985,              3266993,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                180552,,                285261,                465813,,,                216600,                216600,              2874204,                560599,              3434803,
5607,2013年09月30日,,,,,,                225702,,                304346,,                  3191,,                112670,,                  7497,,                 40547,              1003851,,,                    100,,              1627800,,              3736361,,                    680,,                 93639,              5458580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                309898,              6462431,,,,                              0,,                 59896,,                 63254,,                              0,,                 65969,,                              0,,                454150,                643269,,,              1766000,,                641891,              2407891,              3051160,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                180552,,                246668,                427220,,,                241501,                241501,              2860512,                550759,              3411271,
5607,2013年06月30日,,,,,,                151437,,                304346,,                  3986,,                117965,,                 10730,,                 65087,                984748,,,                    100,,              1634155,,              3759041,,                    720,,                 97618,              5491634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                331197,              6476382,,,,                              0,,                 59875,,                 66709,,,,                 62374,,                     11,,                458396,                647365,,,              1854000,,                643211,              2497211,              3144576,,,,              1699791,              1699791,,,                480000,                 12000,                492000,,                180552,,                180626,                361178,,,                241501,                241501,              2794470,                537336,              3331806,
