證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 持有供交易之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 應收退稅款,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 應收所得稅退稅款,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 備抵存貨跌價,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付保險費,　　　　 其他預付費用,　　　　 預付貨款,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 暫付款,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 電腦通訊設備淨額,　　　　　 電腦通訊設備成本,　　　　　 累計折舊－電腦通訊設備,　　　　　 電腦通訊設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 機具設備淨額,　　　　　 機具設備成本,　　　　　 累計折舊－機具設備,　　　　　 機具設備淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 持有供交易金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 保固之短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 保固之長期負債準備,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－所得稅,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 約當現金,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 應收收益,　　　　 預付設備款,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　　 應付股利,　　　　　 待分配股票股利,　　　　　 資本公積－員工認股權,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 持有供交易金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付薪資,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 保固之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 保固之長期負債準備,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 應付股利,　　　　 待分配股票股利,　　　　 應收銷售及管理費（證券投資信託業適用）,　　　　 其他應付費用,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　　 其他金融資產－流動
4977,2015年09月30日,,,,                    251,                672719,                672970,,                162981,                162981,,                    773,                    773,,                265870,                265870,,                              0,                    472,                    472,,                              0,                              0,,,                 83587,                110078,                122066,                 20534,                295197,                295197,,                     52,                    753,                 14496,                              0,                  1203,                 16504,,                  1040,                  9924,                 10964,              1425731,,,,                 21173,                  3732,                 17441,,                 90615,                 32682,                 57933,,                 18484,                 10932,                  7552,,                 17151,                  8672,                  8479,,                 48968,                 29754,                 19214,,                216111,                117276,                 98835,                209454,,,                  4799,                  4799,                  4799,                  8241,,                  3863,,                              0,                              0,                  3863,                226357,              1652088,,,,,                              0,                              0,,                189956,                189956,,                 26567,                  3550,                  3846,                  3185,                 25706,                 62854,                 10738,,                  3735,                  3735,,,                 10887,                 10887,                    139,                 11026,                278309,,,                  3381,                  3381,,                              0,                              0,                  3381,                281690,,,,                535579,                535579,,,                470571,                470571,                470571,,                 82691,                 40583,,                 86853,                188352,                275205,                398479,,,                 83893,                 83893,                 83893,                118124,              1370398,              1370398,              1652088,              0,              0,      1998000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2015年06月30日,,,,                    248,                906260,                906508,,                194652,                194652,,                    773,                    773,,                200337,                200337,,                              0,                     49,                     49,,                              0,                              0,,,                 70915,                 81231,                115715,                 22774,                245087,                245087,,                  1992,                    902,                  6892,                              0,                  1074,                 10860,,                  2740,                 34477,                 37217,              1595483,,,,                 20683,                  3413,                 17270,,                 90016,                 31193,                 58823,,                 16959,                 10298,                  6661,,                 16908,                  8061,                  8847,,                 49374,                 29504,                 19870,,                197732,                106451,                 91281,                202752,,,                  5024,                  5024,                  5024,                  8741,,                  3795,,                              0,                              0,                  4816,                221333,              1816816,,,,,                              0,                              0,,                131436,                131436,,                 21565,                  6666,                  7258,                  1248,                 15682,                279809,                 10196,,                  3728,                  3728,,,                 10221,                 10221,                    194,                 10415,                435584,,,                  3379,                  3379,,                              0,                              0,                  3379,                438963,,,,                505313,                530579,,,                452126,                452126,                452126,,                 82691,                 40583,,                 86853,                122257,                209110,                332384,,,                 62764,                 62764,                 62764,,              1377853,              1377853,              1816816,              0,              0,              0,                              0,                              0,                              0,                  1021,,                              0,                              0,                227390,                 25266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2015年03月31日,,,,                    217,                471868,                472085,,                180647,                537359,,,,,                218935,                218935,,                              0,                    402,                  4260,,                  2358,                  2358,,,                 78142,                 93748,                123539,                 23763,                271666,                271666,,                  1837,                    518,                  9848,                      8,                    999,                 13210,,                    831,                 11381,                 12212,              1532085,,,,                 20880,                  3210,                 17670,,                 90700,                 29405,                 61295,,                 16494,                 10004,                  6490,,                 17051,                  7552,                  9499,,                 49714,                 28742,                 20972,,                196678,                 99435,                 97243,                213169,,,                  5444,                  5444,                  5444,                  8712,,                  3810,,                              0,                              0,                  4846,                232171,              1764256,,,,,                              0,                              0,,                125114,                125114,,                 18498,                  8115,                  6141,                  2912,                 17242,                 52908,                 10385,,                  3992,                  3992,,,                              0,                              0,                    242,                    242,                192641,,,                  3645,                  3645,,                              0,                              0,                  3645,                196286,,,,                505313,                505313,,,                452126,                452126,                452126,,                 57423,                 40583,,                364777,                 71300,                436077,                534083,,,                 76448,                 76448,                 76448,,              1567970,              1567970,              1764256,              0,              0,              0,                              0,                356712,                  3858,                  1036,,                              0,                              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2014年12月31日,,,,                    243,                843418,                843661,,                 52326,                 52326,,                              0,                              0,,                287000,                287000,,                 16982,                    436,                 17418,,                  1761,                  1761,,,                107789,                 94385,                173445,                 23209,                352410,                352410,,                  1914,                    718,                  4235,                    147,                    271,                  7285,,                    724,                 12245,                 12969,              1574830,,,,                 21193,                  3020,                 18173,,                 92231,                 27995,                 64236,,                 16314,                  9717,                  6597,,                 17322,                  7103,                 10219,,                 45471,                 25049,                 20422,,                199378,                 97157,                102221,                221868,,,                  2889,                  2889,                  2889,                  9162,,                  3833,,                              0,                              0,                  3833,                237752,              1812582,,,,,                    405,                    405,,                205964,                205964,,                 29865,                  7066,                  4975,                  6217,                 22491,                 70614,                 10425,,                  4751,                  4751,,,                              0,                              0,                    295,                    295,                292454,,,                  4377,                  4377,,                      1,                      1,                  4378,                296832,,,,                505313,                505313,,,                452126,                452126,                452126,,                 57423,                 40583,,                112095,                252682,                364777,                462783,,,                 95528,                 95528,                 95528,                              0,              1515750,              1515750,              1812582,              0,              0,              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2014年09月30日,,,,                     60,                300144,                300204,,                138099,                138099,,                              0,                              0,,                216841,                216841,,                              0,                    186,                    186,,                              0,                              0,,,                124749,                112580,                140641,                 23818,                354152,                354152,,                  1683,                    940,                  9856,                     50,                    457,                 12986,,                    605,                399313,                399918,              1422386,,,,                 20259,                  2659,                 17600,,                 87966,                 24725,                 63241,,                 15530,                  9016,                  6514,,                 19538,                  9218,                 10320,,                 45451,                 24920,                 20531,,                181117,                 85719,                 95398,                213604,,,                  3034,                  3034,                  3034,                  9002,,                  3764,,                    320,                    320,                  4084,                229724,              1652110,,,,,                  1186,                  1186,,                169924,                169924,,                 25906,                  8168,                  3587,                 13162,                 17224,                 68047,                 15529,,                  5160,                  5160,,,                              0,                              0,                    141,                    141,                259987,,,                  4950,                  4950,,                              0,                              0,                  4950,                264937,,,,                505313,                505313,,,                452126,                452126,                452126,,                 57423,                 40583,,                112095,                181247,                293342,                391348,,,                 38386,                 38386,                 38386,                              0,              1387173,              1387173,              1652110,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2014年06月30日,,,,                     75,                153415,                303268,,                171647,                589082,,                              0,                              0,,                222432,                222432,,                              0,                    311,                 10547,,                              0,                              0,,,                152367,                108528,                127820,                 34976,                353739,                353739,,                  1705,                  1160,                  9592,                     49,                    173,                 12679,,                    477,                 13819,                 14296,              1506043,,,,                 19888,                  2386,                 17502,,                 85256,                 22439,                 62817,,                 14954,                  8904,                  6050,,                 19235,                  8562,                 10673,,                 44639,                 23670,                 20969,,                155029,                 77550,                 77479,                195490,,,                  2882,                  2882,                  2882,                 10874,,                  2036,,                    305,                    305,                  2341,                211587,              1717630,,,,,                  5059,                  5059,,                142727,                142727,,                 21874,                  6944,                  6528,                  4861,                 17821,                244454,                 14275,,                  5605,                  5605,,,                              0,                              0,                    192,                    192,                415713,,,                  5689,                  5689,,                              0,                              0,                  5689,                421402,,,,                490595,                505313,,,                452126,                452126,                452126,,                 57423,                 40583,,                112095,                115489,                227584,                325590,,,                 13199,                 13199,                 13199,,              1296228,              1296228,              1717630,              0,              0,              0,                149778,                417435,                 10236,                              0,,                  3401,                  3401,                186426,                 14718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2014年03月31日,,,,                    336,                132058,                376154,,                 31689,                418006,,,,,                224109,                224109,,                      3,                    116,                  4925,,                  2869,                  2869,,,                156484,                134753,                124720,                 39189,                376768,                376768,,                  1789,                    570,                  7964,                     50,                    379,                 10752,,                  2783,                 56666,                 59449,              1473032,,,,                 20294,                  2207,                 18087,,                 87061,                 21064,                 65997,,                 14855,                  9674,                  5181,,                 19566,                  8123,                 11443,,                 45553,                 23324,                 22229,,                147327,                 72983,                 74344,                197281,,,                  2761,                  2761,                  2761,                 12186,,                  2066,,                    305,                    305,                  3399,                215627,              1688659,,,,,                  6450,                  6450,,                133472,                133472,,                 19411,                  9509,                  5463,                  7498,                 20499,                 62380,                 14257,,                  5934,                  5934,,,                      3,                      3,                    243,                    246,                237325,,,                  6335,                  6335,,                              0,                              0,                  6335,                243660,,,,                490595,                490595,,,                452126,                452126,                452126,,                 37716,                 40583,,                332946,                 49134,                382080,                460379,,,                 41899,                 41899,                 41899,,              1444999,              1444999,              1688659,              0,              0,              0,                243760,                386317,                  4806,                  1028,,                 14586,                 14586,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2013年12月31日,,,,                    237,                378763,,,                  4112,                395197,,,,,                261215,                261215,,                      3,                     74,                    856,,                  2605,,,,                156849,                108045,                130624,                 47204,                348314,                348314,,                  1820,                    655,                  5282,                    427,                    481,                  8665,,                  3240,                 25380,                 28620,              1461625,,,,                 20030,                  1953,                 18077,,                 62146,                 19687,                 42459,,                 13900,                  9549,                  4351,,                 11361,                  7906,                  3455,,                 45294,                 22409,                 22885,,                148276,                 68761,                 79515,                170742,,,                  3030,                  3030,                  3030,                 13762,,                  2046,,                    305,                    305,                  2351,                189885,,,,,,,,                176069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 37153,                391085,                    779,,                 12511,,,,,,                416153,                  2605,              1651510,,,,                              0,                              0,,                 12511,,                176069,,                 28045,                  8352,                  4061,                  3675,                 19236,                 63369,                 13946,,                  5861,                  5861,,,                    698,                    698,                    295,                    993,                272749,,,                  6494,                  6494,,                              0,                              0,                  6494,                279243,,,,                490595,                490595,,,                445536,                445536,                  6590,                452126,,                 37716,                 40583,,                135880,                197066,                332946,                411245,,,                 18301,                 18301,                 18301,              1372267,              1372267,,,,,,,,
4977,2013年09月30日,,,,                    207,                284681,,,                  1369,                  1369,,,,,                222295,                222295,,,                    398,                    879,,                              0,,,,                125593,                124364,                144149,                 46792,                347314,                347314,,                  1642,                    835,                 12204,                    183,                    624,                 15488,,                              0,                 18154,                 18154,              1001096,,,,                 19707,                  1699,                 18008,,                 35586,                 17395,                 18191,,                 13863,                  9791,                  4072,,                 11128,                  7616,                  3512,,                 44262,                 20992,                 23270,,                164248,                 63097,                101151,                168204,,,                  2181,                  2181,                  2181,                 15153,,                  1482,,                    305,                    305,                  1787,                187325,,,,,,,,                188648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                110709,                              0,                    481,,                  5136,,,,,,                395597,                              0,              1188421,,,,                              0,                              0,,                  5136,,                188648,,                 25669,                  6202,                  3011,                  3790,                 19051,                 57723,                 14777,,                 10742,                 10742,,,                 11599,                 11599,                    160,                 11759,                288785,,,                  9358,                  9358,,,,                  9358,                298143,,,,                430595,                430595,,,                 87390,                 87390,                              0,                 87390,,                 37716,                 40583,,                135880,                158160,                294040,                372339,,,                    -46,                    -46,                    -46,                890278,                890278,,,,,,,,
4977,2013年06月30日,,,,                    214,                454674,,,                              0,                              0,,,,,                178495,                178495,,,                    169,                    707,,                              0,,,,                150820,                 99120,                140198,                 60528,                329610,                329610,,                  1709,                  1032,                  9943,                    186,                    416,                 13286,,                    300,                  7023,                  7323,                984309,,,,                 19895,                  1493,                 18402,,                 35746,                 16732,                 19014,,                 13431,                  9683,                  3748,,                 11187,                  7420,                  3767,,                 44520,                 20232,                 24288,,                157305,                 57444,                 99861,                169080,,,                  2430,                  2430,                  2430,                 17840,,                  1496,,                    305,                    305,                  2191,                191541,,,,,,,,                127051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,                              0,                    538,                    390,                  7767,,,,,,                454888,                              0,              1175850,,,,                    332,                    332,,                  7767,,                127051,,                 21145,                  8425,                  6087,                  1828,                 17395,                125949,                 14748,,                 11150,                 11150,,,                 36535,                 36535,                    329,                 36864,                323861,,,                 10398,                 10398,,,,                 10398,                334259,,,,                418053,                430595,,,                 87390,                 87390,                              0,                 87390,,                 37716,                 40583,,                135880,                100548,                236428,                314727,,,                  8879,                  8879,                  8879,                841591,                841591,                 71069,                 12542,,,,,,
