證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 應收退稅款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 其他應付款－其他,　　 待註銷股本股數,　　　　 庫存現金,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　　 預收股本,　　　 共同控制下前手權益,　　　 非控制權益,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 預收股本,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 以成本衡量之金融資產－非流動,　　　　 預付投資款,　　　　 其他應付費用,　　　　 應付股利,　　　　 遞延所得稅負債－所得稅,　　　　 其他非流動負債－其他,　　　　 待分配股票股利,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－員工認股權,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　 預付款項,　　　　 預付款項合計,　　 非控制權益
8271,2015年09月30日,,,,              1272476,,                240107,,                919540,,                              0,,                 40564,                 40564,,                              0,,                739554,,                 49013,              3261254,,,                 12117,,                 14934,,                  6359,,                717431,,                  8130,                 22518,,,                  5658,,                    159,                  5817,                787306,              4048560,,,,,                295830,,                  1836,,                650487,,                216122,                              0,,                 15325,,                 17390,              1196990,,,                    156,,                 13816,                    452,                 14268,                 14424,              1211414,,,,              1515437,              1515437,,                488242,,                875175,,                -41708,                              0,              2837146,              2837146,              4048560,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2015年06月30日,,,,              1441572,,                240202,,                880940,,                              0,,                 44010,                 44010,,                     16,,                794819,,                 15446,              3417005,,,                 12117,,                 50000,,                  8169,,                720610,,                  9813,                 22518,,,                  5485,,                    332,                  5817,                829044,              4246049,,,,,                169730,,                  2487,,                599919,,                617406,                 27902,,                 13044,,                 21619,              1452107,,,                    156,,                 13722,                    452,                 14174,                 14330,              1466437,,,,              1515437,              1515437,,                488242,,                826708,,                -50775,                              0,              2779612,              2779612,              4246049,              0,              0,                333506,                283900,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2015年03月31日,,,,              1499303,,                    638,,              1004009,,,,,                 57321,,                     58,,              1027159,,                 16569,              3605057,,,                 38805,,                 50000,,                  5385,,                716179,,                 11450,                 22518,,,                  5605,,                    485,                  6090,                850427,              4455484,,,,,                331540,,                              0,,                673369,,                266733,                 69409,,                 15847,,                 21874,              1378772,,,                    156,,                 13750,                  1033,                 14783,                 14939,              1393711,,,,              1515437,              1515437,,                481756,,              1097674,,                -33094,                              0,              3061773,              3061773,              4455484,              0,              0,,,              0,              1499303,,                 11450,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2014年12月31日,,,,                878466,,                              0,,                984376,,                              0,,                 51681,                 51681,,                     96,,              1310159,,                 20443,              3245221,,,                 36493,,                 50000,,                 13104,,                718861,,                 11953,                 22518,,,                  6900,,                    640,                  7540,                860469,              4105690,,,,,                344328,,                  1346,,                723707,,                306427,                 61975,,                 14215,,                 20601,              1472599,,,                    156,,                 14039,                  1033,                 15072,                 15228,              1487827,,,,              1365437,              1365437,,                254299,,              1037354,,                -39227,                              0,              2617863,              2617863,              4105690,              0,              0,                              0,                306427,              0,                878466,,                 11953,                              0,                              0,                              0,                878466,              4105690,,,,                344328,,                  1346,,                723707,,                306427,                 61975,,                 14215,,                 20601,              1472599,,,                    156,,                 14039,                  1033,                 15072,                 15228,              1487827,,,,              1365437,              1365437,,                254299,,              1037354,,                -39227,                              0,              2617863,              2617863,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2014年09月30日,,,,                394353,,                              0,,              1179860,,                     44,,                 97682,                 97682,,                  7247,,              1381992,,                 26689,              3087867,,,                 37567,,                 50000,,                 18699,,                721571,,                 12637,                 24729,,,                  5956,,                    798,                  6754,                871957,              3959824,,,,,                201017,,                  3160,,                872473,,                289490,                 49482,,                 16710,,                 19936,              1452268,,,                    460,,                 10208,                  1033,                 11241,                 11701,              1463969,,,,              1364937,              1364937,,                254198,,                918761,,                -42041,                              0,              2495855,              2495855,              3959824,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2014年06月30日,,,,                806397,,                    444,,              1059793,,                  1541,,                 73163,                 73163,,                  7226,,              1545514,,                 25846,              3519924,,,                 37567,,                 50000,,                 24546,,                724530,,                 13338,                 24729,,,                  5942,,                    955,                  6897,                881607,              4401531,,,,,                369389,,                              0,,                953824,,                603495,                 60680,,                 16110,,                 17483,              2020981,,,                    460,,                 10425,                  1033,                 11458,                 11918,              2032899,,,,              1354847,              1354847,,                230629,,                792485,,                 -9329,                              0,              2368632,              2368632,              4401531,              0,              0,                270887,                332608,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2014年03月31日,,,,                697059,,                              0,,                867350,,,,,                 87386,,                              0,,              1176916,,                 27977,              2856688,,,                 37567,,                 50000,,                              0,,                725717,,                 12798,                 24729,,,                  6638,,                  1276,                  7914,                858725,              3715413,,,,,                240968,,                  1178,,                526360,,                237478,                133955,,                 17340,,                 29381,              1186660,,,                    460,,                 10834,                  1033,                 11867,                 12327,              1198987,,,,              1353307,              1353558,,                230238,,                942190,,                 -9560,                              0,              2516426,              2516426,              3715413,         20000,              0,,,              0,                697059,,                 12798,                    251,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2013年12月31日,,,,,,,,                794010,,,,,                 57003,,                              0,,              1233046,,                 22997,              2879203,,,                 37567,,                 50000,,                              0,,                715264,,                 13741,                 24729,,,                  6796,,                  1268,                  8064,                849365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        100000,,,              0,,,,,,,                772147,              3728568,,,,                119672,,                  1479,,                779102,,                286527,                104303,,                 17486,,                 26489,              1335058,,,                    460,,                 11335,                  1033,                 12368,                 12828,              1347886,,,,              1344667,              1344667,,                226609,,                820146,,                 -9290,                  1450,              2380682,              2380682,,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2013年09月30日,,,,,,                  1004,,                961208,,                              0,,                101495,                101495,,                              0,,              1364122,,                 33321,              2925141,,,                 37567,,                 50000,,                              0,,                704128,,                  8617,                 28510,,,                  2220,,                  7338,                  9558,                838380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        103000,        100000,,,              0,,,,,,,                463991,              3763521,,,,                328034,,                              0,,                739600,,                282394,                 84501,,                 32204,,                 13602,              1480335,,,                    180,,                 11325,                  1033,                 12358,                 12538,              1492873,,,,              1343637,              1344929,,                224752,,                710803,,                 -8386,                  1450,              2270648,              2270648,                  1292,,,,,,,,,,,,,,,,,,,,,,,,,
8271,2013年06月30日,,,,,,                              0,,                973868,,                              0,,                 86254,                 86254,,                              0,,              1572957,,                 37155,              3090880,,,                 37567,,                              0,,                              0,,                692502,,                  6800,                 28510,,,                  2253,,                  8218,                 60471,                825850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        100000,,,              0,,,,,,,                420646,              3916730,,,,                123113,,                  2051,,                883723,,                543364,                111402,,                 32304,,                  7824,              1703781,,,                    180,,                 12992,                    581,                 15218,                 15398,              1719179,,,,              1318215,              1346774,,                219717,,                641582,,                 -9072,                  1450,              2197551,              2197551,,,              1572957,                              0,                 50000,                329875,                213489,                    180,                  1645,                 28559,,,,,,,,,,,,,,,,
