證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 避險之衍生金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 避險之衍生金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待分配股票股利,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
1102,2015年09月30日,,,,             20913228,,              1052696,,              5503277,,              5214998,,              5359448,,                  8358,,             11559567,,                484964,,              3392050,,                 10397,,              8456608,,              1901614,,              1599136,             65456341,,,             10501600,,             16724064,,                169195,,             69598426,,             68587151,,             33840345,,              5400851,                539504,,,             11168083,              3844097,,              2127698,             17139878,            222501014,            287957355,,,,,             22235833,,             17702975,,                 24707,                  3681,,              8254955,,                225196,,                211938,                559177,                771115,                335585,,                  9419,,,                835362,                835362,,             19401307,             20236669,             69800135,,                              0,,              8000000,,             40720232,,                318104,,              6985081,,              1012030,                190992,                477344,              1680366,             57703783,            127503918,,,,             33614472,             33614472,,              1096249,,             14187878,             61118749,,             16594067,             91900694,,             14656162,            141267577,             19185860,            160453437,            287957355,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,2015年06月30日,,,,             11887636,,                618251,,              5899873,,              8986644,,              5910616,,                 14627,,             11429132,,                508709,,              6587117,,                  4347,,              9422919,,              1891503,,                578613,             63739987,,,             10853869,,             16725166,,                159862,,             68088430,,             67967681,,             33764403,,              5309534,                428188,,,             11305605,              3783376,,              2105996,             17194977,            220492110,            284232097,,,,,             23188400,,             13893471,,                212549,                  6876,,              8566822,,                258286,,              7900648,                690379,              8591027,                367338,,                  9419,,,                636864,                636864,,             18864392,             19501256,             74595444,,                              0,,              8000000,,             33753133,,                311015,,              6905976,,              1029051,                190559,                497867,              1717477,             50687601,            125283045,,,,             33614472,             33614472,,              1073920,,             14187878,             61118749,,             16534862,             91841489,,             13366914,            139896795,             19052257,            158949052,            284232097,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,2015年03月31日,,,,             10953430,,                697518,,             21555216,,              8471607,,              6420380,,                  8358,,             11396358,,                645563,,              2822819,,                  4592,,              9759575,,              2127071,,                668456,             75530943,,,             13698569,,              1431824,,                150510,,             70783859,,             69163983,,             33512898,,              5404921,                448016,,,             11449408,              3841955,,              2210204,             17501567,            212096147,            287627090,,,,,             23091087,,             17035965,,                547028,                 10839,,              8099432,,                293921,,                211660,                696976,                908636,                555143,,                  9188,,,                722535,                722535,,             16137001,             16859536,             67410775,,                              0,,             19571451,,             24439864,,                312759,,              6911988,,              1046072,                191072,                508323,              1745467,             52981529,            120392304,,,,             33614472,             33614472,,              1073920,,             13251715,             59505623,,             23591169,             96348507,,             16468033,            147504932,             19729854,            167234786,            287627090,              0,              0,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,2014年12月31日,,,,             12739834,,                743682,,             16949278,,              5834881,,              7616264,,                 24029,,             11889276,,                625319,,              2633755,,                  1251,,              9416977,,              1291788,,                792541,             70558875,,,             13363777,,              1432927,,                152468,,             69755589,,             70586382,,             33351639,,              5485677,                464876,,,             11590904,              3946242,,              2129699,             17666845,            212260180,            282819055,,,,,             22816222,,             13241862,,                561086,                              0,,              9753342,,                256664,,                212475,                707454,                919929,                593984,,                  9188,,,                674389,                674389,,             16162537,             16836926,             64989203,,                 14854,,             20954895,,             26183195,,                306021,,              6827330,,              1063093,                190518,                562720,              1816331,             56102626,            121091829,,,,             33614472,             33614472,,              1073920,,             13251715,             59505623,,             22106583,             94863921,,             12281251,            141833564,             19893662,            161727226,            282819055,              0,              0,                              0,              0,             12739834,              5834881,                  1251,,                              0,                152468,            282819055,,,,             22816222,,             13241862,,                561086,,              9753342,,                256664,,                212475,                707454,                919929,                593984,,                  9188,,,                674389,                674389,,             16162537,             16836926,             64989203,,                 14854,,             20954895,,             26183195,,                306021,,              6827330,,              1063093,                190518,                562720,              1816331,             56102626,            121091829,,,,             33614472,                              0,             33614472,,              1073920,,             13251715,             59505623,,             22106583,             94863921,,             12281251,            141833564,             19893662,            161727226
1102,2014年09月30日,,,,              8000913,,                857516,,              9236989,,              6676573,,              6729402,,                 24029,,             11551381,,                692928,,              2926987,,                  2918,,              8843802,,              1760049,,                663625,             57967112,,,             13025649,,              1485416,,                144279,,             67727011,,             67653241,,             32611493,,              5311323,                375751,,,             11791498,              3879942,,              2011754,             17683194,            206017357,            263984469,,,,,             21847589,,             12062586,,                986714,                              0,,              9991229,,                267603,,                212917,              1414094,              1627011,                471541,,                  9188,,,                858247,                858247,,             12415799,             13274046,             60537507,,                 18372,,             20358329,,             22918149,,                274596,,              5873208,,              1080115,                179876,                586741,              1846732,             51289386,            111826893,,,,             33614472,             33614472,,              1073113,,             13251715,             59505623,,             20015029,             92772367,,              6354884,            133814836,             18342740,            152157576,            263984469,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,2014年06月30日,,,,              7918436,,                670597,,              8732423,,              7381404,,              7595168,,                 24029,,             10877087,,                705607,,              6631883,,                  1202,,              8508625,,              2374793,,                713656,             62134910,,,             12979110,,              1483211,,                205484,,             65746947,,             67356408,,             32377796,,              5247928,                364588,,,             11914417,              3847836,,              2011719,             17773972,            203535444,            265670354,,,,,             19131996,,              8206423,,              1068709,                              0,,             11572505,,                409067,,              6561952,              2385200,              8947152,                633308,,                  9188,,,                735197,                735197,,             11898188,             12633385,             62611733,,                 22614,,             20052060,,             26612439,,                640168,,              5760739,,              1097136,                181636,                432259,              1711031,             54799051,            117410784,,,,             32955365,             33614472,,              1103147,,             13251715,             59505623,,             17995304,             90752642,,              5251957,            130722218,             17537352,            148259570,            265670354,              0,              0,                659107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,2014年03月31日,,,,              7387787,,              4056919,,              8841899,,              7299646,,              8006283,,                 23611,,              9751962,,                743951,,              2838051,,                 13352,,              8482463,,              1442870,,                330788,             59219582,,,             12513779,,              1484314,,                160899,,             68465508,,             62784825,,             31820375,,              2174925,                394337,,,             11946063,              3406317,,              1986664,             17339044,            197138006,            256357588,,,,,             14970671,,              5749841,,              1004409,                              0,,              7579802,,                289144,,                213191,                              0,                213191,                703875,,                  8963,,,                762405,                762405,,             27184290,             27946695,             58466591,,                 27225,,              7522508,,             28952087,,                279351,,              5680307,,              1114157,                181806,                694373,              1990336,             44451814,            102918405,,,,             32955365,             32955365,,              1102790,,             12571132,             59505623,,             21532144,             93608899,,              7739248,            135406302,             18032881,            153439183,            256357588,              0,              0,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,2013年12月31日,,,,,,                760570,,              9074555,,,,              7049301,,                 24029,,              9861131,,                532567,,              2470991,,,,              7863420,,              1238867,,                533880,             65337233,,,             13664054,,              1485416,,,,             67771629,,             62481951,,             31441488,,              2176436,                393696,,,             12109603,              3395221,,              1991186,             17496010,            197066348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,             19184742,              6731406,                 11774,,                              0,                155668,            262403581,,,,             13768355,,              4508007,,              1215049,,              7649148,,                414977,,                212566,                              0,                212566,                870572,,                  8963,,,                626162,                626162,,             32681712,             33307874,             61955511,,                 30747,,              8606676,,             31092586,,                275528,,              5640897,,              1131179,                181978,                646277,              1959434,             47605868,            109561379,,,,             32955365,                              0,             32955365,,              1018079,,             12571132,             14013200,,             65584754,             92169086,,              8305589,            134448119,             18394083,            152842202
1102,2013年09月30日,,,,,,              4431743,,              5854126,,,,              5498446,,                 23546,,              9335871,,                500830,,              3200328,,,,              6620229,,              1790932,,                451971,             57543204,,,             13080253,,              1328987,,,,             65232209,,             61788328,,             30484254,,              2170520,                380678,,,             12299163,              3454292,,              1828354,             17581809,            194106963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,             13255032,              6525884,                 54266,,              1568480,                491445,            251650167,,,,             14030950,,              5174182,,              1190452,,              7068255,,                243183,,                211553,                              0,                211553,                487020,,                  8963,,,                798753,                798753,,             36571045,             37369798,             65784356,,                 34544,,              8530723,,             24048499,,                666635,,              5351152,,              1148200,                212227,                418772,              1779199,             40410752,            106195108,,,,             32955365,                              0,             32955365,,              1019245,,             12571132,             14013199,,             61288607,             87872938,,              5888881,            127736429,             17718630,            145455059
1102,2013年06月30日,,,,,,              1951495,,              6011818,,,,              6000544,,                 23336,,              9856002,,                591549,,              6599231,,,,              7433744,,              1403305,,                171829,             71535086,,,             12499554,,              1330090,,,,             64284594,,             60451870,,             30130209,,              2207072,                363606,,,             12448726,              3474154,,              1786894,             17709774,            190890074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,             19077321,             12385322,                 29590,,              1417478,                495827,            262425160,,,,              9934680,,              4048305,,                827181,,              8207399,,                289457,,              5955033,                              0,              5955033,                497967,,                  8963,,,                619340,                619340,,             38927333,             39546673,             69315658,,                 37246,,             13941678,,             28088366,,                264014,,              5315019,,              1165221,                212813,                736654,              2114688,             49761011,            119076669,,,,             32309181,                646184,             32955365,,              1019808,,             12571132,             14013199,,             59603019,             86187350,,              5663318,            125825841,             17522650,            143348491
