證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 資本公積－其他,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－其他,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
6422,2015年09月30日,,,,                251667,,                              0,,                 83439,,                587382,,                  6283,,                  9113,,                      2,,                414478,,                 30663,              1383027,,,                274019,,                  5776,                 16465,,                 35764,                332024,              1715051,,,,,                              0,,                  1624,,                157072,,                138770,                 17268,,                  6953,                321687,,,                 96929,,                  4907,                101836,                423523,,,,                366513,                366513,,,                335101,                 40087,                  2296,                377484,,                 33236,,                424125,                457361,,,                 90170,                 90170,              1291528,              1291528,              1715051,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6422,2015年06月30日,,,,                324963,,                              0,,                 91124,,                571421,,                  5342,,                  8450,,                 15603,,                396157,,                 21791,              1434851,,,                252091,,                  4960,                 15888,,                 37601,                310540,              1745391,,,,,                 19656,,                  1206,,                199261,,                228217,                 17166,,                  3436,                468942,,,                 86686,,                  3117,                 89803,                558745,,,,                366513,                366513,,,                335101,,                  2296,                377484,,                 33236,,                366281,                399517,,,                 43132,                 43132,              1186646,              1186646,              1745391,              0,              0,              0,                 40087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6422,2015年03月31日,,,,                311972,,                              0,,                 41589,,                535527,,                  4608,,                  7744,,                 13493,,                365720,,                 22725,              1303378,,,                260398,,                  4613,                 16351,,                 31826,                313188,              1616566,,,,,                 22207,,                  1336,,                126584,,                106847,                 14105,,                  5375,                276454,,,                 80960,,                  3533,                 84493,                360947,,,,                349060,                349060,,,                335101,                 40087,                  2296,                377484,,                 11720,,                456466,                468186,,,                 60889,                 60889,              1255619,              1255619,              1616566,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6422,2014年12月31日,,,,                266346,,                              0,,                 80159,,                591076,,                  5478,,                  8400,,                      3,,                410370,,                 26433,              1388265,,,                269346,,                  4757,                 23836,,                 31933,                329872,              1718137,,,,,                 84393,,                    683,,                165982,,                132925,                 30670,,                  3862,                418515,,,                 74890,,                  3567,                 78457,                496972,,,,                349060,                349060,,,                335101,                 40087,                  2296,                377484,,                 11720,,                410470,                422190,,,                 72431,                 72431,              1221165,              1221165,              1718137,              0,              0,              0,                 40087,                266346,                      3,              1718137,,,,                 84393,,                    683,,                165982,,                132925,                 30670,,                  3862,                418515,,,                 74890,,                  3567,                 78457,                496972,,,,                349060,                349060,,,                335101,                 40087,                  2296,                377484,,                 11720,,                410470,                422190,,,                 72431,                 72431,              1221165,                              0,              1221165,,
6422,2014年09月30日,,,,                 55337,,                              0,,                 20810,,                557560,,                  4951,,                    956,,                              0,,                429121,,                 43324,              1112059,,,                255437,,                  4757,                 22589,,                 39750,                322533,              1434592,,,,,                 72374,,                  3675,,                192275,,                172030,                 24705,,                  5004,                470063,,,                 68886,,                  3016,                 71902,                541965,,,,                308000,                308000,,,                134427,                 40087,                              0,                174514,,                 11720,,                353061,                364781,,,                 45332,                 45332,                892627,                892627,              1434592,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6422,2014年06月30日,,,,                 92399,,                              0,,                 53375,,                534502,,                  3696,,                  4199,,                              0,,                402030,,                 49854,              1140055,,,                240792,,                  4847,                 22065,,                 32780,                300484,              1440539,,,,,                124669,,                  2798,,                219538,,                169232,                 29183,,                  6337,                551757,,,                 59053,,                  3194,                 62247,                614004,,,,                308000,                308000,,,                134427,,                              0,                174514,,                 11720,,                301745,                313465,,,                 30556,                 30556,                826535,                826535,              1440539,              0,              0,              0,                 40087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6422,2014年03月31日,,,,                167098,,                              0,,                 33236,,                459302,,                  2681,,                 19270,,                              0,,                325842,,                 25677,              1033106,,,                242086,,                  4518,                 18811,,                 20572,                285987,              1319093,,,,,                129165,,                    934,,                162342,,                122171,                 23303,,                  4867,                442782,,,                 53301,,                  3243,                 56544,                499326,,,,                280000,                280000,,,                134427,                 40087,                              0,                174514,,                              0,,                321708,                321708,,,                 43545,                 43545,                819767,                819767,              1319093,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6422,2013年12月31日,,,,,,                 17361,,                 34882,,                438174,,                  2566,,                 12705,,,,                297867,,                 25679,                983349,,,                232836,,                  4162,                 17929,,                 16539,                271466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                154115,                              0,              1254815,,,,                118186,,                  1035,,                151341,,                130786,                 23713,,                  3990,                429051,,,                 46343,,                  3100,                 49443,                478494,,,,                280000,                280000,,,                134427,                 40087,                              0,                174514,,                              0,,                277034,                277034,,,                 44773,                 44773,                776321,                              0,                776321,                174514,
6422,2013年09月30日,,,,,,                              0,,                 16594,,                417856,,                  6993,,                  4436,,,,                294392,,                 43412,                864539,,,                220140,,                  4183,                 17228,,                 18213,                259764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 80856,,              1124303,,,,                144775,,                  1282,,                130480,,                179278,                 13943,,                  5672,                475430,,,                 40179,,                  3117,                 43296,                518726,,,,                228600,                228600,,,,,,                112834,,                              0,,                237850,                237850,,,                 26293,                 26293,                605577,                              0,                605577,                112834,
6422,2013年06月30日,,,,,,                              0,,                 15566,,                445418,,                  7251,,                  1166,,,,                329146,,                 51131,                904337,,,                199996,,                  2388,                 18564,,                 18796,                239744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 54659,,              1144081,,,,                139625,,                    744,,                182195,,                113715,                  2979,,                  8079,                447337,,,                 47277,,                  3046,                 50323,                497660,,,,                228600,                228600,,,,,,                118937,,                              0,,                200518,                200518,,,                 40601,                 40601,                588656,                 57765,                646421,                118937,
