證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他應付款－其他,　　　　 應付股利,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 資本公積－庫藏股票交易
1608,2015年09月30日,,,,                325120,,                933054,,                198108,,                 32679,,                822088,                822088,                 24958,,                 46798,,                    833,,              3011804,,                156684,              5552126,,,              2073053,,                 34310,,                 15483,,              3145836,,                972500,,                    246,                174976,,                  3000,                    248,,                  5295,                109362,,                  8874,                126779,              6543183,             12095309,,,,,              1519760,,              1249459,,                 12240,,                250653,,                    906,                133314,,                146440,                    165,,                 36693,              3349630,,,                808281,,                416804,                  1350,                418154,              1226435,              4576065,,,,              6327735,              6327735,,                194806,,                158602,                884435,,               -177565,                865472,,,                -57350,                -57350,                852003,              6478660,              1040584,              7519244,             12095309,              0,              0,    208563824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,2015年06月30日,,,,                537272,,              1151153,,                265740,,                 28071,,,                828222,                 26367,,                 73318,,                 23654,,              3147142,,                162260,              6243199,,,              2570942,,                 34310,,                 15797,,              3161735,,                974417,,                    264,                128529,,,                    258,,                  5295,                110795,,                  8874,                125222,              7011216,             13254415,,,,,              1648082,,              1349073,,                  8307,,                265989,,                  2376,                133314,,                233801,                    113,,                 29711,              3670766,,,                787607,,                422461,                  1350,                423811,              1211418,              4882184,,,,              6327735,              6327735,,                194806,,                158602,                884435,,                  4531,              1047568,,,                524230,                524230,                852003,              7242336,              1129895,              8372231,             13254415,,              0,    208563824,,                              0,                 93948,                139853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,2015年03月31日,,,,                397475,,              1234625,,                239262,,                 14463,,,                765543,                 24516,,                 72365,,                    840,,              3158949,,                158205,              6066243,,,              2833627,,                 34310,,                 16079,,              3204097,,                976213,,                    324,                154019,,,                    304,,                  5295,                112228,,                  8874,                126701,              7345370,             13411613,,,,,              1558514,,              1248681,,                 16235,,                323532,,                  2376,                133314,,                130386,                  7481,,                 60628,              3481147,,,                787606,,                436770,                  4892,                441662,              1229268,              4710415,,,,              6327735,              6327735,,                194806,,                158602,                884435,,                 13935,              1056972,,,                720403,                720403,                852003,              7447913,              1253285,              8701198,             13411613,              0,              0,    208563824,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,2014年12月31日,,,,                376152,,              1199155,,                200380,,                 22099,,                745446,                745446,                 13475,,                 69955,,                    840,,              3373292,,                131985,              6132779,,,              3214346,,                 34310,,                 16381,,              3230350,,                978042,,                    382,                128529,,                              0,                    698,,                  5295,                119344,,                  8874,                134211,              7736551,             13869330,,,,,              1829753,,                958992,,                 23490,,                333226,,                  2390,                133314,,                139243,                  7352,,                 74558,              3502318,,,                787607,,                438442,                  2754,                441196,              1228803,              4731121,,,,              6327735,              6327735,,                194806,,                158602,                884435,,                 32409,              1075446,,,              1059172,              1059172,                852003,              7805156,              1333053,              9138209,             13869330,              0,              0,    208563824,,                              0,                              0,                139243,                376152,                    840,             13869330,,,,              1829753,,                958992,,                 23490,,                333226,,                  2390,                133314,,                139243,                  7352,,                 74558,              3502318,,,                787607,,                438442,                  2754,                441196,              1228803,              4731121,,,,              6327735,              6327735,,                194806,,                158602,                884435,,                 32409,              1075446,,,              1059172,              1059172,                852003,              7805156,              1333053,              9138209,,,,,
1608,2014年09月30日,,,,                410224,,              1192869,,                197403,,                 20751,,                619166,                619166,                 63617,,                160257,,                      8,,              3188897,,                155434,              6008626,,,              3435148,,                  3070,,                 16508,,              3261634,,                995739,,                    355,                129606,,                              0,                  1099,,                  5295,                    601,,                  8874,                 15869,              7857929,             13866555,,,,,              1473685,,                999668,,                 11590,,                314367,,                  2284,                133314,,                202297,                    280,,                 56721,              3194206,,,                787878,,                439369,                  2536,                441905,              1229783,              4423989,,,,              6327735,              6327735,,                194806,,                158602,                884435,,                110904,              1153941,,,              1275587,              1275587,                852003,              8100066,              1342500,              9442566,             13866555,              0,              0,    208563824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,2014年06月30日,,,,                389582,,              1506899,,                 65213,,                 27759,,,                690892,                 54518,,                186458,,                      8,,              2972421,,                 57938,              5951699,,,              3318292,,                 30451,,                 16708,,              3307281,,                997353,,                    120,                129924,,,                    602,,                  5295,                  2403,,                  8874,                 17174,              7817303,             13769002,,,,,              1047806,,                949709,,                 12005,,                345612,,                  2280,                              0,,                607517,                    830,,                 17924,              2983683,,,                788012,,                441171,                  2639,                443810,              1231822,              4215505,,,,              6327735,              6327735,,                194761,,                158602,                884435,,                 93160,              1136197,,,              1406446,              1406446,                852003,              8213136,              1340361,              9553497,             13769002,,              0,    208563824,,                     11,                414381,                193136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,2014年03月31日,,,,                335165,,              1638268,,                 53698,,                 19672,,,                740951,                 38623,,                127837,,                     13,,              2814999,,                 78657,              5847894,,,              2852077,,                 30451,,                 16935,,              3352506,,                999179,,                    189,                131601,,,                    552,,                  5295,                  4205,,                  8874,                 18926,              7401864,             13249758,,,,,              1013225,,                949561,,                 13656,,                383288,,                  2282,                              0,,                200938,                  5503,,                 20352,              2588805,,,                788119,,                441453,                  2639,                444092,              1232211,              3821016,,,,              6327735,              6327735,,                143945,,                117051,                871984,,                533944,              1522979,,,                936026,                936026,                852003,              8078682,              1350060,              9428742,             13249758,              0,              0,    208563824,,                     11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,2013年12月31日,,,,,,              1573473,,                 49056,,                 25290,,,                691262,                 38983,,                151223,,,,              2457223,,                 70855,              5454964,,,              2754125,,                 30451,,                 16964,,              3406817,,              1001013,,                    256,                126186,,,                    259,,                  5295,                  6008,,                  8874,                 20436,              7356248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    206934824,,,,,                397570,                     29,             12811212,,,,              1012844,,                549437,,                 14132,,                357950,,                  2387,                              0,,                210370,                  5387,,                 22928,              2175435,,,                788051,,                442007,                  2794,                444801,              1232852,              3408287,,,,              6327735,              6327735,,                143518,,                117051,                871984,,                538373,              1527408,,,                836937,                836937,                827898,              8007700,              1395225,              9402925,                210370,,,,
1608,2013年09月30日,,,,,,              1535830,,                 52464,,                 30536,,,                637719,                106848,,                127292,,,,              2693060,,                 62342,              5613561,,,              3025608,,                 30451,,                              0,,              3320152,,                789548,,                    316,                147176,,,                  3870,,                  8433,                  7810,,                  8875,                 28988,              7342239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    196934824,,,,,                367449,                     21,             12955800,,,,                894714,,                699724,,                 18091,,                384943,,                  2898,                              0,,                135947,                    851,,                 28215,              2165383,,,                788813,,                487478,                  3873,                491351,              1280164,              3445547,,,,              6327735,              6327735,,                138527,,                117051,                871984,,                116438,              1105473,,,              1109164,              1109164,                733574,              7947325,              1562928,              9510253,                135947,,,,
1608,2013年06月30日,,,,,,              1528102,,                 52875,,                 36168,,,              1005420,                149112,,                223920,,,,              2789902,,                 53803,              6322518,,,              2520076,,                 30493,,                              0,,              3362315,,                791559,,                    420,                153104,,,                  5179,,                  8433,                  9613,,                  8876,                 32101,              6890068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    193934824,,                              0,,,                483188,                     28,             13212586,,,,              1420126,,                699755,,                 11282,,                470565,,                  4914,,,                541365,                    793,,                 28956,              3177756,,,                788676,,                486779,                  4495,                491274,              1279950,              4457706,,,,              6327735,              6327735,,                 94965,,                117051,                871984,,                    423,                989458,,,                597462,                597462,                722599,              7287021,              1467859,              8754880,                 98424,                442941,,,
