證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 避險之衍生金融資產－非流動,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 避險之衍生金融負債－非流動,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 避險之衍生金融負債－非流動,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他應付款－其他,　　　　 應付股利,　　　　 待分配股票股利,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額
2027,2015年09月30日,,,,              2728086,,                102295,,                 89061,                 25376,,                 68614,,              4300390,,                271136,,                139976,,             29007517,,                  2390,              1294771,              1297161,,              1680815,                     35,              1680850,             39710462,,                              0,,                 17853,,              6740324,,                283004,,                141144,,                498923,                640067,              1176185,,,                359036,                 98976,,                381965,                839977,              9697410,             49407872,,,,,              8281328,,                459698,,                142036,                 55934,,                102892,,              1554761,,                258719,,                634301,                634301,                180836,,,              3746214,              3746214,                128216,              3874430,             15544935,,                163210,,             17905765,             17905765,,                 57594,,                              0,                 78087,                 78087,             18204656,             33749591,,,,              8081809,              8081809,,                715082,,              1115551,                174436,,              1125075,              2415062,,                743983,                463629,             11492307,              4165974,             15658281,             49407872,              0,              0,     29753000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2015年06月30日,,,,              2028981,,                195695,,                 97194,                 18839,,                 50419,,              4435204,,                370840,,                106230,,             28986029,,                  2335,              1015560,              1017895,,              1630707,                  1068,              1631775,             38939101,,,,                 20691,,              5377174,,                266200,,                119633,,                493602,                613235,              1128751,,,                391339,                 97272,,                540137,              1028748,              8434799,             47373900,,,,,              8116323,,                409697,,                 45105,                 47209,,                308638,,              1698390,,                114110,,                573823,              1176305,                217796,,,              1114314,              1114314,                 72498,              1186812,             13320385,,                105416,,             18593461,             18593461,,                 70127,,                              0,                 69733,                 69733,             18838737,             32159122,,,,              7770970,              8081809,,                715082,,              1115551,                174436,,              1385531,              2675518,,                 37158,                226929,             11282638,              3932140,             15214778,             47373900,              0,     31083881,     13692000,                602482,                310839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2015年03月31日,,,,              2419179,,                 27767,,                 80270,                 26520,,                 41493,,              4583675,,                103065,,                 27821,,             28692331,,                  2357,              1502515,              1504872,,              1626234,                 11089,              1637323,             39144316,,                              0,,                 20691,,              5388043,,                270504,,                152667,,                445672,                598339,              1255593,,,                404019,                 98789,,                514037,              1016845,              8550015,             47694331,,,,,              8870495,,                409674,,                 36949,                 48529,,                219112,,              1823271,,                127556,,,                652763,                272476,,,              1304905,              1304905,                 77807,              1382712,             13843537,,                113922,,             17391386,             17391386,,                 53804,,                  5787,                 70058,                 75845,             17634957,             31478494,,,,              7770970,              7770970,,                715082,,                878302,                174436,,              2423914,              3476652,,                199614,                              0,             12162318,              4053519,             16215837,             47694331,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2014年12月31日,,,,              1980940,,                122607,,                100381,                 31267,,                 18388,,              3974090,,                144393,,                    750,,             27842367,,                  2393,              1496914,              1499307,,              1472749,                              0,              1472749,             37187239,,                              0,,                 20691,,              5398734,,                274043,,                113582,,                443367,                556949,              1241456,,,                429430,                100871,,                370518,                900819,              8392692,             45579931,,,,,              8466171,,                367809,,                 71996,                 18843,,                342654,,              1650381,,                121596,,                892820,                892820,                268910,,,              1476406,              1476406,                 67301,              1543707,             13744887,,                 81101,,             15012841,             15012841,,                124869,,                 10414,                 95433,                105847,             15324658,             29069545,,,,              7770970,              7770970,,                715082,,                878302,                174436,,              2372494,              3425232,,                468956,                              0,             12380240,              4130146,             16510386,             45579931,              0,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2014年09月30日,,,,              2364640,,                 89920,,                 61257,                  4820,,                 30709,,              4432901,,                202149,,                 35354,,             24835003,,                  6861,                989120,                995981,,              1361381,                  2178,              1363559,             34416293,,                  1038,,                 17739,,              4961083,,                263887,,                131982,,                411202,                543184,              1083104,,,                414881,                 92421,,                312189,                819491,              7689526,             42105819,,,,,              7519770,,                367788,,                 50190,                  7665,,                104444,,              1771223,,                101410,,                770057,                770057,                303960,,,              1409742,              1409742,                 68292,              1478034,             12474541,,                 38365,,             13698474,             13698474,,                126457,,                              0,                 82202,                 82202,             13945498,             26420039,,,,              7770970,              7770970,,                715082,,                878302,                174436,,              2186652,              3239390,,                 17074,                              0,             11742516,              3943264,             15685780,             42105819,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2014年06月30日,,,,              1924106,,                 24795,,                 53134,                              0,,                 29735,,              4493938,,                424013,,                  8443,,             22769062,,                  2245,                938290,                940535,,              1393523,                              0,              1393523,             32061284,,,,                 17739,,              4959574,,                259558,,                107175,,                403659,                510834,              1230611,,,                465932,                 95782,,                314366,                876080,              7854396,             39915680,,,,,              6921005,,                277851,,                 26873,                  9496,,                 79204,,              1406635,,                106720,,                577110,              1247703,                181871,,,              1076979,              1076979,                 88703,              1165682,             11423040,,                 57312,,             13708547,             13708547,,                110755,,                              0,                 79011,                 79011,             13955625,             25378665,,,,              7770970,              7770970,,                715082,,                878302,                174436,,              1336854,              2389592,,               -202073,                              0,             10673571,              3863444,             14537015,             39915680,              0,              0,              0,                670593,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2014年03月31日,,,,              1920007,,                 12580,,                120081,                 12807,,                 16042,,              4247632,,                105821,,                 20787,,             22297849,,                  2291,              1128737,              1131028,,              1402409,                  6229,              1408638,             31293272,,                  5787,,                 24300,,              4992361,,                301436,,                109346,,                419412,                528758,              1351574,,,                454929,                 98306,,                319446,                872681,              8076897,             39370169,,,,,              7119822,,                257867,,                109259,                  2904,,                 95456,,              1235520,,                 93803,,,                564152,                 21478,,,                713226,                713226,                 64814,                778040,             10278301,,                 11814,,             14389445,             14389445,,                119520,,                              0,                 88378,                 88378,             14609157,             24887458,,,,              7770970,              7770970,,              1133488,,                878302,                930556,,                -81464,              1727394,,                 71900,                276570,             10427182,              4055529,             14482711,             39370169,              0,              0,     19013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2013年12月31日,,,,,,                 20124,,                123195,                              0,,                 36695,,              3138740,,                125301,,,,             22433127,,,,              1149106,,              1349469,                  2726,              1352195,             30225879,,                 15890,,                 24300,,              4907030,,                294364,,                106960,,                418859,                525819,              1405431,,,                476548,,,                388792,                865340,              8038174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     19013000,,,              1828222,                 19174,             38264053,,,,              6835614,,                229896,,                 26223,                  6230,,                 73440,,              1064361,,                156578,,                509953,                 81230,,,                551013,                551013,                 76490,                627503,              9611028,,                    737,,             14301068,             14301068,,                109730,,                 39596,                 94875,                134471,             14546006,             24157034,,,,              7770970,              7770970,,              1148888,,                878302,                930556,,               -212930,              1595928,,               -174436,                276570,             10064780,              4042239,             14107019,                509953,                              0,                              0,,,,
2027,2013年09月30日,,,,,,                 52282,,                108337,                              0,,                 21330,,              3107939,,                218225,,,,             19731972,,,,                937920,,              1301544,                  4893,              1306437,             28014718,,                              0,,                 24300,,              4848511,,                294230,,                              0,,                              0,                              0,              1244695,,,                664864,,,                512161,              1177025,              7588761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     19013000,,,              2492307,                 37969,             35603479,,,,              6652641,,                229871,,                 31048,                 13811,,                 66363,,                955517,,                 88912,,                496069,                 13101,,,              5981789,              5981789,                 61446,              6043235,             14590568,,                              0,,              6987482,              6987482,,                 60983,,                 38644,                102415,                141059,              7189524,             21780092,,,,              7770970,              7770970,,              1156117,,                878302,                930556,,               -388676,              1420182,,               -269760,                276570,              9800939,              4022448,             13823387,                496069,,,,,,
2027,2013年06月30日,,,,,,                 72377,,                145137,                  5526,,                 23874,,              3139913,,                 84124,,,,             20381719,,,,                757542,,              1300165,                  1931,              1302096,             27548238,,                              0,,                 24300,,              4917277,,                299047,,                              0,,                              0,                              0,              1248784,,,                616955,,,                464417,              1081372,              7570780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     19013000,,,              1609779,                 26151,             35119018,,,,              7066817,,                419778,,                 59124,                              0,,                148178,,                973553,,                106070,,                586427,                 28930,,,              1134002,              1134002,                 55301,              1189303,             10578180,,                              0,,             12063403,             12063403,,                 71625,,                 42622,                108953,                151575,             12286603,             22864783,,,,              7081803,              7770970,,              1133488,,                878302,                930556,,               -408139,              1400719,,                -99306,                276570,              9929301,              2324934,             12254235,                448593,                137834,                689167,,,,
