證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 短期借款,　　　　 短期借款合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計
3004,2015年09月30日,,,,                114327,,                    207,,                268275,,                  1431,,                  3067,,                296684,,                 30804,                714795,,,                              0,,              1543580,,                 22695,,                  4968,                  3537,,                 12477,              1587257,              2302052,,,,,                188460,,                 60000,,                    168,,                  1560,,                 93839,,                              0,,                189306,                  7048,                 20410,,                 66415,                627206,,,                302277,,                              0,,                 16232,,                107112,                425621,              1052827,,,,                526472,                526472,,                340105,,                 36092,,                341339,                377431,,                  5217,                              0,              1249225,                              0,                              0,              1249225,              2302052,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,2015年06月30日,,,,                133126,,                              0,,                274267,,                  1412,,                  2450,,                303988,,                 28252,                743495,,,                              0,,              1537444,,                 22731,,                  5834,                  3536,,                 11636,              1581181,              2324676,,,,,                 90000,,                 60000,,                              0,,                  4595,,                 90316,,,,                214719,                 19123,                 21683,,                 39728,                540164,,,                484272,,                              0,,                 16232,,                107100,                607604,              1147768,,,,                526472,                526472,,                340105,,                 36092,,                271846,                307938,,                  2393,                              0,              1176908,                              0,                              0,              1176908,              2324676,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,2015年03月31日,,,,                111905,,                    363,,                278388,,,,                  3476,,                321415,,                 23378,                739042,,,                              0,,              1506974,,                 22767,,                  5107,                  3537,,                 27627,              1566012,              2305054,,,,,                 80000,,                 60000,,                              0,,                  3103,,                 97194,,,,                175930,                 11627,                 45860,,                 87387,                561101,,,                461413,,                              0,,                    627,,                152157,                614197,              1175298,,,,                526472,                526472,,                340105,,                 36092,,                224051,                260143,,                  3036,                              0,              1129756,                              0,                              0,              1129756,              2305054,              0,              0,              0,,                    117,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,2014年12月31日,,,,                106051,,                  2953,,                267135,,                              0,,                  3270,,                316442,,                 24224,                720075,,,                              0,,              1507887,,                 22802,,                  6188,                  3537,,                 28425,              1568839,              2288914,,,,,                              0,,                 50000,,                    681,,                 94316,,                137937,,                              0,,                205957,                 22824,                 36402,,                144034,                692151,,,                710517,,                              0,,                    627,,                152144,                863288,              1555439,,,,                425502,                425502,,                 90231,,                 36092,,                177549,                213641,,                  4101,                              0,                733475,                              0,                              0,                733475,              2288914,              0,              0,              0,,                              0,                              0,                106051,              2288914,,,,                 50000,,                    681,,                 94316,,                137937,,                              0,,                205957,                 22824,                 36402,,                144034,                692151,,,                710517,,                              0,,                    627,,                152144,                863288,              1555439,,,,                425502,                425502,,                 90231,,                 36092,                              0,,                177549,                213641,,                  4101,                              0,                733475,                              0,                              0,                733475,,,,,,,
3004,2014年09月30日,,,,                114014,,                              0,,                255301,,                              0,,                  3378,,                269255,,                 28893,                670841,,,                              0,,              1477425,,                 22838,,                  6386,                  1937,,                 22418,              1531004,              2201845,,,,,                 40000,,                              0,,                    533,,                  2356,,                133840,,                     24,,                133033,                 10224,                 30421,,                171480,                521911,,,                714903,,                253265,,                    627,,                     94,                968889,              1490800,,,,                423502,                423502,,                 74620,,                 36092,,                174856,                210948,,                  1975,                              0,                711045,                              0,                              0,                711045,              2201845,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,2014年06月30日,,,,                142255,,                    151,,                228373,,                              0,,                  3716,,                228388,,                 28429,                631312,,,                              0,,              1451294,,                 22873,,                  7492,                  3398,,                 23427,              1508484,              2139796,,,,,                 30000,,                 60000,,                              0,,                  2182,,                109172,,,,                153128,                 10774,                 24548,,                171668,                561472,,,                652700,,                 54323,,                    627,,                    419,                708069,              1269541,,,,                423067,                423067,,                 74633,,                 36092,,                335321,                371413,,                  1142,                              0,                870255,                              0,                              0,                870255,              2139796,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,2014年03月31日,,,,                116242,,                              0,,                269993,,,,                  2691,,                204297,,                 26226,                619449,,,                              0,,              1436973,,                 22909,,                  8495,                  6668,,                 17749,              1492794,              2112243,,,,,                 20000,,                 60000,,                    174,,                  1301,,                 83804,,,,                107597,                  7651,                 21084,,                156126,                457737,,,                725119,,                 54323,,                    627,,                    467,                780536,              1238273,,,,                418444,                418444,,                 74577,,                 25017,,                353720,                378810,,                  2139,                              0,                873970,                              0,                              0,                873970,              2112243,              0,              0,              0,,                              0,                     73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,2013年12月31日,,,,,,                     33,,                170507,,,,                  2494,,                228688,,                 26922,                577440,,,                              0,,              1433822,,                 22945,,                  8538,                  8234,,                 32381,              1505920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                     70,,                148726,              2083360,,,,                              0,,                              0,,                  4000,,                 69619,,                    170,,                117201,                  7215,                  7964,,                222026,                428195,,,                786273,,                 54323,,                    627,,                    452,                841675,              1269870,,,,                418444,                418444,,                 74383,,                 25017,                     73,,                293943,                319033,,                  1630,                              0,                813490,                              0,                              0,                813490,,                              0,,,,,
3004,2013年09月30日,,,,,,                    480,,                159729,,,,                  4140,,                230841,,                 23004,                626142,,,                              0,,              1426744,,                 22981,,                  8264,                 40544,,                 21486,              1520019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,                207948,              2146161,,,,                              0,,                              0,,                  4750,,                 64403,,                    126,,                103677,                  1835,                 32777,,                217927,                465495,,,                844386,,                 54782,,                    479,,                    291,                899938,              1365433,,,,                418132,                418132,,                 74861,,                 25017,                     73,,                261728,                286818,,                    917,                              0,                780728,                              0,                              0,                780728,,                 40000,,,,,
3004,2013年06月30日,,,,,,                              0,,                194233,,,,                  3923,,                235653,,                 17936,                638914,,,                              0,,              1408886,,                 23016,,                  9389,                 40544,,                 20139,              1501974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                     92,,                187077,              2140888,,,,                 40000,,,,                  4238,,                 73455,,                     13,,                158942,                  3053,                 29086,,                187347,                631119,,,                685584,,                 54782,,                    479,,                    202,                741047,              1372166,,,,                417217,                417217,,                 74411,,                 25017,                     73,,                250367,                275457,,                  1637,                              0,                768722,                              0,                              0,                768722,,                134985,,,,,
