證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　　 資本公積－其他
6215,2015年09月30日,,,,                178618,,                    269,,                 73282,,                379562,,                     12,                  8627,,                  6149,,                    307,,                    452,,                570024,,                 54166,,                    775,              1272243,,,                127923,,                 68330,,                530133,                 10635,,                 74492,                811513,              2083756,,,,,                221408,,                  2271,,                156532,,                 15152,                              0,,                 84982,                  3599,,                  4192,,,                135406,                 10529,                145935,                634071,,,                278200,,                 15242,,                  4284,                297726,                931797,,,,                827897,                827897,,,                 87946,                  3309,                  1600,                 92855,,                112801,                 16229,,                 59551,                188581,,,                 35705,,                              0,,                              0,                 35705,              1145038,                  6921,              1151959,              2083756,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6215,2015年06月30日,,,,                201888,,                    335,,                 89202,,                409877,,                  8356,                  5286,,                  5638,,                    260,,,,                532898,,                 64412,,                    775,              1318927,,,                133729,,                 66043,,                533998,                 10765,,                 72094,                816629,              2135556,,,,,                169784,,                  2496,,                202881,,                 11174,                    306,,                168335,                 13865,,                  5388,,,                139501,                  8406,                147907,                722136,,,                278200,,                 10015,,                  4873,                293088,              1015224,,,,                827897,                827897,,,                 87946,                  3309,                  1600,                 92855,,                112801,                 16229,,                 46206,                175236,,,                 17332,,                              0,,                              0,                 17332,              1113320,                  7012,              1120332,              2135556,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6215,2015年03月31日,,,,                260851,,                    535,,                 53339,,                428758,,                  5082,                  9645,,                  3761,,                    312,,,,                547690,,                 71756,,                    846,              1382575,,,                133729,,                 66740,,                529666,                 10790,,                 74670,                815595,              2198170,,,,,                150000,,                  2642,,                206919,,                 14483,                    953,,                 84946,                 28171,,                  6429,,,                109522,                 14983,                124505,                619048,,,                343325,,                 12307,,                  5434,                361066,                980114,,,,                827897,                827897,,,                 87946,                  3309,                  1600,                 92855,,                100011,                 16229,,                148878,                265118,,,                 24904,,                              0,,                              0,                 24904,              1210774,                  7282,              1218056,              2198170,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6215,2014年12月31日,,,,                228200,,                    668,,                 64611,,                497984,,                  1252,                  1521,,                  6259,,                    247,,                              0,,                553061,,                 57543,,                    775,              1412121,,,                133729,,                 66643,,                538401,                 11198,,                 76455,                826426,              2238547,,,,,                190000,,                  3486,,                175095,,                 11171,                  4503,,                112919,                 24584,,                  7627,,,                251730,                 16271,                268001,                797386,,,                205260,,                 15690,,                  5982,                226932,              1024318,,,,                827897,                827897,,,                 87946,                  3309,                  1600,                 92855,,                100011,                 16229,,                140394,                256634,,,                 29381,,                              0,,                              0,                 29381,              1206767,                  7462,              1214229,              2238547,              0,              0,              0,                228200,              2238547,,,,                190000,,                  3486,,                175095,,                 11171,                  4503,,                112919,                 24584,,                  7627,,,                251730,                 16271,                268001,                797386,,,                205260,,                 15690,,                  5982,                226932,              1024318,,,,                827897,                827897,,,                 87946,                  3309,                  1600,                 92855,,                100011,                 16229,,                140394,                256634,,,                 29381,,                              0,,                              0,                 29381,              1206767,                  7462,              1214229,,,,,
6215,2014年09月30日,,,,                220918,,                    653,,                 68035,,                532425,,                    944,                  2670,,                  7175,,                    107,,                              0,,                538448,,                 24868,,                    775,              1397018,,,                137929,,                 64072,,                529642,                  9660,,                 78916,                820219,              2217237,,,,,                150000,,                  2241,,                232499,,                  9971,                  4322,,                 88211,                 20057,,                  7615,,,                 78557,                 18393,                 96950,                611866,,,                413612,,                 11550,,                  5307,                430469,              1042335,,,,                827897,                827897,,,                 87946,                  3309,                  1600,                 92855,,                100011,                 16229,,                115111,                231351,,,                 15219,,                              0,,                              0,                 15219,              1167322,                  7580,              1174902,              2217237,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6215,2014年06月30日,,,,                212060,,                    874,,                 57990,,                459229,,                  1190,                    153,,                  5752,,                    233,,,,                474986,,                 42408,,                    775,              1255650,,,                137929,,                 63140,,                532041,                 11755,,                 79666,                824531,              2080181,,,,,                 60000,,                  2779,,                217301,,                 17039,                  9752,,                114080,                  8818,,                  5819,,,                 78590,                 22811,                101401,                536989,,,                417784,,                  9763,,                  5776,                433323,                970312,,,,                827897,                827897,,,                 87946,                  3309,                  1600,                 92855,,                100011,                 16229,,                 61120,                177360,,,                  4357,,                              0,,                              0,                  4357,              1102469,                  7400,              1109869,              2080181,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6215,2014年03月31日,,,,                261387,,                    919,,                 43776,,                302188,,                  4010,                 22897,,                  2849,,                    573,,,,                470997,,                 26257,,                    775,              1136628,,,                137929,,                 66273,,                546027,                 12751,,                 83874,                846854,              1983482,,,,,                 70000,,                  2996,,                126557,,                 14740,                  4190,,                 52598,                  6666,,                  5175,,,                 78593,                 22097,                100690,                383612,,,                452936,,                 11296,,                  6246,                470478,                854090,,,,                827897,                827897,,,                 87946,                  3309,                  1600,                 92855,,                 97250,                 16229,,                 75361,                188840,,,                 12546,,                              0,,                              0,                 12546,              1122138,                  7254,              1129392,              1983482,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6215,2013年12月31日,,,,,,                    781,,                 49577,,                304633,,                  3334,                  1105,,                  8655,,                    562,,,,                542527,,                 27794,,                    775,              1205191,,,                137929,,                 63960,,                556082,                 13212,,                 84908,                856091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                265448,              2061282,,,,                155000,,                  3331,,                119857,,                 12303,                 11252,,                 60941,                  7854,,                  6646,,,                 78569,                  9765,                 88334,                465518,,,                457048,,                 10959,,                  6694,                474701,                940219,,,,                827897,                827897,,,                 87946,                  3309,                  1600,                 92855,,                 97250,                 16229,,                 65899,                179378,,,                 13672,,                              0,,                              0,                 13672,              1113802,                  7261,              1121063,,                              0,,,
6215,2013年09月30日,,,,,,                    617,,                 54837,,                417181,,                  4960,                    693,,                  8056,,                    571,,,,                520361,,                 38523,,                    775,              1251682,,,                137929,,                 62620,,                566025,                 12629,,                 82798,                862001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                205108,              2113683,,,,                290000,,                  3579,,                164308,,                  9815,                 10798,,                 70141,                  6864,,                  6661,,,                 55394,                  7129,                 62523,                624689,,,                357253,,                  9241,,                 10508,                377002,              1001691,,,,                827897,                827897,,,                 87744,                  3309,                  1802,                 92855,,                 97250,                 16229,,                 63938,                177417,,,                  6437,,                              0,,                              0,                  6437,              1104606,                  7386,              1111992,,                              0,,,
6215,2013年06月30日,,,,,,                    656,,                 38102,,                478041,,                  2209,                  4297,,                 13808,,                    557,,,,                465119,,                 23417,,                    775,              1274638,,,                137929,,                 63772,,                579802,                 12296,,                 85234,                879033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                247657,              2153671,,,,                295000,,                  5183,,                167463,,                  9429,                  7458,,                 69276,                  6124,,                  6834,,,                130366,                 12593,                142959,                709726,,,                311411,,                 11516,,                 10508,                333435,              1043161,,,,                827897,                827897,,,                 87744,                  3309,                  1802,                 92855,,                 97250,                 16229,,                 57297,                170776,,,                 11686,,                              0,,                              0,                 11686,              1103214,                  7296,              1110510,,                              0,,,
