證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收租賃款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項,　　　　　 長期應收租賃款,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 預付款項,　　　　 預付款項合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 庫存現金,　　　　 應收票據,　　　 應付公司債,　　　　 應付公司債合計
8261,2015年09月30日,,,,                378725,,                              0,,                  1262,,                 53609,,                 34975,,                305251,                              0,                305251,,                  4392,,                378660,,                 12113,              1168987,,,                 13242,,                 30507,,                274656,,                  5150,                 58220,,,                              0,                              0,,                 42774,                 42774,                424549,              1593536,,,,,                              0,,                  3654,,                166280,,                 82003,                 82003,                  6438,,,                              0,                  6914,                  6914,                265289,,,                              0,,                     34,,                              0,                    149,                    149,                    183,                265472,,,,                815718,                              0,                              0,                815718,,                328892,,                 17342,                 22859,,                198512,                238713,,                -55259,                              0,              1328064,              1328064,              1593536,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,2015年06月30日,,,,              1035908,,                              0,,                  1776,,                320125,,                 43920,,                289480,                              0,                289480,,                 14265,,                479554,,                    424,              2199479,,,                 18630,,                 42108,,                270890,,                  5508,                 62990,,,                              0,                              0,,                 46246,                 46246,                446372,              2645851,,,,,                              0,,                 10758,,                188868,,              1138123,              1138123,                  8762,,,                              0,                  5505,                  5505,              1352016,,,                              0,,                     51,,                              0,                    149,                    149,                    200,              1352216,,,,              1815502,                              0,               -999279,                816223,,                330588,,                 17342,                 22859,,                166538,                206739,,                -59915,                              0,              1293635,              1293635,              2645851,     99927929,              0,              0,,                 14027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,2015年03月31日,,,,                523909,,                              0,,                  1915,,                910803,,                 42447,,                341098,,                341098,,                 15246,,                501543,,                    337,              2348099,,,                 20092,,                 42385,,                270580,,                  5313,                 63193,,,,,,                 47390,                 47390,                448953,              2797052,,,,,                              0,,                 12910,,                380017,,                 53316,                 53316,                  2590,,,,                  6157,                  6157,                454990,,,,,                    802,,                              0,                    149,                    149,                    951,                455941,,,,              1816872,                              0,,              1816872,,                334036,,                              0,                 23928,,                232094,                256022,,                -65819,                              0,              2341111,              2341111,              2797052,,              0,              0,,                 10801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,2014年12月31日,,,,                385853,,                              0,,                  2416,,                965118,,                 51650,,                428020,                              0,                428020,,                 15990,,                374735,,                 13556,              2237338,,,                 25343,,                 42606,,                270358,,                  4650,                 73307,,,                              0,                              0,,                 10697,                 10697,                426961,              2664299,,,,,                              0,,                  8825,,                279628,,                 72312,                 72312,                              0,,,                              0,                  5898,                  5898,                366663,,,                              0,,                  3824,,                              0,                    149,                    149,                  3973,                370636,,,,              1814284,                  1409,                              0,              1815693,,                333932,,                              0,                 23928,,                183370,                207298,,                -63260,                              0,              2293663,              2293663,              2664299,              0,        135500,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,2014年09月30日,,,,                694187,,                              0,,                  2691,,                562375,,                 53078,,                487167,                              0,                487167,,                 14901,,                388955,,                 12355,              2215709,,,                 28220,,                 41830,,                274167,,                  5232,                 89278,,,                              0,                              0,,                 12702,                 12702,                451429,              2667138,,,,,                     39,,                 12410,,                387084,,                 49800,                 49800,                              0,,,                              0,                  8306,                  8306,                457639,,,                              0,,                  1189,,                  4222,                    149,                  4371,                  5560,                463199,,,,              1814284,                              0,                              0,              1814284,,                333932,,                              0,                 23928,,                 96255,                120183,,                -64460,                              0,              2203939,              2203939,              2667138,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,2014年06月30日,,,,                714773,,                 95737,,                  5868,,                380640,,                 71926,,                473702,                              0,                473702,,                 16722,,                377621,,                  1332,              2152448,,,                 31142,,                 41481,,                276514,,                  6124,                104039,,,                              0,                              0,,                 15072,                 15072,                474372,              2626820,,,,,                     80,,                 11982,,                400666,,                 41553,                 41553,                              0,,,                              0,                  6984,                  6984,                461265,,,                              0,,                  6373,,                  4382,                    149,                  4531,                 10904,                472169,,,,              1796184,                              0,                              0,              1796184,,                306511,,                              0,                 23928,,                 45552,                 69480,,                -17524,                              0,              2154651,              2154651,              2626820,              0,              0,              0,,                 14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,2014年03月31日,,,,                874046,,                 95608,,                              0,,                151204,,                 41857,,                446663,,                446663,,                 11504,,                361553,,                  7804,              2002926,,,                 45115,,                 51862,,                278769,,                  6095,                108191,,,,,,                 20171,                 20171,                510203,              2513129,,,,,                    746,,                 17531,,                297687,,                 31185,                 31185,                              0,,,,                  5061,                  5061,                352210,,,,,                  5590,,                  4684,                              0,                  4684,                 10274,                362484,,,,              1795534,                              0,,              1795534,,                604992,,                 31182,                 28439,,               -305985,               -246364,,                 -3517,                              0,              2150645,              2150645,              2513129,,              0,              0,,                 12687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8261,2013年12月31日,,,,,,                 95475,,                  7495,,,,                 52268,,                526413,                              0,                526413,,                 16084,,                378899,,                     77,              2036870,,,                 27626,,                 53107,,                276939,,                  7375,                109724,,,                              0,                              0,,                 28139,                 28139,                502910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 14998,                934207,                 10954,              2539780,,,,                              0,,                 22583,,                370772,,                 41397,                 41397,                              0,,,                              0,                  4133,                  4133,                438885,,,                              0,,                  4723,,                  5427,                              0,                  5427,                 10150,                449035,,,,              1784859,                              0,              1784859,,                604433,,                 31182,                 28439,,               -334239,               -274618,,                -23929,                              0,              2090745,                              0,                              0,              2090745,                934207,,,
8261,2013年09月30日,,,,,,                 95335,,                  7418,,,,                  8650,,                580663,                              0,                580663,,                 10813,,                441833,,                  5043,              2155865,,,                 24943,,                 68723,,                288248,,                 18097,                 93278,,,                              0,                              0,,                 40025,                 40025,                533314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 15809,                960229,                 30072,              2689179,,,,                              0,,                 18916,,                292221,,                 36295,                 36295,,,,                 79413,                  2697,                 82110,                429542,,,                 84068,,                  4395,,                  6410,                              0,                  6410,                 94873,                524415,,,,              1784859,,              1784859,,                604160,,                 31182,                 28439,,               -256108,               -196487,,                -27768,                              0,              2164764,,,              2164764,                960229,,,
8261,2013年06月30日,,,,,,                100075,,                  9287,,,,                  6416,,                593220,                  3840,                597060,,                 13297,,                530507,,                  4951,              1812713,,,                 27230,,                 68994,,                294571,,                 20398,                 89754,,,                  5094,                  5094,,                 15278,                 20372,                521319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 30904,                514144,                  6072,              2334032,,,,                              0,,                 33850,,                315387,,                 34191,                 34191,,,,                 11418,                  3229,                 14647,                398075,,,                154900,,                  3131,,                  7041,                              0,                  7041,                165072,                563147,,,,              1384859,,              1384859,,                595885,,                 31182,                 28439,,               -244236,               -184615,,                -25244,                              0,              1770885,,,              1770885,                514144,,,
