證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－合併溢額,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積－合併溢額,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
2451,2015年09月30日,,,,              9004394,,                 72411,,                959393,,                  1480,,              2954222,,                 10019,,                116125,,                              0,,              5704056,,                 85965,             18908065,,,                167812,,                325227,,              3083854,,                295387,                 73754,,                189602,              4135636,             23043701,,,,,                410850,,                 11409,,                              0,,              1831249,,                 46533,,                354203,                148717,,                 17333,              2820294,,,                400009,,                 68913,                468922,              3289216,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              3426756,,              7183720,             10610476,,,                152560,,               -115243,                 37317,             19754485,             19754485,             23043701,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,2015年06月30日,,,,             10644707,,                  9131,,              1147290,,                    339,,              2851994,,,,                264305,,                              0,,              7090049,,                 96091,             22103906,,,                192681,,                325229,,              3037261,,                292762,                127396,,                188025,              4163354,             26267260,,,,,                378600,,                 21503,,                              0,,              2772863,,                 80971,,              3685342,                265934,,                 36799,              7242012,,,                405897,,                 70039,                475936,              7717948,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              3426756,,              6097550,              9524306,,,                  8688,,                -90374,                -81686,             18549312,             18549312,             26267260,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,2015年03月31日,,,,             10816047,,                 92710,,                630679,,                  5126,,              2775812,,,,                231840,,                              0,,              6120689,,                 40057,             20712960,,,                223624,,                334366,,              3100919,,                295892,                117288,,                197028,              4269117,             24982077,,,,,                478240,,,,                              0,,              1619528,,                 82964,,                354474,                434723,,                  7082,              2977011,,,                444537,,                 71179,                515716,              3492727,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              3053235,,              9340018,             12393253,,,                 48836,,                -59431,                -10595,             21489350,             21489350,             24982077,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,2014年12月31日,,,,             11565344,,                 53545,,                637025,,                              0,,              2993131,,                              0,,                283316,,                              0,,              6364987,,                 44515,             21941863,,,                232639,,                332593,,              3160974,,                298614,                 92319,,                234238,              4351377,             26293240,,,,,                903300,,                              0,,                      8,,              3202531,,                 74185,,                475052,                319927,,                 60063,              5035066,,,                485378,,                 54191,                539569,              5574635,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              3053235,,              8504167,             11557402,,,                104927,,                -50416,                 54511,             20718605,             20718605,             26293240,              0,              0,              0,             11565344,                637025,             26293240,,,,                903300,,                      8,,              3202531,,                 74185,,                475052,                319927,,                 60063,              5035066,,,                485378,,                 54191,                539569,              5574635,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              3053235,,              8504167,             11557402,,,                104927,,                -50416,                 54511,             20718605,             20718605,,
2451,2014年09月30日,,,,              9330568,,                 23869,,                613131,,                  4722,,              2679993,,                              0,,                220300,,                 14371,,              6267305,,                 59834,             19214093,,,                235153,,                323366,,              3178771,,                297974,                 92934,,                239453,              4367651,             23581744,,,,,                278000,,                              0,,                      3,,              2469542,,                 93894,,                435202,                182148,,                 49369,              3508158,,,                403521,,                 55225,                458746,              3966904,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              3053235,,              7476096,             10529331,,,                 26719,,                -47902,                -21183,             19614840,             19614840,             23581744,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,2014年06月30日,,,,             11599585,,                              0,,                657856,,                  1000,,              2917994,,,,                287725,,                 10235,,              6260636,,                 50995,             21786026,,,                301821,,                221717,,              3208703,,                297858,                 95195,,                225262,              4350556,             26136582,,,,,                681815,,                  6240,,                      4,,              2721654,,                 68057,,              3246798,                275072,,                 34442,              7034082,,,                378535,,                 57120,                435655,              7469737,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              3053235,,              6509834,              9563069,,,                -21682,,                 18766,                 -2916,             18666845,             18666845,             26136582,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,2014年03月31日,,,,             10757242,,                              0,,                564158,,                  3562,,              2750479,,,,                274232,,                 10457,,              5974014,,                 18183,             20352327,,,                299624,,                221092,,              3279621,,                301587,                 96262,,                218853,              4417039,             24769366,,,,,                593500,,,,                     11,,              2141199,,                 40717,,                384602,                348144,,                 35936,              3544109,,,                397188,,                 54622,                451810,              3995919,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              2733339,,              8875858,             11609197,,,                 40989,,                 16569,                 57558,             20773447,             20773447,             24769366,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,2013年12月31日,,,,,,                              0,,,,                  4158,,              2732001,,,,                254528,,,,              5075939,,                 36311,             19866140,,,                264422,,                221255,,              3330875,,                303232,                 78915,,                183691,              4382390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             11639505,                123698,             24248530,,,,                579040,,                  1215,,              2669584,,                 45801,,                393810,                239967,,                 50013,              3979430,,,                395542,,                 49349,                444891,              4424321,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              2733339,,              7975047,             10708386,,,                 27764,,                -18633,                  9131,             19824209,             19824209,,
2451,2013年09月30日,,,,,,                              0,,,,                  5193,,              2639914,,                 43967,,                150958,,                              0,,              5396565,,                 47973,             17287265,,,                221165,,                242430,,              3362203,,                303657,                 76480,,                191496,              4397431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              8762026,                240669,             21684696,,,,                151050,,                              0,,              1482277,,                 22628,,                370955,                153373,,                 48577,              2228860,,,                373391,,                 55576,                428967,              2657827,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              2733339,,              7263420,              9996759,,,                -14692,,                -61890,                -76582,             19026869,             19026869,,
2451,2013年06月30日,,,,,,                  1064,,,,                  6563,,              2844646,,                 68171,,                176088,,                              0,,              6524528,,                 79942,             20292923,,,                242069,,                250405,,              3429212,,                306571,                 79031,,                166651,              4473939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             10097113,                494808,             24766862,,,,                151800,,                  3780,,              2243697,,                 24136,,              3181241,                227469,,                 37555,              5869678,,,                387644,,                 55975,                443619,              6313297,,,,              4307617,              4307617,,,              4759841,,                  4106,                 35128,              4799075,,              2733339,,              6643680,              9377019,,,                 10840,,                -40986,                -30146,             18453565,             18453565,,                              0
