證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利
2029,2015年09月30日,,,,              4012026,,                    333,,                474604,,                 31159,                  1726,,                 38784,,                    167,,,              1337476,              1337476,,                 55657,                 55657,,                 37239,                 15774,                 53013,              6004945,,,                 46829,,                254404,,              2632631,,                340107,,,                  1875,                              0,                  1875,                225384,,                  2050,                  3761,,                 36500,,                    977,                 43288,              3544518,              9549463,,,,,                179069,,                              0,,                              0,,                190386,,                 90765,                  9040,,                263132,                263132,                 29734,,,                 31125,                 31125,                  6890,                 38015,                800141,,,                  3221,,                 63895,,              1006768,                    515,                  2079,              1009362,              1076478,              1876619,,,,              3211800,              3211800,,                992084,,              1417328,,              1952755,              3370083,,                 74152,                              0,              7648119,                 24725,              7672844,              9549463,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2015年06月30日,,,,              3491330,,                    401,,                847190,,                 21704,                  6283,,                 75148,,                    164,,,              1641245,              1641245,,                 48329,                 48329,,                 35671,                  7240,                 42911,              6174705,,,                 47225,,                841735,,              2612259,,                343285,,,                  2439,                              0,                  2439,                221098,,                 37289,                  3761,,                 96500,,                  1038,                138588,              4206629,             10381334,,,,,                157844,,                    670,,                     17,,                202723,,                118666,                  6234,,                267847,                637758,                 81126,,,                 13592,                 13592,                  6135,                 19727,              1224765,,,                  3221,,                 57553,,              1005879,                    515,                  1952,              1008346,              1069120,              2293885,,,,              3211800,              3211800,,                992084,,              1417328,,              2394901,              3812229,,                 47610,                              0,              8063723,                 23726,              8087449,             10381334,              0,              0,              0,,                              0,                369911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2015年03月31日,,,,              3382826,,                    763,,                639662,,                 11686,                  5538,,                 79113,,                    167,,,              1915473,              1915473,,                133847,                133847,,                 64184,                 38170,                102354,              6271429,,,                 48825,,                645372,,              2618485,,                346462,,,                  3015,                              0,                  3015,                217690,,                 41583,                  3826,,                 60000,,                  1096,                106505,              3986354,             10257783,,,,,                148787,,                    135,,                    415,,                188445,,                132792,                              0,,                236294,                236294,                150575,,,                 35699,                 35699,                 14667,                 50366,                907809,,,                  3626,,                 58797,,                999774,                    515,                  1979,              1002268,              1064691,              1972500,,,,              3211800,              3211800,,                921236,,              1373805,,              2695262,              4069067,,                 55983,                              0,              8258086,                 27197,              8285283,             10257783,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2014年12月31日,,,,              2999859,,                    765,,                792749,,                 23692,                  4961,,                 82622,,                    164,,,              1945989,              1945989,,                156130,                156130,,                 64772,                  4190,                 68962,              6075893,,,                 49380,,                724457,,              2664723,,                349641,,,                  3501,                              0,                  3501,                218730,,                 52954,                  2826,,                 60000,,                    897,                116677,              4127109,             10203002,,,,,                151706,,                              0,,                     88,,                224240,,                110884,                  1199,,                360005,                360005,                108423,,,                 13126,                 13126,                  8267,                 21393,                977938,,,                  3626,,                 60560,,                993852,                    515,                  2001,                996368,              1060554,              2038492,,,,              3211800,              3211800,,                921236,,              1373805,,              2567002,              3940807,,                 60590,                              0,              8134433,                 30077,              8164510,             10203002,              0,              0,              0,,                              0,                              0,              2999859,                    164,             10203002,,,,                151706,,                              0,,                     88,,                224240,,                110884,                  1199,,                360005,                360005,                108423,,,                 13126,                 13126,                  8267,                 21393,                977938,,,                  3626,,                 60560,,                993852,                    515,                  2001,                996368,              1060554,              2038492,,,,              3211800,              3211800,,                921236,,              1373805,,              2567002,              3940807,,                 60590,                              0,              8134433,                 30077,              8164510,
2029,2014年09月30日,,,,              2514296,,                    708,,                934145,,                 14974,                  5855,,                 84327,,                              0,,,              1944648,              1944648,,                155852,                155852,,                 75022,                 41719,                116741,              5771546,,,                 47613,,                791822,,              2686551,,                352818,,,                  4425,                  9608,                 14033,                214843,,                 48756,                  4826,,                 60000,,                  1233,                114815,              4222495,              9994041,,,,,                146338,,                  1807,,                     17,,                260913,,                113575,                    700,,                306594,                306594,                 71982,,,                 41850,                 41850,                  7035,                 48885,                950811,,,                  4633,,                 60977,,                928098,                    515,                  1924,                930537,                996147,              1946958,,,,              3211800,              3211800,,                921236,,              1373805,,              2460772,              3834577,,                 39580,                              0,              8007193,                 39890,              8047083,              9994041,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2014年06月30日,,,,              2558019,,                 11521,,              1056236,,                 34123,                 22523,,                 83717,,                              0,,,              1989084,              1989084,,                159454,                159454,,                 94411,                  8173,                102584,              6018275,,,                 46479,,                838146,,              2760164,,                355996,,,                  5353,                  9608,                 14961,                213029,,                 13087,                  4826,,                 89865,,                  1351,                109129,              4337904,             10356179,,,,,                138525,,                              0,,                      6,,                334307,,                112487,                  3780,,                286400,                656866,                 97866,,,                 46652,                 46652,                  5626,                 52278,              1396115,,,                  4516,,                 56208,,                921863,                    515,                  3777,                926155,                986879,              2382994,,,,              3211800,              3211800,,                921236,,              1373805,,              2388139,              3761944,,                 22525,                              0,              7917505,                 55680,              7973185,             10356179,              0,              0,              0,,                  1014,                370466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2014年03月31日,,,,              2595340,,                  7341,,                979682,,                 10230,                 29209,,                 67046,,                              0,,,              1953144,              1953144,,                119960,                119960,,                 55558,                 52013,                107571,              5869523,,,                 47839,,                965643,,              2796221,,                360620,,,                  6291,                  9608,                 15899,                206349,,                 13592,                  2850,,                 90470,,                  1193,                108105,              4500676,             10370199,,,,,                134504,,                              0,,                     71,,                374964,,                115395,                  3102,,                229083,                229083,                167918,,,                 35380,                 35380,                  7279,                 42659,              1067696,,,                  4547,,                 59380,,                915633,                    515,                  3854,                920002,                983929,              2051625,,,,              3211800,              3211800,,                921236,,              1322607,,              2768000,              4090607,,                 37545,                              0,              8261188,                 57386,              8318574,             10370199,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2013年12月31日,,,,,,                  1603,,              1093044,,                 26996,                 38333,,                 92830,,,,,              1817317,              1817317,,                 71552,                 71552,,                  5433,                 11106,                 16539,              5482355,,,                 47959,,              1045671,,              2836339,,                365412,,,                  7238,                  9608,                 16846,                207363,,                 31119,                  2850,,                 89805,,                  1766,                125540,              4645130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                     27,,              2324114,                              0,             10127485,,,,                137498,,                    586,,                    170,,                229226,,                121879,                  2272,,                350535,                350535,                118112,,,                 24883,                 24883,                 12273,                 37156,                997434,,,                  4567,,                 60162,,                909505,                    515,                  3770,                913790,                978519,              1975953,,,,              3211800,              3211800,,                921236,,              1322607,,              2601765,              3924372,,                 40061,                              0,              8097469,                 54063,              8151532,                              0
2029,2013年09月30日,,,,,,                    411,,                838131,,                 11512,                  4221,,                 76072,,,,,              1955249,              1955249,,                 90358,                 90358,,                 35387,                 39419,                 74806,              5371801,,,                 46328,,              1147325,,              2889629,,                370205,,,                  8437,                  9608,                 18045,                219839,,                 28445,                  2859,,                 89570,,                  1886,                122760,              4814131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,              2318302,                  2739,             10185932,,,,                207067,,                              0,,                    186,,                370693,,                 84295,                 15888,,                286770,                286770,                 91358,,,                 46992,                 46992,                  7043,                 54035,              1110292,,,                  1042,,                 51884,,                994330,                    515,                  3740,                998585,              1051511,              2161803,,,,              3211800,              3211800,,                908452,,              1322607,,              2508682,              3831289,,                 23678,                              0,              7975219,                 48910,              8024129,
2029,2013年06月30日,,,,,,                  4443,,              1197054,,                 19058,                    144,,                 57159,,,,,              1916409,              1916409,,                170291,                170291,,                 34773,                 11667,                 46440,              5099419,,,                 46651,,              1181445,,              2957883,,                374996,,,                  9558,                  9608,                 19166,                219999,,                 33221,                  2835,,                 60000,,                  2010,                 98066,              4898206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,              1685682,                  2739,              9997625,,,,                193899,,                              0,,                     87,,                250516,,                 94300,                 18542,,                219639,                333160,                 83283,,,                 24209,                 24209,                  5312,                 29521,              1003308,,,                  1042,,                 54947,,                994481,                    515,                  5691,              1000687,              1056676,              2059984,,,,              3211800,              3211800,,                898403,,              1322607,,              2416061,              3738668,,                 35278,                              0,              7884149,                 53492,              7937641,                113521
