證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應付款項－關係人
1906,2015年09月30日,,,,                 62534,,                 16315,,                  4289,,                138229,,                     11,,                 10695,,                  1062,,                     69,                     69,                233204,,,              1631993,,                269358,,                631608,,                 38696,,                787849,,                  1501,,                 74003,                 75504,              3435008,              3668212,,,,,                350000,,                399654,,                123742,,                 13636,                 15870,,                    133,,,                200000,                    137,                200137,              1103172,,,                125000,,                152393,                277393,              1380565,,,,              1510000,              1510000,,                    356,,                 33652,                144847,,                423461,                601960,,,                 10553,,                 21451,                 32004,                  6962,              2137358,                150289,              2287647,              3668212,              0,              0,      1188937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,2015年06月30日,,,,                 15884,,                 15551,,                142544,,                129004,,                    210,,                  3788,,                  1108,,                     62,                     62,                310751,,,              1973728,,                269358,,                654417,,                 38736,,                787849,,                    701,,                 73702,                 74403,              3798491,              4109242,,,,,                378300,,                349858,,                108907,,                 12359,                 15869,,                    156,,,                200000,                    155,                200155,              1065604,,,                239000,,                152393,                391393,              1456997,,,,              1510000,              1510000,,                    356,,                 33652,                144847,,                429924,                608423,,,                   -370,,                369133,                368763,                  6962,              2480580,                171665,              2652245,              4109242,,              0,      1188937,,                              0,,                  2600,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,2015年03月31日,,,,                 30745,,                 22605,,                  4348,,                129853,,                    208,,                    895,,                  1097,,                     56,                     56,                189807,,,              2043663,,                269358,,                664612,,                 38754,,                787789,,                    701,,                 73402,                 74103,              3878279,              4068086,,,,,                376500,,                399671,,                118569,,                 12880,                  6512,,                    185,,,                 30000,                     87,                 30087,                944404,,,                355000,,                152393,                507393,              1451797,,,,              1510000,              1510000,,                    356,,                 16075,                144847,,                340216,                501138,,,                  2572,,                441616,                444188,                  6962,              2448720,                167569,              2616289,              4068086,              0,              0,      1188937,,                              0,,,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,2014年12月31日,,,,                227573,,                 19967,,                  7036,,                130322,,                    208,,                  1649,,                    960,,                     21,                     21,                387736,,,              2245698,,                269358,,                694523,,                 40544,,                787239,,                    700,,                 73102,                 73802,              4111164,              4498900,,,,,                476500,,                349739,,                148368,,                 10306,                  6511,,                    122,,,                 30000,                    140,                 30140,              1021686,,,                470000,,                152393,                622393,              1644079,,,,              1510000,              1510000,,                    356,,                 16076,                144847,,                361729,                522652,,,                  4895,,                644216,                649111,                  6962,              2675157,                179664,              2854821,              4498900,              0,              0,      1188937,,                              0,,                              0,,                              0,,                              0,                227573,,                              0,                    208,              4498900,,,,                476500,,                349739,,                              0,,                              0,,                148368,,                 10306,                  6511,,                    122,,,                 30000,                    140,                 30140,              1021686,,,                470000,,                152393,                622393,              1644079,,,,              1510000,              1510000,,                    356,,                 16076,                144847,,                361729,                522652,,,                  4895,,                644216,                649111,                  6962,              2675157,                179664,              2854821,
1906,2014年09月30日,,,,                134579,,                 22910,,                  5713,,                128064,,                    219,,                  9282,,                  1324,,                      8,                      8,                302099,,,              2463274,,                269358,,                719719,,                 38858,,                787239,,                    702,,                 71695,                 72397,              4350845,              4652944,,,,,                426500,,                299756,,                159665,,                 11993,                  6531,,                    163,,,                 30000,                    131,                 30131,                934739,,,                470000,,                152393,                622393,              1557132,,,,              1510000,              1510000,,                    356,,                 16076,                144847,,                380104,                541027,,,                 -3243,,                861955,                858712,                  6962,              2903133,                192679,              3095812,              4652944,              0,              0,      1188937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,2014年06月30日,,,,                 28390,,                 23097,,                126931,,                124811,,                    209,,                  7554,,                  1434,,                     76,                     76,                732353,,,              1894286,,                269358,,                726741,,                 38898,,                787239,,                    701,,                 71546,                 72247,              3788769,              4521122,,,,,                392000,,                299693,,                 99875,,                 13457,                 10808,,                    208,,,                 30000,                    122,                 30122,                884217,,,                445000,,                152393,                597393,              1481610,,,,              1510000,              1510000,,                    356,,                 16076,                144847,,                398020,                558943,,,                 -7897,,                795173,                787276,                  6962,              2849613,                189899,              3039512,              4521122,,              0,      1188937,,                419851,,                              0,,                 38054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,2014年03月31日,,,,                 10055,,                 25511,,                  5294,,                307675,,                    209,,                 13361,,                  1410,,                     50,                     50,                751015,,,              1748104,,                269358,,                567965,,                 39194,,                781659,,                  1750,,                 71396,                 73146,              3479426,              4230441,,,,,                395000,,                249769,,                 38054,,                 54389,                              0,,                    124,,,                 30000,                     93,                 30093,                850279,,,                470000,,                152393,                622393,              1472672,,,,              1510000,              1510000,,                    356,,                 16060,                234314,,                217137,                467511,,,                 -3208,,                617793,                614585,                  6962,              2585490,                172279,              2757769,              4230441,              0,              0,      1188937,,                387450,,,,                 82797,,                     53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,2013年12月31日,,,,,,                 13710,,                  3202,,                122698,,,,                  7905,,                    957,,                     59,                     59,                581332,,,              1855484,,                106323,,                580805,,                 39257,,                790192,,                  1750,,                 71247,                 72997,              3445058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4082937,,                402300,,                  2854,,,,,                 18247,,                  9191,                    209,              4026390,,,,                466000,,                 99962,,                     29,,                 71770,,                 31611,,                 10341,                              0,,                    124,,,                 30000,                    160,                 30160,                709997,,,                470000,,                152393,                622393,              1332390,,,,              1510000,              1510000,,                    356,,                 16060,                238571,,                 91545,                346176,,,                 -5690,,                704580,                698890,                 23907,              2531515,                162485,              2694000,
1906,2013年09月30日,,,,,,                 26708,,                  6068,,                121218,,,,                  6760,,                  2038,,                    780,                    780,                482339,,,                979378,,                115735,,                344687,,                 39320,,                746236,,                  3851,,                108743,                112594,              2337950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4082937,,                294300,,                              0,,,,,                 15083,,                  9179,                    205,              2820289,,,,                              0,,                              0,,                    365,,                118911,,                 31291,,                  9920,                              0,,                    371,,,                453333,                    125,                453458,                614316,,,                 26667,,                152393,                179060,                793376,,,,              1510000,              1510000,,                    356,,                 16060,                238571,,                 96945,                351576,,,                 -6823,,                 75444,                 68621,                 23907,              1906646,                120267,              2026913,
1906,2013年06月30日,,,,,,                 50852,,                 57322,,                122036,,,,                  4471,,                  1316,,                    219,                    219,                555420,,,                920975,,                115735,,                353899,,                 39383,,                743346,,                  3850,,                 92626,                 96476,              2269814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4082937,,                276750,,                              0,,,,,                 41579,,                    671,                    204,              2825234,,,,                              0,,                              0,,                     54,,                138653,,                 48610,,                 14860,                              0,,                    213,,,                 53334,                    162,                 53496,                255886,,,                453333,,                152393,                605726,                861612,,,,              1510000,              1510000,,                    315,,                 16060,                238571,,                112828,                367459,,,                 -4154,,                    477,                 -3677,                 23907,              1850190,                113432,              1963622,
