證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 催收款項,　　　　　 長期應收票據及款項淨額,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 未實現售後租回利益,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 淨確定福利負債-非流動,　　　　　 待註銷股本,　　　　 土地淨額,　　　　　 土地淨額,　　　　　 預收股本,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 未實現售後租回利益,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他應付款－其他,　　　 應付票據,　　　　 應付票據合計,　　　　 應付股利,　　　　 待註銷股本,　　　　 以成本衡量之金融資產－非流動,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　 長期借款,　　　　 長期借款合計,　　　　　 土地成本,　　　　 銀行長期借款,　　　 庫藏股票
2331,2015年09月30日,,,,              5338973,,                109288,,                      7,,             10406753,,                    622,,                906344,,,              1799320,                934586,              1440450,              4174356,              4174356,,                484814,,                 74356,                  6521,                 80877,             21502034,,,                294475,,                 44106,,,              1863717,,              2025873,,                  7162,,                235033,                  1702,              4133487,,                460648,,                623784,,                 19892,                643676,                502186,,                 26684,                235028,,                 49305,                 49305,                105890,                748837,,                 30472,              1196216,              7274794,             28776828,,,,,                502911,,                  3380,,              9175719,,                127621,,              1840689,              1840689,                280087,,              1068722,,                468887,                468887,             13468016,,,                192648,,                 24209,                478534,                              0,                502743,                695391,             14163407,,,,              5574030,              5574030,,              6489280,,                794924,                              0,,              1226903,              2021827,,                431199,             14516336,                 97085,             14613421,             28776828,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,2015年06月30日,,,,              8057735,,                430718,,                              0,,              9756576,,                              0,,                930800,,,              1482804,                793188,              2448244,              4724236,              4724236,,                520110,,                133806,                 14015,                147821,             24567996,,,                371061,,                 44106,,,              1851786,,              2063438,,                  8135,,                190670,                  1130,              4115159,,                461708,,                609760,,                 18754,                628514,                470774,,                 36561,                232915,,                 46290,                 46290,                104476,                721135,,                 34588,              1175965,              7267287,             31835283,,,,,              2039846,,                              0,,              8444320,,                384981,,              1657292,              4443807,                141232,,              1001939,,                928607,                928607,             17384732,,,                 30296,,                 31615,                493077,                     67,                524759,                555055,             17939787,,,,              5574030,              5574030,,              6489280,,                794924,                              0,,                755317,              1550241,,                184212,             13797763,                 97733,             13895496,             31835283,              0,              0,              0,              2786515,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,2015年03月31日,,,,              6358819,,                664105,,                              0,,              7884889,,                     30,,              1347972,,,              2042217,              1881543,              1701340,              5625100,              5625100,,                651193,,                  1780,                  7934,                  9714,             22541822,,,                369780,,                 44106,,,              1908285,,              2134061,,                  8690,,                206535,                    372,              4257943,,                464279,,                612830,,                 22409,                635239,                631587,,                 20213,                220109,,                 46950,                 46950,                103044,                734526,,                 41070,              1165912,              7568846,             30110668,,,,,              1887390,,                              0,,              7352528,,                229939,,,              1603159,                429016,,                996840,,                580226,                580226,             13079098,,,                 39581,,                 24180,                507621,                    271,                532072,                571653,             13650751,,,,              5573030,              5575280,,              6488030,,                656285,                 87939,,              3279613,              4023837,,                269671,             16356818,                103099,             16459917,             30110668,              0,        100000,              0,,                              0,,,                              0,                  2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,2014年12月31日,,,,              5599168,,                340466,,                    535,,              6898598,,                    147,,              1186247,,,              2590010,                682447,              2996843,              6269300,              6269300,,                649023,,              3746419,                 38699,              3785118,             24728602,,,                367447,,                 44106,,,              1974927,,              2176854,,                  9645,,                224097,                  2336,              4387859,,                467049,,                615272,,                 26334,                641606,                644490,,                 32497,                219768,,                 47475,                 47475,                101579,                748896,,                 41617,              1191832,              7744389,             32472991,,,,,              3778754,,                     87,,              8171899,,                 79344,,              1759059,              1759059,                427226,,                996355,,                432248,                432248,             15644972,,,                 63597,,                 23778,                522165,                    470,                546413,                610010,             16254982,,,,              5571230,              5571230,,              6485780,,                656285,                 87939,,              2902470,              3646694,,                380877,             16084581,                133428,             16218009,             32472991,              0,              0,              0,                              0,                              0,                              0,,                              0,                              0,              5599168,                101579,             32472991,,,,              3778754,,                     87,,              8171899,,                 79344,,              1759059,                427226,,                996355,,                432248,                432248,             15644972,,,                 63597,,                              0,                 23778,                522165,                    470,                546413,                610010,             16254982,,,,              5571230,              5571230,,              6485780,,                656285,                 87939,,              2902470,              3646694,,                380877,             16084581,                133428,             16218009,,,,,,,,,,,,,,,,,
2331,2014年09月30日,,,,              9073435,,                 24165,,                      7,,              6234409,,                              0,,                761046,,,              2292256,              1229465,              3587938,              7109659,              7109659,,                335332,,                              0,                 36236,                 36236,             23574289,,,                413468,,                 44106,,,              1916653,,              2137661,,                 10178,,                192383,                 26775,              4283650,,                467743,,                606690,,                 29211,                635901,                799743,,                 30937,                219357,,                 45630,                 45630,                107650,                722518,,                 10153,              1136245,              7780856,             31355145,,,,,                200772,,                              0,,              9569874,,                 46786,,              3562486,              3562486,                348983,,              1076601,,                242676,                242676,             15048178,,,                 26616,,                 25897,                536709,                    830,                563436,                590052,             15638230,,,,              5569230,              5569230,,              6483280,,                656285,                 87939,,              2692407,              3436631,,                 74162,             15563303,                153612,             15716915,             31355145,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,2014年06月30日,,,,              7563701,,              2364323,,                              0,,              8325596,,                              0,,              1716362,,,              2223729,                886076,              2693810,              5803615,              5803615,,                197892,,                              0,                 31704,                 31704,             26003193,,,                535528,,                 44106,,,              1910815,,              2148543,,                 11112,,                208033,                 30388,              4308891,,                468375,,                602853,,                 23087,                625940,                841783,,                 15656,                219757,,                 44805,                 44805,                106133,                713963,,                 10033,              1110347,              7934970,             33938163,,,,,                197142,,                    334,,              9944948,,                645589,,              3471131,              5671871,                337269,,                999344,,                276769,                276769,             18073266,,,                 30827,,                 25614,                551252,                    985,                582503,                613330,             18686596,,,,              7335801,              5538530,,              6461790,,                656285,                 87939,,              2290561,              3034785,,                 47428,             15082533,                169034,             15251567,             33938163,    179727121,              0,              0,              2200740,                  4652,             -1797271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,2014年03月31日,,,,              8322635,,              3110006,,                    851,,              7316866,,                              0,,              1018933,,,              2047096,                855621,              2080385,              4983102,              4983102,,                263180,,                              0,                 41496,                 41496,             25057069,,,                509948,,                 44106,,,              1994721,,              2316648,,                 12450,,                237058,                 34132,              4657528,,                394881,,                607039,,                 22561,                629600,                822026,,                  6033,                222377,,                 45384,                 45384,                104623,                732959,,                 10744,              1122120,              8180209,             33237278,,,,,              2102430,,                    137,,              8237438,,                111750,,,              1608202,                153561,,              1056383,,                389677,                389677,             13659578,,,                 31067,,                 26248,                565796,                  1178,                597547,                628614,             14288192,,,,              7335801,              7335801,,              6461790,,                293857,                539714,,              3938246,              4771817,,                184860,             18754268,                194818,             18949086,             33237278,              0,              0,              0,,                  4325,,,                 62519,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,2013年12月31日,,,,,,              3909684,,                  9788,,              9896022,,                              0,,                415428,,,              2557875,                430384,              1996000,              4984259,              4984259,,                206766,,                              0,                  6099,                  6099,             26617279,,,                313529,,                 51419,,,              1995323,,              2393106,,                 13356,,                225336,                 30919,              4720559,,                405611,,                602434,,                 26488,                628922,                891811,,                  8001,                225384,,                 45967,                 45967,,                724726,,                 14732,              1121906,              8133757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                 62519,,              7189233,                103096,             34751036,,,,              1629117,,                    121,,             10272358,,                 76843,,              1898556,                427344,,              1221024,,                204378,                204378,             15729741,,,                 28542,,                  4085,                 20711,                580340,                  1312,                606448,                634990,             16364731,,,,              7335801,              7335801,,              6461790,,                293857,                539714,,              3633768,              4467339,,                -87939,             18176991,                209314,             18386305,              1898556,,                              0,                              0,                              0,                 51419,,                              0,,               -252980,,                165041,,,,,
2331,2013年09月30日,,,,,,                 23999,,                 49289,,              8109114,,,,                905725,,,              2745575,                970113,              2217499,              5933187,              5933187,,                302302,,,,                 23182,             23539918,,,                253452,,                 51419,,,              3780408,,              2494529,,                 14538,,                218929,                 32588,              7877197,,                407065,,                849174,,                 30704,                879878,                787873,,                  4905,                 23064,,                119522,                119522,,                720498,,                 16903,                982345,             11239229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1336205,,              8193120,                 97453,             34779147,,,,              1323258,,                    594,,             10149851,,                 93522,,              5974818,                259424,,                975041,,                268823,                268823,             19045331,,,                 24842,,                  3637,                 20188,                              0,                    682,                 24507,                 49349,             19094680,,,,              7335801,              7335801,,              6461790,,                293857,                539714,,              1079506,              1913077,,               -273339,             15437329,                247138,             15684467,              5974818,,,,,,,,,,,,,,,,
2331,2013年06月30日,,,,,,                105843,,                 31222,,              7929551,,,,              1048497,,,              3405497,                429325,              2417875,              6252697,              6252697,,                363078,,,,                 35676,             24048209,,,                227241,,                 51419,,,              3847077,,              2643290,,                 15069,,                259507,                 24165,              8125313,,                409612,,                855667,,                 34609,                890276,                725589,,                  6611,                 20225,,                121260,                121260,,                733771,,                 13310,                991224,             11420674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    449613602,              0,              0,,,,,              1336205,,              8281645,                 96047,             35468883,,,,              2965500,,                              0,,              9149060,,                 26026,,              6332326,                171376,,              1144208,,                246441,                246441,             20060976,,,                 58267,,                  3674,                 20414,                              0,                    692,                 24780,                 83047,             20144023,,,,             11831937,              7335801,,              6461790,,                293857,                539714,,                631822,              1465393,,               -203743,             15059241,                265619,             15324860,              5740729,,                 26039,                591597,             -4496136,,,,,,,,,,,,
