證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　　 存入保證金,　　　　　 一年或一營業週期內到期長期借款
1418,2015年09月30日,,,,                 39559,,                  1845,,                  1261,,                 26259,,                  7307,,                375640,,                  7751,,                 40202,                499824,,,                 28231,,                 12471,,              1315091,,                     72,                  9692,,,                 30129,                 30129,              1395686,              1895510,,,,,                787929,,                    147,,                 13218,,                110801,,                 43606,,,                              0,                  4905,                  4905,                960606,,,                283022,,                 65034,                    717,                 65751,                348773,              1309379,,,,              1319276,              1319276,,                  8005,,                  1560,,               -585079,               -583519,,,                              0,,                -59012,                -59012,                 98717,                586033,                     98,                586131,              1895510,              0,              0,      8733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,2015年06月30日,,,,                 55133,,                  2016,,                  1341,,                 31339,,                  8072,,                320461,,                  4792,,                 28658,                451812,,,                 27342,,                 13029,,              1337376,,                    144,                  9710,,,                 26707,                 26707,              1414308,              1866120,,,,,                729707,,                     51,,                 19609,,                 96958,,                 52853,,,                              0,                  4854,                  4854,                904032,,,                283031,,                 68730,                    702,                 69432,                352463,              1256495,,,,              1319276,              1319276,,                  8005,,                  1560,,               -562375,               -560815,,,                              0,,                -59730,                -59730,                 98717,                608019,                  1606,                609625,              1866120,              0,              0,      8733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,2015年03月31日,,,,                 35300,,                  2033,,                  4305,,                 32696,,                  8205,,                476584,,                 14693,,                 43946,                617762,,,                 47600,,                 13752,,              1342350,,                    215,                 10366,,,                 34953,                 34953,              1449236,              2066998,,,,,                919353,,                    198,,                 13350,,                 76623,,                 54030,,,                              0,                  4854,                  4854,              1068408,,,                282852,,                 72223,                    687,                 72910,                355762,              1424170,,,,              1319276,              1319276,,                  8005,,                  1560,,               -526643,               -525083,,,                              0,,                -39455,                -39455,                120194,                642549,                    279,                642828,              2066998,              0,              0,     10633000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,2014年12月31日,,,,                 50641,,                  2016,,                  6506,,                 55612,,                  9610,,                400423,,                  7898,,                 36621,                569327,,,                 50602,,                 14190,,              1357993,,                    288,                 11556,,,                 31824,                 31824,              1466453,              2035780,,,,,                752434,,                    136,,                 22150,,                139715,,                 50852,,,                              0,                  5289,                  5289,                970576,,,                283022,,                 75819,                    799,                 76618,                359640,              1330216,,,,              1319276,              1319276,,                  8005,,                  1560,,               -463299,               -461739,,,                              0,,                -36470,                -36470,                123585,                705487,                     77,                705564,              2035780,              0,              0,     10933000,                 50641,,                              0,,                              0,              2035780,,,,                752434,,                              0,,                    136,,                 22150,,                139715,,                 50852,,,                              0,                  5289,                  5289,                970576,,,                              0,,                283022,,                 75819,                    799,                 76618,                359640,              1330216,,,,              1319276,              1319276,,                  8005,,                  1560,,               -463299,               -461739,,,                              0,,                -36470,                -36470,                123585,                705487,                     77,                705564,,,,,,,,
1418,2014年09月30日,,,,                 41786,,                  2016,,                  6340,,                 35111,,                 13807,,                455152,,                 14439,,                  1964,                570615,,,                 48950,,                 16051,,              1369023,,                    359,                 11744,,,                 36898,                 36898,              1483025,              2053640,,,,,                707600,,                    165,,                 19864,,                137479,,                 48881,,,                  3700,                  5128,                  8828,                922817,,,                281723,,                 86944,                    689,                 87633,                369356,              1292173,,,,              1319276,              1319276,,                  8005,,                  1560,,               -405757,               -404197,,,                      8,,                -38122,                -38114,                123585,                761385,                     82,                761467,              2053640,              0,              0,     10933000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,2014年06月30日,,,,                 56842,,                  2062,,                  9629,,                 49052,,                 21802,,                506231,,                  8704,,                  1971,                656293,,,                 51935,,                 16407,,              1380654,,                    431,                 12443,,,                 44450,                 44450,              1506320,              2162613,,,,,                793723,,                  2387,,                 20125,,                101265,,                 51545,,,                  7600,                  4680,                 12280,                981325,,,                282025,,                 90356,                    676,                 91032,                373057,              1354382,,,,              1319276,              1319276,,                  8005,,                  1560,,               -362023,               -360463,,,                      2,,                -35091,                -35089,                123585,                808144,                     87,                808231,              2162613,              0,              0,     10933000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,2014年03月31日,,,,                 60589,,                  1902,,                  7686,,                 28003,,                  6556,,                337931,,                 15703,,                 28990,                487360,,,                 83171,,                 17012,,              1395199,,                    503,                 14179,,,                 45844,                 45844,              1555908,              2043268,,,,,                628823,,                  5810,,                 19104,,                 92703,,                 54002,,,                 11500,                  4794,                 16294,                816736,,,                281766,,                 94074,                    738,                 94812,                376578,              1193314,,,,              1319276,              1319276,,                  8005,,                  1560,,               -351389,               -349829,,,                      9,,                 -4015,                 -4006,                123585,                849861,                     93,                849954,              2043268,              0,              0,     10933000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,2013年12月31日,,,,,,                  1918,,                 10220,,                 23645,,                 10755,,                337369,,                  9540,,                  1080,                455045,,,                 80562,,                 17492,,              1406408,,                    575,                 14524,,,                 44654,                 44654,              1564215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10933000,                 60518,,                              0,,                              0,              2019260,,,,                407978,,                              0,,                  1521,,                 24097,,                234415,,                 62116,,,                 15400,                  4547,                 19947,                750074,,,                              0,,                281766,,                 97442,                    725,                 98167,                379933,              1130007,,,,              1319276,              1319276,,                  8005,,                  1560,,               -309495,               -307935,,,                      2,,                 -6608,                 -6606,                123585,                889155,                     98,                889253,,,,,,,,
1418,2013年09月30日,,,,,,                  1862,,                  6597,,                 58701,,                 11803,,                422595,,                 18968,,                  3217,                564433,,,                 60956,,                 18319,,              1425618,,                    646,                 15415,,,                 33353,                 33353,              1554307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10933000,                 40690,,,,,              2118740,,,,                521035,,,,                    494,,                 24641,,                214789,,                 53004,,,                 15600,                  4471,                 20071,                834034,,,                  3700,,                281947,,                100897,                    397,                101294,                386941,              1220975,,,,              1319276,              1319276,,                  8005,,                  1560,,               -281324,               -279764,,,                              0,,                -26270,                -26270,                123585,                897662,                    103,                897765,,,,,,,,
1418,2013年06月30日,,,,,,                  1764,,                  1719,,                 18657,,                 11149,,                417185,,                  8641,,                  2804,                520809,,,                 60956,,                 14078,,              1424346,,                    718,                 16080,,,                 50477,                 50477,              1566655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10933000,                 53890,,                  5000,,,              2087464,,,,                490212,,,,                    901,,                 14069,,                189701,,                 56366,,,                 15600,                  4696,                 20296,                771545,,,                  7600,,                281774,,                104287,                    390,                104677,                394051,              1165596,,,,              1319276,              1319276,,                  3231,,                  1560,,               -252359,               -250799,,,                      5,,                -26368,                -26363,                123585,                921760,                    108,                921868,,,,,,,,
