證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應收帳款,　　　　 長期預付租金,　　　　 其他應付款項－關係人,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　　 一年或一營業週期內到期長期借款,　　　　 長期借款,　　　　　 長期借款合計,　　　　　 其他非流動負債－其他,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 應收票據,　　　　 應收帳款－關係人,　　　　　 應付票據,　　　　　 應付帳款,　　　　　 應付帳款－關係人,　　　　 現金及約當現金合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 其他應付款項－關係人
4555,2015年09月30日,,,,                472565,,                 40998,,                367684,,                  4424,,                 20494,,                633221,,                  1699,,                  8999,              1550084,,,                 26306,,              1783248,,                  4387,                 16828,,,                109611,                109611,              1940380,              3490464,,,,,                506399,,                 11104,,                174519,,                  7818,,                109376,                 14177,,,                 25623,                  4616,                 30239,                853632,,,                 18988,,                228332,                247320,              1100952,,,,                608000,                608000,,                210950,,                184650,                 18245,,              1285284,              1488179,,,                 82383,                 82383,              2389512,              2389512,              3490464,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2015年06月30日,,,,                461081,,                 32059,,                339892,,                  6346,,                 18817,,                632906,,                  1725,,                 17820,              1510646,,,                 25900,,              1718211,,                  4569,                 17598,,,                 27842,                 87281,              1853559,              3364205,,,,,                286128,,                 12885,,                169876,,                  2236,,                340840,                 37661,,,                 25508,                  6312,                 31820,                881792,,,                  6895,,                      2,                241676,              1123468,,,,                608000,                608000,,                210950,,                184650,                 18245,,              1187707,              1390602,,,,                 31185,              2240737,              2240737,              3364205,              0,              0,                339892,                 59439,                    346,,                              0,                 25508,,                234779,                      2,,                210950,,                 31185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2015年03月31日,,,,                554645,,                 35150,,                184509,,                  5400,,                 20006,,                618366,,                  1742,,                 11208,              1431026,,,                 26231,,              1631858,,                  5165,                 18639,,,                 35890,                 96819,              1778712,              3209738,,,,,                278356,,                 10486,,                113411,,                  5741,,                 62001,                 75053,,,                 25395,                 10741,                 36136,                581184,,,                 10078,,                      2,                251279,                832463,,,,                608000,                608000,,                210950,,                152293,                 18245,,              1338943,              1509481,,,,                 48844,              2377275,              2377275,              3209738,              0,              0,                184509,                 60929,,,,                 25395,,                241199,                      2,,,,                 48844,                 35150,                  5400,                 10486,                113411,                  5741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2014年12月31日,,,,                533459,,                 42549,,                212128,,                  4592,,                 16779,,                609072,,                  1753,,                 17927,              1438259,,,                 26455,,              1466922,,                  5415,                 22186,,,                 97506,                 97506,              1618484,              3056743,,,,,                279843,,                 16148,,                120380,,                  4147,,                 81498,                 56510,,,                 25282,                  8561,                 33843,                592369,,,                 14407,,                 97592,                111999,                704368,,,,                608000,                608000,,                210950,,                152293,                 18245,,              1299835,              1470373,,,                 63052,                 63052,              2352375,              2352375,              3056743,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2014年09月30日,,,,                375341,,                 29463,,                315055,,                  6117,,                 15525,,                613575,,                  1706,,                 26016,              1382798,,,                 25718,,              1414829,,                  4733,                 24979,,,                101872,                101872,              1572131,              2954929,,,,,                130000,,                 10571,,                282630,,                  7873,,                 78917,                 50681,,,                 25169,                  7252,                 32421,                593093,,,                  7571,,                103955,                111526,                704619,,,,                608000,                608000,,                210950,,                152293,                 18245,,              1230756,              1401294,,,                 30066,                 30066,              2250310,              2250310,              2954929,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2014年06月30日,,,,                448882,,                 24908,,                245237,,                  4725,,                  4365,,                601877,,                    557,,                 45356,              1375907,,,                 25146,,              1225290,,                  5368,                 17503,,,                 49819,                115829,              1389136,              2765043,,,,,                110000,,                 14296,,                264710,,                  7814,,                 48625,                 53450,,,                 25057,                  6621,                 31678,                530573,,,                  1045,,                      2,                111334,                641907,,,,                608000,                608000,,                210950,,                152293,                 18245,,              1128545,              1299083,,,,                  5103,              2123136,              2123136,              2765043,              0,              0,                245237,                 66010,                              0,,                              0,                 25057,,                110287,                      2,,                210950,,                  5103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2014年03月31日,,,,                551913,,                 23295,,                130244,,                  4348,,                  6355,,                496415,,                    557,,                 38738,              1251865,,,                 25560,,              1171853,,                  5450,                  8626,,,                 30790,                123240,              1334729,              2586594,,,,,                              0,,                 21737,,                112380,,                  6864,,                 36611,                 75017,,,                 24945,                  4910,                 29855,                282464,,,                  4528,,                      2,                121124,                403588,,,,                608000,                608000,,                210950,,                117023,                 18245,,              1206682,              1341950,,,,                 22106,              2183006,              2183006,              2586594,              0,              0,                130244,                 92450,,,,                 24945,,                116594,                      2,,,,                 22106,                 23295,                  4348,                 21737,                112380,                  6864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2013年12月31日,,,,,,                 22451,,                115551,,                  3522,,                  3780,,                435450,,                    557,,                 42592,              1250033,,,                 25504,,              1177273,,                  6289,                 16383,,,                 23654,                 82649,              1308098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                115551,                 58995,,,,,,,,,,,,,,,,,                625340,,                    790,              2558131,,,,                              0,,                 86826,,                 52064,,                 11588,,                 38665,                 74434,,,                 24863,                  6377,                 31240,                294817,,,                121283,,                  4441,,                      2,                      2,                125726,                420543,,,,                608000,                608000,,                210950,,                117023,                 18245,,              1163537,              1298805,,,                 19833,                 19833,              2137588,              2137588,              0,,,
4555,2012年12月31日,,,,                622571,,                 19530,,                213003,,                  3591,,                  4729,,                215420,,                    385,,                 18200,              1097429,,,                 21524,,              1012182,,                  4786,                 15673,,,                  9684,                 33478,              1092544,,,,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 23794,,,,,,,,,,,,,,,,,,,                              0,              2189973,,,,                 25000,,                 93414,,                 97263,,                              0,,                 50160,                100792,,,                 23600,                  5162,                 28762,                395391,,,                147465,,                      4,,                      2,                      2,                147471,                542862,,,,                538000,                538000,,                 81232,,                 75247,,,                978459,              1053706,,,                -25827,                -25827,              1647111,              1647111,,,                  4901,                              0
4555,2012年01月01日,,,,                257995,,                 29951,,                206455,,                  2875,,                  4257,,                125688,,                  2268,,                 13970,                643459,,,                              0,,                981243,,                  4122,                              0,,,                 16870,                 40464,              1075417,,,,,,,,,,,                  9284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 23594,,,,,,,,,,,,,,,,,,,                              0,              1718876,,,,                120000,,                 63211,,                 44731,,                  9284,,                 39590,                 89185,,,                  3538,                  4118,                  7656,                411045,,,                 73065,,                      6,,                    138,                    138,                 73209,                484254,,,,                498000,                498000,,                  1080,,                 39064,,,                696478,                735542,,,                              0,                              0,              1234622,              1234622,,,                 49588,                 37388
