證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 待分配股票股利,　　　　 銀行存款,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 待分配股票股利,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計
6112,2015年09月30日,,,,                245782,,                 10983,,              1517466,,,              2423973,              2423973,,                 66032,,                 31187,                 31187,              4295423,,,                 96118,,                  2410,,                377691,,                 99634,,                  4833,                 27433,,                 96614,                704733,              5000156,,,,,              1300582,,                791648,,                216384,,,                781448,                    974,                782422,              3091036,,,                 12855,                 12855,              3103891,,,,                917204,                917204,,                444122,,                183918,,                244390,                428308,,                              0,              1789634,                106631,              1896265,              5000156,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112,2015年06月30日,,,,                193885,,                 25062,,              1467853,,,              2489453,              2489453,,                 20006,,,                 35531,              4231790,,,                105795,,                  2446,,                375750,,                 99817,,                  5524,                 27433,,                 94938,                711703,              4943493,,,,,              1254242,,                794634,,                400372,,,                686982,                    945,                687927,              3137889,,,                 12630,                 12630,              3150519,,,,                917204,                917204,,                444122,,                183918,,                187246,                371164,,                              0,              1732490,                 60484,              1792974,              4943493,              0,              0,,                    714,                187514,                212858,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112,2015年03月31日,,,,                336089,,                 66254,,              1109856,,,              2640490,              2640490,,                 38399,,,                 46685,              4237773,,,                105795,,                  2370,,                378389,,                100000,,                  6214,                 27433,,                 83633,                703834,              4941607,,,,,              1081909,,                795257,,                207173,,,                926759,                    895,                927654,              3014581,,,                 12494,                 12494,              3027075,,,,                917204,                917204,,                444122,,                160951,,                329763,                490714,,                              0,              1852040,                 62492,              1914532,              4941607,              0,              0,,                  2588,,,,                336089,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112,2014年12月31日,,,,                356616,,                 15207,,              1379321,,,              2582114,              2582114,,                 92498,,                 42007,                 42007,              4467763,,,                105795,,                  2377,,                381689,,                100182,,                  6905,                 27560,,                 84980,                709488,              5177251,,,,,              1064082,,                915774,,                233544,,,              1092703,                    885,              1093588,              3306988,,,                 12289,                 12289,              3319277,,,,                917204,                917204,,                444122,,                160951,,                274611,                435562,,                              0,              1796888,                 61086,              1857974,              5177251,              0,              0,,                              0,                              0,                233544,                              0,                356616,                              0,                356616,              5177251,,,,              1064082,,                915774,,                233544,,,              1092703,                    885,              1093588,              3306988,,,                 12289,                 12289,              3319277,,,,                917204,                917204,,                444122,,                160951,                              0,,                274611,                435562,,                              0,              1796888,                 61086,              1857974,              0,,,,,,,,,,,,,
6112,2014年09月30日,,,,                207690,,                  7094,,              1528563,,,              2478043,              2478043,,                 62352,,                 56398,                 56398,              4340140,,,                112795,,                  2191,,                381114,,                100364,,                  7595,                 26185,,                 76041,                706285,              5046425,,,,,              1324340,,                520669,,                220914,,,              1166708,                    929,              1167637,              3233560,,,                 11117,                 11117,              3244677,,,,                917204,                917204,,                444122,,                160951,,                218986,                379937,,                              0,              1741263,                 60485,              1801748,              5046425,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112,2014年06月30日,,,,                166469,,                  1234,,              1469161,,,              2715990,              2715990,,                 85772,,,                 53964,              4492590,,,                112795,,                  2186,,                372521,,                100546,,                  8286,                 26185,,                 73281,                695800,              5188390,,,,,              1226898,,              1310702,,                388163,,,                502594,                    981,                503575,              3433678,,,                 10879,                 10879,              3444557,,,,                833822,                917204,,                444122,,                160951,,                162310,                323261,,                              0,              1684587,                 59246,              1743833,              5188390,              0,              0,,                  4340,                169480,                218683,                 83382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112,2014年03月31日,,,,                200443,,                 27058,,              1103846,,,              2329307,              2329307,,                145464,,,                 27780,              3833898,,,                112293,,                  1977,,                368527,,                100728,,                  8976,                 26185,,                 80038,                698724,              4532622,,,,,              1251400,,                821541,,                205645,,,                393890,                    871,                394761,              2673347,,,                 10668,                 10668,              2684015,,,,                833822,                833822,,                485813,,                139932,,                328431,                468638,,                              0,              1788273,                 60334,              1848607,              4532622,              0,              0,,                              0,,,,                200443,                    275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112,2013年12月31日,,,,,,                 15357,,              1447213,,,              2106338,              2106338,,                249734,,,                 13045,              3972027,,,                112293,,                  1909,,                365088,,                100911,,                  9667,                 26185,,                 73290,                689343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,                140340,              4661370,,,,              1052582,,              1064297,,                222367,,,                517108,                    855,                517963,              2857209,,,                 10471,                 10471,              2867680,,,,                833822,                833822,,                485813,,                139932,                    275,,                274147,                414354,,                              0,              1733989,                 59701,              1793690,              0,,,,,,,,,,,,,
6112,2013年09月30日,,,,,,                  1158,,              1484458,,,              1927963,              1927963,,                116178,,                 16946,                 16946,              3693155,,,                103359,,                  1848,,                367149,,                101093,,                 10357,                 24807,,                 73329,                681942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,                146452,              4375097,,,,              1227165,,                772399,,                196984,,,                414878,                    869,                415747,              2617123,,,                 14599,                 14599,              2631722,,,,                833822,                833822,,                485813,,                139932,                    275,,                225021,                365228,,                              0,              1684863,                 58512,              1743375,              0,,                  4828,,,,,,,,,,,
6112,2013年06月30日,,,,,,                  9073,,              1600396,,,              2162056,              2162056,,                142754,,,                 28611,              4097078,,,                110862,,                  1854,,                366379,,                101275,,                 11048,                 24807,,                 71177,                687402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,                154188,              4784480,,,,              1186598,,              1059438,,                409094,,,                421960,                    857,                422817,              3077947,,,                 14384,                 14384,              3092331,,,,                794116,                833822,,                485813,,                139932,                    275,,                173367,                313574,,                              0,              1633209,                 58940,              1692149,              0,,                              0,                198529,                210565,                 39706,,                              0,,                              0,,,,
