證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 生物資產－流動,　　　　 生物資產－流動淨額,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　　 待分配股票股利
1215,2015年09月30日,,,,                294950,,                342694,,              1343059,,                 36724,,                 16814,,              1233329,,                655533,,                194555,,                  2000,              4119658,,,              1201816,,              3375542,,                 16062,,                278229,                109594,,                101100,              5082343,              9202001,,,,,              1814283,,                169863,,                208536,,                538981,,                 64835,,                355499,                 65982,,                190467,              3408446,,,                212500,,                 11160,,                453739,                677399,              4085845,,,,              2679910,              2679910,,                    967,                    967,,                300445,,              1001295,              1301740,,,                200062,,                815061,              1015123,              4997740,                118416,              5116156,              9202001,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,2015年06月30日,,,,                212156,,                323648,,              1199356,,                 36706,,                 14593,,              1385973,,                641949,,                229962,,                  2000,              4046343,,,              1404887,,              3139110,,                 15672,,                273207,                106935,,                 91845,              5031656,              9077999,,,,,              1498990,,                159846,,                244472,,                436439,,                 29855,,                599582,                101177,,                190465,              3260826,,,                256250,,                  6439,,                455596,                718285,              3979111,,,,              2436282,              2679910,,                    967,                    967,,                300445,,                809640,              1110085,,,                 99886,,              1104883,              1204769,              4995731,                103157,              5098888,              9077999,              0,              0,              0,                243628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,2015年03月31日,,,,                291448,,                348806,,              1175135,,                 39225,,                 23181,,              1677473,,                644744,,                278205,,                  2000,              4480217,,,              1382923,,              3028049,,                 16374,,                250072,                110227,,                 93313,              4880958,              9361175,,,,,              1789243,,                149770,,                205122,,                477867,,                 11697,,                385107,                155778,,                175464,              3350048,,,                315000,,                 20771,,                457443,                793214,              4143262,,,,              2436282,              2436282,,                    967,                    967,,                222156,,              1273315,              1495471,,,                119933,,              1067264,              1187197,              5119917,                 97996,              5217913,              9361175,              0,              0,              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,2014年12月31日,,,,                351698,,                425362,,              1322634,,                 31227,,                 17955,,              1143616,,                623088,,                376763,,                  2000,              4294343,,,              1678078,,              2928559,,                 16941,,                245888,                114979,,                 97144,              5081589,              9375932,,,,,              1523728,,                209820,,                294594,,                414239,,                 12453,,                428279,                118792,,                175462,              3177367,,,                358750,,                 22993,,                459396,                841139,              4018506,,,,              2436282,              2436282,,                    967,                    967,,                222156,,              1098468,              1320624,,,                141778,,              1344932,              1486710,              5244583,                112843,              5357426,              9375932,              0,              0,              0,                              0,,                              0,                351698,              9375932,,,,              1523728,,                209820,,                294594,,                414239,,                 12453,,                428279,                118792,,                175462,              3177367,,,                358750,,                 22993,,                459396,                841139,              4018506,,,,              2436282,              2436282,,                    967,                    967,,                222156,,              1098468,              1320624,,,                141778,,              1344932,              1486710,              5244583,                112843,              5357426,,,
1215,2014年09月30日,,,,                342866,,                472944,,              1261581,,                 31564,,                 19440,,              1146158,,                640196,,                310127,,                  2000,              4226876,,,              1803869,,              2847154,,                 16658,,                255826,                113957,,                123197,              5160661,              9387537,,,,,              1675964,,                139898,,                286507,,                504175,,                 15964,,                413544,                 80584,,                175461,              3292097,,,                382500,,                 24447,,                468518,                875465,              4167562,,,,              2436282,              2436282,,                    967,                    967,,                222156,,                858813,              1080969,,,                 10202,,              1587025,              1597227,              5115445,                104530,              5219975,              9387537,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,2014年06月30日,,,,                261007,,                454254,,              1172479,,                 30253,,                 17711,,              1225917,,                601030,,                471049,,                  2000,              4235700,,,              1592576,,              2770163,,                 16705,,                251372,                109473,,                124854,              4865143,              9100843,,,,,              1684013,,                179855,,                207153,,                453467,,                 14328,,                574824,                100193,,                150460,              3364293,,,                426250,,                 17050,,                469814,                913114,              4277407,,,,              2320268,              2436282,,                    967,                    967,,                222156,,                690864,                913020,,,                    616,,              1379357,              1379973,              4730242,                 93194,              4823436,              9100843,              0,              0,              0,                116014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,2014年03月31日,,,,                214506,,                407910,,              1191411,,                 33350,,                 11822,,              1000551,,                593397,,                413905,,                  2000,              3878646,,,              1669924,,              2719472,,                 17323,,                260153,                108478,,                116521,              4891871,              8770517,,,,,              1541983,,                129882,,                203119,,                420179,,                 13449,,                331859,                141228,,                125458,              2907157,,,                470000,,                 14527,,                471176,                955703,              3862860,,,,              2320268,              2320268,,                    967,                    967,,                176847,,                858335,              1035182,,,                 10365,,              1452579,              1462944,              4819361,                 88296,              4907657,              8770517,              0,              0,              0,,,                  9794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,2013年12月31日,,,,,,                473875,,              1269307,,                 73827,,                 11194,,                937551,,                607418,,                491887,,                  2400,              4061786,,,              1847424,,              2731045,,                 17430,,                243679,                109753,,                127124,              5076455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                194327,              9138241,,,,              1699461,,                179813,,                279506,,                526147,,                 29458,,                348261,                102157,,                100457,              3265260,,,                513750,,                 13960,,                472666,              1000376,              4265636,,,,              2320268,              2320268,,                    967,                    967,,                176847,,                655749,                832596,,,                    650,,              1634763,              1635413,              4789244,                 83361,              4872605,,                              0,                              0
1215,2013年09月30日,,,,,,                574686,,              1293660,,                  7422,,                 11291,,                950576,,                645678,,                271067,,                  4787,              4039298,,,              1438601,,              2643588,,                 17680,,                275066,                116321,,                105346,              4596602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                280131,              8635900,,,,              1934021,,                249798,,                214443,,                443967,,                 16210,,                377169,                 67378,,                 79206,              3382192,,,                513750,,                 13597,,                492767,              1020114,              4402306,,,,              2320268,              2320268,,                    967,                    967,,                176847,,                435760,                612607,,,                 -4435,,              1227613,              1223178,              4157020,                 76574,              4233594,,                              0,
1215,2013年06月30日,,,,,,                481717,,              1267665,,                  7003,,                 21664,,              1376358,,                597387,,                232371,,                 14422,              4221879,,,              1579330,,              2612958,,                 17593,,                275833,                112776,,                123953,              4722443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                195696,              8944322,,,,              1992204,,                229580,,                260812,,                465702,,                 49326,,                559598,                 72488,,                 75454,              3705164,,,                536250,,                 11053,,                494098,              1041401,              4746565,,,,              2320268,              2320268,,                    967,                    967,,                176847,,                274999,                451846,,,                  1642,,              1365330,              1366972,              4140053,                 57704,              4197757,,                 27596,                              0
