證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　　　 其他短期借款,　　　　 庫藏股票,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 庫藏股票,　　　　 其他短期借款,　　　　 預付設備款
1525,2015年09月30日,,,,                 12299,,                  4001,,                 22983,,                147591,,,                137693,                137693,,                 17016,,                370962,                  1099,                372061,                713644,,,                 17611,,              2854274,,                491665,,                  4780,                 23212,,                    340,,                  9354,                  9694,              3401236,              4114880,,,,,                100000,,                173607,,                 58576,,                 90470,                 90470,                 22187,,,                 72228,                  5719,                 77947,                522787,,,                124244,,                130552,                    400,                130952,                255196,                777983,,,,                692454,                692454,,                  1251,,                363654,                285389,,              1784796,              2433839,,,                209353,                209353,              3336897,              3336897,              4114880,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,2015年06月30日,,,,                 19355,,                 21015,,                 18923,,                217259,,,                165538,                165538,,                  8957,,                359578,                  1100,                360678,                813583,,,                 16842,,              2644192,,                487335,,                  5734,                 23085,,                    340,,                  9430,                  9770,              3186958,              4000541,,,,,                 50000,,                212159,,                 69545,,                 81592,                 81592,                 23750,,,                 99232,                106376,                205608,                642654,,,                117664,,                129804,                    400,                130204,                247868,                890522,,,,                692454,                692454,,                  1251,,                363654,                285389,,              1690277,              2339320,,,                 76994,                 76994,              3110019,              3110019,              4000541,              0,              0,              0,,                  1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,2015年03月31日,,,,                 16633,,                 24007,,                 20115,,                171751,,,                140004,                140004,,                 12102,,                335904,                  3388,                339292,                725762,,,                 17094,,              2587813,,                494103,,                  6434,                 23265,,                    340,,                  3314,                  3654,              3132363,              3858125,,,,,                 50000,,                191782,,                 49530,,                 71340,                 71340,                 16841,,,                 64479,                  4511,                 68990,                448483,,,                115543,,                131302,                    400,                131702,                247245,                695728,,,,                692454,                692454,,                  1251,,                331695,                285389,,              1733186,              2350270,,,                118422,                118422,              3162397,              3162397,              3858125,              0,              0,              0,,                  1858,                 50000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,2014年12月31日,,,,                 33816,,                 15007,,                 29345,,                178287,,,                136552,                136552,,                 17726,,                292241,                    711,                292952,                703685,,,                 17305,,              2564524,,                492978,,                  7264,                 23819,,                    340,,                  8644,                  8984,              3114874,              3818559,,,,,                 50000,,                201995,,                 60845,,                 85113,                 85113,                 18528,,,                 40196,                  4816,                 45012,                461493,,,                116781,,                134565,                    400,                134965,                251746,                713239,,,,                692454,                692454,,                  1251,,                331695,                285389,,              1642323,              2259407,,,                152208,                152208,              3105320,              3105320,              3818559,              0,              0,              0,,                              0,                 50000,                              0,                 33816,              3818559,,,,                 50000,,                201995,,                 60845,,                 85113,                 85113,                 18528,,,                 40196,                  4816,                 45012,                461493,,,                116781,,                134565,                    400,                134965,                251746,                713239,,,,                692454,                692454,,                  1251,,                331695,                285389,,              1642323,              2259407,,,                152208,                152208,              3105320,              3105320,,,
1525,2014年09月30日,,,,                 13257,,                 25005,,                 35816,,                377685,,,                163782,                163782,,                 20125,,                184267,                  1112,                185379,                821049,,,                 16737,,              2302821,,                490673,,                  4022,                 23824,,                    340,,                 13315,                 13655,              2851732,              3672781,,,,,                 60000,,                201035,,                 57402,,                 70174,                 70174,                 17607,,,                 66378,                  7629,                 74007,                480225,,,                129037,,                133639,                    400,                134039,                263076,                743301,,,,                692454,                692454,,                  1251,,                331695,                285389,,              1555880,              2172964,,,                 62811,                 62811,              2929480,              2929480,              3672781,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,2014年06月30日,,,,                 17472,,                 41051,,                 27447,,                477767,,,                163578,                163578,,                 20600,,                252623,                  3420,                256043,              1003958,,,                 16342,,              2032004,,                495393,,                  4743,                 24141,,                    340,,                  3471,                  3811,              2576434,              3580392,,,,,                              0,,                209221,,                 63237,,                 57602,                 57602,                 20052,,,                 63551,                114378,                177929,                528041,,,                134010,,                132874,                    400,                133274,                267284,                795325,,,,                692454,                692454,,                  1251,,                331695,                285389,,              1472135,              2089219,,,                  2143,                  2143,              2785067,              2785067,              3580392,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,2014年03月31日,,,,                 41109,,                 75154,,                 30408,,                345191,,,                163236,                163236,,                 19449,,                206061,                 74574,                280635,                955182,,,                 16618,,              2057656,,                500529,,                  4748,                 23521,,                    342,,                  1756,                  2098,              2605170,              3560352,,,,,                 48840,,                196891,,                 60535,,                 54843,                 54843,                 19139,,,                 53922,                  1308,                 55230,                435478,,,                132341,,                132110,                    400,                132510,                264851,                700329,,,,                692454,                692454,,                  1251,,                301951,                285389,,              1536351,              2123691,,,                 42627,                 42627,              2860023,              2860023,              3560352,              0,              0,              0,,                              0,                 48840,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,2013年12月31日,,,,,,                 76131,,                 29946,,                391544,,,                140630,                140630,,                 12211,,                368522,                  3609,                372131,              1042129,,,                 16686,,              1857498,,                505413,,                  5490,                 24471,,                    342,,                    410,                    752,              2410310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                 19536,              3452439,,,,                              0,,                199548,,                 53350,,                 73648,                 73648,                 19139,,,                 39121,                  2357,                 41478,                387163,,,                129684,,                137448,                    400,                137848,                267532,                654695,,,,                692454,                692454,,                  1251,,                301951,                285389,,              1463394,              2050734,,,                 53305,                 53305,              2797744,              2797744,                              0,                              0,
1525,2013年09月30日,,,,,,                 57051,,                 24591,,                159023,,,                206081,                206081,,                 18633,,                303266,                  8679,                311945,                794448,,,                 16444,,              1986357,,                501215,,                  5606,                 25238,,                    342,,                  8121,                  8463,              2543323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                 17124,              3337771,,,,                              0,,                211218,,                 41530,,                 59240,                 59240,                 16784,,,                 85314,                  1207,                 86521,                415293,,,                106262,,                141957,                    400,                142357,                248619,                663912,,,,                692454,                692454,,                  1251,,                301951,                285389,,              1373502,              1960842,,,                 19312,                 19312,              2673859,              2673859,,,
1525,2013年06月30日,,,,,,                127779,,                 33737,,                145575,,,                241178,                241178,,                 21534,,                324870,                 10376,                335246,                919699,,,                 16631,,              1955135,,                498738,,                  4588,                 24931,,                    342,,                  9005,                  9347,              2509370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                 14650,              3429069,,,,,,                211772,,                 52217,,                 54807,                 54807,                 20746,,,                130528,                111639,                242167,                581709,,,                105262,,                141074,                    400,                141474,                246736,                828445,,,,                692454,                692454,,                  1251,,                301951,                285389,,              1275559,              1862899,,,                 44020,                 44020,              2600624,              2600624,                              0,,
