證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 庫藏股票,　　 非控制權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他
3062,2015年09月30日,,,,              3360765,,                961453,,                134981,,              1310199,,                 18516,,                475806,                 77756,                553562,              6339476,,,                              0,,                 91961,,                 57018,,              1159764,,                932725,,                 17584,                 65139,,                205712,              2529903,              8869379,,,,,                              0,,              1577713,,                279849,,                              0,                582881,                582881,                201526,                105933,,                 78792,,,                 75527,                232266,                307793,              3134487,,,                 47587,,                 64331,,                    456,                112374,              3246861,,,,              3293914,              3293914,,                527297,,                699115,                              0,,                999377,              1698492,,,                102815,                102815,                              0,              5622518,                              0,              5622518,              8869379,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,2015年06月30日,,,,              2897150,,              1563220,,                109010,,              1426304,,                 19114,,                709780,                 73343,                783123,              6797921,,,                703980,,                100107,,                 54204,,                535144,,                436190,,                 16502,                 67184,,                306060,              2219371,              9017292,,,,,,,              1873819,,                241503,,                230707,                499208,                729915,                186946,                110557,,                 73769,,,,,                241754,              3458263,,,                 47587,,                 65617,,                    456,                113660,              3571923,,,,              3294564,              3294564,,                526647,,                699115,                              0,,                876062,              1575177,,,,                 48981,,              5445369,,              5445369,              9017292,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,2015年03月31日,,,,              2574524,,              1552013,,                 97059,,              2455788,,                 21116,,                469634,                 72158,                541792,              7242292,,,                841140,,                 86680,,                 54820,,                557361,,                452725,,                 16735,                 45185,,                200341,              2254987,              9497279,,,,,,,              2216756,,                379301,,,,                460746,                237130,                120934,,                 74646,,,,,                313672,              3803185,,,                 36337,,                 63181,,                    456,                 99974,              3903159,,,,              3295814,              3295814,,                525397,,                664977,                              0,,              1064679,              1729656,,,                 43253,                 43253,,              5594120,,              5594120,              9497279,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,2014年12月31日,,,,              1984076,,              1518963,,                 85099,,              2566649,,                 12827,,                957909,                 59978,              1017887,              7185501,,,                903860,,                 91996,,                104310,,                560080,,                357968,,                 16917,                 34016,,                199129,              2268276,              9453777,,,,,                              0,,              2321721,,                579279,,                              0,                440016,                440016,                124096,                 79698,,                 52209,,,                              0,                282540,                282540,              3879559,,,                 38345,,                 64062,,                    965,                103372,              3982931,,,,              3295814,              3295814,,                525397,,                664977,                              0,,                935810,              1600787,,,                 48848,                 48848,                              0,              5470846,                              0,              5470846,              9453777,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,2014年09月30日,,,,              3055695,,              1197512,,                 77477,,              1988376,,                 17461,,                493400,                 65563,                558963,              6895484,,,                909343,,                184751,,                102588,,                574461,,                345775,,                 16245,                 16003,,                188419,              2337585,              9233069,,,,,                              0,,              2416775,,                516877,,                              0,                329091,                329091,                 88497,                 44978,,                 86827,,,                 20259,                261478,                281737,              3764782,,,                              0,,                 68166,,                    456,                 68622,              3833404,,,,              3255814,              3255814,,                493785,,                664977,                              0,,                823713,              1488690,,,                161376,                161376,                              0,              5399665,                              0,              5399665,              9233069,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,2014年06月30日,,,,              2825693,,              1230665,,                 94925,,              2005731,,                 15660,,                481100,                 97327,                578427,              6751101,,,                916987,,                264803,,                131811,,                581960,,                362604,,                 15976,                 28897,,                186883,              2489921,              9241022,,,,,,,              2417554,,                432560,,                113953,                344868,                458821,                 92641,                 49525,,                 85587,,,,,                273511,              3810199,,,                              0,,                 81744,,                    456,                 82200,              3892399,,,,              3255814,              3255814,,                493600,,                664977,                              0,,                721386,              1386363,,,,                212846,,              5348623,,              5348623,              9241022,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,2014年03月31日,,,,              2289899,,                947461,,                 80324,,              2498380,,                 11145,,                493430,                 61720,                555150,              6382359,,,                916579,,                              0,,                137559,,                611573,,                382089,,                 16283,                 36880,,                187011,              2287974,              8670333,,,,,,,              2364445,,                381446,,,,                304698,                 34433,                 31273,,                 74533,,,,,                294233,              3485061,,,                              0,,                 37583,,                    456,                 38039,              3523100,,,,              3255814,              3255814,,                493600,,                649159,                 11099,,                724708,              1384966,,,                 12853,                 12853,,              5147233,,              5147233,              8670333,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,2014年01月01日,,,,              1828972,,              1338846,,                 90279,,              2320639,,                  9635,,                491900,                119203,                611103,              6199474,,,                912610,,                              0,,                136628,,                632066,,                404016,,                 15935,                 25302,,                183687,              2310244,              8509718,,,,,                              0,,              2002893,,                571295,,                              0,                305813,                305813,                 74070,                 39114,,                 53300,,,                 16411,                283603,                300014,              3346499,,,                              0,,                 37588,,                    456,                 38044,              3384543,,,,              3255814,              3255814,,                493600,,                649159,                 11099,,                704536,              1364794,,,                 10967,                 10967,                              0,              5125175,                              0,              5125175,              8509718,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,2013年12月31日,,,,,,              1338846,,                 90279,,              2320639,,                  9635,,                491900,                119203,                611103,              6199474,,,                912610,,                              0,,                136628,,                639218,,                404016,,                 15935,                 25302,,                183687,              2317396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1828972,              8516870,,,,                              0,,              2002893,,                571295,,                305813,                 74070,                 39114,,                 53300,,                300014,              3346499,,,                              0,,                 37588,,                    456,                 38044,              3384543,,,,              3255814,              3255814,,                493600,,                649159,                 11099,,                711688,              1371946,,                 10967,              5132327,              5132327,                              0,                305813,,                 16411,                283603,,                 10967,                              0,                              0,,,,,
3062,2013年09月30日,,,,,,              2079956,,                 88291,,              1881470,,                  9037,,                483300,                 85940,                569240,              5735234,,,                911284,,                              0,,                136299,,                687924,,                416781,,                 15810,                 43249,,                173681,              2385028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1107240,              8120262,,,,                269165,,              1353733,,                408955,,                425107,                136010,                 43175,,                 37335,,                297867,              2971347,,,,,                 30204,,                    456,                 30660,              3002007,,,,              3255814,              3255814,,                493600,,                649159,                 11099,,                706933,              1367191,,                  1650,              5118255,              5118255,                 48838,                376269,,                 30365,                267502,,                  1650,                              0,                              0,,,,,
