證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 法定盈餘公積,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　 短期借款,　　　　 短期借款合計,　　　 其他應付款項－關係人,　　　　 其他流動負債－其他,　　　 長期借款,　　　　 長期借款合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 預收股本,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 其他流動資產－其他,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　 非控制權益,　　　 庫藏股票
3164,2015年09月30日,,,,                150472,,                 11770,,                 74029,,                  1007,,                     37,,                 59684,,                  5798,,                124652,                124652,                427449,,,                 17336,,                894842,,                313345,                  6932,,                    578,                 12923,                 18786,                              0,,                  1964,                 34251,              1266706,              1694155,,,,,                              0,,                  3631,,                 41517,,                 53882,                              0,                  6335,,,                 25613,,                              0,                 25613,                130978,,,                              0,,                 11871,,                              0,                    513,                    513,                 12384,                143362,,,,                889119,                              0,                889119,,,                716875,                  9800,                726675,,                    129,,                -40614,                -40485,,,                    648,,                -25164,                -24516,              1550793,              1550793,              1694155,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,2015年06月30日,,,,                127769,,                  8464,,                 41538,,                  1580,,                     36,,                 45837,,                  7030,,                142246,                142246,                374500,,,                 11355,,                904524,,                324432,                  7189,,                  1183,                 13813,                 18712,                              0,,                  1929,                 35637,              1283137,              1657637,,,,,                              0,,                  3743,,                 28042,,                 50640,                              0,                  2152,,,                 27579,,                              0,                 27579,                112156,,,                              0,,                 11520,,                              0,                    513,                    513,                 12033,                124189,,,,                889119,,                889119,,,                716875,                  9800,                726675,,                    129,,                -51626,                -51497,,,                    296,,                -31145,                -30849,              1533448,              1533448,              1657637,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,2015年03月31日,,,,                203160,,                  8113,,                 41819,,                    949,,                    262,,                 50096,,                 13236,,                 69300,                 69300,                386935,,,                 24763,,                914688,,                330882,                  9318,,                    248,                 13480,                 18483,                              0,,                  1759,                 33970,              1313621,              1700556,,,,,                              0,,                 18153,,                 16767,,                 46967,                              0,                    278,,,                 34385,,                              0,                 34385,                116550,,,                              0,,                 11418,,                              0,                    513,                    513,                 11931,                128481,,,,                889119,,                889119,,,              1090212,                  9800,              1100012,,                    129,,               -399870,               -399741,,,                    422,,                -17737,                -17315,              1572075,              1572075,              1700556,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,2014年12月31日,,,,                315335,,                  9555,,                 21301,,                  1300,,                    262,,                 53706,,                 10692,,                              0,                              0,                412151,,,                 23392,,                919997,,                341594,                 11316,,                  1579,                 12468,                 18290,                              0,,                  1290,                 33627,              1329926,              1742077,,,,,                              0,,                 15913,,                 21767,,                 59574,                              0,                              0,,,                 35326,,                              0,                 35326,                132580,,,                              0,,                 11663,,                              0,                    513,                    513,                 12176,                144756,,,,                889119,                              0,                889119,,,              1090212,                  9800,              1100012,,                    129,,               -373337,               -373208,,,                    506,,                -19108,                -18602,              1597321,              1597321,              1742077,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,2014年09月30日,,,,                418478,,                  8355,,                 41094,,                    866,,                              0,,                 53455,,                  7909,,                 19668,                 19668,                549825,,,                 17045,,              1037827,,                426347,                  9837,,                 11459,                 12253,                  4571,                 49907,,                  1701,                 79891,              1570947,              2120772,,,,,                 22600,,                 53755,,                 13080,,                153784,                601533,                  1369,,,                 30300,,                 47083,                 77383,                923504,,,                421234,,                  9279,,                  2092,                    509,                  2601,                433114,              1356618,,,,                609119,                  8013,                617132,,,                253013,                              0,                253013,,                    129,,                -80882,                -80753,,,                    217,,                -25455,                -25238,                764154,                764154,              2120772,              0,        200325,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,2014年06月30日,,,,                351187,,                 14431,,                 42477,,                  1058,,                              0,,                 75679,,                  6715,,                 75243,                 75243,                566790,,,                 21411,,              1038277,,                437214,                 13892,,                 17816,                 12251,                  4486,                 51256,,                  1897,                 87706,              1598500,              2165290,,,,,                 22600,,                 32126,,                 17263,,                157326,                601533,                  1018,,,                 26400,,                 48553,                 74953,                906819,,,                437081,,                  9281,,                  2009,                    509,                  2518,                448880,              1355699,,,,                609119,,                609119,,,                253013,                              0,                253013,,                    129,,                -31588,                -31459,,,                      7,,                -21089,                -21082,                809591,                809591,              2165290,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,2014年03月31日,,,,                384455,,                  7547,,                 42092,,                  1854,,                              0,,                 79192,,                 13401,,                 76018,                 76018,                604559,,,                 21982,,              1055173,,                658190,                 13090,,                  7740,                 12277,                  4396,                 45792,,                  2096,                 72301,              1820736,              2425295,,,,,                 42600,,                 27881,,                 16038,,                174240,                779765,                  7550,,,                 32527,,                 48415,                 80942,              1129016,,,                449272,,                  9250,,                  2970,                    515,                  3485,                462007,              1591023,,,,                609119,,                609119,,,                285319,                 15227,                300546,,                    129,,                -95330,                -55045,,,                    170,,                -20518,                -20348,                834272,                834272,              2425295,              0,              0,              0,                 40156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,2013年12月31日,,,,,,                 11375,,                 16285,,                  1637,,,,                 16988,,                  4738,,                606012,                606012,              1199566,,,                 17320,,                117673,,                  9389,                 15508,,                  5200,                  4405,,,,                  4707,                 14312,                174202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                542531,                              0,              1373768,,,,                  1159,,                  5758,,                 57936,                  7550,,,                 31903,,                431400,                463303,                535706,,,                    731,,                     50,                     50,                    781,                536487,,,,                609119,                609119,,,                285319,                 15227,                300546,,                 40156,                    129,,                -87689,                -47404,,,                    200,,                -25180,                -24980,                837281,                837281,,,,,,,,,,,,,,,,,,,
3164,2013年09月30日,,,,,,                 20147,,                 26175,,                  1798,,,,                 15196,,                  4826,,              1016662,              1016662,              1194298,,,                 16490,,                120177,,                 13385,                 16479,,                              0,                  4735,,                              0,,                  4507,                  9242,                175773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                109494,,              1370071,,,,                  1171,,                  3435,,                 26465,                  6583,,,                 36732,,                429759,                467302,                504956,,,                    701,,                     50,                     50,                    751,                505707,,,,                609119,                609119,,,                285319,                 15227,                300546,,                 40156,                    129,,                -59602,                -19317,,,                     26,,                -26010,                -25984,                864364,                864364,,                              0,,                              0,                              0,                    811,,                              0,                              0,                              0,,,,,,,,,
3164,2013年06月30日,,,,,,                 24994,,                 40293,,                  7435,,,,                 18640,,                  3109,,              1018811,              1018811,              1200471,,,                 30367,,                122605,,                 13458,                 17341,,                              0,                  4507,,                              0,,                  4513,                  9020,                192791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 87189,,              1393262,,,,                    727,,                  6980,,                 62666,                  4523,,,                 25697,,                428118,                453815,                528711,,,                    687,,                              0,                              0,                    687,                529398,,,,                609119,                609119,,,                285319,                 15227,                300546,,                 40156,                    129,,                -74123,                -33838,,,                    170,,                -12133,                -11963,                863864,                863864,,                              0,,                              0,                              0,                              0,,                              0,                              0,,,,,,,,,,
