證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他應付費用
1417,2015年09月30日,,,,                811020,,                186574,,                171414,,                298020,,              1877385,,                150170,,                 52242,                116043,                168285,              3662868,,,                700103,,                269099,,                109378,,              1089297,,                313402,                 11542,,                 44575,,                 21369,                 65944,              2558765,              6221633,,,,,                570000,,                599210,,                 97785,,                197687,                197687,                    860,,,                 61117,                 14012,                 75129,              1540671,,,                145298,,                 91291,                 10013,                101304,                246602,              1787273,,,,              3798837,              3798837,,                 48668,                122963,,               -180219,                 -8588,,                644111,              4434360,              4434360,              6221633,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,2015年06月30日,,,,              1094776,,                266237,,                185289,,                352975,,              1476762,,                171914,,                 80814,                 33155,                113969,              3661922,,,                766833,,                269099,,                108672,,              1096658,,                312214,                 11090,,                 44090,,                 20984,                 65074,              2629640,              6291562,,,,,                560000,,                599275,,                 80173,,                186598,                186598,                    858,,,                 54768,                 16016,                 70784,              1497688,,,                142717,,                 90676,                  6371,                 97047,                239764,              1737452,,,,              3798837,              3798837,,                 48668,                122963,,                -50830,                120801,,                634472,              4554110,              4554110,              6291562,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,2015年03月31日,,,,              1052875,,                237930,,                192010,,                378535,,              1516256,,                247866,,                155521,                 35833,                191354,              3816826,,,                807659,,                269099,,                114080,,              1121019,,                315400,                 11248,,                 44887,,                 21173,                 66060,              2704565,              6521391,,,,,                530000,,                599147,,                188792,,,                163544,                  1612,,,                 53860,                 18397,                 72257,              1555352,,,                143282,,                 94926,                  7962,                102888,                246170,              1801522,,,,              3798837,              3798837,,                 45758,                122963,,                 42127,                210848,,                710184,              4719869,              4719869,              6521391,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,2014年12月31日,,,,              1015844,,                304095,,                185248,,                364566,,              1341378,,                394389,,                183648,                 21680,                205328,              3810848,,,                810313,,                269099,,                116167,,              1115455,,                318254,                 11355,,                 46166,,                 22078,                 68244,              2708887,              6519735,,,,,                370000,,                749486,,                 52243,,                198011,                198011,                  1387,,,                 59810,                 14002,                 73812,              1444939,,,                143731,,                 94416,                  8186,                102602,                246333,              1691272,,,,              3798837,              3798837,,                 45758,                122963,,                135216,                303937,,                725689,              4828463,              4828463,              6519735,              0,              0,                              0,              1015844,              6519735,,,,                370000,,                749486,,                 52243,,                198011,                  1387,,,                 59810,                 14002,                 73812,              1444939,,,                143731,,                 94416,                  8186,                102602,                246333,              1691272,,,,              3798837,              3798837,,                 45758,                122963,,                135216,                303937,,                725689,              4828463,              4828463,              0,,,
1417,2014年09月30日,,,,              1135357,,                346452,,                158282,,                347792,,              1450995,,                189450,,                 33235,                 76842,                110077,              3738405,,,                851153,,                269099,,                117616,,              1101596,,                317904,                 11003,,                 39376,,                 20708,                 60084,              2728455,              6466860,,,,,                530000,,                579806,,                 68509,,                212700,                212700,                  5441,,,                 52377,                 27818,                 80195,              1476651,,,                142151,,                 90480,                  9541,                100021,                242172,              1718823,,,,              3798837,              3798837,,                 45758,                122963,,                114831,                283552,,                665648,              4748037,              4748037,              6466860,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,2014年06月30日,,,,              1529225,,                349479,,                192773,,                292496,,              1056785,,                139260,,                 35243,                 11498,                 46741,              3606759,,,                220566,,                517046,,                121152,,              1096875,,                318225,                 10729,,                 38309,,                 19676,                 57985,              2342578,              5949337,,,,,                440000,,                479864,,                 51284,,                165323,                241300,                  6593,,,                 44401,                 31175,                 75576,              1294617,,,                154041,,                 89984,                 10436,                100420,                254461,              1549078,,,,              3798837,              3798837,,                 45758,                122963,,                180341,                349062,,                252360,              4400259,              4400259,              5949337,              0,              0,                 75977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,2014年03月31日,,,,              1462794,,                317135,,                180666,,                365196,,              1149727,,                121467,,                  9800,                 11114,                 20914,              3617899,,,                192599,,                517046,,                127319,,              1088051,,                322077,                 10927,,                 38040,,                 29916,                 67956,              2325975,              5943874,,,,,                330000,,                579679,,                 51901,,,                139633,                 26934,,,                 46734,                 18526,                 65260,              1193407,,,                153977,,                 89444,                  9586,                 99030,                253007,              1446414,,,,              3798837,              3798837,,                 44095,                122963,,                273041,                440099,,                258524,              4497460,              4497460,              5943874,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,2013年12月31日,,,,,,                436611,,                161525,,                389707,,              1098241,,                 82794,,                  9838,                 18455,                 28293,              3678937,,,                177806,,                519211,,                111887,,              1088523,,                324735,                 10969,,                 43277,,                 29175,                 72452,              2305583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1481766,              5984520,,,,                340000,,                629812,,                 61319,,                209204,                 28161,,,                 52055,                 28680,                 80735,              1349231,,,                152866,,                 88950,                 14015,                102965,                255831,              1605062,,,,              3798837,              3798837,,                 44095,                122963,,                187202,                354260,,                226361,              4379458,              4379458,              0,                              0,                209204,
1417,2013年09月30日,,,,,,                284606,,                248903,,                351178,,              1276498,,                149276,,                  9666,                 39539,                 49205,              3694958,,,                145293,,                519211,,                119590,,              1037134,,                325671,                 10778,,                 36194,,                 45649,                 81843,              2239520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1335292,              5934478,,,,                430000,,                649546,,                 87352,,                124488,                  3948,,,                 52048,                 11209,                 63257,              1358591,,,                175535,,                 83290,                 17778,                101068,                276603,              1635194,,,,              3798837,              3798837,,                 44095,                122963,,                109738,                276796,,                223651,              4299284,              4299284,              0,,,
1417,2013年06月30日,,,,,,                275558,,                274981,,                340922,,              1005581,,                 83136,,                715017,                 42035,                757052,              3936377,,,                137878,,                518757,,                126188,,              1024148,,                329317,                 10900,,                 33728,,                 60304,                 94032,              2241220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1199147,              6177597,,,,                360000,,                679561,,                 80928,,                316896,                  7479,,,                 52216,                 28697,                 80913,              1525777,,,                177429,,                 84848,                 14654,                 99502,                276931,              1802708,,,,              3798837,              3798837,,                 44095,                122963,,                139414,                306472,,                269580,              4374889,              4374889,              0,                189942,                126954,
