證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 當期所得稅資產合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額
3413,2015年09月30日,,,,              1030438,,                489415,,                489999,,                144402,,                915789,,                 82963,,                  6230,              3159236,,,                171469,,                  4068,,                632309,,                 72199,                  7392,,                 44213,                931650,              4090886,,,,,                362740,,              1229897,,                387417,                  7292,                 23969,                              0,,                 89647,              2100962,,,                 19210,,                  6889,                 26099,              2127061,,,,                680000,                680000,,,                412722,                  7271,                419993,,                 31569,,                570423,                601992,,,                145368,,                116472,                261840,              1963825,              1963825,              4090886,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,2015年06月30日,,,,                471293,,                461220,,                220682,,                217577,,                744215,,                 76664,,                  5475,              2197126,,,                281563,,                  3749,,                600554,,                 72948,                  7116,,                 52036,              1017966,              3215092,,,,,                345617,,                969614,,                369876,                  6855,                 16912,                              0,,                 95884,              1804758,,,                 33352,,                  7133,                 40485,              1845243,,,,                600000,                600000,,,                              0,,                              0,,                 31569,,                405259,                436828,,,                119667,,                213354,                333021,              1369849,              1369849,              3215092,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,2015年03月31日,,,,                567772,,                387870,,                137418,,                233405,,                664620,,                 60418,,                  3534,              2055037,,,                458786,,                  3868,,                597965,,                 76730,                  7217,,                 55222,              1199788,              3254825,,,,,                459514,,                793449,,                329243,                  8593,                  2360,                              0,,                112320,              1705479,,,                 50538,,                  7225,                 57763,              1763242,,,,                600000,                600000,,,                              0,,                              0,,,,                394160,                394160,,,                128113,,                369310,                497423,              1491583,              1491583,              3254825,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,2014年12月31日,,,,                563734,,                433219,,                374994,,                249866,,                671593,,                101597,,                              0,              2395003,,,                415822,,                  4107,,                608999,,                 77511,                  7294,,                 54300,              1168033,              3563036,,,,,                461274,,              1130730,,                400667,                  7051,                  2370,                              0,,                123200,              2125292,,,                 49462,,                  7396,                 56858,              2182150,,,,                600000,                600000,,,                              0,                              0,                              0,,                              0,,                315694,                315694,,,                133690,,                331502,                465192,              1380886,              1380886,              3563036,              0,              0,              0,,                              0,,                              0,                563734,              3563036,,,,                461274,,              1130730,,                400667,                  7051,                  2370,                              0,,                123200,              2125292,,,                 49462,,                  7396,                 56858,              2182150,,,,                600000,                600000,,,                              0,                              0,,,                315694,                315694,,,                133690,,                331502,                465192,              1380886,              1380886,,,,,
3413,2014年09月30日,,,,                478450,,                318724,,                463131,,                421226,,                522115,,                 82260,,                              0,              2285906,,,                560056,,                  4565,,                597663,,                 78291,                  7084,,                 47712,              1295371,              3581277,,,,,                302838,,              1116001,,                330729,                121024,                  2369,                108899,,                 57114,              2038974,,,                 63811,,                  7395,                 71206,              2110180,,,,                600000,                600000,,,                              0,                              0,                              0,,                              0,,                291731,                291731,,,                120938,,                458428,                579366,              1471097,              1471097,              3581277,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,2014年06月30日,,,,                431009,,                423472,,                211735,,                479986,,                452900,,                 67915,,                  1204,              2073118,,,                677925,,                  4668,,                602926,,                 72508,                  6883,,                 49658,              1414568,              3487686,,,,,                287741,,                933936,,                251406,                126018,                              0,                332039,,                 41431,              1972571,,,                 38224,,                  6594,                 44818,              2017389,,,,                600000,                600000,,,                              0,,                              0,,                              0,,                159124,                159124,,,                111325,,                599848,                711173,              1470297,              1470297,              3487686,              0,              0,              0,,                     45,,                  4852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,2014年03月31日,,,,                467057,,                581550,,                128470,,                796977,,                508815,,                 49483,,                  1225,              2568973,,,                738944,,                  4852,,                571953,,                 73224,                  7004,,                 68696,              1464673,              4033646,,,,,                200000,,              1116814,,                530159,                120600,                              0,                531078,,                 68713,              2567364,,,                 83831,,                  6607,                 90438,              2657802,,,,                600000,                600000,,,                271600,,                271600,,,,               -226154,               -226154,,,                115137,,                615261,                730398,              1375844,              1375844,              4033646,              0,              0,              0,,,,                 35396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,2013年12月31日,,,,,,                449320,,                189403,,                263456,,                491738,,                 57474,,,              1971995,,,                489638,,                  4941,,                578015,,                 73940,                  7040,,                 47144,              1200718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 60019,                460585,              3172713,,,,                209095,,                753092,,                261210,                149571,                              0,                599391,,                 29365,              2001724,,,                 54834,,                  6585,                 61419,              2063143,,,,                600000,                600000,,,                271600,                271600,,,               -278856,               -278856,,,                120955,,                395871,                516826,              1109570,              1109570,,,,,
3413,2013年06月30日,,,,,,                195372,,                111397,,                242783,,                446640,,                 37017,,                              0,              1733916,,,                378446,,                  5371,,                578395,,                103848,                  6986,,                 42615,              1115661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                131554,                547689,              2849577,,,,                882539,,                605709,,                126277,                148097,,                622468,,                 37388,              2422478,,,                 41393,,                  7596,                 48989,              2471467,,,,              1080000,              1080000,,,                118000,                118000,,,             -1234887,             -1234887,,,                116975,,                298022,                414997,                378110,                378110,,                 21464,                              0,,                              0
3413,2012年12月31日,,,,                741443,,                384327,,                232355,,                101457,,                309868,,                 28119,,,              2178229,,,                              0,,                  5676,,                633994,,                 63942,                  9122,,                 44421,                798013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                360052,,              2976242,,,,              1425084,,                448104,,                171692,                139873,                              0,                653064,,                 15296,              2853113,,,                    821,,                  7753,                  8574,              2861687,,,,              1080000,              1080000,,,                118000,                118000,,,             -1186211,             -1186211,,,                102766,,                              0,                102766,                114555,                114555,,                 20608,,,                 40858
