證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 預付租金,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款項－關係人,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　　 其他應付款－其他,　　　 其他應付款項－關係人,　　　 應付公司債,　　　　 應付公司債合計,　　　　 預收股本,　　　 長期借款,　　　　 長期借款合計,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額
2474,2015年09月30日,,,,             49003508,,                              0,,                 10593,,                              0,,             32951295,,                240766,,                  5987,,              7400093,,                 32994,,                              0,,              3483407,             93128643,,,              1479680,,             58185073,,                251292,,                153152,              3158768,,              1333114,,              3358497,              4691611,             67919576,            161048219,,,,,             21848500,,                 66813,,              6832026,,                              0,              6093883,              6093883,              4486507,,              2603173,              2603173,             41930902,,,                              0,,                 77962,,                  4345,              8292732,              8297077,              8375039,             50305941,,,,              7703911,                              0,              7703911,,             20274286,,              8709310,              2377902,,             64674493,             75761705,,,              6813375,              6813375,            110553277,                189001,            110742278,            161048219,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,2015年06月30日,,,,             43348208,,                              0,,                 15396,,,,             28294738,,                812915,,                     17,,              6087545,,                 33412,,                              0,,              3474503,             82066734,,,              1441274,,             54120023,,                252703,,                157776,              2933454,,              1309864,,              3087863,              4397727,             63302957,            145369691,,,,,             17136000,,                 74440,,              5639520,,              4622346,,              4622346,              3121344,,              2344826,              2344826,             38035129,,,                              0,,                 78272,,                  4194,              8093687,              8097881,              8176153,             46211282,,,,              7703911,                              0,              7703911,,             20274285,,              8709310,              2377902,,             56520681,             67607893,,,,              3406114,             98992203,                166206,             99158409,            145369691,              0,              0,                 33412,,                              0,              5096653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,2015年03月31日,,,,             46310267,,                              0,,                 31877,,,,             23219095,,                144246,,                     24,,              6152219,,                 30118,,                     15,,              4440135,             80327996,,,              1507340,,             48033533,,                254114,,                164109,              2459334,,              1330124,,              6281945,              7612069,             60030499,            140358495,,,,,             15834500,,                111991,,              5964765,,,,              5137075,              3382941,,              2174926,              2174926,             32606198,,,,,                 83988,,                  4190,              8200620,              8204810,              8288798,             40894996,,,,              7703911,                              0,              7703911,,             20274942,,              6921593,              2377902,,             57683752,             66983247,,,,              4345090,             99307190,                156309,             99463499,            140358495,              0,              0,                 30118,,                              0,,,                              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,2014年12月31日,,,,             48119090,,                              0,,                 18103,,                              0,,             21027297,,                402715,,                     21,,              5600468,,                 22260,,                634185,,              4053533,             79877672,,,              1545197,,             45405426,,                255006,,                146369,              2407730,,                953967,,              6373337,              7327304,             57087032,            136964704,,,,,             15527000,,                139707,,              6084001,,                              0,              5519528,              5519528,              2865378,,              2044472,              2044472,             32180086,,,                              0,,                183799,,                  4188,              8507472,              8511660,              8695459,             40875545,,,,              7703911,                              0,              7703911,,             20276071,,              6921593,              2377902,,             53031409,             62330904,,,              5586777,              5586777,             95897663,                191496,             96089159,            136964704,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,2014年09月30日,,,,             48191910,,                  5192,,                  4944,,                    185,,             16882936,,                245068,,                 23123,,              4087648,,                 23081,,                              0,,              2734984,             72199071,,,              1516635,,             35473148,,                256077,,                 86529,              1929797,,                913340,,              6394398,              7307738,             46569924,            118768995,,,,,             11745000,,                138023,,              4181418,,              3760265,              3910685,              7670950,              2166083,,              1592946,              1592946,             27494420,,,                525305,,                 74597,,                    855,              5263721,              5264576,              5864478,             33358898,,,,              7674077,                  3002,              7677079,,             19778495,,              6921593,              2377902,,             46595711,             55895206,,,              1880297,              1880297,             85231077,                179020,             85410097,            118768995,         15996,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,2014年06月30日,,,,             38900532,,                 21201,,                364042,,,,             18080538,,                210299,,                 92932,,              3787046,,                 20496,,                              0,,              1636019,             63113105,,,              1575439,,             34211620,,                257508,,                 87375,              1641250,,                955423,,              3282735,              4238158,             42011350,            105124455,,,,,             11993000,,                168751,,              3671897,,              3760265,,              3760265,              2127994,,                237426,                237426,             25353489,,,              1767228,,                 80194,,                    862,                  7963,                  8825,              1856247,             27209736,,,,              7603795,                 21659,              7625454,,             18592350,,              6921593,              2377902,,             41784492,             51083987,,,,                438138,             77739929,                174790,             77914719,            105124455,        114534,              0,                 20496,,                  6433,              3387723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,2014年03月31日,,,,             39878229,,                 23126,,              2942705,,,,             15557117,,                301508,,                 95837,,              3988220,,                 18032,,                              0,,              1199871,             64004645,,,              1658434,,             35459756,,                258938,,                 96261,              1474918,,                775603,,              1119518,              1895121,             40843428,            104848073,,,,,             12798970,,                201246,,              3648853,,,,              3578194,              1838098,,                256914,              4591504,             26809748,,,,,                107038,,                    855,                  6794,                  7649,                114687,             26924435,,,,              7516340,                  5443,              7521783,,             17121475,,              5541474,              2377902,,             43281200,             51200576,,,,              1903800,             77747634,                176004,             77923638,            104848073,          5443,              0,                 18032,,                152883,,,              3334590,              1000000,              4334590,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,2013年12月31日,,,,,,                 22087,,,,                    560,,             17504791,,                261179,,,,              3873173,,                 17812,,                              0,,                896623,             65346656,,,              1730683,,             34903140,,                259831,,                102555,              1394675,,                770070,,                871426,              1641496,             40032380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                 17812,,,,,,,,              0,             39378362,,                 49975,              3192697,                149397,            105379036,,,,             16155655,,                249963,,              4245813,,                286540,,              3665484,              2165528,,,              3492625,              1000000,              4492625,                312960,              4805585,             31574568,,,                116744,,                    854,                  6764,                  7618,                124362,             31698930,,,,              7507031,              7507031,,             16974456,,              5541474,              2377902,,             40297391,             48216767,,                811233,             73509487,                170619,             73680106,,                              0,,                              0,                              0,              3665484,                              0,,                              0,                              0,,                              0,,
2474,2013年09月30日,,,,,,                 20740,,,,                     10,,             16499508,,                215683,,,,              3899651,,                 16197,,,,              1343904,             59677253,,,              1710557,,             34905136,,                261236,,                106943,              1273237,,                763359,,                889043,              1652402,             39930659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,              0,             33161276,,                 49775,              4460113,                 10396,             99607912,,,,             12808970,,                223110,,              3297599,,                 90114,,              7388144,              1570633,,,              3479341,              1112500,              4591841,                213004,              4804845,             30200415,,,                 99973,,                  3416,                 14374,                 17790,                117763,             30318178,,,,              7507031,              7507031,,             16978287,,              5541474,              2377902,,             36823362,             44742738,,               -104272,             69123784,                165950,             69289734,,                 21148,,                 17000,              4504219,              2883925,                              0,,                              0,                              0,,,,
2474,2013年06月30日,,,,,,                 20020,,,,                              0,,             16715788,,                341677,,,,              3406279,,                 16342,,,,              1739005,             60640438,,,              1732751,,             33215128,,                262640,,                 81508,              1067239,,                774640,,              1956711,              2731351,             39108102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                 16342,,,,,,,,              0,             34408366,,                938985,              3053976,                              0,             99748540,,,,             14472000,,                175536,,              3263493,,                144466,,              7783896,              1493645,,,              3466229,              1256667,              4722896,                267366,              4990262,             32350426,,,                106967,,                  3566,                 17535,                 21101,                128068,             32478494,,,,              7507031,              7507031,,             16979018,,              5541474,              2377902,,             34052418,             41971794,,                649896,             67107739,                162307,             67270046,,                 17485,,                 27128,              4504219,              3279677,                              0,,                              0,                              0,,,,
