證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 營建用地,　　　　　 在建房地,　　　　　 預付土地款,　　　　　 備抵存貨跌價,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 運輸設備淨額,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備淨額,　　　　 租賃資產淨額,　　　　　 租賃資產淨額,　　　　 租賃改良淨額,　　　　　 租賃改良淨額,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產－建築物,　　　　 累計折舊－投資性不動產－建築物,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 員工福利負債準備－流動,　　　　　 銷貨退回及折讓之短期負債準備,　　　　　 其他短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 保固之短期負債準備,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 待分配股票股利,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 現金及約當現金合計,　　　　 應收票據,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 員工福利負債準備－流動,　　　　 保固之短期負債準備,　　　　 銷貨退回及折讓之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 待分配股票股利,　　　　 庫存現金,　　　　 銀行存款,　　　　 約當現金,　　　　 備抵呆帳－應收票據,　　　　 應收票據－關係人,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 其他應收款－其他
5525,2015年09月30日,,,,                 60624,,                 15726,,                              0,,                246050,,                              0,                 10816,,                  3757,,,                860443,              1551436,              2574278,                  7985,                  1340,              4992802,              4992802,,                 26734,                 26734,,              2001850,              2001850,              7358359,,,                 12394,                 12394,,                    246,                    246,,,                 71606,,                    186,,                  5315,,                  2634,,                  3613,                 83354,,              1174831,                997140,                145523,              2026448,,,                    478,                    478,                    478,                 67206,,,                 65467,                 65467,              2255593,              9613952,,,,,              1292497,              1292497,,              2345448,              2345448,,                162402,                162402,,                286948,                286948,,                              0,                 17103,,                373251,                373251,                 17632,,                  2967,                              0,                  2506,                  5473,,,                385073,                385073,                 21587,                406660,              4907414,,,                186000,                186000,,                 32061,                 23895,                 55956,                241956,              5149370,,,,              2530909,              2530909,,,                  1148,                  1148,                209134,                    327,                210609,,                533879,                  1602,,              1031531,              1031531,              1567012,,                              0,                 28770,              4279760,                184822,              4464582,              9613952,              0,              0,      8604399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2015年06月30日,,,,                165307,,                  6991,,,,                269038,,                              0,                  5362,,                    675,,,              1126906,              1403004,              2442631,                163082,                              0,              5135623,              5135623,,                 31904,                 31904,,              1846658,              1846658,              7461558,,,                 12394,                 12394,,                    332,                    332,,,                 72475,,                    193,,                  5276,,                  2819,,                  3700,                 84463,,              1174831,                996968,                137471,              2034328,,,                    525,                    525,                    525,                 65759,,,                 67068,                 67068,              2264869,              9726427,,,,,              1157464,              1157464,,              2370879,              2370879,,                295694,                295694,,                298465,                298465,,                              0,                 75026,,                368930,                368930,                 26902,,                  2967,                              0,,                  6484,,,                522096,                522096,                 23949,                546045,              5145889,,,                186000,                186000,,                 32307,                 23960,                 56267,                242267,              5388156,,,,              2457193,              2530909,,,                  1148,                  1148,                209134,                    327,                210609,,                533879,                  1602,,                905191,                905191,              1440672,,                              0,                 28770,              4153420,                184851,              4338271,              9726427,              0,              0,      8353786,                  3517,,                              0,                              0,                 73716,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2015年03月31日,,,,                219670,,                  8336,,,,                302164,,                    100,                              0,,                  8286,,,              1687653,              1617566,              1589860,                 59430,                              0,              4954509,              4954509,,                 32657,                 32657,,              2429604,              2429604,              7955326,,,                 12394,                 12394,,                    447,                    447,,,                 73344,,                    200,,                  5638,,                  3006,,                  3787,                 85975,,              1174879,                996824,                129421,              2042282,,,                    666,                    666,                    666,                 64575,,,                 67068,                 67068,              2273407,             10228733,,,,,              2301729,              2301729,,              1680101,              1680101,,                113032,                113032,,                379750,                379750,,                    820,                205711,,                119096,                119096,                 49759,,                  2967,                     83,                  3928,                  6978,,,                737757,                737757,                187227,                924984,              5781960,,,                186000,                186000,,                 32547,                 24204,                 56751,                242751,              6024711,,,,              2457193,              2457193,,,                  1148,                  1148,                199110,                    327,                200585,,                475466,                  1602,,              1029363,              1029363,              1506431,,                              0,                 28770,              4135439,                 68583,              4204022,             10228733,              0,              0,      8353786,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年12月31日,,,,                191867,,                 71611,,                              0,,                210107,,                    100,                     81,,                    682,,,              2303538,              1583158,              1529989,                              0,                              0,              5416685,              5416685,,                 14372,                 14372,,              2145422,              2145422,              8050927,,,                 12394,                 12394,,                    483,                    483,,,                 74213,,                     32,,                  5754,,                  3193,,                  3874,                 87066,,              1174879,                996652,                121369,              2050162,,,                    808,                    808,                    808,                 62075,,,                 74553,                 74553,              2287541,             10338468,,,,,              2660028,              2660028,,              1535210,              1535210,,                138727,                138727,,                494407,                494407,,                    820,                141202,,                124336,                124336,                 32308,,                  2967,                  5408,                  3399,                 11774,,,                917743,                917743,                 97293,              1015036,              6153848,,,                186000,                186000,,                 37164,                 22127,                 59291,                245291,              6399139,,,,              2457193,              2457193,,,                  1148,                  1148,                199110,                    327,                200585,,                475466,                  1602,,                832165,                832165,              1309233,,                              0,                 28770,              3938241,                  1088,              3939329,             10338468,              0,              0,      8353783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年09月30日,,,,                133302,,                164522,,                              0,,                101245,,                              0,                    606,,                    825,,,                446446,              1649646,              3702560,                              0,                  7000,              5791652,              5791652,,                 35812,                 35812,,                666721,                666721,              6894685,,,                 18219,                 18219,,                    676,                    676,,,                 75083,,                     32,,                  6120,,                  3378,,                  3961,                 88574,,              1074829,                996480,                113316,              1957993,,,                    957,                    957,                    957,                 61240,,,                 74554,                 74554,              2202213,              9096898,,,,,              1407592,              1407592,,              1720150,              1720150,,                135858,                135858,,                164435,                164435,,                              0,                216528,,                438252,                438252,                  8569,,                  2731,                              0,                  1668,                  4399,,,              1188646,              1188646,                 78958,              1267604,              5363387,,,                186000,                186000,,                 38282,                 22104,                 60386,                246386,              5609773,,,,              2457193,              2457193,,,                  1148,                  1148,                199110,                    323,                200581,,                475466,                  1602,,                379971,                379971,                857039,,                              0,                 28770,              3486043,                  1082,              3487125,              9096898,              0,              0,      8353786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年06月30日,,,,                148982,,                 31997,,,,                134729,,                              0,                  1729,,                    946,,,                445770,              1648881,              3539111,                              0,                  7000,              5626762,              5626762,,                114832,                114832,,                467337,                467337,              6527314,,,                 18219,                 18219,,                    945,                    945,,,                 75952,,                     32,,                  6480,,                  3564,,                  4048,                 90076,,              1074700,                995226,                105314,              1964612,,,                    968,                    968,                    968,                 60193,,,                 74554,                 74554,              2209567,              8736881,,,,,              1011108,              1011108,,              1869470,              1869470,,                134683,                134683,,                149271,                149271,,                              0,                207487,,                447253,                447253,                  9984,,                  2731,                              0,,                  4684,,,              1088335,              1088335,                 61293,              1149628,              4983568,,,                186000,                186000,,                 38502,                 23371,                 61873,                247873,              5231441,,,,              2385624,              2457193,,,                  1148,                  1148,                199110,                    323,                200581,,                475466,                  1602,,                398283,                398283,                875351,,                              0,                 28770,              3504355,                  1085,              3505440,              8736881,              0,              0,      8100472,                  1953,,                              0,                              0,                 71569,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年03月31日,,,,                234444,,                  1078,,,,                 53271,,                              0,                    661,,                    970,,,                707039,              1647686,              3376637,                              0,                  7000,              5724362,              5724362,,                 60582,                 60582,,                398656,                398656,              6474024,,,                 18219,                 18219,,                  1000,                  1000,,,                 76821,,                     32,,                  6841,,                  3750,,                  4135,                 91579,,              1074402,                994866,                 97312,              1971956,,,                  1095,                  1095,                  1095,                 53572,,,                 74554,                 74554,              2211975,              8685999,,,,,                956572,                956572,,              2062010,              2062010,,                 90242,                 90242,,                146882,                146882,,                              0,                115610,,                 85347,                 85347,                 36030,,                  2731,                              0,                  2259,                  4990,,,              1052448,              1052448,                 66894,              1119342,              4617025,,,                186000,                186000,,                 38709,                 24026,                 62735,                248735,              4865760,,,,              2385624,              2385624,,,                  1148,                  1148,                185322,                    323,                186793,,                413407,                  1602,,                860496,                860496,              1275505,,                              0,                 28770,              3819152,                  1087,              3820239,              8685999,              0,              0,      8110472,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年12月31日,,,,,,                  5133,,,,                 43751,,                     77,                    538,,                  8026,,,              1025997,              1533443,              3256579,                 29777,                  7000,              5838796,              5838796,,                 33630,                 33630,,                276892,                276892,              6293699,,,                 18219,                 18219,,                  1042,                  1042,,,                 77514,,                     32,,                  7201,,                  3942,,                  4222,                 92911,,              1074741,                994862,                 89296,              1980307,,,                  1222,                  1222,                  1222,                 49184,,,                 74553,                 74553,              2217438,,,,,,,,              2164243,,,                 96343,,,                255792,,,                    629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8100472,,,,,,,,                 86856,                  5133,              8511137,,,,                744040,                744040,,              2164243,,                 96343,,                255792,,                    629,                  2745,,                 97211,                 97211,                 12717,,                  2731,                  2967,                              0,                  5698,,,              1056930,              1056930,                 80349,              1137279,              4516697,,,                186000,                186000,,                 38896,                 23362,                 62258,                248258,              4764955,,,,              2385624,              2385624,,,                  1148,                  1148,                185322,                    323,                186793,,                413407,                  1602,,                786435,                786435,              1201444,,,                              0,                              0,                 28770,              3745091,                  1091,              3746182,,                              0,                              0,                              0,,,,,,,,
5525,2013年09月30日,,,,,,                 30933,,                  6524,,                 42160,,                              0,                    507,,                  7786,,,                543143,              1099410,              3538792,                155693,                              0,              5337038,              5337038,,                 50550,                 50550,,                237132,                237132,              5812911,,,                 18219,                 18219,,                  1016,                  1016,,,                 78376,,                     32,,                  7570,,                  4133,,                  4309,                 94420,,              1089759,                994691,                 81408,              2003042,,,                  1306,                  1306,                  1306,                 31273,,,                 74554,                 74554,              2223830,,,,,,,,              2043860,,,                108707,,,                 98512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8110472,,,,,,,,                100281,,              8036741,,,,                689000,                689000,,              2043860,,                108707,,                 98512,,                              0,                  4310,,                242758,                242758,                  6978,,                  2712,                  1714,,                  4426,,,              1090634,              1090634,                 77513,              1168147,              4366698,,,                              0,                              0,,                 39386,                 21706,                 61092,                 61092,              4427790,,,,              2385624,              2385624,,,                  1148,                  1148,                185322,                    265,                186735,,                413407,                  1602,,                649257,                649257,              1064266,,,,                              0,                 28770,              3607855,                  1096,              3608951,,,,,,,,,,,,
5525,2013年06月30日,,,,,,                 27519,,,,                 37235,,                              0,                    705,,                  8145,,,                578110,              1441872,              2869163,                 27798,                              0,              4916943,              4916943,,                 55818,                 55818,,                588859,                588859,              5750011,,,                 18219,                 18219,,                  1157,                  1157,,,                 79238,,                     32,,                  7938,,                  4325,,                  4441,                 95974,,              1092134,                994129,                 73394,              2012869,,,                  1437,                  1437,                  1437,                 30900,,,                 90614,                 90614,              2251170,,,,,,,,                352773,,,                110313,,,                108886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      7951444,,,,,,,,                114787,,              8001181,,,,              1676090,              1676090,,                352773,,                110313,,                108886,,                              0,                  3738,,                273211,                273211,                 12277,,                  2712,                  2093,,                  4805,,,                952514,                952514,                211295,              1211811,              3753904,,,                562112,                562112,,                 39600,                 21376,                 60976,                623088,              4376992,,,,              2338847,              2385624,,,                  1148,                  1148,                185322,                    265,                186735,,                413407,                  1602,,                664492,                664492,              1079501,,,                              0,                              0,                 28770,              3623090,                  1099,              3624189,,                 48002,                 48002,                 46777,,,,,,,,
