證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 員工福利負債準備－流動,　　　　　 保固之短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 員工福利負債準備－流動,　　　　 保固之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 預收股本
2520,2015年09月30日,,,,              2991155,,                 86616,,                 53410,,              1231167,                720740,,                 35666,,                  2166,,,                 21244,,             27636193,             27657437,,                374512,,              1293331,                 26088,              1319419,             34472288,,,                  6000,,                  1404,,                  6345,,              7669439,,                624059,,                 92709,                 28350,,                 12471,                  2645,,                136023,                 40894,,                 50040,                 50040,                242073,              8670379,             43142667,,,,,             14494911,,                299887,,                310370,,              2394221,                312678,,                624028,                158871,,                 13065,                 48853,                 61918,,,              2167501,,              2000000,                142600,                 16336,              2158936,                 63307,              4389744,             23046628,,,              4750000,,              2874638,,                    446,,                 15883,                 25316,                129708,                170907,              7795991,             30842619,,,,              5037910,              5037910,,              1339600,,              4365861,,                  4098,                 71196,             10676273,              1623775,             12300048,             43142667,              0,     10625450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,2015年06月30日,,,,              3304503,,                101838,,                160624,,                944225,                768090,,                 34456,,                    670,,,                 19972,,             27237860,             27257832,,                363692,,              1111224,                 44061,              1155285,             34091215,,,                  6000,,                  1404,,                  7925,,              7677111,,                625323,,                 68272,                 28480,,                 12435,                  2646,,                112844,                 41288,,                 50047,                 50047,                219260,              8633775,             42724990,,,,,             12883499,,                299689,,                250836,,              2403054,                301356,,              1701415,                168130,,                 12998,                 49055,                 62053,,,              1994914,,              2000000,                140100,                 16336,              2156436,                 68162,              4219512,             22289544,,,              5000000,,              2992050,,                    446,,                 15883,                 26236,                136412,                178531,              8171027,             30460571,,,,              5037910,              5037910,,              1318349,,              4409375,,                   -773,                 71196,             10693665,              1570754,             12264419,             42724990,              0,     10625450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,2015年03月31日,,,,              3141448,,                111752,,                245488,,                991013,                686667,,                    362,,                    579,,,                 21670,,             26427526,             26449196,,                325690,,              1705394,                 72663,              1778057,             33730252,,,                  6000,,                  1404,,                  8685,,              7727318,,                625994,,                 63490,                 35313,,                 16124,                  2644,,                114773,                 41682,,                 50061,                 50061,                225284,              8693488,             42423740,,,,,             13008612,,                289651,,                261527,,              2306117,                179269,,                562485,                112953,,                 15717,                 50113,                 65830,,,              1749968,,              1000000,                140100,                 16336,              1156436,                 40932,              2947336,             19733780,,,              6000000,,              3006863,,                    446,,                 15883,                 24476,                134946,                175305,              9182614,             28916394,,,,              5037910,              5037910,,              1318349,,              5566895,,                  1150,                 71196,             11853108,              1654238,             13507346,             42423740,              0,     10625450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,2014年12月31日,,,,              3035933,,                 96798,,                248862,,              1159002,                544298,,                246793,,                 13676,,,                 21859,,             26010023,             26031882,,                349953,,              1611700,                 39743,              1651443,             33378640,,,                  6000,,                  1404,,                  5841,,              7803913,,                627255,,                 64037,                 33545,,                  7548,                  2971,,                115736,                 42077,,                 49936,                 49936,                218268,              8760263,             42138903,,,,,             12702112,,                179829,,                363368,,              2445252,                              0,,                660231,                 93081,,                 17071,                 50120,                 67191,,,              1860062,,              1000000,                137600,                 16336,              1153936,                 41609,              3055607,             19566671,,,              6000000,,              3016675,,                    726,,                 15426,                 22010,                141650,                179086,              9196487,             28763158,,,,              5037910,              5037910,,              1318349,,              5450600,,                  2789,                 71196,             11738452,              1637293,             13375745,             42138903,              0,     10625450,              3035933,                 13676,                  2971,             42138903,,,,             12702112,,                179829,,                363368,,              2445252,                              0,,                660231,                 93081,,                 17071,                 50120,                 67191,,,              1860062,,              1000000,                137600,                 16336,              1153936,                 41609,              3055607,             19566671,,,              6000000,,              3016675,,                    726,,                 15426,                 22010,                141650,                179086,              9196487,             28763158,,,,              5037910,              5037910,,              1318349,,              5450600,,                  2789,                 71196,             11738452,              1637293,             13375745,              0,
2520,2014年09月30日,,,,              2470846,,                100108,,                271104,,                844067,                464741,,                 31886,,                              0,,,                 26579,,             27960528,             27987107,,                383791,,              1829931,                 58469,              1888400,             34442050,,,                  6000,,                  1404,,                  7252,,              7775851,,                163435,,                 66130,                 33725,,                 34693,                              0,,                157528,                 42471,,                 49937,                 49937,                284629,              8338426,             42780476,,,,,             13583462,,                778890,,                318836,,              2010710,                 45944,,                638236,                134567,,                 11742,                 49660,                 61402,,,              2982694,,                250000,                137600,                 16336,                403936,                 64140,              3450770,             21022817,,,              6750000,,              3016488,,                              0,,                 16303,                 21581,                140184,                178068,              9944556,             30967373,,,,              5037910,              5037910,,              1318349,,              3945629,,                 -1461,                 71196,             10229231,              1583872,             11813103,             42780476,              0,     10625450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,2014年06月30日,,,,              2398978,,                103457,,                248987,,              1130399,                503456,,                 38816,,                              0,,,                 19936,,             25497001,             25516937,,                362462,,              1848452,                 56470,              1904922,             32208414,,,                  6000,,                  1404,,                  6068,,              7657959,,                163697,,                 61212,                 28520,,                 33550,                              0,,                160017,                 42865,,                 49940,                 49940,                286372,              8211232,             40419646,,,,,             11836642,,                179764,,              1073834,,              2151703,                 49663,,              1104491,                167725,,                 12281,                 51319,                 63600,,,              2465774,,                              0,                110700,                 16336,                127036,                 33259,              2626069,             19253491,,,              6000000,,              3131400,,                              0,,                 16241,                 20673,                146886,                183800,              9315200,             28568691,,,,              5037910,              5037910,,              1307823,,              4003627,,                 -5611,                 70226,             10273523,              1577432,             11850955,             40419646,              0,     10525450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,2014年03月31日,,,,              2261922,,                130216,,                183264,,              2860964,                586368,,                     55,,                              0,,,                 22678,,             24114431,             24137109,,                342559,,              1807266,                 65972,              1873238,             32375695,,,                  6000,,                  5681,,                  6162,,              7558509,,                163982,,                 61815,                 24591,,                 33200,                              0,,                156342,                 43260,,                 49946,                 49946,                282748,              8109488,             40485183,,,,,             12968332,,                360000,,                372497,,              2244772,                 44814,,                505241,                192871,,                 13119,                 49219,                 62338,,,              2165953,,                              0,                 95700,                 16336,                112036,                 41998,              2319987,             19070852,,,              6000000,,              3046213,,                              0,,                 16178,                 20160,                145422,                181760,              9227973,             28298825,,,,              5037910,              5037910,,              1307823,,              4260039,,                 -2673,                 59646,             10543453,              1642905,             12186358,             40485183,              0,      9525450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,2013年12月31日,,,,,,                161771,,                343287,,              1073502,                418156,,                 27489,,,,,                 20643,,             24875051,             24895694,,                323027,,              1679434,                 76248,              1755682,             31215807,,,                  6000,,                  5681,,                  5049,,              7600030,,                164268,,                 62795,                 22389,,                 21927,,,                 76964,                 43654,,                 49817,                 49817,                192362,              8058574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      9125450,              2217199,                              0,                              0,             39274381,,,,             12182717,,                405000,,                374753,,              2156105,                 32906,,                580024,                136312,,                 13704,                 45723,                 59427,,,              2994803,,                              0,                 95700,                 16336,                112036,                 50579,              3157418,             19084662,,,              6000000,,              3053525,,                              0,,                 16115,                 19147,                152124,                187386,              9240911,             28325573,,,,              5037910,              5037910,,              1307823,,              3082119,,                    780,                 55474,              9373158,              1575650,             10948808,              0,
2520,2013年09月30日,,,,,,                163918,,                 22693,,                610107,                422666,,                 81756,,,,,                 29635,,             25888709,             25918344,,                352005,,              1422554,                114828,              1537382,             30998782,,,                  6000,,                  5681,,                  7960,,              7704257,,                164553,,                 64175,                 21314,,                 19624,,,                 96829,                 44049,,                 49821,                 49821,                210323,              8184263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      8421450,              1889911,,,             39183045,,,,             12740351,,                350000,,                306272,,              1836256,                 23591,,                563297,                119977,,                 11037,                 39326,                 50363,,,              3790744,,                              0,                 95700,                 16336,                112036,                 73229,              3976009,             19966116,,,              6000000,,              3053338,,,,                 13363,                 23475,                150660,                187498,              9240836,             29206952,,,,              5037910,              5037910,,              1307824,,              2154909,,                    518,                 46537,              8454624,              1521469,              9976093,              0,
2520,2013年06月30日,,,,,,                162163,,                 51980,,                718000,                585298,,                 64200,,,,,                 20130,,             24833858,             24853988,,                327154,,              1497112,                 62323,              1559435,             30292959,,,                  6000,,                  5681,,                  6801,,              7750754,,                164840,,                 66420,                 16991,,                 19929,,,                 96381,                 44443,,                 49824,                 49824,                210577,              8228064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      8421450,              1970741,,,             38521023,,,,             12576151,,                600000,,                229553,,              2024971,                 41387,,              1172096,                105043,,                 10927,                 34705,                 45632,,,              3289117,,,                 88200,                 16336,                104536,                 57019,              3450672,             20245505,,,              5000000,,              3091350,,,,                 13328,                 18507,                157363,                189198,              8280548,             28526053,,,,              5037910,              5037910,,              1299487,,              2168489,,                    693,                 46537,              8460042,              1534928,              9994970,              0,
