證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 當期所得稅資產,　　　　 當期所得稅資產合計
3002,2015年09月30日,,,,                307440,,                565336,,                              0,,                 69914,,                  2916,,                  8448,,                 40276,,                 85380,,                  8513,,                226342,              1314565,,,                102546,,                215236,,                  3609,,                    291,                  5896,,                 10024,,                  3284,                 13308,                340886,              1655451,,,,,                    795,,                 28507,,                    520,,                 34341,                 34341,                  1994,                  1786,,,                 11727,                  2724,                 14451,                 82394,,,                210639,,                 28568,                    255,                 28823,                239462,                321856,,,,              1020000,              1020000,,                 14767,,                195475,                              0,,                 32027,                227502,,                 71326,                              0,              1333595,                              0,              1333595,              1655451,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,2015年06月30日,,,,                311023,,                618288,,                    178,,                 66704,,                              0,,                  7602,,                 40247,,                 84396,,                 14612,,                212978,              1356028,,,                 99813,,                213718,,                  3629,,                    325,                  4685,,                  9871,,                  2801,                 12672,                334842,              1690870,,,,,                    741,,                 30374,,                    507,,                115534,                115534,                  4044,                  2731,,,                 11718,                  2579,                 14297,                168228,,,                209131,,                 28559,                    255,                 28814,                237945,                406173,,,,              1020000,              1020000,,                 14767,,                195475,                              0,,                 26890,                222365,,                 27565,                              0,              1284697,                              0,              1284697,              1690870,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,2015年03月31日,,,,                540744,,                421862,,                     63,,                 58733,,                  1091,,                  5256,,                 40254,,                 93493,,                  7162,,                187762,              1356420,,,                 99961,,                217261,,                  3649,,                    341,                  4789,,                 10044,,                  2139,                 12183,                338184,              1694604,,,,,                    598,,                 17261,,                    204,,                 30087,                 30087,                  3751,                  8082,,,                 15151,                     69,                 15220,                 75203,,,                208834,,                 28549,                    255,                 28804,                237638,                312841,,,,              1020000,              1020000,,                 14762,,                187660,                    117,,                104914,                292691,,                 54310,                              0,              1381763,                              0,              1381763,              1694604,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,2014年12月31日,,,,                522206,,                400864,,                              0,,                 91790,,                  5784,,                  3615,,                 40264,,                109262,,                 12143,,                188978,              1374906,,,                101659,,                220041,,                  3670,,                    367,                  4284,,                 10275,,                  2703,                 12978,                342999,              1717905,,,,,                  1884,,                 45857,,                    551,,                 38677,                 38677,                  3798,                  7814,,,                 13773,                     89,                 13862,                112443,,,                208288,,                 28535,                    255,                 28790,                237078,                349521,,,,              1020000,              1020000,,                 14762,,                187660,                    117,,                 92729,                280506,,                 53116,                              0,              1368384,                              0,              1368384,              1717905,              0,              0,              0,,                              0,                522206,              1717905,,,,                              0,,                  1884,,                 45857,,                    551,,                 38677,                 38677,                  3798,                  7814,,,                 13773,                     89,                 13862,                112443,,,                208288,,                 28535,                    255,                 28790,                237078,                349521,,,,              1020000,              1020000,,                 14762,,                187660,                    117,,                 92729,                280506,,                 53116,                              0,              1368384,                              0,              1368384,,,,,,
3002,2014年09月30日,,,,                579111,,                335883,,                     68,,                 62423,,                  6229,,                  3443,,                 40339,,                 89156,,                  6309,,                165252,              1288213,,,                 97716,,                217027,,                  3690,,                    404,                  3475,,                  9899,,                  2404,                 12303,                334615,              1622828,,,,,                    680,,                 32991,,                    497,,                 38277,                 38277,                  3486,                  5311,,,                 12532,                  2571,                 15103,                 96345,,,                206501,,                 27624,                    255,                 27879,                234380,                330725,,,,              1020000,              1020000,,                 14762,,                187660,                    117,,                 80735,                268512,,                -11171,                              0,              1292103,                              0,              1292103,              1622828,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,2014年06月30日,,,,                570251,,                412243,,                              0,,                 79981,,                    594,,                  2803,,                 40336,,                 78881,,                  4620,,                164271,              1353980,,,                 97182,,                217415,,                  3710,,                    380,                  3478,,                  9793,,                  1201,                 10994,                333159,              1687139,,,,,                    611,,                 23200,,                    338,,                137747,                137747,                  3395,                  5484,,,                 10436,                  2660,                 13096,                183950,,,                205967,,                 27601,                    255,                 27856,                233823,                417773,,,,              1020000,              1020000,,                 15032,,                187660,                    117,,                 59128,                246905,,                -12571,                              0,              1269366,                              0,              1269366,              1687139,              0,              0,              0,,                     79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,2014年03月31日,,,,                520519,,                425469,,                              0,,                 72634,,                  2491,,                 47505,,                 40325,,                 89914,,                  7269,,                168147,              1374273,,,                 96743,,                222430,,                  3731,,                    415,                  3962,,                 10070,,                  1993,                 12063,                339344,              1713617,,,,,                    861,,                 33851,,                    227,,                 34494,                 34494,                  3369,                  4566,,,                 11217,                  2562,                 13779,                 91937,,,                204514,,                 27585,                    255,                 27840,                232354,                324291,,,,              1020000,              1020000,,                 15204,,                186650,                108659,,                 44155,                339464,,                 14658,                              0,              1389326,                              0,              1389326,              1713617,              0,              0,              0,,                    790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,2013年12月31日,,,,,,                438915,,                    897,,                 73245,,                              0,,                  4570,,                 40275,,                113874,,                 10297,,                160975,              1346040,,,                 93400,,                221796,,                  3751,,                    449,                  3574,,                 10015,,                  2929,                 12944,                335914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                502992,              1681954,,,,                    962,,                  1701,,                 46309,,                    712,,                 44277,                 44277,                  2820,                  1370,,,                 12972,                     79,                 13051,                111202,,,                202727,,                 27566,                    255,                 27821,                230548,                341750,,,,              1020000,              1020000,,                 14911,,                186650,                108659,,                 10099,                305408,,                   -115,                              0,              1340204,                              0,              1340204,,                              0,,                              0,,                              0
3002,2013年09月30日,,,,,,                422840,,                              0,,                 76610,,                  2488,,                  3191,,                 35236,,                 99618,,                  5289,,                141966,              1287401,,,                 92328,,                220186,,                  3771,,                    483,                  3035,,                  9928,,                  3614,                 13542,                333345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                466107,              1620746,,,,                  1116,,                    912,,                 33253,,                    391,,                 33580,                 33580,                  2267,                  2200,,,                 12065,                    204,                 12269,                 85988,,,                202200,,                 27162,                    255,                 27417,                229617,                315605,,,,              1020000,              1020000,,                 15082,,                186650,                108659,,                  2719,                298028,,                -27969,                              0,              1305141,                              0,              1305141,,                 34056,,,,
3002,2013年06月30日,,,,,,                501373,,                              0,,                 60615,,                  2620,,                  3751,,                 35248,,                 84265,,                  4774,,                154119,              1323729,,,                 91814,,                223127,,                  3791,,                    261,                  3498,,                 10098,,                  2491,                 12589,                335080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                476964,              1658809,,,,                    883,,                  5326,,                 40859,,                    367,,                 72311,                 72311,                  2124,                  1868,,,                 13508,                    202,                 13710,                137589,,,                200591,,                 27141,                    255,                 27396,                227987,                365576,,,,              1020000,              1020000,,                 14553,,                186650,                108659,,                -16600,                278709,,                -20029,                              0,              1293233,                              0,              1293233,,,,                    141,,
