證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 應付票據,　　　　　 應付票據合計,　　　　　 其他應付款－其他,　　　　　 除役、復原及修復成本之長期負債準備,　　　　　 存入保證金,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 除役、復原及修復成本之長期負債準備,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　 其他應付款－其他,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 應付股利,　　　　 其他流動資產－其他,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 工程存出保證金
4956,2015年06月30日,,,,                191830,,                418929,,                269451,,                483239,,                  1565,,                409129,,                 84230,,                     79,              1858452,,,                  1300,,              1120566,,                  5439,                 10173,,                 96727,                  7845,                104572,              1242050,              3100502,,,,,                  8635,,                 19850,,                138814,,                173077,                  8917,,,                457263,                 67000,                524263,                  1433,                525696,                874989,,,                              0,,                164709,                164709,,                  4357,,                    553,,                 23390,                193009,              1067998,,,,              1004082,              1004082,,                389303,,                 76543,,                562201,                638744,,                    375,              2032504,              2032504,              3100502,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4956,2015年03月31日,,,,                175684,,                393119,,                211426,,                557717,,                  3550,,                419713,,                103659,,                     51,              1864919,,,                  1300,,              1088535,,                  5584,                 21511,,                139075,                  7837,                146912,              1263842,              3128761,,,,,                 33828,,                 12600,,                129873,,                122550,                 17684,,,,,                 74500,                  1972,                 76472,                393007,,,                454715,,,                179583,,                  4326,,                  1726,,                 23390,                663740,              1056747,,,,              1004082,              1004082,,                439507,,                 65003,,                562906,                627909,,                    516,              2072014,              2072014,              3128761,              0,              0,,                              0,,                419713,,                              0,                122550,                  4326,                 23390,,                401234,                    851,                 37422,,                    516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4956,2014年12月31日,,,,                333184,,                405230,,                279483,,                403602,,                  2733,,                427124,,                108933,,                     31,              1960320,,,                  1300,,              1121684,,                  5873,                 22966,,                134228,                  7788,                142016,              1293839,              3254159,,,,,                149668,,                 13350,,                157522,,                144967,                 14870,,,                              0,                 73500,                 73500,                    940,                 74440,                554817,,,                452209,,                159750,                159750,,                  4295,,                  3492,,                 23390,                643136,              1197953,,,,              1004082,              1004082,,                439507,,                 65003,,                546983,                611986,,                    631,              2056206,              2056206,              3254159,              0,              0,,                              0,,                427124,,                              0,                144967,                  4295,                 23390,,                401234,                    851,                 37422,,                    631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4956,2014年09月30日,,,,,,,,                400359,,                386219,,                  1400,,                364363,,                 96775,,                     22,              1924242,,,,,              1122512,,                  6421,                 21815,,                133766,                  7466,                141232,              1293280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,,,,,,,,                283304,                391800,                  1300,              3217522,,,,                 72632,,                 13500,,                              0,,                205938,,                141585,                 12298,,,,                219300,                  1943,                221243,                667196,,,                449661,,,                              0,,                  4264,                  4264,,                  1108,,                 65418,                 65418,                520451,              1187647,,,,              1004082,              1004082,,                439507,,                 65003,,                521001,                586004,,                    282,              2029875,              2029875,              0,                141585,,                401234,                    851,                 37422,,                    282,,,,,
4956,2014年06月30日,,,,                379424,,                481800,,                452272,,                359251,,                  1970,,                318570,,                 89219,,                     60,              2082566,,,                  1300,,              1166110,,                  6327,                 21563,,                 49883,                  4489,                 54372,              1249672,              3332238,,,,,                155000,,                 10600,,                217207,,                171947,                  7728,,,                              0,                255248,                255248,                  1264,                256512,                818994,,,                447128,,                 62316,                 62316,,                  4233,,                    793,,                              0,                514470,              1333464,,,,              1004082,              1004082,,                439507,,                 65003,,                490171,                555174,,                     11,              1998774,              1998774,              3332238,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4956,2014年03月31日,,,,                185589,,                390800,,                315763,,                370645,,                    926,,                300601,,                 81379,,                     30,              1646485,,,                  1300,,              1125414,,                  4044,                 21695,,                129272,                  4478,                133750,              1286203,              2932688,,,,,                205000,,                              0,,                179512,,                107654,                 11031,,,,,                292686,                    695,                293381,                796740,,,                              0,,,                153803,,                  4202,,                    295,,                              0,                158300,                955040,,,,              1004082,              1004082,,                452289,,                 58956,,                462139,                521095,,                    182,              1977648,              1977648,              2932688,              0,              0,,                    752,,                300601,,                    162,                107654,                  4202,                              0,,                451438,                    851,                              0,,                    182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4956,2013年12月31日,,,,,,,,                361980,,                259084,,                  1081,,                276975,,                 68822,,                     39,              1651191,,,,,              1179069,,                  4794,                 21418,,                125683,                  4480,                130163,              1336744,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,,,,,,,,                292410,                390800,                  1300,              2987935,,,,                275237,,                              0,,                     68,,                189580,,                104734,                  7710,,,                261267,                261267,                    606,                261873,                839202,,,                              0,,                191180,                191180,,                  4171,                  4171,,                    201,,                              0,                              0,                195552,              1034754,,,,              1004082,              1004082,,                452289,,                 58956,,                437631,                496587,,                    223,              1953181,              1953181,              0,                104734,,                451438,                    851,                              0,,                    223,                              0,,,,
4956,2013年09月30日,,,,,,,,                362282,,                271841,,                 15178,,                259798,,                 47252,,                     12,              1660285,,,,,              1237032,,                  4862,                 20828,,                 91270,                  4710,                 95980,              1360002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,,,,,,,,                313122,                390800,                  1300,              3020287,,,,                316869,,                              0,,                    100,,                169618,,                103433,                  5277,,,,                115549,                    602,                116151,                711448,,,                              0,,,                372090,,                  4140,                  4140,,                    302,,                              0,                              0,                376532,              1087980,,,,              1004082,              1004082,,                452289,,                 58956,,                416909,                475865,,                     71,              1932307,              1932307,              0,                103433,,                451438,                    851,                              0,,                     71,,,,,
4956,2013年06月30日,,,,,,,,                329963,,                320351,,                 11630,,                236363,,                 37230,,                     40,              1621542,,,,,              1273494,,                  5637,                 20846,,                 58894,                  4734,                 63628,              1364905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,,,,,,,,                295165,                390800,                  1300,              2986447,,,,                281244,,                              0,,                    400,,                145976,,                174396,                  2585,,,,                112189,                    414,                112603,                717204,,,                              0,,,                350400,,                  4109,                  4109,,                    571,,,,                355080,              1072284,,,,              1004082,              1004082,,                452289,,                 58956,,                398660,                457616,,                    176,              1914163,              1914163,              0,                114151,,                451438,                    851,                              0,,                    176,                 60245,,,,
4956,2013年03月31日,,,,,,,,                354498,,                280125,,                 12785,,                255909,,                 40020,,                     48,              1432016,,,,,              1321540,,                  5787,                 22161,,                 28546,                  4263,                 32809,              1383597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,,                255909,,,,,,,,,,,,                 97831,                390800,                  1300,              2815613,,,,                 92044,,,,                    900,,                152279,,                107837,                 11288,,,,                115282,                    700,                115982,                480330,,,,,,                369844,,                  4078,                  4078,,                    400,,,,                374322,                854652,,,,              1004082,              1004082,,                512534,,                 50412,,                393923,                444335,,                     10,              1960961,              1960961,,                107837,,                511683,                    851,,,                     10,,                     48,,,
