證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　　　 特別盈餘公積,　　　 共同控制下前手權益,　　　 非控制權益,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 銷貨退回及折讓之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 無活絡市場之債券投資－流動淨額,　　　　 法定盈餘公積,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 應付公司債,　　　　 應付公司債合計,　　　 應付票據,　　　　 應付票據合計,　　　 庫藏股票,　　 非控制權益
3584,2015年09月30日,,,,                969815,,                    369,,                 18678,,                797343,,                 69402,,                328102,,                226403,              2410112,,,              3181426,,                  4134,                113605,,                  1091,                 90425,,                 32112,                123628,              3422793,              5832905,,,,,              2771200,,              1216310,,                259323,                259323,,                    187,,,                381090,                381090,                  7704,                388794,              4635814,,,                244156,,                  1220,,                    304,                    304,                245680,              4881494,,,,              1406682,              1406682,,                725333,,,             -1181597,             -1181597,,                    993,                951411,                951411,              5832905,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,2015年06月30日,,,,              1242966,,                    345,,                 43745,,              1249207,,                 63241,,                344532,,                151930,              3095966,,,              3257108,,                  5038,                117064,,                  3161,                 88808,,                 31803,                123772,              3502982,              6598948,,,,,              2752746,,              1562660,,                265933,                265933,,                 14880,,,                365197,                365197,                  6393,                371590,              4967809,,,                264346,,                  4520,,                    304,                    304,                269170,              5236979,,,,              1406682,              1406682,,                725333,,,               -758166,               -758166,,                -11880,              1361969,              1361969,              6598948,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,2015年03月31日,,,,              1588806,,                    337,,                236160,,              1037636,,                 63686,,                424525,,                130788,              3481938,,,              3409414,,                  6397,                135802,,                  1363,                 90132,,                 31316,                122811,              3674424,              7156362,,,,,              2806931,,              1403398,,                279705,                279705,,                 33128,,,                571643,                571643,                  8136,                579779,              5102941,,,                331450,,                  4833,,                    303,                    303,                336586,              5439527,,,,              1406682,              1406682,,              1198674,,,               -863801,               -863801,,                -24720,              1716835,              1716835,              7156362,              0,              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,2014年12月31日,,,,              1988655,,                    385,,                 12000,,              2467779,,                 87672,,                486573,,                165420,              5208484,,,              3571943,,                  7740,                138807,,                  1463,                 91970,,                 31526,                124959,              3843449,              9051933,,,,,              2969565,,              2555050,,                427669,                427669,,                 34225,,,                557559,                557559,                 13957,                571516,              6558025,,,                386102,,                  6579,,                    304,                    304,                392985,              6951010,,,,              1376682,              1376682,,              1228674,,,               -473341,               -473341,,                -31092,              2100923,              2100923,              9051933,              0,              0,,                              0,                              0,                              0,                              0,              1988655,,                              0,,                              0,              9051933,,,,              2969565,,              2555050,,                427669,                427669,,                 34225,                 34225,,,                557559,                557559,                 13957,                571516,              6558025,,,                386102,,                  6579,,                    304,                    304,                392985,              6951010,,,,              1376682,              1376682,,              1228674,,                              0,,               -473341,               -473341,,                -31092,              2100923,              2100923,              0,,,,,,,,,,,,,,,
3584,2014年09月30日,,,,              2092264,,                    386,,                142986,,              2828658,,                129343,,                878225,,                216612,              6288474,,,              3599543,,                  8597,                138839,,                  5026,                 88377,,                 33803,                127206,              3874185,             10162659,,,,,              3233860,,              3120452,,                537145,                537145,,                              0,,,                623062,                623062,                 17487,                640549,              7532006,,,                563191,,                  6992,,                    303,                    303,                570486,              8102492,,,,              1376682,              1376682,,              1177974,,,               -494460,               -494460,,                    -29,              2060167,              2060167,             10162659,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,2014年06月30日,,,,              1692962,,                    408,,                111826,,              2583113,,                 89686,,                912093,,                239736,              5629824,,,              3660468,,                 10252,                139523,,                 30256,                 87215,,                 33783,                151254,              3961497,              9591321,,,,,              2964848,,              2936263,,                440407,                440407,,                              0,,,                627049,                627049,                 16561,                643610,              6985128,,,                580582,,                  2093,,                    304,                    304,                582979,              7568107,,,,              1376682,              1376682,,              1177974,,,               -526548,               -526548,,                 -4894,              2023214,              2023214,              9591321,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,2014年03月31日,,,,              1945716,,                    419,,                  5943,,              1213621,,                 63848,,                615473,,                204441,              4054414,,,              3284267,,                 11885,                150132,,                473635,                 90039,,                 33690,                597364,              4043648,              8098062,,,,,              2737035,,              1312635,,                307831,                307831,,                              0,,,                635938,                635938,                 15479,                651417,              5008918,,,                849391,,                  5558,,                    334,                    334,                855283,              5864201,,,,              1376682,              1376682,,              1519928,,,               -708760,               -663717,,                    968,              2233861,              2233861,              8098062,              0,              0,,                  4953,                 45043,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,2013年12月31日,,,,,,                    411,,                  2564,,              1220077,,                 29114,,                359160,,                198001,              3580669,,,              3266125,,                 13566,                156122,,                556491,                 69059,,                 57791,                683341,              4124107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              1771146,,                    196,,                  4953,              7704776,,,,              2609934,,                979234,,                357648,                357648,,                              0,                              0,,,                571591,                571591,                 19031,                590622,              4537438,,,                614848,,                  5405,,                    334,                    334,                620587,              5158025,,,,              1376682,              1376682,,              1518445,,                 45043,,               -386997,               -341954,,                 -6422,              2546751,              2546751,              0,,                              0,                              0,                              0,                              0,,,,,,,,,,
3584,2013年09月30日,,,,,,                    399,,                  8079,,              1524939,,                 40333,,                530902,,                126457,              4290939,,,              3233443,,                 14792,                167551,,                420075,                 66065,,                 31714,                517854,              3938593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              2059830,,                              0,,                  4953,              8229532,,,,              2586808,,              1086117,,                392136,                392136,,,,,,                527929,                527929,                 21998,                549927,              4614988,,,                893901,,                    957,,                    333,                    333,                895191,              5510179,,,,              1376682,              1376682,,              1517235,,                 45043,,               -205940,               -160897,,                -13667,              2719353,              2719353,              0,,,,,,,,,,,,,,,
3584,2013年06月30日,,,,,,                    391,,                  7765,,              2558180,,                 98075,,              1036000,,                154003,              5864263,,,              3194563,,                 16982,                173264,,                417809,                 66988,,                 32375,                517172,              3906934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              2009849,,                              0,,                  4953,              9771197,,,,              2588728,,              2357504,,                467636,                467636,,,,,,                534203,                540135,                 29254,                569389,              5984375,,,                925382,,                  5824,,                    426,                    426,                931632,              6916007,,,,              1376526,              1376526,,              1514783,,                 45043,,                -73575,                -28532,,                 -7587,              2855190,              2855190,              0,,                  1118,                  5932,,,,,,,,,,,,
