證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 持有供交易之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 機器設備淨額,　　　　 試驗設備淨額,　　　　　 試驗設備成本,　　　　　 試驗設備淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 持有供交易金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 其他應付費用,　　　　　 應付設備款,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－所得稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 持有供交易金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付薪資,　　　　 其他應付費用,　　　　 應付設備款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　 應付股利,　　　　 待分配股票股利,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額
5234,2015年09月30日,,,,                138634,                138634,,                              0,                              0,,                188171,                188171,,                975598,                975598,,,                188347,                188347,                188347,,                555895,                 33683,                589578,              2080328,,,,                911216,                911216,,                156081,                156081,,                 35911,                 35911,,                 24484,                 24484,                 34583,              1162275,,,                  3022,                  3022,                  3022,                  4984,,                  2457,,                 13050,                 13050,,                  1493,                  1493,                 17000,              1187281,              3267609,,,,,                 40000,                 40000,,                  1940,                  1940,,                695910,                695910,,                 29875,                 29875,,                139844,                 79326,                 57822,                              0,                276992,                  8791,,,                136000,                136000,                136000,              1189508,,,                176500,                176500,,                    738,                    738,,                    180,                    180,                177418,              1366926,,,,                933781,                              0,                933781,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                172560,                  1619,,                542419,                209963,                752382,                926561,,,                 -1473,                 -1473,                 -1473,              1900683,              1900683,              3267609,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234,2015年06月30日,,,,                306336,                306336,,                    170,                    170,,                194338,                194338,,                947031,                947031,,,                185166,                185166,                185166,,                485857,                 23492,                509349,              2142390,,,,                915495,                915495,,                134860,                134860,,                 40319,                 40319,,                 20146,                 20146,                 43740,              1154560,,,                    847,                    847,                    847,                  4984,,                  2446,,                 13050,                 13050,,                  1736,                  1736,                 17232,              1177623,              3320013,,,,,                              0,                              0,,                    191,                    191,,                656050,                656050,,                 21365,                 21365,,                173952,                 72382,                 92733,                205432,                544499,                 21965,,,                120200,                120200,                120200,              1364270,,,                120800,                120800,,                    738,                    738,,                    180,                    180,                121718,              1485988,,,,                933781,                              0,                933781,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                172560,                  1619,,                542419,                143631,                686050,                860229,,,                 -1799,                 -1799,                 -1799,              1834025,              1834025,              3320013,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234,2015年03月31日,,,,                276286,                276286,,                    371,                    371,,                196830,                196830,,                954703,                954703,,,                211019,                211019,                211019,,                415232,                 34765,                449997,              2089206,,,,                931538,                931538,,                136595,                136595,,                 41450,                 41450,,                 20442,                 20442,                 40908,              1170933,,,                    602,                    602,                    602,                  4984,,                  2145,,                 13050,                 13050,,                  2063,                  2063,                 17258,              1193777,              3282983,,,,,                              0,                              0,,                     20,                     20,,                654589,                654589,,                 26267,                 26267,,                138225,                 77723,                 95546,,                311494,                 28113,,,                112500,                112500,                112500,              1132983,,,                172500,                172500,,                    738,                    738,,                    159,                    159,                173397,              1306380,,,,                933781,,                933781,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                142176,                  1327,,                778527,                 80651,                859178,              1002681,,,                 -1673,                 -1673,                 -1673,              1976603,              1976603,              3282983,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234,2014年12月31日,,,,                205526,                205526,,                              0,                              0,,                215086,                215086,,                978497,                978497,,,                224331,                224331,                224331,,                490225,                 20754,                510979,              2134419,,,,                450453,                450453,,                110178,                110178,,                 46043,                 46043,,                 21676,                 21676,                459026,              1087376,,,                    756,                    756,                    756,                  4984,,                  1991,,                 15050,                 15050,,                  2390,                  2390,                 19431,              1112547,              3246966,,,,,                 55000,                 55000,,                  1442,                  1442,,                691651,                691651,,                 29887,                 29887,,                176007,                 73244,                 21552,                              0,                270803,                 16273,,,                105000,                105000,                105000,              1170056,,,                180000,                180000,,                    738,                    738,,                    166,                    166,                180904,              1350960,,,,                933781,                              0,                933781,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                142176,                  1327,,                474683,                303844,                778527,                922030,,,                 -1619,                 -1619,                 -1619,              1896006,              1896006,              3246966,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234,2014年09月30日,,,,                148168,                148168,,                              0,                              0,,                232789,                232789,,                922532,                922532,,,                197095,                197095,                197095,,                530651,                 36983,                567634,              2068218,,,,                460976,                460976,,                111510,                111510,,                 49180,                 49180,,                 22118,                 22118,                430628,              1074412,,,                    959,                    959,                    959,                  5333,,                  4631,,                 15050,                 15050,,                  1107,                  1107,                 20788,              1101492,              3169710,,,,,                 55000,                 55000,,                  1287,                  1287,,                681492,                681492,,                 19371,                 19371,,                128620,                 82937,                 31066,                              0,                242623,                  2956,,,                138400,                138400,                138400,              1141129,,,                232500,                232500,,                    165,                    165,,                    144,                    144,                232809,              1373938,,,,                933781,                              0,                933781,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                142176,                  1327,,                474683,                203403,                678086,                821589,,,                 -1412,                 -1412,                 -1412,              1795772,              1795772,              3169710,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234,2014年06月30日,,,,                 80019,                 80019,,                    241,                    241,,                199790,                199790,,                876775,                876775,,,                191120,                191120,                191120,,                650392,                 27058,                677450,              2025395,,,,                464119,                464119,,                 90341,                 90341,,                 52751,                 52751,,                 25625,                 25625,                405561,              1038397,,,                    992,                    992,                    992,                  5333,,                  4639,,                 15050,                 15050,,                    951,                    951,                 20640,              1065362,              3090757,,,,,                              0,                              0,,                      8,                      8,,                592913,                592913,,                 14955,                 14955,,                173693,                 77347,                109315,                266794,                627149,                 17756,,,                 47150,                 47150,                 47150,              1299931,,,                 72500,                 72500,,                    165,                    165,,                    165,                    165,                 72830,              1372761,,,,                889315,                 44466,                933781,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                142176,                  1327,,                474683,                125383,                600066,                743569,,,                 -1168,                 -1168,                 -1168,              1717996,              1717996,              3090757,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234,2014年03月31日,,,,                178913,                178913,,                      8,                      8,,                185885,                185885,,                904721,                904721,,,                211061,                211061,                211061,,                671406,                 41622,                713028,              2193616,,,,                472027,                472027,,                 85140,                 85140,,                 58903,                 58903,,                 30183,                 30183,                194273,                840526,,,                  1057,                  1057,                  1057,                  5333,,                  4632,,                 13500,                 13500,,                  1488,                  1488,                 19620,                866536,              3060152,,,,,                              0,                              0,,                    735,                    735,,                629262,                629262,,                 22007,                 22007,,                143618,                 69729,                 96955,,                310302,                 69404,,,                 88050,                 88050,                 88050,              1119760,,,                 15625,                 15625,,                    165,                    165,,                    174,                    174,                 15964,              1135724,,,,                889315,,                889315,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                101091,                    560,,                827795,                 65001,                892796,                994447,,,                 -1148,                 -1148,                 -1148,              1924428,              1924428,              3060152,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234,2013年12月31日,,,,                330124,,,                     34,                     34,,                235670,                235670,,                943462,                943462,,,                186070,                186070,                186070,,                490259,                 30469,                520728,              2216088,,,,                482173,                482173,,                 89115,                 89115,,                 65123,                 65123,,                 32945,                 32945,                100460,                769816,,,                  1366,                  1366,                  1366,                  5333,,                  2477,,                  5100,                  5100,,                  2323,                  2323,                  9900,                786415,,,,,,,,,,,                648057,,,                 16948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                330124,              3002503,,,,                              0,                              0,,                    845,                    845,,                648057,,                 16948,,                202948,                 68481,                 41781,                313210,                 60184,,,                 88050,                 88050,                 88050,              1127294,,,                 15625,                 15625,,                    165,                    165,,                    171,                    171,                 15961,              1143255,,,,                889315,                889315,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                101091,                    560,,                416948,                410847,                827795,                929446,,,                 -1327,                 -1327,                 -1327,              1859248,              1859248,              0,                              0,                              0,,,
5234,2013年09月30日,,,,                407813,,,                    755,                    755,,                280772,                280772,,                915478,                915478,,,                171392,                171392,                171392,,                335979,                 44642,                380621,              2156831,,,,                489046,                489046,,                 84018,                 84018,,                 70756,                 70756,,                 35488,                 35488,                 58009,                737317,,,                  1727,                  1727,                  1727,                  3640,,                  2036,,                  5100,                  5100,,                    928,                    928,                  8064,                750748,,,,,,,,,,,                646663,,,                 19398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                407813,              2907579,,,,                              0,                              0,,                     24,                     24,,                646663,,                 19398,,                153232,                 81840,                 68733,                303805,                 43372,,,                 88050,                 88050,                 88050,              1101312,,,                 59650,                 59650,,                              0,                              0,,                    177,                    177,                 59827,              1161139,,,,                889315,                889315,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                101091,                    560,,                416948,                297771,                714719,                816370,,,                 -1059,                 -1059,                 -1059,              1746440,              1746440,              0,,,,,
5234,2013年06月30日,,,,                619496,,,                      1,                      1,,                298846,                298846,,                930724,                930724,,,                170041,                170041,                170041,,                326076,                 41875,                367951,              2387059,,,,                473342,                473342,,                 79992,                 79992,,                 75674,                 75674,,                 40710,                 40710,                 71660,                741378,,,                    964,                    964,                    964,                  3640,,                  2036,,                  5100,                  5100,,                  1064,                  1064,                  8200,                754182,,,,,,,,,,,                653239,,,                 34512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                619496,              3141241,,,,,,,                    790,                    790,,                653239,,                 34512,,                176405,                 84484,                 59117,                586801,                 30338,,,                108050,                108050,                108050,              1413730,,,                 79650,                 79650,,                              0,                              0,,                    174,                    174,                 79824,              1493554,,,,                889315,                889315,,,                 29826,                 29826,                 10666,                  1322,                 41814,,                101091,                    560,,                416948,                198997,                615945,                717596,,,                 -1038,                 -1038,                 -1038,              1647687,              1647687,              0,                266795,                              0,,,
