證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 法定盈餘公積
2314,2015年09月30日,,,,              1339888,,                              0,,                  2411,,              1028956,,                 45128,,                 51505,,                              0,,              1252391,,                 48433,,                 60152,              3828864,,,                240786,,                              0,,                665132,,                312790,                488462,,                 41264,              1748434,              5577298,,,,,              1674157,,                     69,,              1184652,,                319948,                  4222,,                 29527,,                 39991,              3252566,,,                              0,,                  1925,,                124049,,                185608,                311582,              3564148,,,,              4006452,              4006452,,,                487144,                 78661,                              0,                565805,,,             -2664124,             -2664124,,,                104909,                104909,              2013042,                    108,              2013150,              5577298,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,2015年06月30日,,,,              1093647,,                  2166,,                  9060,,                761436,,                              0,,                 87249,,                              0,,              1362849,,                 33244,,                188208,              3855304,,,                226796,,                              0,,                668173,,                318307,                488082,,                 40401,              1741759,              5597063,,,,,              1865962,,                  1632,,              1098993,,                331684,                  5460,,                 28916,,                149263,              3481910,,,                              0,,                  5482,,                112929,,                195444,                313855,              3795765,,,,              3352858,              3352858,,,                240738,                 78661,                900000,              1219399,,,             -2808891,             -2808891,,,                 37827,                 37827,              1801193,                    105,              1801298,              5597063,              0,              0,              0,,                317445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,2015年03月31日,,,,              1288355,,                  1108,,                 12221,,                837845,,                     25,,                 85842,,                              0,,              1340884,,                 38350,,                188923,              3793553,,,                229859,,                              0,,              1013047,,                332793,                490107,,                 43201,              2109007,              5902560,,,,,              1856301,,                  5234,,              1231487,,                371153,                  4400,,                 35011,,                104336,              3608481,,,                              0,,                  6677,,                120163,,                219408,                346248,              3954729,,,,              3352858,              3352858,,,                240738,                 78661,                900000,              1219399,,,             -2679317,             -2679317,,,                 54786,                 54786,              1947726,                    105,              1947831,              5902560,              0,              0,              0,,,,                    559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,2014年12月31日,,,,              1364924,,                 15291,,                 10739,,                930168,,                  3562,,                 79227,,                              0,,              1484172,,                 51062,,                 58195,              3997340,,,                232295,,                              0,,              1043642,,                351544,                493531,,                 44737,              2165749,              6163089,,,,,              1853286,,                              0,,              1320327,,                496155,                  3973,,                 37124,,                118584,              3829449,,,                              0,,                 12438,,                123492,,                231939,                367869,              4197318,,,,              3352858,              3352858,,,                240738,                 78661,                900000,              1219399,,,             -2684678,             -2684678,,,                 78081,                 78081,              1965660,                    111,              1965771,              6163089,              0,              0,              0,,                              0,,,              1364924,              6163089,,,,              1853286,,                              0,,              1319967,,                    360,,                496155,                  3973,,                 37124,,                118584,              3829449,,,                              0,,                 12438,,                123492,,                190010,                325940,              4155389,,,,              3352858,              3352858,,,                240738,                 78661,                900000,              1219399,,,             -2642749,             -2642749,,,                 78081,                 78081,              2007589,                    111,              2007700,
2314,2014年09月30日,,,,              1184179,,                 14037,,                  8762,,                971190,,                  3394,,                 95008,,                  1574,,              1455740,,                 39020,,                 58374,              3831278,,,                284302,,                              0,,              1024207,,                362568,                494914,,                 43952,              2209943,              6041221,,,,,              1707971,,                    194,,              1185654,,                479206,                 14815,,                 52240,,                194807,              3634887,,,                              0,,                              0,,                111149,,                232424,                343573,              3978460,,,,              3352858,              3352858,,,                240738,                 78253,                900000,              1218991,,,             -2518576,             -2518576,,,                 11168,                 11168,              2064441,                 -1680,              2062761,              6041221,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,2014年06月30日,,,,              1290228,,                  4540,,                 15291,,                883853,,                  1899,,                 52332,,                  1958,,              1459165,,                 42905,,                 61687,              3813858,,,                285307,,                              0,,                895626,,                370148,                490603,,                 45989,              2087673,              5901531,,,,,              1715177,,                  1929,,              1183189,,                320045,                  4051,,                 47385,,                181126,              3452902,,,                              0,,                              0,,                113697,,                231422,                345119,              3798021,,,,              3352858,              3352858,,,                240738,                 77846,                900000,              1218584,,,             -2449444,             -2449444,,,                -16707,                -16707,              2105291,                 -1781,              2103510,              5901531,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,2014年03月31日,,,,              1437758,,                  9199,,                 32235,,                683180,,                  4996,,                168610,,                  5673,,              1570512,,                 28789,,                 63426,              4004378,,,                290844,,                 34699,,                902434,,                400353,                500683,,                 47664,              2176677,              6181055,,,,,              1433949,,                    254,,              1512466,,                315325,                  5557,,                 46067,,                162713,              3477652,,,                 71400,,                              0,,                122910,,                232702,                427012,              3904664,,,,              3352858,              3352858,,,                240738,                 77438,                900000,              1218176,,,             -2313558,             -2313558,,,                 18939,                 18939,              2276415,                    -24,              2276391,              6181055,              0,              0,              0,,,,                  1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,2014年01月01日,,,,              1515758,,                  9054,,                 55854,,                694778,,                 30397,,                 99224,,                  5549,,              1401584,,                 46341,,                 62169,              3920708,,,                284758,,                 33942,,                960532,,                423333,                503515,,                 49033,              2255113,              6175821,,,,,              1429054,,                  3274,,              1312679,,                381867,                 12534,,                 41032,,                160166,              3340606,,,                 71400,,                              0,,                116837,,                235250,                423487,              3764093,,,,              3352858,              3352858,,,                240738,                 77030,                900000,              1217768,,,             -2152647,             -2152647,,,                 -8120,                 -8120,              2409859,                  1869,              2411728,              6175821,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,2013年12月31日,,,,,,                  9054,,                 55854,,                694778,,                 30397,,                 99224,,                  5549,,              1401584,,                 46341,,                 62169,              3920708,,,                284758,,                 33942,,                960532,,                423333,                503515,,                 49033,              2255113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1515758,              6175821,,,,              1429054,,                  3274,,              1312679,,                              0,,                381867,                 12534,,                 41032,,                160166,              3340606,,,                 71400,,                              0,,                116837,,                188081,                376318,              3716924,,,,              3352858,              3352858,,,                240738,                 77030,                900000,              1217768,,,             -2105478,             -2105478,,,                 -8120,                 -8120,              2457028,                  1869,              2458897,
2314,2013年09月30日,,,,,,                  5058,,                  9947,,              1107377,,                    459,,                110689,,                  2606,,              1486608,,                 42207,,                 60399,              4325721,,,                282607,,                 31483,,                994419,,                540724,                512159,,                 47498,              2408890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1500371,              6734611,,,,              1616025,,                  5628,,              1235505,,,,                379073,                  2437,,                 40314,,                194119,              3473101,,,                142800,,,,                123537,,                219494,                485831,              3958932,,,,              3352858,              3352858,,,                240738,                 75219,                900000,              1215957,,,             -1770198,             -1770198,,,                -24857,                -24857,              2773760,                  1919,              2775679,
