證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 債券換股權利證書,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 債券換股權利證書,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
1582,2015年09月30日,,,,              2604080,,                              0,,                 51760,,                384453,,              4043708,,                649134,,                 58389,                329432,                387821,              8120956,,,                     80,,                 39539,,                 68481,,                753786,,                366777,,                 18975,                385752,                 37537,,                 12689,                 84269,                 43952,                  9729,                150639,              1435814,              9556770,,,,,                 58657,,                              0,,              2182054,,                422368,                164782,,,                              0,                 54336,                 54336,              2882197,,,                              0,,                783314,,                347023,,                  4257,                  3828,                  8085,              1138422,              4020619,,,,              1498564,                              0,              1498564,,              1940072,,                464575,                230916,,              1002238,              1697729,,,                400620,,                   -834,                399786,                              0,              5536151,                              0,              5536151,              9556770,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,2015年06月30日,,,,              3203302,,                179533,,                 49730,,                302583,,              3382538,,                630114,,                 84298,                332611,                416909,              8164709,,,                     80,,                 40615,,                 63008,,                748195,,                366777,,                 19445,                386222,                 43520,,                 15317,                140645,                 43952,                  9581,                209495,              1491135,              9655844,,,,,                122577,,                              0,,              1911478,,              1161707,                100453,,,                              0,                 42148,                 42148,              3338363,,,                              0,,                780254,,                427430,,                  4741,                  3696,                  8437,              1216121,              4554484,,,,              1498564,                              0,              1498564,,              1940072,,                464575,                230916,,                726214,              1421705,,,                241457,,                   -438,                241019,                              0,              5101360,                              0,              5101360,              9655844,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,2015年03月31日,,,,              2653680,,                184551,,                 50440,,                276462,,              3655497,,                711735,,                170305,                379470,                549775,              8082140,,,                    720,,                 22401,,                 60975,,                775918,,                366777,,                 20969,                387746,                 38136,,                 13370,                124785,                 62750,                  9736,                210641,              1496537,              9578677,,,,,                205596,,                              0,,              1924772,,                478810,                 76435,,,                              0,                 39203,                 39203,              2724816,,,                              0,,                777195,,                408876,,                  5225,                  1319,                  6544,              1192615,              3917431,,,,              1498564,                              0,              1498564,,              1940072,,                378989,                230916,,              1312573,              1922478,,,                300212,,                    -80,                300132,                              0,              5661246,                              0,              5661246,              9578677,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,2014年12月31日,,,,              2714813,,                    326,,                 50920,,                357364,,              4062179,,                630812,,                274500,                331993,                606493,              8422907,,,                              0,,                 11401,,                 59446,,                797689,,                366777,,                 21553,                388330,                 43550,,                  8185,                 86600,                 43952,                  9949,                148686,              1449102,              9872009,,,,,              1025556,,                              0,,              2248435,,                486682,                 95808,,,                              0,                 50655,                 50655,              3907136,,,                              0,,                              0,,                393974,,                  5690,                  1212,                  6902,                400876,              4308012,,,,              1498564,                              0,              1498564,,              1918504,,                378989,                230916,,              1153589,              1763494,,,                384628,,                 -1193,                383435,                              0,              5563997,                              0,              5563997,              9872009,              0,              0,              0,              2714813,              9872009,,,,              1025556,,                              0,,              2248435,,                486682,                 95808,,,                              0,                 50655,                 50655,              3907136,,,                              0,,                              0,,                393974,,                  5690,                  1212,                  6902,                400876,              4308012,,,,              1498564,                              0,              1498564,,              1918504,,                378989,                230916,,              1153589,              1763494,,,                384628,,                 -1193,                383435,                              0,              5563997,                              0,              5563997
1582,2014年09月30日,,,,              2321842,,                  1378,,                 49340,,                268868,,              4065450,,                613465,,                281926,                285237,                567163,              7887506,,,                              0,,                 14755,,                 29402,,                790816,,                366777,,                 20287,                387064,                 38947,,                  8397,                 74841,                              0,                  9574,                 92812,              1353796,              9241302,,,,,                901477,,                              0,,              2271979,,                493975,                 81114,,,                              0,                 54492,                 54492,              3803037,,,                              0,,                              0,,                367478,,                  7449,                  1165,                  8614,                376092,              4179129,,,,              1498564,                              0,              1498564,,              1918504,,                378989,                230916,,                899941,              1509846,,,                136055,,                   -796,                135259,                              0,              5062173,                              0,              5062173,              9241302,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,2014年06月30日,,,,              2391397,,                              0,,                 48110,,                202384,,              3730282,,                559280,,                109262,                353466,                462728,              7394181,,,                              0,,                 21190,,                 25200,,                796999,,                366777,,                 18956,                385733,                 44785,,                 10088,                103548,                              0,                  9455,                123091,              1396998,              8791179,,,,,                475012,,                              0,,              2017319,,              1004152,                105161,,,                              0,                 34671,                 34671,              3636315,,,                              0,,                              0,,                418358,,                  8025,                  1095,                  9120,                427478,              4063793,,,,              1498564,                              0,              1498564,,              1918504,,                378989,                230916,,                660062,              1269967,,,                 40775,,                   -424,                 40351,                              0,              4727386,                              0,              4727386,              8791179,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,2014年03月31日,,,,              2263073,,                              0,,                 49000,,                214464,,              3402670,,                574378,,                 96580,                252667,                349247,              6852832,,,                              0,,                 27909,,                 51700,,                825151,,                366777,,                 19421,                386198,                 39706,,                 13661,                 67837,                              0,                  9715,                 91213,              1421877,              8274709,,,,,                480679,,                              0,,              1790041,,                394077,                 59534,,,                              0,                 23150,                 23150,              2747481,,,                              0,,                              0,,                394912,,                  8298,                  1117,                  9415,                404327,              3151808,,,,              1498564,                              0,              1498564,,              1918504,,                313497,                230916,,              1012588,              1557001,,,                148910,,                    -78,                148832,                              0,              5122901,                              0,              5122901,              8274709,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,2013年12月31日,,,,,,                              0,,                 49092,,                328104,,              3535497,,                584487,,                169829,                262103,                431932,              6810175,,,                              0,,                 21284,,                 49794,,                831047,,                366777,,                 18602,                385379,                 45153,,                  7891,                 64272,                              0,                  9659,                 81822,              1414479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1881063,              8224654,,,,                424071,,                              0,,              1954638,,                396323,                 94875,,,                              0,                 39306,                 39306,              2909213,,,                              0,,                              0,,                384061,,                  8919,                  1093,                 10012,                394073,              3303286,,,,              1498564,                              0,              1498564,,              1918504,,                313497,                230916,,                886616,              1431029,,,                 74538,,                 -1267,                 73271,                              0,              4921368,                              0,              4921368
1582,2013年09月30日,,,,,,                              0,,                 48233,,                243073,,              3506897,,                570595,,                199982,                257681,                457663,              6873007,,,                              0,,                              0,,                 45361,,                827169,,                366777,,                 20206,                386983,                 41776,,                 11311,                 55359,,                  9556,                 76226,              1377515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2046546,              8250522,,,,                515448,,                              0,,              2045481,,                371365,                 88020,,,                              0,                160221,                160221,              3180535,,,                              0,,                              0,,                365970,,                 11503,                    182,                 11685,                377655,              3558190,,,,              1485921,                 12643,              1498564,,              1918504,,                313497,                230916,,                733583,              1277996,,,                 -1845,,                   -887,                 -2732,                              0,              4692332,                              0,              4692332
1582,2013年06月30日,,,,,,                  1526,,                 48929,,                221984,,              3157828,,                615690,,                214172,                247179,                461351,              6642253,,,                              0,,                              0,,                 40002,,                848762,,                366777,,                 19349,                386126,                 32256,,                  9814,                 51225,,                  9712,                 70751,              1377897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2134945,              8020150,,,,                 74794,,                              0,,              1781160,,                971157,                 95740,,,                 50081,                134904,                184985,              3107836,,,                              0,,                              0,,                416995,,                 11441,                    184,                 11625,                428620,              3536456,,,,              1468732,                 17189,              1485921,,              1882073,,                313497,                230916,,                523847,              1068260,,,                 47828,,                   -388,                 47440,                              0,              4483694,                              0,              4483694
