證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 與待出售非流動資產直接相關之負債,　　　　　 與待出售非流動資產直接相關之權益,　　　　　　 與待出售非流動資產直接相關之權益合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
2328,2015年09月30日,,,,              3831885,,                 23014,,                  4147,,              1816366,,              4076600,,                270438,,              1981956,,                336800,             12341206,,,              1052743,,                716424,,                     15,,              2882141,,                243820,,                 73999,                 69810,,                751468,              5790420,             18131626,,,,,                497398,,              3934491,,                875897,,                836093,                 32977,,,                 34649,,                476667,                 12745,                524061,              6700917,,,                236533,,                 61639,,                 57043,                355215,              7056132,,,,              5183462,              5183462,,,              1402318,                     83,                  2662,              1405063,,                633515,,              2412246,              3045761,,,                274374,,                 27796,                302170,                141957,              9794499,              1280995,             11075494,             18131626,              0,     10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,2015年06月30日,,,,              4300329,,                 17724,,                  6822,,              1630793,,              2485279,,                365394,,              1850673,,                641569,             11298583,,,              1653576,,                698389,,                     16,,              2742032,,                255108,,                 72350,                 68883,,                682535,              6172889,             17471472,,,,,                379990,,              2959195,,                774116,,                891891,                 48520,,,                 63309,,                476667,                  6497,                546473,              5600185,,,                474567,,                 53558,,                 56995,                585120,              6185305,,,,              5183462,              5183462,,,              1402318,                     83,                  2662,              1405063,,                633515,,              2093809,              2727324,,,                 79168,,                628629,                707797,                 69851,              9953795,              1332372,             11286167,             17471472,              0,      5001000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,2015年03月31日,,,,              5691125,,                  4761,,                  7773,,              1574549,,              1839462,,                180860,,              1973297,,                390832,             11662659,,,              1607358,,                353569,,                     13,,              2876622,,                260756,,                 73651,                 68993,,                825043,              6066005,             17728664,,,,,                787413,,              2471199,,                882329,,                593285,                 46019,,,                219064,,                476667,                  8928,                704659,              5484904,,,                474267,,                 53528,,                 57009,                584804,              6069708,,,,              5183462,              5183462,,,              1402318,                     83,                  2662,              1405063,,                612568,,              2219460,              2832028,,,                236214,,                582411,                818625,,             10239178,              1419778,             11658956,             17728664,              0,              0,,,                              0,,                              0,                              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,2014年12月31日,,,,              6250471,,                  5057,,                  5314,,              2049850,,              2511737,,                196738,,              1622521,,                408043,             13049731,,,              1581681,,                356148,,                     25,,              3047224,,                256035,,                 75345,                 78199,,                851283,              6245940,             19295671,,,,,                861721,,              3136193,,                886553,,                939989,                 45064,,,                142781,,                476667,                 23474,                642922,              6512442,,,                712300,,                 62241,,                 56966,                831507,              7343949,,,,              5183462,              5183462,,,              1402318,                     83,                  2662,              1405063,,                612568,,              2332326,              2944894,,,                399032,,                556735,                955767,                              0,             10489186,              1462536,             11951722,             19295671,              0,              0,                              0,,                              0,,                              0,                              0,,                              0,              0,              6250471,             19295671,,,,                861721,,              3136193,,                886553,,                939989,                 45064,                              0,,,                142781,,                476667,                 23474,                642922,              6512442,,,                712300,,                 62241,,                 56966,                831507,              7343949,,,,              5183462,              5183462,,,              1402318,                     83,                  2662,              1405063,,                612568,,              2332326,              2944894,,,                399032,,                556735,,                              0,                955767,             10489186,              1462536,             11951722,,,,
2328,2014年09月30日,,,,              5091701,,                  5143,,                  9897,,              1867061,,              2435358,,                333574,,              1510947,,                591611,             11845292,,,              1367871,,                347085,,                     63,,              3101918,,                255049,,                 73722,                 75024,,                840199,              6060931,             17906223,,,,,                429118,,              3252383,,                414738,,                869541,                 31038,,,                 60296,,                476667,                 17980,                554943,              5551761,,,                712000,,                 69643,,                 57126,                838769,              6390530,,,,              5183462,              5183462,,,              1402318,                    182,                  2863,              1405363,,                612568,,              2336456,              2949024,,,                163353,,                328136,                491489,                              0,             10029338,              1486355,             11515693,             17906223,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,2014年06月30日,,,,              4570646,,                489638,,                  3649,,              1981168,,              1814848,,                583256,,              1553148,,                108949,             11105302,,,              1550252,,                344681,,                     76,,              3143018,,                257211,,                 72419,                 73700,,                828667,              6270024,             17375326,,,,,                429385,,              2505356,,                589466,,                885334,                 41700,,,                 98711,,                476667,                 15605,                590983,              5042224,,,                950033,,                 68285,,                 56760,              1075078,              6117302,,,,              5157674,              5183462,,,              1402318,                              0,                  2946,              1405264,,                612568,,              2166660,              2779228,,,                -15977,,                458688,                442711,                              0,              9810665,              1447359,             11258024,             17375326,              0,              0,                 25788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,2014年03月31日,,,,              3775199,,                740030,,                  3037,,              2202353,,              1289580,,                116369,,              1393877,,                 80645,             11460725,,,              1157152,,                491377,,                647315,,              3324282,,                260266,,                 73552,                 72801,,                731609,              6758354,             18219079,,,,,                543093,,              1954836,,                699603,,                589886,                 61141,,,                 46592,,                476667,                 27857,                551116,              5791458,,,                949733,,                 57426,,                 56690,              1063849,              6855307,,,,              5157674,              5157674,,,              1402318,                     83,                              0,              1402401,,                580024,,              2306924,              2886948,,,                193205,,                 65588,                437852,,              9884875,              1478897,             11363772,             18219079,              0,              0,,,              1859635,,                  4618,              1387165,,                179059,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,2013年12月31日,,,,,,                  5026,,                 16364,,              2030717,,              2426244,,                173187,,              1601963,,                128681,             12241410,,,              1256811,,                483433,,                727488,,              3474412,,                259429,,                 72562,                 81149,,                742620,              7097904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              1864296,,,,,,              0,              3994932,             19339314,,,,                513798,,              2387106,,                967147,,                958052,                 68248,              1394667,,,                 61325,,                238333,                 71036,                370694,              6659712,,,              1187767,,                 53634,,                 57881,              1299282,              7958994,,,,              5157674,              5157674,,,              1402318,                     83,                              0,              1402401,,                580024,,              2336339,              2916363,,,                153263,,                165247,,                187787,                506297,              9982735,              1397585,             11380320,                              0,,                              0,
2328,2013年09月30日,,,,,,                  4970,,                  8496,,              1701619,,              2325382,,                 50842,,              1751101,,                199544,             11012913,,,              1572398,,                489350,,                653191,,              3443630,,                308979,,                 72126,                 39056,,              1966699,              8545429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                              0,,,,,,              0,              4970959,             19558342,,,,              1630011,,              2620836,,                766845,,                998722,                 66516,                              0,,,                516432,,                238333,                 12746,                767511,              6850441,,,              1187467,,                 38963,,                 65163,              1291593,              8142034,,,,              5157674,              5157674,,,              1402318,                              0,                              0,              1402318,,                580024,,              2167415,              2747439,,,                250266,,                480833,,                              0,                731099,             10038530,              1377778,             11416308,,,,
2328,2013年06月30日,,,,,,                  5064,,                 19110,,              1673287,,              2294975,,                 50587,,              1065952,,                215414,              9918349,,,              1655447,,                494526,,                656708,,              3551710,,                314103,,                 73303,                 30456,,              2010968,              8787221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                              0,,,,,,              0,              4593960,             18705570,,,,              1627708,,              2258906,,                466487,,              1081941,                 82584,                              0,,,                 87769,,                              0,                 39238,                127007,              5644633,,,              1425500,,                 39722,,                 65171,              1530393,              7175026,,,,              5094135,              5174013,,,              1385979,                              0,                              0,              1385979,,                580024,,              2103811,              2683835,,,                358829,,                563884,,                              0,                922713,             10166540,              1364004,             11530544,                 79878,,,
