證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）
1604,2015年09月30日,,,,                842176,,                123983,,                126127,,                 11770,,                766160,,                 10116,,                 25855,,                    229,,                  2027,,              1266348,,                 14050,                128749,                142799,              3317590,,,                 12917,,                406850,,              3288186,,              4248684,,                 43976,                269451,,                 31813,,                 24548,,                140509,                196870,              8466934,             11784524,,,,,                 20000,,                 19945,,                326883,,                 97478,,                410443,,                  2541,,                547380,                547380,                      8,                  9349,,                100897,,,                220000,                 33431,                253431,              1788355,,,                520000,,                 15774,,                991474,,                685676,                 37164,                722840,              2250088,              4038443,,,,              5250000,              5250000,,                 74512,,                184358,              1988376,,                619956,              2792690,,                146012,                753857,              7509357,                236724,              7746081,             11784524,              0,              0,     33041829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,2015年06月30日,,,,                725825,,                105515,,                113486,,                 11283,,              1315016,,                  9296,,                 23464,,                263039,,                    299,,              1392184,,                 32050,                162672,                194722,              4154129,,,                 23307,,                408513,,              3127411,,              4250135,,                 42103,                269451,,                 21346,,                 24548,,                132791,                178685,              8299605,             12453734,,,,,                127000,,                              0,,                351524,,                101235,,                548144,,                 28843,,              1064978,              1064978,                    275,                  8039,,                114671,,,                180000,                 33716,                213716,              2558425,,,                420000,,                 16768,,                991474,,                682410,                 40974,                723384,              2151626,              4710051,,,,              5250000,              5250000,,                 50124,,                184358,              1988376,,                489504,              2662238,,                 53959,                510248,              7506073,                237610,              7743683,             12453734,              0,              0,     34141829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,2015年03月31日,,,,                808477,,                 75660,,                 76218,,                  7619,,                828130,,                  9195,,                 13611,,                    225,,                    239,,              1580734,,                  6050,                184693,                190743,              3590851,,,                 25192,,                408513,,              3310554,,              4290216,,                 33904,                269451,,                 20377,,                 24548,,                139148,                184073,              8521903,             12112754,,,,,                220000,,                 39957,,                243203,,                 42368,,                586604,,                 35559,,                330237,                330237,                    382,                 14906,,                 94385,,,                120000,                 27040,                147040,              1754641,,,                480000,,                 26375,,                991474,,                703265,                 39832,                743097,              2240946,              3995587,,,,              5250000,              5250000,,                 49623,,                120313,              1988376,,                884559,              2993248,,                 97763,                510248,              7880386,                236781,              8117167,             12112754,,              0,     13041829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,2014年12月31日,,,,                615708,,                 93948,,                128845,,                  1468,,              1179144,,                 17955,,                  5289,,                    225,,                    229,,              1394801,,                  6050,                274845,                280895,              3718507,,,                 22598,,                408513,,              3257658,,              4311708,,                 36093,                269451,,                 20755,,                 24548,,                138579,                183882,              8489903,             12208410,,,,,                 95000,,                 39949,,                181315,,                 54185,,                734749,,                 16164,,                594158,                594158,                  2097,                 12514,,                110020,,,                120000,                 11496,                131496,              1971647,,,                480000,,                 19777,,                991474,,                692738,                 48299,                741037,              2232288,              4203935,,,,              5250000,              5250000,,                 49623,,                120313,              1988376,,                735940,              2844629,,                139477,                510248,              7773481,                230994,              8004475,             12208410,              0,              0,     13041829,                615708,                    229,             12208410,,,,                 95000,,                 39949,,                181315,,                 54185,,                734749,,                 16164,,                594158,                594158,                  2097,                 12514,,                110020,,,                120000,                 11496,                131496,              1971647,,,                480000,,                 19777,,                991474,,                692738,                 48299,                741037,              2232288,              4203935,,,,              5250000,              5250000,,                 49623,,                120313,              1988376,,                735940,              2844629,,                139477,                510248,              7773481,                230994,              8004475,,,,
1604,2014年09月30日,,,,              1013690,,                 36651,,                107973,,                    179,,                988618,,                 15677,,                 17342,,                    419,,                  1070,,              1041360,,                  7901,                194279,                202180,              3425159,,,                 17209,,                408513,,              3079935,,              4304450,,                 37947,                279646,,                 38578,,                 24500,,                 27364,                 90442,              8218142,             11643301,,,,,                 10000,,                 29955,,                300376,,                 83574,,                428492,,                  4533,,                515738,                515738,                              0,                    292,,                108593,,,                 60000,                 25129,                 85129,              1566682,,,                540000,,                 20929,,                991474,,                661779,                 36063,                697842,              2250245,              3816927,,,,              5441001,              5441001,,                 45148,,                120313,              1988376,,                739502,              2848191,,                   -188,                723199,              7610953,                215421,              7826374,             11643301,              0,              0,     34141829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,2014年06月30日,,,,                550138,,                 30860,,                127132,,                    198,,              1274337,,                 17579,,                 31076,,                175409,,                    906,,              1378005,,                  7901,                183193,                191094,              3776734,,,                 20785,,                430654,,              2920049,,              4329982,,                 33344,                279646,,                 21208,,                 24500,,                 28343,                 74051,              8088511,             11865245,,,,,                 16000,,                  9994,,                290933,,                 76215,,                591547,,                 27189,,                867253,                867253,                              0,                  1155,,                121750,,,                 60000,                 19226,                 79226,              2081262,,,                540000,,                 22557,,                991474,,                667765,                 38446,                706211,              2260242,              4341504,,,,              5441001,              5441001,,                 35837,,                120313,              1988376,,                502187,              2610876,,                -65496,                723199,              7299019,                224722,              7523741,             11865245,              0,              0,     34141829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,2014年03月31日,,,,                597024,,                 34333,,                103789,,                     98,,                835858,,                 17304,,                 30823,,                    194,,                  1801,,              1637200,,                  7601,                256509,                264110,              3522534,,,                 39644,,                430963,,              2941745,,              4340635,,                  4362,                279646,,                 24239,,                 24500,,                 27688,                 76427,              8113422,             11635956,,,,,                              0,,                 24997,,                274821,,                 29447,,                582571,,                 19408,,                325203,                325203,                              0,                 13174,,                105872,,,                              0,                 30219,                 30219,              1405712,,,                600000,,                 21287,,                991474,,                692853,                 39643,                732496,              2345257,              3750969,,,,              5441001,              5441001,,                 35665,,                 77513,              1988376,,                724600,              2790489,,                 -8595,                599847,              7658713,                226274,              7884987,             11635956,,              0,     24141829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,2013年12月31日,,,,,,                 31368,,                222879,,                  4630,,              1213625,,                 14751,,                  5896,,                    250,,,,              1772084,,                  7601,                282605,                290206,              4124439,,,                 69236,,                430676,,              2785481,,              4368517,,                  4410,                279646,,                 25010,,                 24548,,                 27756,                 77314,              8015280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     47541829,                566968,                  1782,             12139719,,,,                 50000,,                154876,,                164404,,                 39352,,                665827,,                  3923,,                610128,                610128,                              0,                 14066,,                105931,,,                 25000,                 18785,                 43785,              1852292,,,                900000,,                 30297,,                991474,,                695365,                 38380,                733745,              2655516,              4507808,,,,              5641001,              5641001,,                 32957,,                 77513,              1988376,,                562724,              2628613,,                -61184,                837163,              7404224,                227687,              7631911,,                              0,,
1604,2013年09月30日,,,,,,                 11539,,                121395,,                  8823,,                839495,,                 23986,,                 25135,,                    713,,,,              1831069,,                 16990,                258850,                275840,              3827875,,,                 73414,,                451080,,              2735029,,              4392629,,                  6119,                359705,,                 18905,,                 24500,,                 37744,                 81149,              8099125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     27541829,                687987,                  1893,             11927000,,,,                              0,,                 30000,,                344216,,                113429,,                530911,,                  5160,,                503617,                503617,,                              0,,                102670,,,                 33462,                 36648,                 70110,              1700113,,,                602788,,                 21148,,                991838,,                695701,                 49839,                745540,              2361314,              4061427,,,,              5641001,              5641001,,                 32818,,                 77513,              1988376,,                677587,              2743476,,               -158148,                627635,              7631512,                234061,              7865573,,,,
1604,2013年06月30日,,,,,,                  8323,,                205917,,                    593,,              1515480,,                 59807,,                 23719,,                170569,,,,              1764000,,                  9631,                207789,                217420,              4692421,,,                152859,,                451971,,              2703373,,              4413450,,                  3843,                359705,,                 17547,,                 24500,,                 35592,                 77639,              8162840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     27541829,                725209,                  1384,             12855261,,,,                192000,,                229782,,                355577,,                103224,,                617297,,                 27772,,                854080,                854080,,                              0,,                122048,,,                 58000,                 29102,                 87102,              2588882,,,                902084,,                 21105,,                991838,,                710683,                 43241,                753924,              2668951,              5257833,,,,              5641001,              5641001,,                 24972,,                 77513,              1988376,,                467660,              2533549,,               -152578,                627635,              7419309,                178119,              7597428,,,,
