證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 待分配股票股利,　　　　 應計退休金負債（應付退休金費用）
8021,2015年09月30日,,,,              1432184,,                 30006,,                              0,,                 31574,,              1029432,,                164744,,                269172,,                  4237,,                501540,,                128230,,                    761,              3591880,,,                  6201,,              3115766,,                  8346,                114983,,                 32577,,                 84188,                116765,              3362061,              6953941,,,,,                 50949,,                  4203,,                    581,,                197088,,                  1302,,                666835,                 42992,,,                198356,                  5918,                204274,              1168224,,,                766915,,                136375,,                 11681,                 11681,                914971,              2083195,,,,              1592041,                              0,              1592041,,              1216615,,                317343,                198770,,              1077343,              1593456,,                255529,              4657641,                213105,              4870746,              6953941,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8021,2015年06月30日,,,,              1601425,,                    796,,                              0,,                 36433,,                950040,,                155216,,                183951,,                  2279,,                516761,,                132087,,                    703,              3579691,,,                  5822,,              3200554,,                  8847,                104429,,                 32026,,                 43776,                 75802,              3395454,              6975145,,,,,                169851,,                  1583,,                      4,,                166802,,                  2801,,                807933,                 43063,,,                198236,                 10259,                208495,              1400532,,,                772068,,                123004,,                 10973,                 10973,                906045,              2306577,,,,              1591558,                    483,              1592041,,              1216353,,                317343,                198770,,                968835,              1484948,,                172158,              4465500,                203068,              4668568,              6975145,         48250,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8021,2015年03月31日,,,,              1505062,,,,                              0,,                 35288,,              1003364,,                141253,,                 71637,,                  1251,,                501191,,                152325,,                  1015,              3412386,,,                 10192,,              3359561,,                  8879,                109175,,                 32528,,                 38412,                 70940,              3558747,              6971133,,,,,                160412,,                 26984,,                      3,,                171625,,                  5729,,                642558,                 83811,,,                193119,                  6934,                200053,              1291175,,,                743046,,                121109,,                 11129,                 11129,                875284,              2166459,,,,              1590466,                  1093,              1591559,,              1215574,,                281298,                198770,,              1122940,              1603008,,                204698,              4614839,                189835,              4804674,              6971133,        109250,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8021,2014年12月31日,,,,              1429603,,                              0,,                    735,,                 41141,,                958615,,                194471,,                157911,,                  1168,,                476559,,                164094,,                    531,              3424828,,,                 10345,,              3535826,,                  5687,                104699,,                 33219,,                 35879,                 69098,              3725655,              7150483,,,,,                170338,,                 18615,,                     13,,                214269,,                  7484,,                762603,                 68070,,,                182699,                  6791,                189490,              1430882,,,                806498,,                118733,,                 11254,                 11254,                936485,              2367367,,,,              1588006,                  2460,              1590466,,              1214142,,                281298,                198770,,              1048646,              1528714,,                259217,              4592539,                190577,              4783116,              7150483,        246000,              0,              1429603,                  1168,              7150483,,,,                170338,,                 18615,,                     13,,                214269,,                  7484,,                762603,                 68070,,,                182699,                  6791,                189490,              1430882,,,                806498,,                118733,,                 11254,                 11254,                936485,              2367367,,,,              1588006,                  2460,              1590466,,              1214142,,                281298,                198770,,              1048646,              1528714,,                259217,              4592539,                190577,              4783116,              0,,
8021,2014年09月30日,,,,              1166761,,                              0,,                    745,,                 23490,,              1025193,,                174999,,                 62069,,                              0,,                421877,,                162820,,                    594,              3038548,,,                  9889,,              3485943,,                  6589,                102141,,                 31948,,                 35356,                 67304,              3671866,              6710414,,,,,                188297,,                 11035,,                  4369,,                166534,,                  9879,,                717172,                 43128,,,                168861,                  7603,                176464,              1316878,,,                776185,,                106817,,                 10815,                 10815,                893817,              2210695,,,,              1581666,                  6340,              1588006,,              1211380,,                281298,                198770,,                941116,              1421184,,                100206,              4320776,                178943,              4499719,              6710414,        634000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8021,2014年06月30日,,,,              1312026,,                              0,,                    753,,                 25021,,                857480,,                150595,,                 86600,,                              0,,                403068,,                143732,,                    970,              2980245,,,                  9708,,              3193380,,                  7543,                100645,,                 31554,,                225166,                256720,              3567996,              6548241,,,,,                169460,,                    524,,                  3838,,                143146,,                 10907,,                764374,                 37557,,,                169713,                  8446,                178159,              1307965,,,                813174,,                 98909,,                 10618,                 10618,                922701,              2230666,,,,              1579381,                  2285,              1581666,,              1204466,,                281298,                198770,,                832638,              1312706,,                 38168,              4137006,                180569,              4317575,              6548241,        228500,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8021,2014年03月31日,,,,              1346607,,,,                    755,,                 27368,,                746551,,                118202,,                 93434,,                              0,,                407751,,                139006,,                    590,              2880264,,,                  9906,,              3159275,,                  8531,                 98764,,                 32391,,                 98117,                130508,              3406984,              6287248,,,,,                141880,,                              0,,                  3765,,                105107,,                  9233,,                383211,                 53484,,,                192929,                  8277,                201206,                897886,,,                857790,,                 96939,,                 10833,                 10833,                965562,              1863448,,,,              1578906,                    475,              1579381,,              1201891,,                253267,                198770,,                908147,              1360184,,                103525,              4244981,                178819,              4423800,              6287248,         47500,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8021,2013年12月31日,,,,,,,,                    764,,                 27543,,                716559,,                109915,,                114383,,,,                418404,,                133481,,                    423,              2731325,,,                  9777,,              3266291,,                  6508,                 88771,,                 32163,,                 73182,                105345,              3476692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              1209853,                              0,              6208017,,,,                104318,,                              0,,                     16,,                119511,,                  8569,,                425681,                 40992,,,                158660,                  7847,                166507,                865594,,,                923283,,                 91641,,                 10599,                 10599,              1025523,              1891117,,,,              1578906,                              0,              1578906,,              1200741,,                253267,                198770,,                841624,              1293661,,                 62829,              4136137,                180763,              4316900,              0,                              0,                              0
8021,2013年09月30日,,,,,,,,                    691,,                 21743,,                647237,,                131896,,                163552,,,,                387075,,                146553,,                    263,              2625165,,,                  9619,,              3317469,,                  6902,                 79265,,                 31833,,                 96875,                128708,              3541963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              1126155,,              6167128,,,,                153495,,                              0,,                      4,,                107625,,                 21538,,                387000,                 24631,,,                163393,                  9232,                172625,                866918,,,                996866,,                 86207,,                 10513,                 10513,              1093586,              1960504,,,,              1578906,                              0,              1578906,,              1199247,,                253267,                198770,,                776113,              1228150,,                 10941,              4017244,                189380,              4206624,              0,,
8021,2013年06月30日,,,,,,,,                    850,,                 18879,,                700794,,                155530,,                112426,,,,                395054,,                143749,,                  3369,              2548927,,,                  9711,,              3409088,,                  6932,                 77949,,                 32326,,                 87943,                120269,              3623949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              1018276,,              6172876,,,,                190000,,                              0,,                    122,,                 83882,,                 22474,,                584196,                 33629,,,                158219,                 12029,                170248,              1084551,,,                833713,,                 82632,,                 15165,                 15165,                931510,              2016061,,,,              1566578,                              0,              1578906,,              1198052,,                253267,                198770,,                696393,              1148430,,                 39893,              3965281,                191534,              4156815,              0,                 12328,
