證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　　 待分配股票股利,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 資本公積－認股權,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
2317,2015年09月30日,,,,            647246764,,             21382171,,                608008,,            543070339,,             24567360,,             41893021,,            496268260,,             14843000,,              2739648,,             52172274,          1844790845,,,             40220195,,             17070313,,             70580069,,            328890569,,              2566542,,              4232877,             17930954,,             43522520,            525014039,          2369804884,,,,,             84181823,,              2422626,,            664080917,,             44209665,,            240062929,             22577787,,              2582873,                407419,,             93275092,          1153801131,,,                  2156,,            163834054,,              5556796,,              9555072,,              9968192,            188916270,          1342717401,,,,            159932881,            159932881,,,             79169050,                              0,              2112744,             -3550000,             77731794,,             93179928,,            563856735,            657036663,,,             69613544,,              6589569,             76203113,                 18901,            970885550,             56201933,          1027087483,          2369804884,              0,              0,      1685317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,2015年06月30日,,,,            614522028,,              1476888,,              1003504,,            421039079,,             16958699,,             41622802,,            453710737,,             10210176,,              4825329,,            218712779,          1784082021,,,             53234697,,              8805733,,             65290284,,            328559655,,              2780849,,              4184210,             17343004,,             26787671,            506986103,          2291068124,,,,,            204559642,,              1508076,,            560519041,,             32953845,,            222958155,             24508232,,              2526999,                459444,,             76623585,          1126617019,,,                    920,,            157025614,,             20712734,,              6692224,,              9404406,            193835898,          1320452917,,,,            151484068,            168279272,,,             70822659,                311417,              2032343,             17831955,             90998374,,             93179928,,            526342232,            619522160,,,             35565058,,             24219755,             38951978,                 18901,            917732883,             52882324,            970615207,          2291068124,              0,              0,      1605064,,                              0,             16795204,                              0,,                              0,                              0,                              0,,            -20832835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,2015年03月31日,,,,            719156613,,              1814537,,                954580,,            449391471,,             19443166,,             41246456,,            379221700,,             11272695,,              5700377,,             38704542,          1666906137,,,             50884627,,              6645983,,             66037679,,            341208380,,              2842448,,              4291195,             16411112,,             25761618,            514083042,          2180989179,,,,,            174998976,,                896530,,            503738642,,             37480863,,            170974327,             29348981,,              2538107,                 59539,,             78843642,            998879607,,,,,            142996736,,             21612402,,              6660971,,              9367745,            180637854,          1179517461,,,,            147934068,            147934068,,,             70822659,                112566,              1933977,,             72869202,,             80126455,,            577317790,            657444245,,,             47788115,,             20095239,             67883354,                 18901,            946111968,             55359750,          1001471718,          2180989179,              0,              0,      1605064,,                              0,,                              0,,                              0,,                              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,2014年12月31日,,,,            679037301,,              3438255,,              1035704,,            748286815,,             24093966,,             45923820,,            369196813,,             10413141,,              9902089,,             41093451,          1932421355,,,             52792228,,              5792900,,             63412270,,            358868558,,              3164666,,              4440091,             17376159,,             24446522,            530293394,          2462714749,,,,,            226500507,,              1271012,,            694315259,,             41014601,,            223575519,             31690222,,              2674879,              2054833,,             79504965,          1302601797,,,                              0,,            134644413,,             24197727,,              7089517,,              9504493,            175436150,          1478037947,,,,            147934068,            147934068,,,             70822659,                  1589,                835660,                              0,             71659908,,             80126455,,            546932523,            627058978,,,             59610235,,             23986945,             83597180,                 18901,            930231233,             54445569,            984676802,          2462714749,              0,              0,      1605064,,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,            679037301,          2462714749,,,,            226500507,,                              0,,              1271012,,            694315259,,             41014601,,            223575519,             31690222,,              2674879,              2054833,,             79504965,          1302601797,,,            134644413,,             24197727,,              7089517,,              9504493,            175436150,          1478037947,,,,            147934068,            147934068,,,             70822659,                              0,                  1589,                835660,                              0,                              0,             71659908,,             80126455,,            546932523,            627058978,,,             59610235,,             23986945,             83597180,                 18901,            930231233,             54445569,            984676802,,,,,,,,
2317,2014年09月30日,,,,            543460007,,              6654929,,              1003831,,            507127461,,             18423146,,             48131494,,            447960680,,              9491295,,              9013624,,             84164297,          1675430764,,,             63635658,,              6034544,,             60210659,,            347190993,,              3298829,,              3519400,             16180118,,             25899128,            525969329,          2201400093,,,,,            209637029,,                505755,,            606457220,,             36011938,,            178545353,             21828083,,              2665005,              1826672,,             65145635,          1122622690,,,                              0,,            128083757,,             28544406,,              4439927,,              9217638,            170285728,          1292908418,,,,            147934068,            147934068,,,             70822659,                              0,                700649,                              0,             71523308,,             80126455,,            490286087,            570412542,,,             32695423,,             38455357,             71150780,                 18901,            861001797,             47489878,            908491675,          2201400093,              0,              0,      1605064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,2014年06月30日,,,,            567985516,,             56437980,,              1078063,,            442868863,,             11633691,,             47064114,,            331259509,,              8278466,,              9644250,,              7659403,          1483909855,,,             40053568,,              6242946,,             47746717,,            344836040,,              2368339,,              3512351,             15822832,,             24493601,            485076394,          1968986249,,,,,            210288937,,                182521,,            459596971,,             26816792,,            198512754,             19205361,,              2596441,                205825,,             50739544,            971141780,,,                              0,,            116723207,,             32781940,,              4850188,,              7778789,            162134124,          1133275904,,,,            131287068,            154723711,,,             64033016,                              0,                723243,                              0,             64756259,,             80126455,,            456501717,            536628172,,,             18554709,,             16896458,             35451167,                 18901,            791540408,             44169937,            835710345,          1968986249,              0,              0,      1433093,,              2996634,             23436643,                              0,,                              0,                              0,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,2014年03月31日,,,,            755095946,,              8946209,,                959593,,            413537097,,              9608183,,             47520567,,            306481676,,              7399586,,                              0,,              6905611,          1556454468,,,             13044774,,             11707662,,             46878554,,            363411267,,              2270514,,             12792396,             18487468,,             24862849,            493455484,          2049909952,,,,,            319740473,,                995878,,            473259543,,             20697293,,            166295855,             27352824,,              2471812,                              0,,             47585612,          1070385570,,,,,            100660488,,             32853740,,              4792840,,              9117089,            147424157,          1217809727,,,,            131287068,            131287068,,,             64033016,                341920,                741705,,             65116641,,             69456739,,            486966189,            556422928,,,             30080612,,              6078684,             36159296,                 18901,            788967032,             43133193,            832100225,          2049909952,              0,              0,      1433093,,             11986280,,                              0,,                              0,,                              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,2013年12月31日,,,,,,              1198112,,              1087171,,            727761542,,             19948258,,             40215354,,            312785092,,              6393753,,                              0,,              5165161,          1808581488,,,             11854684,,             10843376,,             46282999,,            379561941,,              2304839,,             12815278,             15837041,,             24379557,            503879715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1433093,,,,,,,,,,,,            694027045,          2312461203,,,,            366233601,,             19982517,,                 39946,,            682942409,,             29761739,,            191175178,             24158478,,              2406336,                              0,,             42260567,          1358960771,,,             97054788,,             35108728,,              6218103,,              9194211,            147575830,          1506536601,,,,            131287068,            131287068,,,             64033016,                              0,                 52165,                707692,                              0,                              0,             64792873,,             69456739,,            467423426,            536880165,,,             26432947,,              5295914,             31728861,                 18901,            764670066,             41254536,            805924602,,                              0,,                              0,,,,
2317,2013年09月30日,,,,,,                501515,,                878212,,            441576868,,             26980456,,             43071840,,            365293008,,              6699761,,                              0,,              3504557,          1521989273,,,             12393095,,              9371270,,             44639807,,            384658914,,              2360203,,              3711168,             12935134,,             24198063,            494446954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1433093,,,,,,,,,,,,            633483056,          2016436227,,,,            330386817,,             12977502,,                115632,,            499338203,,             27338794,,            171081187,             18085211,,              2060968,                              0,,             61952682,          1123336996,,,             90611875,,             37154724,,              3625121,,              8957773,            140349493,          1263686489,,,,            131287068,            131287068,,,             64033016,                              0,                 37105,                669130,                              0,,             64739251,,             69456739,,            424809046,            494265785,,,             18443880,,              6139600,             24583480,                 18901,            714856683,             37893055,            752749738,,                179300,,                              0,,,,
2317,2013年06月30日,,,,,,                430089,,                835126,,            432318438,,             20383827,,             48380966,,            325423059,,              8341639,,                              0,,              2338763,          1440942854,,,             13324381,,              9411632,,             43542238,,            399687780,,              2425292,,              3871822,             13036059,,             24944061,            510422565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1302812,,,,,,,,,,,,            602490947,          1951365419,,,,            357221512,,              5593757,,                 84139,,            451409441,,             26710286,,            138197537,             18099660,,              2030576,                              0,,            103396777,          1102743685,,,             90903899,,             14385724,,              4210831,,             10061572,            119562026,          1222305711,,,,            118358665,            137017422,,,             58302661,                 43007,,              1159595,                              0,,             59505263,,             69456739,,            392799144,            462255883,,,             25946496,,              6047735,             31994231,                 18901,            690753898,             38305810,            729059708,,                179300,,                              0,             18658757,,,
