證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 預收股本,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　　　 特別盈餘公積
2489,2015年09月30日,,,,              4279165,,              1964811,,                597485,,                    164,,              2581239,,                853832,,                400908,,              3554821,,              1081547,             15313972,,,              4053709,,                845277,,                462225,,                 53514,                431695,,                339705,              6186125,             21500097,,,,,                              0,,                              0,,                217105,,              3886354,,              2411458,                 14132,,                221372,,                100027,              6850448,,,                              0,,                 87779,,                614083,,                 83159,                785021,              7635469,,,,              8343620,              8343620,,,              1966610,                682243,                              0,                  8115,                  4718,              2661686,,              1590011,,                711419,              2301430,,,                622636,,               -123987,,                              0,                498649,                308632,             13496753,                367875,             13864628,             21500097,              0,              0,     20600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,2015年06月30日,,,,              5976889,,              1449603,,                747573,,                    474,,              1759976,,              1118561,,                270279,,              3311040,,                343696,             14978091,,,              3764944,,                811503,,                463537,,                 57350,                445945,,                319465,              5862744,             20840835,,,,,                              0,,                              0,,                227932,,              2302229,,              4038442,                 26426,,                211081,,                 44311,              6850421,,,,,                 84665,,                480619,,                 82913,                648197,              7498618,,,,              8343620,              8343620,,,              1966610,                682243,,                  8115,                  4718,              2661686,,              1590011,,                202717,              1792728,,,                397462,,               -301104,,,                 96358,                              0,             12894392,                447825,             13342217,             20840835,,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,2015年03月31日,,,,              7183621,,              1357010,,                901768,,                    156,,                835601,,                439585,,                206941,,              2440387,,                311095,             13676164,,,              3892378,,                834719,,                452077,,                 59401,                436078,,                323207,              5997860,             19674024,,,,,                              0,,                     94,,                 91757,,              1225012,,              2659972,                 26562,,                209911,,                 69740,              4283048,,,,,                 88146,,                454351,,                 83041,                625538,              4908586,,,,              8343620,              8343620,,,              2550663,                682243,,                  8115,                  4718,              3245739,,              1506542,,                916390,              2422932,,,                484227,,               -231129,,,                253098,                              0,             14265389,                500049,             14765438,             19674024,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,2014年12月31日,,,,              6771182,,              1230241,,                884648,,                    159,,              1017784,,              1639691,,                176737,,              1881343,,                298742,             13900527,,,              4019991,,                847078,,                453740,,                 63491,                426979,,                342625,              6153904,             20054431,,,,,                              0,,                      3,,                 89869,,              1727454,,              2429351,                 19974,,                216280,,                220915,              4703846,,,                              0,,                 91435,,                459169,,                 82822,                633426,              5337272,,,,              8343620,              8343620,,,              2550663,                682243,                              0,                  8115,                  4718,              3245739,,              1506542,,                841690,              2348232,,,                543729,,               -192498,,                              0,                351231,                              0,             14288822,                428337,             14717159,             20054431,              0,              0,              0,,                              0,              6771182,             20054431,,,,                              0,,                      3,,                 89869,,              1727454,,              2429351,                 19974,,                216280,,                220915,              4703846,,,                              0,,                 91435,,                459169,,                 82822,                633426,              5337272,,,,              8343620,              8343620,,,              2550663,                682243,                  8115,                  4718,              3245739,,              1506542,,                841690,              2348232,,,                543729,,               -192498,                351231,                              0,             14288822,                428337,             14717159,,,,,,
2489,2014年09月30日,,,,              7348476,,              1053861,,              1031100,,                    152,,                919539,,                388208,,                 94406,,              3465975,,                301005,             14602722,,,              3984268,,                848475,,                454927,,                 45865,                371352,,                 26056,              5730943,             20333665,,,,,                              0,,                 12689,,                224785,,              2170012,,              2544994,                 16783,,                295789,,                127622,              5392674,,,                              0,,                 90076,,                380556,,                 84745,                555377,              5948051,,,,              8343620,              8343620,,,              2550663,                682243,                              0,                  8115,                  4718,              3245739,,              1506542,,                651075,              2157617,,,                349127,,               -199367,,                              0,                149760,                              0,             13896736,                488878,             14385614,             20333665,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,2014年06月30日,,,,             10615748,,                931047,,              1100565,,                    149,,              1346035,,                 86085,,                105635,,              2722645,,                316437,             17224346,,,              3885780,,                827891,,                456154,,                 49701,                410541,,                 26126,              5656193,             22880539,,,,,                597400,,                              0,,                220637,,              2058522,,              4856762,                 92934,,                250544,,                153331,              8260305,,,,,                 90575,,                393178,,                 84813,                568566,              8828871,,,,              8343620,              8343620,,,              2550663,                652935,,                  8115,                  4718,              3216431,,              1506542,,                524021,              2030563,,,                213462,,               -181230,,,                 32232,                 82450,             13540396,                511272,             14051668,             22880539,,              0,      5000000,,                 30175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,2014年03月31日,,,,             10309382,,              1144699,,              1162749,,                    152,,              1130785,,              1608041,,                 72850,,              2445798,,                328184,             18202640,,,              3860990,,                839774,,                457572,,                 51788,                434191,,                 26192,              5670507,             23873147,,,,,                914100,,                              0,,                273186,,              2336049,,              3401522,                118746,,                219620,,                142027,              7405250,,,,,                 94560,,                420704,,                 84607,                599871,              8005121,,,,              8343620,              8343620,,,              3131216,                652935,,                  8115,                  4718,              3796984,,              1393518,,              1724825,              3118343,,,                319004,,               -147642,,,                171362,                 82450,             15347859,                520167,             15868026,             23873147,              0,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,2013年12月31日,,,,,,                920094,,              1035830,,                    149,,              1267427,,              2316492,,                 60262,,              3006070,,                341499,             20114563,,,              3863247,,                831828,,                458860,,                 55949,                432864,,                 26808,              5669556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     25000000,,,             11166740,             25784119,,,,              2474230,,                              0,,                344619,,              4013531,,              2935638,                107717,,                220248,,                 90052,             10186035,,,                 40444,,                 94632,,                363697,,                 84450,                583223,             10769258,,,,              8343620,              8343620,,,              3131216,                613707,                  8115,                  4718,              3757756,,              1393518,,              1382115,              2775633,,,                332212,,               -247436,                 84776,                412251,             14549534,                465327,             15014861,,                              0,                              0,                              0,,
2489,2013年09月30日,,,,,,                948538,,                984133,,                    739,,                529026,,              2925619,,                111874,,              4662419,,                435591,             18653535,,,              3680759,,                817161,,                458433,,                 64919,                490062,,                 29104,              5540438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     25000000,,,              8055596,             24193973,,,,                              0,,                              0,,                399872,,              4843203,,              3473810,                126482,,                258575,,                 32735,              9134677,,,                 40230,,                 95823,,                339553,,                 92830,                568436,              9703113,,,,              8336770,              8336770,,,              3125421,                613707,                  8115,                  4718,              3751961,,              1393518,,              1057466,              2450984,,,                229680,,               -318073,                -88393,                412251,             14039071,                451789,             14490860,,,,,,
2489,2013年06月30日,,,,,,              1117853,,                952409,,                    750,,                827351,,              2858333,,                126297,,              3622561,,                507248,             22320232,,,              3714853,,              1080371,,                208309,,                 75957,                446446,,                 29477,              5555413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        165000,     25000000,,,             12307430,             27875645,,,,                              0,,                              0,,                391615,,              4262888,,              5646132,                 16955,,                260875,,              2380541,             12959006,,,                 40017,,                 99300,,                381197,,                 87747,                608261,             13567267,,,,              8332570,              8336027,,,              3120971,                613707,                  8115,                  4718,              3747511,,              1393518,,                769386,              2162904,,,                292633,,               -284161,                  8472,                412251,             13842663,                465715,             14308378,,                              0,                  3457,,,
