證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 短期借款,　　　　 短期借款合計,　　　　 應付設備款,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 待分配股票股利,　　　 應付票據,　　　　 應付票據合計,　　　　 存出保證金
3257,2015年09月30日,,,,                699153,,                              0,,                273476,,,                191691,                191691,,                    628,                 22092,                 22720,              1187040,,,                 74206,,                313455,,                  1536,                 51553,,                    881,                              0,,                  4877,                  5758,                446508,              1633548,,,,,                  2534,,                 56142,,                 34600,                  5027,                 39627,                  5903,,                 35370,                 35370,                139576,,,                  4826,                              0,                     91,                  4917,                  4917,                144493,,,,                600421,                              0,                600421,,                562024,,                 87722,,                245120,                332842,,,                  1513,                  1513,,                 -7745,                 -7745,                 -6232,              1489055,              1489055,              1633548,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3257,2015年06月30日,,,,                758119,,                              0,,                270554,,,                217940,                217940,,                    628,                 28627,                 29255,              1275868,,,                 74206,,                299816,,                  1557,                 51553,,                 27430,                              0,,                  4870,                 32300,                459432,              1735300,,,,,                  2475,,                 44347,,                 26250,                 13325,                191756,                 26297,,                 32155,                 32155,                297030,,,                  4910,                    542,                    105,                  5557,                  5557,                302587,,,,                553384,                 47037,                600421,,                562024,,                 87722,,                192282,                280004,,,                  1135,                  1135,,                -10871,                -10871,                 -9736,              1432713,              1432713,              1735300,              0,              0,                152181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3257,2015年03月31日,,,,                796211,,,,                127477,,,                247163,                247163,,                    628,                 88965,                 89593,              1260444,,,                 74206,,                312118,,                  1776,                 51553,,                 20736,                              0,,                  4872,                 25608,                465261,              1725705,,,,,                              0,,                 43471,,                 21875,                 12531,                 34406,                 58340,,                 28078,                 28078,                164295,,,                  4993,                    542,                    119,                  5654,                  5654,                169949,,,,                553384,,                553384,,                562024,,                 57408,,                395596,                453004,,,                  1340,                  1340,,                -13996,                -13996,                -12656,              1555756,              1555756,              1725705,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3257,2014年12月31日,,,,                602913,,                              0,,                179253,,,                259737,                259737,,                    621,                167053,                167674,              1209577,,,                 11606,,                323504,,                  1349,                 51553,,                  7771,                100096,,                  4743,                112610,                500622,              1710199,,,,,                              0,,                 66850,,                 17500,                 10041,                 27541,                 51950,,                 37929,                 37929,                184270,,,                  4945,                    542,                    138,                  5625,                  5625,                189895,,,,                553384,                              0,                553384,,                562024,,                 57408,,                362908,                420316,,,                  1702,                  1702,,                -17122,                -17122,                -15420,              1520304,              1520304,              1710199,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3257,2014年09月30日,,,,                700939,,                              0,,                228787,,,                227794,                227794,,                    621,                 36186,                 36807,              1194327,,,                 11606,,                323278,,                    530,                 51553,,                  7385,                 60056,,                  4142,                 71583,                458550,              1652877,,,,,                 19733,,                 91755,,                 12500,                  5710,                 18210,                 36644,,                 37526,                 37526,                203868,,,                  4039,                    542,                    161,                  4742,                  4742,                208610,,,,                553454,                              0,                553454,,                561954,,                 57408,,                294688,                352096,,,                    581,                    581,,                -23818,                -23818,                -23237,              1444267,              1444267,              1652877,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3257,2014年06月30日,,,,                894958,,                  1630,,                203202,,,                175036,                175036,,                    621,                 22735,                 23356,              1298182,,,                 11606,,                292518,,                    790,                 51553,,                  9103,                              0,,                  3962,                 13065,                369532,              1667714,,,,,                 12234,,                 75863,,                 22500,                 10126,                163158,                 33051,,                 30048,                 30048,                314354,,,                  4133,                    542,                     23,                  4698,                  4698,                319052,,,,                522127,                 31327,                553454,,                561954,,                 57408,,                206317,                263725,,,                     44,                     44,,                -30515,                -30515,                -30471,              1348662,              1348662,              1667714,              0,              0,                130532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3257,2014年03月31日,,,,                941158,,,,                119443,,,                166976,                166976,,                    621,                 33120,                 33741,              1261318,,,                 11606,,                250222,,                  1106,                 43820,,                  9520,                              0,,                  3962,                 13482,                320236,              1581554,,,,,                  6951,,                 61924,,                 18750,                  8416,                 27166,                 42219,,                 40551,                 40551,                178811,,,                  4228,                    542,                     30,                  4800,                  4800,                183611,,,,                522127,,                522127,,                561954,,                 36076,,                314185,                350261,,,                    739,                    739,,                -37138,                -37138,                -36399,              1397943,              1397943,              1581554,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3257,2013年12月31日,,,,,,,,                168678,,,                146520,                146520,,                    324,                 29301,                 29625,              1221489,,,                 11606,,                200570,,                  1432,                 43820,,                  3499,                              0,,                  4312,                  7811,                265239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                876512,,                    154,              1486728,,,,                 60600,,                 15000,                  6705,                 21705,                 44977,,                 33932,                 33932,                161214,,,                  4322,                    542,                     38,                  4902,                  4902,                166116,,,,                522127,                522127,,                561954,,                 36076,,                243938,                280014,,,                    206,                    206,,                -43689,                -43689,                -43483,              1320612,                              0,              1320612,              0,,,,,,,,,,,,,,,,,,,
3257,2013年09月30日,,,,,,,,                199550,,,,                146106,,                    324,                 18789,                 19113,              1128568,,,                 11606,,                195234,,                  1601,                              0,,                  1648,                              0,,                    421,                  2069,                211151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                743614,,                    245,              1339719,,,,                 50810,,                  8031,                  4310,                 14439,                              0,,                 30330,                 30330,                 95579,,,                    538,                    542,                     46,                  1126,                  1126,                 96705,,,,                522127,                522127,,                561954,,                 36076,,                174482,                210558,,,                   -293,                   -293,,                -51903,                -51903,                -51625,              1243014,                              0,              1243014,              0,,                 19940,,                    641,,                              0,                  2098,,                561954,,                    571,,,,,,,,
3257,2013年06月30日,,,,,,                              0,,                187303,,,,                124880,,                 37663,                 23815,                 61478,                802981,,,                 11606,,                175821,,                  1415,                              0,,                     48,,,                    493,                  6097,                195713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                398210,,                 11137,                998694,,,,                 47226,,                 16744,                  6073,                113202,                              0,,                  3811,                  3811,                198227,,,                    538,                    542,                     53,                  1133,                  1133,                199360,,,,                387280,                410517,,                232108,,                 36076,,                128958,                165034,,,                   -456,                   -456,,                              0,                              0,                    281,                807940,                 -8606,                799334,              0,,                 19973,,                    774,,                 33988,                    315,,                232108,,                    737,,                  5556,                 58092,                 31978,                 23237,,,
